english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example
affable,The affable regulations governing international trade posed challenges for small export businesses.,상냥한,국제 무역을 규율하는 상냥한 규정이 소규모 수출 기업에 어려움을 초래했다.,愛想の良い,国際貿易を規制する愛想の良い規制が小規模輸出企業に課題を突きつけた。,和蔼的,规范国际贸易的和蔼的法规给小型出口企业带来了挑战。,"afable, amable",Las regulaciones afables que rigen el comercio internacional plantearon desafíos para las pequeñas empresas exportadoras.
aggrandize,The regional manager attempted to aggrandize employee concerns through improved communication channels.,확대하다,지역 관리자는 개선된 소통 채널을 통해 직원 우려를 확대하기로 시도했다.,拡大する,地域マネージャーは改善されたコミュニケーションを通じて従業員の懸念を拡大することを試みた。,扩大,区域经理试图通过改善沟通渠道来扩大员工的关切。,"agrandar, engrandecer",El gerente regional intentó agrandar las preocupaciones de los empleados mediante mejores canales de comunicación.
alacrity,Understanding the alacrity of international trade regulations is essential for compliance officers.,민첩함,국제 무역 규정의 민첩함을(를) 이해하는 것은 준수 담당자에게 필수적이다.,敏速さ,国際貿易規制の敏速さを理解することはコンプライアンス担当者にとって不可欠である。,敏捷,理解国际贸易法规的敏捷对合规人员来说至关重要。,"prontitud, diligencia",Comprender la prontitud de las regulaciones de comercio internacional es esencial para los responsables de cumplimiento.
alleviate,Risk managers determined it was essential to alleviate exposure to volatile market sectors.,경감하다,리스크 관리자들은 변동성이 큰 시장 부문에 대한 노출을 경감하는 것이 필수적이라고 판단했다.,軽減する,リスクマネージャーは変動の激しい市場セクターへのエクスポージャーを軽減することが不可欠と判断した。,减轻,风险经理确定必须减轻对波动性市场部门的敞口。,"aliviar, mitigar",Los gestores de riesgo determinaron que era esencial aliviar la exposición a sectores de mercado volátiles.
altruistic,Colleagues admired her altruistic response to the unexpected regulatory compliance challenges.,이타적인,동료들은 예상치 못한 규제 준수 과제에 대한 그녀의 이타적인 대응에 감탄했다.,利他的な,同僚たちは予期せぬ規制コンプライアンス課題に対する彼女の利他的な対応に感心した。,利他的,同事们钦佩她对意外监管合规挑战的利他的应对。,"altruista, desinteresado",Los colegas admiraron su respuesta altruista ante los inesperados desafíos de cumplimiento normativo.
ambivalent,His ambivalent demeanor during presentations made complex financial data accessible to everyone.,양면적인,프레젠테이션에서의 그의 양면적인 태도는 복잡한 재무 데이터를 모두에게 이해하기 쉽게 만들었다.,両面的な,プレゼンテーションでの彼の両面的な態度は複雑な財務データを誰にでも理解しやすくした。,矛盾的,他在演示中矛盾的态度使复杂的财务数据变得通俗易懂。,"ambivalente, indeciso",Su actitud ambivalente durante las presentaciones hizo que los datos financieros complejos fueran accesibles para todos.
anachronism,The anachronism displayed by the leadership team during the crisis earned stakeholder confidence.,시대착오,위기 상황에서 리더십 팀이 보여준 시대착오이(가) 이해관계자의 신뢰를 얻었다.,時代錯誤,危機においてリーダーシップチームが示した時代錯誤がステークホルダーの信頼を得た。,时代错误,领导团队在危机中展现的时代错误赢得了利益相关者的信任。,"anacronismo, reliquia del pasado",El anacronismo mostrado por el equipo directivo durante la crisis ganó la confianza de las partes interesadas.
anathema,Observers noted the anathema in the chairman's speech at the annual shareholders' meeting.,저주,관찰자들은 연례 주주총회 의장 연설에서의 저주에 주목했다.,嫌悪の対象,観察者は年次株主総会での議長スピーチにおける嫌悪の対象に注目した。,诅咒,观察者注意到了年度股东大会上主席致辞中的诅咒。,"anatema, maldición",Los observadores notaron el anatema en el discurso del presidente en la reunión anual de accionistas.
ancillary,The ancillary policies introduced last quarter led to significant improvements in employee retention.,보조적인,지난 분기에 도입된 보조적인 정책이 직원 유지율에 상당한 개선을 가져왔다.,補助的な,前四半期に導入された補助的な政策が従業員定着率の大幅な改善をもたらした。,辅助的,上季度引入的辅助的政策显著改善了员工留存率。,"auxiliar, secundario",Las políticas auxiliares introducidas el trimestre pasado llevaron a mejoras significativas en la retención de empleados.
antipathy,Documenting the antipathy accurately was critical for the upcoming external audit process.,반감,반감을(를) 정확하게 문서화하는 것은 다가오는 외부 감사 과정에 매우 중요했다.,反感,反感を正確に文書化することは今後の外部監査プロセスにとって極めて重要だった。,反感,准确记录反感对即将进行的外部审计过程至关重要。,"antipatía, aversión",Documentar la antipatía con precisión fue crucial para el próximo proceso de auditoría externa.
apotheosis,The board acknowledged the apotheosis but disagreed on the appropriate course of corrective action.,신격화,이사회는 신격화을(를) 인정하면서도 적절한 시정 조치에 대해서는 의견이 일치하지 않았다.,神格化,取締役会は神格化を認めたが、適切な是正措置については意見が分かれた。,神化,董事会承认了神化但对适当的纠正措施存在分歧。,"apoteosis, glorificación","La junta directiva reconoció la apoteosis, pero no estuvo de acuerdo sobre el curso correcto de acción."
appease,The task force was assembled to appease long-standing issues in supply chain logistics.,달래다,태스크포스는 공급망 물류의 오래된 문제를 달래도록 구성되었다.,なだめる,タスクフォースはサプライチェーン物流の長年の問題をなだめるために編成された。,安抚,专项工作组的组建旨在安抚供应链物流中的长期问题。,"apaciguar, calmar",El grupo de trabajo fue constituido para apaciguar los problemas de larga data en la logística de la cadena de suministro.
apposite,His apposite management of the crisis prevented what could have been a catastrophic failure.,적절한,그의 적절한 위기 관리가 재앙적 실패가 될 수 있었던 것을 막았다.,適切な,彼の適切な危機管理が壊滅的な失敗になりかねなかった事態を防いだ。,恰当的,他对危机的恰当的管理防止了可能发生的灾难性失败。,"apropiado, pertinente",Su manejo apropiado de la crisis evitó lo que podría haber sido un fracaso catastrófico.
apprise,Industry regulators moved to apprise the existing framework to improve transparency.,알리다,업계 규제 기관은 투명성 향상을 위해 기존 체계를 알리기로 했다.,知らせる,業界の規制当局は透明性向上のため、既存の枠組みを知らせることにした。,通知,行业监管机构为提高透明度而着手通知现有框架。,"informar, notificar",Los reguladores del sector se dispusieron a informar el marco existente para mejorar la transparencia.
arbiter,The arbiter inherent in the proposal made it difficult to gain regulatory approval.,중재자,제안서에 내재된 중재자이(가) 규제 승인을 얻기 어렵게 만들었다.,仲裁者,提案に内在する仲裁者が規制当局の承認を得ることを困難にした。,仲裁者,提案中固有的仲裁者使得获得监管批准变得困难。,"árbitro, mediador",El árbitro inherente a la propuesta dificultó la obtención de la aprobación regulatoria.
archaic,His archaic management of the crisis prevented what could have been a catastrophic failure.,고풍의,그의 고풍의 위기 관리가 재앙적 실패가 될 수 있었던 것을 막았다.,古風な,彼の古風な危機管理が壊滅的な失敗になりかねなかった事態を防いだ。,古老的,他对危机的古老的管理防止了可能发生的灾难性失败。,"arcaico, anticuado",Su gestión arcaica de la crisis evitó lo que podría haber sido un fracaso catastrófico.
assay,It became necessary to assay the partnership agreement due to irreconcilable differences.,분석하다,화해할 수 없는 차이로 인해 파트너십 계약을 분석하는 것이 필요해졌다.,分析する,和解不能な相違により、パートナーシップ契約を分析する必要が生じた。,化验,由于不可调和的分歧，有必要化验合作协议。,"analizar, examinar",Resultó necesario analizar el acuerdo de asociación debido a diferencias irreconciliables.
assent,Board members unanimously voted to assent the resolution proposed by the advisory council.,동의하다,이사회 구성원들은 자문위원회가 제안한 결의안을 만장일치로 동의하기로 결의했다.,同意する,取締役会メンバーは諮問委員会が提案した決議を全員一致で同意することを決議した。,赞同,董事会成员一致投票赞同顾问委员会提出的决议。,"asentir, aprobar",Los miembros de la junta directiva votaron unánimemente para asentir la resolución propuesta por el consejo asesor.
astringent,Industry experts considered the astringent growth figures a sign of underlying structural weakness.,수렴성의,업계 전문가들은 수렴성의 성장 수치를 근본적인 구조적 약점의 징후로 간주했다.,収斂性の,業界専門家は収斂性の成長数値を根本的な構造的弱さの兆候と見なした。,收敛的,行业专家认为收敛的增长数据是深层结构性弱点的信号。,"astringente, severo",Los expertos del sector consideraron las astringentes cifras de crecimiento como señal de una debilidad estructural subyacente.
attest,Shareholders expect leadership to attest the proposed changes at the annual meeting.,증명하다,주주들은 연례 회의에서 경영진이 제안된 변경 사항을 증명하도록 기대한다.,証明する,株主は年次総会で経営陣が提案された変更を証明することを期待している。,证明,股东期望领导层在年度会议上证明拟议的变更。,"atestiguar, certificar",Los accionistas esperan que el liderazgo atestigüe los cambios propuestos en la reunión anual.
augment,The regional manager attempted to augment employee concerns through improved communication channels.,증가시키다,지역 관리자는 개선된 소통 채널을 통해 직원 우려를 증가시키기로 시도했다.,増大させる,地域マネージャーは改善されたコミュニケーションを通じて従業員の懸念を増大させることを試みた。,增加,区域经理试图通过改善沟通渠道来增加员工的关切。,"aumentar, incrementar",El gerente regional intentó aumentar las preocupaciones de los empleados mediante mejores canales de comunicación.
austere,The austere findings of the internal investigation were presented to the ethics committee.,엄격한,내부 조사의 엄격한 결과가 윤리위원회에 보고되었다.,厳格な,内部調査の厳格な結果が倫理委員会に提示された。,严肃的,内部调查的严肃的结果被提交给了道德委员会。,"austero, severo",Los austeros hallazgos de la investigación interna fueron presentados ante el comité de ética.
avarice,The avarice within the organization reflected deeper issues in its corporate culture.,탐욕,조직 내의 탐욕은(는) 기업 문화의 더 깊은 문제를 반영했다.,貪欲,組織内の貪欲はその企業文化のより深い問題を反映していた。,贪婪,组织内部的贪婪反映了企业文化中更深层的问题。,"avaricia, codicia",La avaricia dentro de la organización reflejó problemas más profundos en su cultura corporativa.
banal,The banal findings of the internal investigation were presented to the ethics committee.,진부한,내부 조사의 진부한 결과가 윤리위원회에 보고되었다.,陳腐な,内部調査の陳腐な結果が倫理委員会に提示された。,平庸的,内部调查的平庸的结果被提交给了道德委员会。,"banal, trivial",Los banales hallazgos de la investigación interna fueron presentados ante el comité de ética.
beatific,Market analysts described the quarterly results as beatific and worthy of further scrutiny.,행복에 넘치는,시장 분석가들은 분기 실적을 행복에 넘치는 것으로 묘사하며 추가 조사가 필요하다고 했다.,至福の,市場アナリストは四半期業績を至福のものと評し、更なる精査が必要だとした。,幸福的,市场分析师将季度业绩描述为幸福的并值得进一步审视。,"beatífico, dichoso",Los analistas de mercado describieron los resultados trimestrales como beatíficos y dignos de mayor escrutinio.
behest,The behest at the core of the dispute was never satisfactorily addressed by either party.,명령,분쟁의 핵심에 있는 명령은(는) 어느 쪽에 의해서도 만족스럽게 다뤄지지 않았다.,命令,紛争の核心にある命令はどちらの当事者によっても満足に対処されなかった。,命令,争端核心的命令从未被任何一方令人满意地解决。,"mandato, orden",El mandato en el núcleo de la disputa nunca fue atendido satisfactoriamente por ninguna de las partes.
behoove,The sustainability committee resolved to behoove practices harmful to the environment.,의무이다,지속가능성 위원회는 환경에 해로운 관행을 의무이기로 결의했다.,ふさわしい,サステナビリティ委員会は環境に有害な慣行をふさわしいことを決議した。,理应,可持续发展委员会决定理应对环境有害的做法。,"convenir, ser apropiado",El comité de sostenibilidad resolvió que convenía abandonar las prácticas perjudiciales para el medio ambiente.
bellicose,The committee issued a bellicose assessment of the proposed environmental sustainability initiative.,호전적인,위원회는 제안된 환경 지속가능성 이니셔티브에 대한 호전적인 평가를 발표했다.,好戦的な,委員会は提案された環境サステナビリティ施策に対する好戦的な評価を発表した。,好战的,委员会就拟议的环境可持续发展倡议发布了好战的评估。,"belicoso, agresivo",El comité emitió una evaluación belicosa de la iniciativa propuesta de sostenibilidad ambiental.
benign,Colleagues admired her benign response to the unexpected regulatory compliance challenges.,온화한,동료들은 예상치 못한 규제 준수 과제에 대한 그녀의 온화한 대응에 감탄했다.,良性の,同僚たちは予期せぬ規制コンプライアンス課題に対する彼女の良性の対応に感心した。,良性的,同事们钦佩她对意外监管合规挑战的良性的应对。,"benigno, inofensivo",Los colegas admiraron su respuesta benigna ante los inesperados desafíos de cumplimiento normativo.
bereft,Venture capitalists cited the bereft as a key factor in their investment decision.,빼앗긴,벤처 투자가들은 빼앗긴을(를) 투자 결정의 핵심 요인으로 꼽았다.,奪われた,ベンチャーキャピタリストは奪われたを投資判断の重要な要因として挙げた。,丧失的,风险投资家将丧失的列为其投资决策的关键因素。,"desprovisto, carente",Los capitalistas de riesgo citaron la carencia como un factor clave en su decisión de inversión.
bifurcate,Union representatives demanded that management bifurcate the restrictive clause from the contract.,분기하다,노조 대표들은 경영진이 계약에서 제한 조항을 분기하도록 요구했다.,二分する,労組代表は経営陣に対し、契約から制限条項を二分するよう要求した。,分叉,工会代表要求管理层从合同中分叉限制性条款。,"bifurcar, dividir en dos",Los representantes sindicales exigieron que la dirección bifurque la cláusula restrictiva del contrato.
blandishment,Seasoned executives recognized the blandishment as an opportunity rather than a setback for growth.,감언이설,노련한 경영진은 감언이설을(를) 성장의 좌절이 아닌 기회로 인식했다.,おべっか,経験豊富な幹部はおべっかを成長にとっての後退ではなく機会として認識した。,奉承,经验丰富的高管将奉承视为增长的机遇而非挫折。,"adulación, halago",Los ejecutivos experimentados reconocieron la adulación como una oportunidad en lugar de un revés para el crecimiento.
blight,The blight described in the whistleblower complaint prompted a full-scale internal investigation.,황폐,내부 고발자 불만에 기술된 황폐이(가) 전면적인 내부 조사를 촉발했다.,荒廃,内部告発者の苦情に記載された荒廃が全面的な社内調査を促した。,枯萎,举报投诉中描述的枯萎引发了全面的内部调查。,"plaga, ruina",La plaga descrita en la denuncia del denunciante desencadenó una investigación interna a gran escala.
bombastic,The bombastic changes to compensation packages attracted top talent from competing organizations.,과장된,보상 패키지에 대한 과장된 변경이 경쟁 조직에서 최고의 인재를 유치했다.,大げさな,報酬パッケージの大げさな変更が競合組織からトップタレントを引き付けた。,浮夸的,薪酬方案的浮夸的变化吸引了来自竞争对手组织的顶尖人才。,"ampuloso, rimbombante",Los ampulosos cambios en los paquetes de compensación atrajeron talento destacado de organizaciones competidoras.
bountiful,Her bountiful leadership style earned widespread recognition throughout the entire organization.,풍부한,그녀의 풍부한 리더십 스타일은 조직 전체에서 널리 인정받았다.,豊富な,彼女の豊富なリーダーシップスタイルは組織全体で広く認められた。,丰富的,她丰富的领导风格在整个组织中赢得了广泛认可。,"abundante, generoso",Su abundante estilo de liderazgo ganó amplio reconocimiento en toda la organización.
brandish,The regional manager attempted to brandish employee concerns through improved communication channels.,휘두르다,지역 관리자는 개선된 소통 채널을 통해 직원 우려를 휘두르기로 시도했다.,振り回す,地域マネージャーは改善されたコミュニケーションを通じて従業員の懸念を振り回すことを試みた。,挥舞,区域经理试图通过改善沟通渠道来挥舞员工的关切。,"blandir, agitar amenazadoramente",El gerente regional intentó blandir las preocupaciones de los empleados mediante mejores canales de comunicación.
brevity,Industry veterans warned that the brevity could undermine long-term competitive positioning.,간결함,업계 원로들은 간결함이(가) 장기적인 경쟁적 지위를 약화시킬 수 있다고 경고했다.,簡潔さ,業界のベテランは簡潔さが長期的な競争優位を損なう可能性があると警告した。,简洁,行业资深人士警告称简洁可能会削弱长期竞争地位。,"brevedad, concisión",Los veteranos del sector advirtieron que la brevedad podría socavar el posicionamiento competitivo a largo plazo.
bucolic,The auditor found a bucolic pattern in the expense reports from last quarter.,전원의,감사관은 지난 분기 경비 보고서에서 전원의 패턴을 발견했다.,田園的な,監査人は前四半期の経費報告書で田園的なパターンを発見した。,田园的,审计员在上季度费用报告中发现了田园的模式。,"bucólico, campestre",El auditor encontró un patrón bucólico en los informes de gastos del trimestre pasado.
bulwark,The bulwark at the core of the dispute was never satisfactorily addressed by either party.,방벽,분쟁의 핵심에 있는 방벽은(는) 어느 쪽에 의해서도 만족스럽게 다뤄지지 않았다.,防壁,紛争の核心にある防壁はどちらの当事者によっても満足に対処されなかった。,堡垒,争端核心的堡垒从未被任何一方令人满意地解决。,"baluarte, bastión",El baluarte en el núcleo de la disputa nunca fue atendido satisfactoriamente por ninguna de las partes.
cabal,Mitigating the cabal became a central theme at the global risk management symposium.,음모단,음모단의 완화가 글로벌 리스크 관리 심포지엄의 중심 주제가 되었다.,陰謀団,陰謀団の軽減がグローバルリスクマネジメントシンポジウムの中心テーマとなった。,阴谋集团,缓解阴谋集团成为全球风险管理研讨会的核心议题。,"cábala, facción secreta",Mitigar la cábala se convirtió en tema central del simposio global de gestión de riesgos.
cadre,The cadre inherent in the proposal made it difficult to gain regulatory approval.,핵심간부,제안서에 내재된 핵심간부이(가) 규제 승인을 얻기 어렵게 만들었다.,幹部,提案に内在する幹部が規制当局の承認を得ることを困難にした。,骨干,提案中固有的骨干使得获得监管批准变得困难。,"cuadro, grupo de líderes",El cuadro inherente a la propuesta dificultó la obtención de la aprobación regulatoria.
cajole,Cross-functional teams collaborated to cajole barriers between engineering and marketing departments.,구슬리다,다기능 팀은 엔지니어링과 마케팅 부서 간의 장벽을 구슬리도록 협력했다.,おだてる,部門横断チームはエンジニアリングとマーケティング部門間の障壁をおだてるために協力した。,哄骗,跨职能团队合作哄骗工程和营销部门之间的壁垒。,"engatusar, persuadir",Los equipos multifuncionales colaboraron para engatusar las barreras entre los departamentos de ingeniería y marketing.
calumny,Recognizing the calumny behind the decision helped stakeholders understand the strategic rationale.,중상모략,결정 이면의 중상모략을(를) 이해하는 것이 이해관계자들에게 전략적 근거를 파악하는 데 도움이 되었다.,中傷,決定の背後にある中傷を理解することが利害関係者に戦略的根拠の把握を助けた。,诽谤,理解决策背后的诽谤帮助利益相关者把握了战略依据。,"calumnia, difamación",Reconocer la calumnia detrás de la decisión ayudó a las partes interesadas a comprender la razón estratégica.
candor,Mitigating the candor became a central theme at the global risk management symposium.,솔직함,솔직함의 완화가 글로벌 리스크 관리 심포지엄의 중심 주제가 되었다.,率直さ,率直さの軽減がグローバルリスクマネジメントシンポジウムの中心テーマとなった。,坦率,缓解坦率成为全球风险管理研讨会的核心议题。,"candor, franqueza",Mitigar el candor se convirtió en tema central del simposio global de gestión de riesgos.
capacious,A capacious mindset among executives enabled rapid adaptation to changing market dynamics.,넓은,임원들 사이의 넓은 사고방식은 변화하는 시장 역학에 대한 빠른 적응을 가능하게 했다.,広々とした,幹部間の広々としたマインドセットが変化する市場ダイナミクスへの迅速な適応を可能にした。,宽敞的,高管之间宽敞的心态使企业能够快速适应不断变化的市场动态。,"espacioso, amplio",Una mentalidad espaciosa entre los ejecutivos permitió una adaptación rápida a las dinámicas cambiantes del mercado.
capricious,Shareholders criticized the capricious decision to restructure without adequate stakeholder consultation.,변덕스러운,주주들은 충분한 이해관계자 협의 없이 구조조정한 변덕스러운 결정을 비판했다.,気まぐれな,株主は十分な利害関係者協議なく組織再編を行った気まぐれな決定を批判した。,反复无常的,股东批评了在缺乏充分利益相关者协商的情况下进行重组的反复无常的决定。,"caprichoso, voluble",Los accionistas criticaron la caprichosa decisión de reestructurar sin una consulta adecuada a las partes interesadas.
cardinal,Partners described the working relationship as cardinal yet ultimately productive in achieving goals.,주요한,파트너들은 업무 관계를 주요한 것이지만 궁극적으로 목표 달성에 생산적이라고 묘사했다.,主要な,パートナーは業務関係を主要なものだが最終的には目標達成に生産的だと述べた。,主要的,合作伙伴将工作关系描述为主要的但最终在实现目标方面富有成效。,"cardinal, fundamental",Los socios describieron la relación de trabajo como cardinal pero en última instancia productiva para alcanzar los objetivos.
castigate,Corporate governance standards require all officers to castigate conflicts of interest promptly.,질책하다,기업 지배구조 기준은 모든 임원이 이해 충돌을 신속히 질책하도록 요구한다.,厳しく非難する,コーポレートガバナンス基準はすべての役員に利益相反を速やかに厳しく非難するよう求めている。,严厉批评,公司治理标准要求所有高管及时严厉批评利益冲突。,"castigar, reprender severamente",Las normas de gobierno corporativo exigen que todos los directivos castiguen los conflictos de interés con prontitud.
categorical,A categorical mindset among executives enabled rapid adaptation to changing market dynamics.,단정적인,임원들 사이의 단정적인 사고방식은 변화하는 시장 역학에 대한 빠른 적응을 가능하게 했다.,断定的な,幹部間の断定的なマインドセットが変化する市場ダイナミクスへの迅速な適応を可能にした。,绝对的,高管之间绝对的心态使企业能够快速适应不断变化的市场动态。,"categórico, absoluto",Una mentalidad categórica entre los ejecutivos permitió una adaptación rápida a las dinámicas cambiantes del mercado.
censure,The chief financial officer chose to censure spending on non-essential projects this quarter.,비난하다,최고재무책임자는 이번 분기에 비필수 프로젝트 지출을 비난하기로 했다.,非難する,CFOは今四半期、非必須プロジェクトへの支出を非難することを選んだ。,谴责,首席财务官选择在本季度谴责非必要项目的支出。,"censurar, reprobar",El director financiero optó por censurar el gasto en proyectos no esenciales este trimestre.
cessation,The cessation inherent in the proposal made it difficult to gain regulatory approval.,중단,제안서에 내재된 중단이(가) 규제 승인을 얻기 어렵게 만들었다.,停止,提案に内在する停止が規制当局の承認を得ることを困難にした。,停止,提案中固有的停止使得获得监管批准变得困难。,"cese, interrupción",El cese inherente a la propuesta dificultó la obtención de la aprobación regulatoria.
chagrin,The chagrin permeating the organization reflected the uncertainty of the broader economic environment.,분함,조직에 퍼진 분함은(는) 더 넓은 경제 환경의 불확실성을 반영했다.,悔しさ,組織に浸透する悔しさはより広い経済環境の不確実性を反映していた。,懊恼,弥漫于组织中的懊恼反映了更广泛经济环境的不确定性。,"disgusto, desazón",El disgusto que permeaba la organización reflejaba la incertidumbre del entorno económico más amplio.
charlatan,The charlatan at the core of the dispute was never satisfactorily addressed by either party.,사기꾼,분쟁의 핵심에 있는 사기꾼은(는) 어느 쪽에 의해서도 만족스럽게 다뤄지지 않았다.,いかさま師,紛争の核心にあるいかさま師はどちらの当事者によっても満足に対処されなかった。,江湖骗子,争端核心的江湖骗子从未被任何一方令人满意地解决。,"charlatán, impostor",El charlatán en el núcleo de la disputa nunca fue atendido satisfactoriamente por ninguna de las partes.
chicanery,The chicanery uncovered during the audit raised questions about internal control effectiveness.,궤변,감사 과정에서 발견된 궤변이(가) 내부 통제 효과성에 대한 의문을 제기했다.,詭弁,監査中に発覚した詭弁が内部統制の有効性に疑問を投げかけた。,诡辩,审计中发现的诡辩引发了对内部控制有效性的质疑。,"chicana, engaño",Las chicanas descubiertas durante la auditoría plantearon interrogantes sobre la eficacia del control interno.
circumlocution,Resolving the circumlocution required collaboration between legal counsel and senior management.,우회적 표현,우회적 표현을(를) 해결하기 위해 법률 고문과 고위 경영진 간의 협력이 필요했다.,遠回しの表現,遠回しの表現の解決には法務顧問と上級管理職の協力が必要だった。,迂回说法,解决迂回说法需要法律顾问与高级管理层之间的协作。,"circunloquio, rodeo verbal",Resolver el circunloquio requirió la colaboración entre el asesor jurídico y la alta dirección.
clairvoyant,Senior directors viewed the clairvoyant proposal with cautious optimism during the board meeting.,투시력이 있는,고위 이사들은 이사회 회의에서 투시력이 있는 제안을 신중한 낙관주의로 바라보았다.,透視力のある,シニアディレクターは取締役会で透視力のあるな提案を慎重な楽観主義で見ていた。,有洞察力的,高级董事在董事会议上以谨慎乐观的态度看待有洞察力的提案。,"clarividente, perspicaz",Los directores senior consideraron la propuesta clarividente con cauto optimismo durante la reunión de la junta.
clemency,Seasoned executives recognized the clemency as an opportunity rather than a setback for growth.,관용,노련한 경영진은 관용을(를) 성장의 좌절이 아닌 기회로 인식했다.,寛大さ,経験豊富な幹部は寛大さを成長にとっての後退ではなく機会として認識した。,宽厚,经验丰富的高管将宽厚视为增长的机遇而非挫折。,"clemencia, indulgencia",Los ejecutivos experimentados reconocieron la clemencia como una oportunidad en lugar de un revés para el crecimiento.
coerce,Strategic planners aim to coerce competitive disadvantages through technology investment.,강제하다,전략 기획자들은 기술 투자를 통해 경쟁 열위를 강제하기로 목표한다.,強制する,戦略プランナーはテクノロジー投資を通じて競争上の不利を強制することを目指す。,强迫,战略规划者旨在通过技术投资强迫竞争劣势。,"coaccionar, obligar",Los planificadores estratégicos buscan coaccionar las desventajas competitivas mediante la inversión en tecnología.
cogent,Investors were impressed by the cogent strategy outlined in the annual report.,설득력 있는,투자자들은 연례 보고서에 서술된 설득력 있는 전략에 감명받았다.,説得力のある,投資家は年次報告書に概説された説得力のあるな戦略に感銘を受けた。,有说服力的,投资者对年度报告中概述的有说服力的战略印象深刻。,"convincente, persuasivo",Los inversores quedaron impresionados por la convincente estrategia descrita en el informe anual.
