epidemiology,"Epidemiology provides the scientific foundation for evidence-based public health interventions.",역학,"역학은 근거 기반 공중보건 개입의 과학적 토대를 제공한다.",疫学,疫学は根拠に基づく公衆衛生介入の科学的基盤を提供する。,流行病学,流行病学为循证公共卫生干预提供了科学基础。,epidemiología,La epidemiología proporciona la base científica para las intervenciones de salud pública basadas en evidencia.,dịch tễ học,Dịch tễ học cung cấp nền tảng khoa học cho các can thiệp y tế công cộng dựa trên bằng chứng.,ระบาดวิทยา,ระบาดวิทยาเป็นรากฐานทางวิทยาศาสตร์สำหรับการแทรกแซงด้านสาธารณสุขที่อิงหลักฐาน,epidemiologi,Epidemiologi menyediakan dasar ilmiah untuk intervensi kesehatan masyarakat berbasis bukti.
sentinel surveillance,"Sentinel surveillance systems provide early warning signals for emerging infectious disease threats.",감시 감시체계,"감시 감시체계는 신종 감염병 위협에 대한 조기 경보 신호를 제공한다.",センチネルサーベイランス,センチネルサーベイランスシステムは新興感染症の脅威に対する早期警告信号を提供する。,哨点监测,哨点监测系统为新发传染病威胁提供早期预警信号。,vigilancia centinela,Los sistemas de vigilancia centinela proporcionan señales de alerta temprana para amenazas de enfermedades infecciosas emergentes.,giám sát trọng điểm,Các hệ thống giám sát trọng điểm cung cấp tín hiệu cảnh báo sớm cho các mối đe dọa bệnh truyền nhiễm mới nổi.,การเฝ้าระวังแบบจุดเฝ้าระวัง,ระบบเฝ้าระวังแบบจุดเฝ้าระวังให้สัญญาณเตือนภัยล่วงหน้าสำหรับโรคติดเชื้ออุบัติใหม่,surveilans sentinel,Sistem surveilans sentinel memberikan sinyal peringatan dini untuk ancaman penyakit menular yang muncul.
case-fatality rate,"The case-fatality rate of Ebola virus disease can exceed fifty percent in some outbreaks.",치명률,"에볼라 바이러스 질환의 치명률은 일부 발병에서 50퍼센트를 초과할 수 있다.",致死率,エボラウイルス病の致死率は一部の流行で50パーセントを超えることがある。,病死率,埃博拉病毒病的病死率在某些疫情中可超过百分之五十。,tasa de letalidad,La tasa de letalidad de la enfermedad por el virus del Ébola puede superar el cincuenta por ciento en algunos brotes.,tỷ lệ tử vong ca bệnh,Tỷ lệ tử vong ca bệnh của bệnh virus Ebola có thể vượt quá năm mươi phần trăm trong một số đợt bùng phát.,อัตราป่วยตาย,อัตราป่วยตายของโรคไวรัสอีโบลาอาจเกินร้อยละห้าสิบในการระบาดบางครั้ง,angka fatalitas kasus,Angka fatalitas kasus penyakit virus Ebola dapat melebihi lima puluh persen dalam beberapa wabah.
quarantine,"International quarantine protocols were rapidly implemented to contain the cross-border transmission.",검역,"국경 간 전파를 억제하기 위해 국제 검역 프로토콜이 신속하게 시행되었다.",検疫,国境を越えた伝播を封じ込めるために国際検疫プロトコルが迅速に実施された。,隔离检疫,国际隔离检疫协议被迅速实施以遏制跨境传播。,cuarentena,Los protocolos de cuarentena internacionales se implementaron rápidamente para contener la transmisión transfronteriza.,cách ly kiểm dịch,Các quy trình cách ly kiểm dịch quốc tế đã được triển khai nhanh chóng để ngăn chặn sự lây truyền xuyên biên giới.,การกักกันโรค,มาตรการกักกันโรคระหว่างประเทศถูกนำมาใช้อย่างรวดเร็วเพื่อควบคุมการแพร่เชื้อข้ามพรมแดน,karantina,Protokol karantina internasional diterapkan dengan cepat untuk menahan penularan lintas batas.
epidemiological triad,"The epidemiological triad model examines the interaction among host and agent and environment.",역학적 삼각모형,"역학적 삼각모형은 숙주와 병원체와 환경 간의 상호작용을 검토한다.",疫学的三角形,疫学的三角形モデルは宿主と病原体と環境の相互作用を検討する。,流行病学三角,流行病学三角模型研究宿主与病原体与环境之间的相互作用。,tríada epidemiológica,El modelo de la tríada epidemiológica examina la interacción entre huésped y agente y ambiente.,tam giác dịch tễ,Mô hình tam giác dịch tễ nghiên cứu sự tương tác giữa vật chủ và tác nhân và môi trường.,สามเหลี่ยมระบาดวิทยา,แบบจำลองสามเหลี่ยมระบาดวิทยาตรวจสอบปฏิสัมพันธ์ระหว่างโฮสต์กับเชื้อโรคกับสิ่งแวดล้อม,triad epidemiologi,Model triad epidemiologi mengkaji interaksi antara pejamu dan agen dan lingkungan.
herd immunity,"Herd immunity thresholds vary considerably depending on the basic reproduction number of the pathogen.",집단면역,"집단면역 임계값은 병원체의 기본 재생산수에 따라 상당히 다르다.",集団免疫,集団免疫の閾値は病原体の基本再生産数によってかなり異なる。,群体免疫,群体免疫阈值因病原体的基本再生数不同而有很大差异。,inmunidad colectiva,Los umbrales de inmunidad colectiva varían considerablemente según el número básico de reproducción del patógeno.,miễn dịch cộng đồng,Ngưỡng miễn dịch cộng đồng thay đổi đáng kể tùy thuộc vào hệ số lây nhiễm cơ bản của mầm bệnh.,ภูมิคุ้มกันหมู่,เกณฑ์ภูมิคุ้มกันหมู่แตกต่างกันมากขึ้นอยู่กับจำนวนการแพร่พันธุ์พื้นฐานของเชื้อโรค,kekebalan kelompok,Ambang kekebalan kelompok sangat bervariasi tergantung pada angka reproduksi dasar patogen.
incubation period,"The prolonged incubation period of the virus complicated contact tracing efforts significantly.",잠복기,"바이러스의 긴 잠복기는 접촉자 추적 노력을 상당히 복잡하게 만들었다.",潜伏期間,ウイルスの長い潜伏期間は接触者追跡の取り組みを大幅に複雑にした。,潜伏期,该病毒较长的潜伏期大大增加了接触追踪工作的难度。,período de incubación,El prolongado período de incubación del virus complicó significativamente los esfuerzos de rastreo de contactos.,thời gian ủ bệnh,Thời gian ủ bệnh kéo dài của virus đã làm phức tạp đáng kể công tác truy vết tiếp xúc.,ระยะฟักตัว,ระยะฟักตัวที่ยาวนานของไวรัสทำให้การติดตามผู้สัมผัสมีความซับซ้อนอย่างมาก,masa inkubasi,Masa inkubasi virus yang berkepanjangan secara signifikan mempersulit upaya pelacakan kontak.
asymptomatic,"Asymptomatic carriers pose a unique challenge because they unknowingly transmit the disease.",무증상의,"무증상 보균자는 자신도 모르게 질병을 전파하기 때문에 특별한 도전을 제기한다.",無症状の,無症状の保菌者は知らないうちに病気を伝染させるため独特の課題をもたらす。,无症状的,无症状携带者构成了独特的挑战因为他们在不知情的情况下传播疾病。,asintomático,Los portadores asintomáticos plantean un desafío único porque transmiten la enfermedad sin saberlo.,không triệu chứng,Người mang mầm bệnh không triệu chứng gây ra thách thức đặc biệt vì họ vô tình lây truyền bệnh.,ไม่แสดงอาการ,ผู้ที่ไม่แสดงอาการเป็นความท้าทายพิเศษเพราะพวกเขาแพร่เชื้อโดยไม่รู้ตัว,asimtomatik,Pembawa asimtomatik menimbulkan tantangan unik karena mereka tanpa sadar menularkan penyakit.
superspreader,"A single superspreader event at the conference led to hundreds of secondary infections.",슈퍼전파자,"학회에서의 단일 슈퍼전파 사건이 수백 건의 2차 감염을 초래했다.",スーパースプレッダー,会議での一つのスーパースプレッダーイベントが数百の二次感染につながった。,超级传播者,会议上的一次超级传播事件导致了数百例继发感染。,supercontagiador,Un solo evento de supercontagio en la conferencia provocó cientos de infecciones secundarias.,siêu lây nhiễm,Một sự kiện siêu lây nhiễm duy nhất tại hội nghị đã dẫn đến hàng trăm ca lây nhiễm thứ phát.,ผู้แพร่เชื้อมาก,เหตุการณ์ผู้แพร่เชื้อมากเพียงครั้งเดียวในที่ประชุมนำไปสู่การติดเชื้อทุติยภูมิหลายร้อยราย,superspreader,Satu peristiwa superspreader di konferensi menyebabkan ratusan infeksi sekunder.
contact tracing,"Digital contact tracing applications raised significant concerns about privacy and civil liberties.",접촉자 추적,"디지털 접촉자 추적 애플리케이션은 개인정보 보호와 시민적 자유에 대한 중대한 우려를 제기했다.",接触者追跡,デジタル接触者追跡アプリケーションはプライバシーと市民的自由に関する重大な懸念を引き起こした。,接触追踪,数字接触追踪应用引发了关于隐私和公民自由的重大关切。,rastreo de contactos,Las aplicaciones digitales de rastreo de contactos generaron preocupaciones significativas sobre la privacidad y las libertades civiles.,truy vết tiếp xúc,Các ứng dụng truy vết tiếp xúc kỹ thuật số đã gây ra mối lo ngại đáng kể về quyền riêng tư và quyền tự do dân sự.,การติดตามผู้สัมผัส,แอปพลิเคชันติดตามผู้สัมผัสแบบดิจิทัลก่อให้เกิดความกังวลอย่างมากเกี่ยวกับความเป็นส่วนตัวและเสรีภาพพลเมือง,pelacakan kontak,Aplikasi pelacakan kontak digital menimbulkan kekhawatiran signifikan tentang privasi dan kebebasan sipil.
cryptographic,"Cryptographic protocols ensure the confidentiality and integrity of sensitive digital communications.",암호학적,"암호학적 프로토콜은 민감한 디지털 통신의 기밀성과 무결성을 보장한다.",暗号の,暗号プロトコルは機密性の高いデジタル通信の秘密性と完全性を保証する。,加密的,加密协议确保敏感数字通信的机密性和完整性。,criptográfico,Los protocolos criptográficos garantizan la confidencialidad e integridad de las comunicaciones digitales sensibles.,mật mã học,Các giao thức mật mã học đảm bảo tính bảo mật và toàn vẹn của các thông tin liên lạc kỹ thuật số nhạy cảm.,การเข้ารหัส,โปรโตคอลการเข้ารหัสรับประกันความลับและความสมบูรณ์ของการสื่อสารดิจิทัลที่ละเอียดอ่อน,kriptografi,Protokol kriptografi memastikan kerahasiaan dan integritas komunikasi digital yang sensitif.
ciphertext,"The ciphertext appeared as an unintelligible sequence of characters without the proper decryption key.",암호문,"암호문은 적절한 복호화 키 없이는 해독 불가능한 문자 시퀀스로 나타났다.",暗号文,暗号文は適切な復号鍵なしでは意味不明な文字列として表示された。,密文,没有正确的解密密钥密文显示为一串无法理解的字符序列。,texto cifrado,El texto cifrado aparecía como una secuencia ininteligible de caracteres sin la clave de descifrado adecuada.,bản mã,Bản mã xuất hiện dưới dạng một chuỗi ký tự không thể hiểu được nếu không có khóa giải mã thích hợp.,ข้อความเข้ารหัส,ข้อความเข้ารหัสปรากฏเป็นลำดับอักขระที่ไม่สามารถเข้าใจได้หากไม่มีกุญแจถอดรหัสที่ถูกต้อง,teks sandi,Teks sandi muncul sebagai urutan karakter yang tidak dapat dipahami tanpa kunci dekripsi yang tepat.
asymmetric encryption,"Asymmetric encryption uses a public key for encryption and a private key for decryption.",비대칭 암호화,"비대칭 암호화는 암호화에 공개 키를 사용하고 복호화에 개인 키를 사용한다.",非対称暗号化,非対称暗号化は暗号化に公開鍵を復号に秘密鍵を使用する。,非对称加密,非对称加密使用公钥进行加密使用私钥进行解密。,cifrado asimétrico,El cifrado asimétrico utiliza una clave pública para cifrar y una clave privada para descifrar.,mã hóa bất đối xứng,Mã hóa bất đối xứng sử dụng khóa công khai để mã hóa và khóa riêng tư để giải mã.,การเข้ารหัสแบบอสมมาตร,การเข้ารหัสแบบอสมมาตรใช้กุญแจสาธารณะสำหรับเข้ารหัสและกุญแจส่วนตัวสำหรับถอดรหัส,enkripsi asimetris,Enkripsi asimetris menggunakan kunci publik untuk enkripsi dan kunci privat untuk dekripsi.
plaintext,"The attacker gained access to the plaintext by exploiting a vulnerability in the key exchange protocol.",평문,"공격자는 키 교환 프로토콜의 취약점을 악용하여 평문에 접근했다.",平文,攻撃者は鍵交換プロトコルの脆弱性を悪用して平文にアクセスした。,明文,攻击者通过利用密钥交换协议中的漏洞获得了明文访问权限。,texto plano,El atacante obtuvo acceso al texto plano explotando una vulnerabilidad en el protocolo de intercambio de claves.,bản rõ,Kẻ tấn công đã truy cập được bản rõ bằng cách khai thác lỗ hổng trong giao thức trao đổi khóa.,ข้อความธรรมดา,ผู้โจมตีเข้าถึงข้อความธรรมดาโดยใช้ประโยชน์จากช่องโหว่ในโปรโตคอลแลกเปลี่ยนกุญแจ,teks terang,Penyerang mendapatkan akses ke teks terang dengan mengeksploitasi kerentanan dalam protokol pertukaran kunci.
steganography,"Steganography conceals secret messages within ordinary images or audio files to avoid detection.",스테가노그래피,"스테가노그래피는 탐지를 피하기 위해 일반 이미지나 오디오 파일 안에 비밀 메시지를 숨긴다.",ステガノグラフィー,ステガノグラフィーは検出を避けるために通常の画像や音声ファイル内に秘密のメッセージを隠す。,隐写术,隐写术将秘密信息隐藏在普通图像或音频文件中以避免被检测。,esteganografía,La esteganografía oculta mensajes secretos dentro de imágenes o archivos de audio ordinarios para evitar la detección.,kỹ thuật giấu tin,Kỹ thuật giấu tin che giấu các thông điệp bí mật trong các tệp hình ảnh hoặc âm thanh thông thường để tránh bị phát hiện.,การซ่อนข้อมูล,การซ่อนข้อมูลปกปิดข้อความลับภายในภาพหรือไฟล์เสียงธรรมดาเพื่อหลีกเลี่ยงการตรวจจับ,steganografi,Steganografi menyembunyikan pesan rahasia dalam gambar atau file audio biasa untuk menghindari deteksi.
cryptanalysis,"Modern cryptanalysis employs sophisticated mathematical techniques to identify weaknesses in encryption algorithms.",암호 해독,"현대 암호 해독은 암호화 알고리즘의 약점을 식별하기 위해 정교한 수학적 기법을 사용한다.",暗号解析,現代の暗号解析は暗号化アルゴリズムの弱点を特定するために高度な数学的技法を用いる。,密码分析,现代密码分析采用复杂的数学技术来识别加密算法中的弱点。,criptoanálisis,El criptoanálisis moderno emplea técnicas matemáticas sofisticadas para identificar debilidades en los algoritmos de cifrado.,phân tích mật mã,Phân tích mật mã hiện đại sử dụng các kỹ thuật toán học tinh vi để xác định điểm yếu trong các thuật toán mã hóa.,การวิเคราะห์รหัส,การวิเคราะห์รหัสสมัยใหม่ใช้เทคนิคทางคณิตศาสตร์ที่ซับซ้อนเพื่อระบุจุดอ่อนในอัลกอริทึมการเข้ารหัส,kriptanalisis,Kriptanalisis modern menggunakan teknik matematika canggih untuk mengidentifikasi kelemahan dalam algoritma enkripsi.
hash function,"A cryptographic hash function maps input data of arbitrary size to a fixed-length output.",해시 함수,"암호학적 해시 함수는 임의 크기의 입력 데이터를 고정 길이 출력으로 매핑한다.",ハッシュ関数,暗号ハッシュ関数は任意のサイズの入力データを固定長の出力にマッピングする。,哈希函数,加密哈希函数将任意大小的输入数据映射为固定长度的输出。,función hash,Una función hash criptográfica mapea datos de entrada de tamaño arbitrario a una salida de longitud fija.,hàm băm,Hàm băm mật mã ánh xạ dữ liệu đầu vào có kích thước tùy ý thành đầu ra có độ dài cố định.,ฟังก์ชันแฮช,ฟังก์ชันแฮชเข้ารหัสจับคู่ข้อมูลนำเข้าขนาดใดก็ได้กับผลลัพธ์ที่มีความยาวคงที่,fungsi hash,Fungsi hash kriptografi memetakan data masukan dengan ukuran sembarang ke keluaran dengan panjang tetap.
digital signature,"A digital signature verifies both the authenticity of the sender and the integrity of the message.",디지털 서명,"디지털 서명은 발신자의 진위성과 메시지의 무결성을 모두 검증한다.",デジタル署名,デジタル署名は送信者の真正性とメッセージの完全性の両方を検証する。,数字签名,数字签名验证发送者的真实性和消息的完整性。,firma digital,Una firma digital verifica tanto la autenticidad del remitente como la integridad del mensaje.,chữ ký số,Chữ ký số xác minh cả tính xác thực của người gửi và tính toàn vẹn của thông điệp.,ลายเซ็นดิจิทัล,ลายเซ็นดิจิทัลตรวจสอบทั้งความถูกต้องของผู้ส่งและความสมบูรณ์ของข้อความ,tanda tangan digital,Tanda tangan digital memverifikasi keaslian pengirim dan integritas pesan.
entropy,"High entropy in a cryptographic key ensures resistance against brute-force attacks.",엔트로피,"암호화 키의 높은 엔트로피는 무차별 대입 공격에 대한 저항성을 보장한다.",エントロピー,暗号鍵の高いエントロピーはブルートフォース攻撃に対する耐性を保証する。,熵,加密密钥的高熵确保了对暴力攻击的抵抗力。,entropía,La alta entropía en una clave criptográfica asegura la resistencia contra ataques de fuerza bruta.,entropy,Entropy cao trong khóa mật mã đảm bảo khả năng chống lại các cuộc tấn công vét cạn.,เอนโทรปี,เอนโทรปีสูงในกุญแจเข้ารหัสรับประกันความต้านทานต่อการโจมตีแบบบรูทฟอร์ซ,entropi,Entropi tinggi dalam kunci kriptografi memastikan ketahanan terhadap serangan brute-force.
obfuscation,"Code obfuscation makes reverse engineering of proprietary software considerably more difficult.",난독화,"코드 난독화는 독점 소프트웨어의 역공학을 상당히 더 어렵게 만든다.",難読化,コードの難読化はプロプライエタリソフトウェアのリバースエンジニアリングを大幅に困難にする。,混淆,代码混淆使专有软件的逆向工程变得更加困难。,ofuscación,La ofuscación de código hace que la ingeniería inversa del software propietario sea considerablemente más difícil.,làm rối mã,Làm rối mã khiến việc dịch ngược phần mềm độc quyền trở nên khó khăn hơn đáng kể.,การทำให้สับสน,การทำให้โค้ดสับสนทำให้การวิศวกรรมย้อนกลับซอฟต์แวร์เชิงพาณิชย์ยากขึ้นอย่างมาก,obfuskasi,Obfuskasi kode membuat rekayasa balik perangkat lunak proprietary jauh lebih sulit.
nonce,"Each transaction requires a unique nonce to prevent replay attacks on the authentication system.",논스,"각 트랜잭션은 인증 시스템에 대한 재전송 공격을 방지하기 위해 고유한 논스를 필요로 한다.",ナンス,各トランザクションは認証システムへのリプレイ攻撃を防ぐために一意のナンスを必要とする。,随机数,每个事务都需要一个唯一的随机数来防止对身份验证系统的重放攻击。,nonce,Cada transacción requiere un nonce único para prevenir ataques de repetición en el sistema de autenticación.,số dùng một lần,Mỗi giao dịch yêu cầu một số dùng một lần duy nhất để ngăn chặn các cuộc tấn công phát lại trên hệ thống xác thực.,ค่าที่ใช้ครั้งเดียว,แต่ละธุรกรรมต้องใช้ค่าที่ใช้ครั้งเดียวที่ไม่ซ้ำกันเพื่อป้องกันการโจมตีแบบเล่นซ้ำ,nonce,Setiap transaksi memerlukan nonce unik untuk mencegah serangan replay pada sistem autentikasi.
key escrow,"Key escrow systems remain controversial because they create potential backdoors for government surveillance.",키 에스크로,"키 에스크로 시스템은 정부 감시를 위한 잠재적 백도어를 만들기 때문에 여전히 논란이 되고 있다.",鍵エスクロー,鍵エスクローシステムは政府の監視のための潜在的なバックドアを作るため依然として物議を醸している。,密钥托管,密钥托管系统仍然存在争议因为它们为政府监控创造了潜在的后门。,depósito de claves,Los sistemas de depósito de claves siguen siendo controvertidos porque crean posibles puertas traseras para la vigilancia gubernamental.,ký quỹ khóa,Các hệ thống ký quỹ khóa vẫn gây tranh cãi vì chúng tạo ra các cửa hậu tiềm tàng cho hoạt động giám sát của chính phủ.,การฝากกุญแจ,ระบบฝากกุญแจยังคงเป็นที่ถกเถียงเพราะสร้างช่องทางลับที่อาจเกิดขึ้นสำหรับการเฝ้าระวังของรัฐบาล,escrow kunci,Sistem escrow kunci tetap kontroversial karena menciptakan potensi pintu belakang untuk pengawasan pemerintah.
