regression,The regression analysis revealed a strong linear relationship between income and education level.,회귀,회귀 분석 결과 소득과 교육 수준 사이에 강한 선형 관계가 나타났다.,回帰,回帰分析により、所得と教育水準の間に強い線形関係があることが明らかになった。,回归,回归分析揭示了收入与教育水平之间存在强烈的线性关系。,regresión,El análisis de regresión reveló una fuerte relación lineal entre el ingreso y el nivel educativo.,hồi quy,Phân tích hồi quy cho thấy mối quan hệ tuyến tính mạnh giữa thu nhập và trình độ học vấn.,การถดถอย,การวิเคราะห์การถดถอยเผยให้เห็นความสัมพันธ์เชิงเส้นที่แข็งแกร่งระหว่างรายได้กับระดับการศึกษา,regresi,Analisis regresi mengungkapkan hubungan linier yang kuat antara pendapatan dan tingkat pendidikan.
coefficient,The correlation coefficient of 0.95 indicated an almost perfectly linear relationship between the two variables.,계수,0.95의 상관 계수는 두 변수 사이에 거의 완벽한 선형 관계가 있음을 나타냈다.,係数,0.95の相関係数は、二つの変数の間にほぼ完全な線形関係があることを示していた。,系数,0.95的相关系数表明两个变量之间存在几乎完美的线性关系。,coeficiente,El coeficiente de correlación de 0.95 indicó una relación casi perfectamente lineal entre las dos variables.,hệ số,Hệ số tương quan 0.95 cho thấy mối quan hệ tuyến tính gần như hoàn hảo giữa hai biến.,สัมประสิทธิ์,สัมประสิทธิ์สหสัมพันธ์ 0.95 บ่งชี้ความสัมพันธ์เชิงเส้นที่เกือบสมบูรณ์แบบระหว่างตัวแปรทั้งสอง,koefisien,Koefisien korelasi 0.95 menunjukkan hubungan linier yang hampir sempurna antara kedua variabel.
algorithm,The sorting algorithm achieved optimal time complexity by leveraging a divide-and-conquer strategy.,알고리즘,해당 정렬 알고리즘은 분할 정복 전략을 활용하여 최적의 시간 복잡도를 달성했다.,アルゴリズム,そのソートアルゴリズムは分割統治法を活用して最適な時間計算量を達成した。,算法,该排序算法通过利用分治策略实现了最优时间复杂度。,algoritmo,El algoritmo de ordenación logró una complejidad temporal óptima al aprovechar una estrategia de divide y vencerás.,thuật toán,Thuật toán sắp xếp đạt được độ phức tạp thời gian tối ưu bằng cách tận dụng chiến lược chia để trị.,อัลกอริทึม,อัลกอริทึมการเรียงลำดับบรรลุความซับซ้อนเวลาที่เหมาะสมโดยใช้กลยุทธ์แบ่งแล้วเอาชนะ,algoritma,Algoritma pengurutan mencapai kompleksitas waktu optimal dengan memanfaatkan strategi bagi dan taklukkan.
asymptote,As the function approaches infinity the curve draws ever closer to the horizontal asymptote without ever touching it.,점근선,함수가 무한대에 가까워질수록 곡선은 수평 점근선에 점점 가까워지지만 결코 닿지 않는다.,漸近線,関数が無限大に近づくにつれて曲線は水平漸近線にますます近づくが決して接触しない。,渐近线,当函数趋向无穷大时，曲线越来越接近水平渐近线但永远不会碰到它。,asíntota,A medida que la función se aproxima al infinito la curva se acerca cada vez más a la asíntota horizontal sin llegar a tocarla.,tiệm cận,Khi hàm số tiến đến vô cực đường cong ngày càng tiến gần đường tiệm cận ngang mà không bao giờ chạm vào nó.,เส้นกำกับ,เมื่อฟังก์ชันเข้าใกล้อนันต์ เส้นโค้งจะเข้าใกล้เส้นกำกับแนวนอนมากขึ้นเรื่อย ๆ โดยไม่เคยสัมผัส,asimtot,Saat fungsi mendekati tak terhingga kurva semakin mendekati asimtot horizontal tanpa pernah menyentuhnya.
interpolation,Scientists used interpolation to estimate missing temperature readings between the two monitoring stations.,보간법,과학자들은 두 관측소 사이의 누락된 온도 측정값을 추정하기 위해 보간법을 사용했다.,補間,科学者たちは二つの観測所の間の欠落した温度データを推定するために補間法を用いた。,插值,科学家使用插值法来估算两个监测站之间缺失的温度读数。,interpolación,Los científicos utilizaron la interpolación para estimar las lecturas de temperatura faltantes entre las dos estaciones de monitoreo.,nội suy,Các nhà khoa học đã sử dụng phương pháp nội suy để ước tính các số đọc nhiệt độ bị thiếu giữa hai trạm quan trắc.,การประมาณค่าในช่วง,นักวิทยาศาสตร์ใช้การประมาณค่าในช่วงเพื่อประมาณค่าอุณหภูมิที่ขาดหายไประหว่างสองสถานีตรวจวัด,interpolasi,Para ilmuwan menggunakan interpolasi untuk memperkirakan pembacaan suhu yang hilang di antara kedua stasiun pemantauan.
permutation,The total number of permutations of eight distinct objects is calculated as eight factorial.,순열,8개의 서로 다른 객체의 순열 총 수는 8의 계승으로 계산된다.,順列,8つの異なる対象の順列の総数は8の階乗として計算される。,排列,八个不同对象的排列总数计算为八的阶乘。,permutación,El número total de permutaciones de ocho objetos distintos se calcula como ocho factorial.,hoán vị,Tổng số hoán vị của tám đối tượng phân biệt được tính bằng giai thừa của tám.,การเรียงสับเปลี่ยน,จำนวนการเรียงสับเปลี่ยนทั้งหมดของวัตถุที่แตกต่างกันแปดชิ้นคำนวณเป็นแปดแฟกทอเรียล,permutasi,Jumlah total permutasi dari delapan objek yang berbeda dihitung sebagai delapan faktorial.
extrapolation,Extrapolation beyond the observed data range carries inherent risks of inaccuracy.,외삽법,관측된 데이터 범위를 벗어난 외삽은 본질적으로 부정확성의 위험을 내포한다.,外挿,観測されたデータ範囲を超えた外挿には、不正確さの固有のリスクが伴う。,外推,超出观测数据范围的外推本身就存在不准确的风险。,extrapolación,La extrapolación más allá del rango de datos observados conlleva riesgos inherentes de inexactitud.,ngoại suy,Ngoại suy vượt ra ngoài phạm vi dữ liệu quan sát được mang theo rủi ro sai lệch vốn có.,การประมาณค่านอกช่วง,การประมาณค่านอกช่วงข้อมูลที่สังเกตได้มีความเสี่ยงโดยธรรมชาติต่อความไม่แม่นยำ,ekstrapolasi,Ekstrapolasi di luar rentang data yang diamati membawa risiko ketidakakuratan yang melekat.
matrix,By multiplying the inverse matrix with the original one obtains the identity matrix.,행렬,역행렬을 원래 행렬에 곱하면 단위 행렬을 얻는다.,行列,逆行列を元の行列に掛けると単位行列が得られる。,矩阵,将逆矩阵与原矩阵相乘即可得到单位矩阵。,matriz,Al multiplicar la matriz inversa por la original se obtiene la matriz identidad.,ma trận,Khi nhân ma trận nghịch đảo với ma trận ban đầu ta thu được ma trận đơn vị.,เมทริกซ์,เมื่อคูณเมทริกซ์ผกผันกับเมทริกซ์ต้นฉบับจะได้เมทริกซ์เอกลักษณ์,matriks,Dengan mengalikan matriks invers dengan matriks aslinya diperoleh matriks identitas.
scalar,A scalar quantity such as temperature has magnitude but no direction.,스칼라,온도와 같은 스칼라 양은 크기만 있고 방향은 없다.,スカラー,温度のようなスカラー量は大きさはあるが方向はない。,标量,温度等标量只有大小没有方向。,escalar,Una cantidad escalar como la temperatura tiene magnitud pero no dirección.,vô hướng,Đại lượng vô hướng như nhiệt độ có độ lớn nhưng không có hướng.,สเกลาร์,ปริมาณสเกลาร์เช่นอุณหภูมิมีขนาดแต่ไม่มีทิศทาง,skalar,Besaran skalar seperti suhu memiliki besaran tetapi tidak memiliki arah.
vector,In physics a vector represents both the magnitude and direction of a force.,벡터,물리학에서 벡터는 힘의 크기와 방향을 모두 나타낸다.,ベクトル,物理学ではベクトルは力の大きさと方向の両方を表す。,向量,在物理学中向量同时表示力的大小和方向。,vector,En física un vector representa tanto la magnitud como la dirección de una fuerza.,vectơ,Trong vật lý vectơ biểu diễn cả độ lớn và hướng của một lực.,เวกเตอร์,ในฟิสิกส์ เวกเตอร์แสดงถึงทั้งขนาดและทิศทางของแรง,vektor,Dalam fisika vektor merepresentasikan besaran dan arah suatu gaya.
stochastic,The stochastic model accounts for random fluctuations that deterministic models fail to capture.,확률적인,확률적 모형은 결정론적 모형이 포착하지 못하는 무작위 변동을 설명한다.,確率的な,確率的モデルは決定論的モデルでは捉えられないランダムな変動を考慮する。,随机的,随机模型考虑了确定性模型无法捕捉的随机波动。,estocástico,El modelo estocástico tiene en cuenta las fluctuaciones aleatorias que los modelos deterministas no logran captar.,ngẫu nhiên,Mô hình ngẫu nhiên giải thích các dao động ngẫu nhiên mà các mô hình tất định không nắm bắt được.,สุ่ม; สโตแคสติก,แบบจำลองสโตแคสติกอธิบายความผันผวนแบบสุ่มที่แบบจำลองเชิงกำหนดไม่สามารถจับได้,stokastik,Model stokastik memperhitungkan fluktuasi acak yang tidak dapat ditangkap oleh model deterministik.
hypothesis,The null hypothesis assumes no statistically significant difference between the control and experimental groups.,가설,귀무가설은 통제 집단과 실험 집단 사이에 통계적으로 유의미한 차이가 없다고 가정한다.,仮説,帰無仮説は対照群と実験群の間に統計的に有意な差がないと仮定する。,假设,零假设假定对照组和实验组之间不存在统计学上的显著差异。,hipótesis,La hipótesis nula asume que no hay diferencia estadísticamente significativa entre los grupos de control y experimental.,giả thuyết,Giả thuyết không cho rằng không có sự khác biệt có ý nghĩa thống kê giữa nhóm đối chứng và nhóm thực nghiệm.,สมมติฐาน,สมมติฐานว่างสันนิษฐานว่าไม่มีความแตกต่างที่มีนัยสำคัญทางสถิติระหว่างกลุ่มควบคุมและกลุ่มทดลอง,hipotesis,Hipotesis nol mengasumsikan tidak ada perbedaan signifikan secara statistik antara kelompok kontrol dan eksperimen.
denominator,When adding fractions with different denominators one must first find a common denominator.,분모,다른 분모를 가진 분수를 더할 때 먼저 공통 분모를 찾아야 한다.,分母,異なる分母の分数を足すときはまず共通分母を見つけなければならない。,分母,当加不同分母的分数时必须先找到公分母。,denominador,Al sumar fracciones con diferentes denominadores primero hay que encontrar un denominador común.,mẫu số,Khi cộng các phân số có mẫu số khác nhau trước tiên phải tìm mẫu số chung.,ตัวส่วน,เมื่อบวกเศษส่วนที่มีตัวส่วนต่างกันต้องหาตัวส่วนร่วมก่อน,penyebut,Saat menjumlahkan pecahan dengan penyebut berbeda harus terlebih dahulu mencari penyebut yang sama.
numerator,Increasing the numerator while keeping the denominator constant makes the fraction larger.,분자,분모를 일정하게 유지하면서 분자를 늘리면 분수가 커진다.,分子,分母を一定に保ちながら分子を増やすと分数は大きくなる。,分子,在分母不变的情况下增大分子会使分数变大。,numerador,Aumentar el numerador mientras se mantiene el denominador constante hace la fracción más grande.,tử số,Tăng tử số trong khi giữ mẫu số không đổi sẽ làm phân số lớn hơn.,ตัวเศษ,การเพิ่มตัวเศษในขณะที่ตัวส่วนคงที่ทำให้เศษส่วนมีค่ามากขึ้น,pembilang,Meningkatkan pembilang sambil mempertahankan penyebut tetap membuat pecahan menjadi lebih besar.
axiom,Euclid's fifth axiom regarding parallel lines remained contentious for centuries.,공리,평행선에 관한 유클리드의 다섯 번째 공리는 수세기 동안 논쟁의 대상이었다.,公理,平行線に関するユークリッドの第五公理は何世紀にもわたり論争の的であった。,公理,欧几里得关于平行线的第五公理在几个世纪以来一直存在争议。,axioma,El quinto axioma de Euclides sobre las líneas paralelas siguió siendo polémico durante siglos.,tiên đề,Tiên đề thứ năm của Euclid về đường thẳng song song vẫn gây tranh cãi trong nhiều thế kỷ.,สัจพจน์,สัจพจน์ข้อที่ห้าของยูคลิดเกี่ยวกับเส้นขนานยังคงเป็นที่ถกเถียงมาหลายศตวรรษ,aksioma,Aksioma kelima Euklides mengenai garis sejajar tetap kontroversial selama berabad-abad.
polynomial,A quadratic equation is a polynomial of degree two with at most two real roots.,다항식,이차방정식은 최대 두 개의 실수 근을 가지는 2차 다항식이다.,多項式,二次方程式は最大二つの実数根を持つ次数2の多項式である。,多项式,二次方程是一个最多有两个实数根的二次多项式。,polinomio,Una ecuación cuadrática es un polinomio de grado dos con a lo sumo dos raíces reales.,đa thức,Phương trình bậc hai là một đa thức bậc hai có tối đa hai nghiệm thực.,พหุนาม,สมการกำลังสองเป็นพหุนามดีกรีสองที่มีรากจริงได้มากที่สุดสองราก,polinomial,Persamaan kuadrat adalah polinomial berderajat dua dengan paling banyak dua akar nyata.
derivative,The derivative of a function at a given point represents the instantaneous rate of change.,도함수; 미분,주어진 점에서 함수의 도함수는 순간 변화율을 나타낸다.,導関数,ある点における関数の導関数は瞬間的な変化率を表す。,导数,函数在某一点的导数表示瞬时变化率。,derivada,La derivada de una función en un punto dado representa la tasa de cambio instantánea.,đạo hàm,Đạo hàm của một hàm số tại một điểm cho trước biểu diễn tốc độ thay đổi tức thời.,อนุพันธ์,อนุพันธ์ของฟังก์ชันที่จุดที่กำหนดแสดงถึงอัตราการเปลี่ยนแปลงในขณะหนึ่ง,turunan,Turunan suatu fungsi pada titik tertentu merepresentasikan laju perubahan sesaat.
tangent,The tangent line touches the curve at exactly one point and shares the same slope there.,접선,접선은 곡선과 정확히 한 점에서 만나며 그 점에서 같은 기울기를 공유한다.,接線,接線は曲線とちょうど一点で接し、その点で同じ傾きを共有する。,切线,切线在恰好一点处触及曲线并在该点具有相同的斜率。,tangente,La línea tangente toca la curva en exactamente un punto y comparte la misma pendiente allí.,tiếp tuyến,Đường tiếp tuyến chạm vào đường cong tại đúng một điểm và có cùng độ dốc tại đó.,เส้นสัมผัส,เส้นสัมผัสแตะเส้นโค้งที่จุดเดียวเท่านั้นและมีความชันเท่ากันที่จุดนั้น,garis singgung,Garis singgung menyentuh kurva tepat di satu titik dan memiliki kemiringan yang sama di sana.
parameter,Adjusting the model parameters significantly improved the accuracy of the predictions.,매개변수,모형의 매개변수를 조정하자 예측 정확도가 크게 향상되었다.,パラメータ,モデルのパラメータを調整することで予測の精度が大幅に向上した。,参数,调整模型参数显著提高了预测的准确性。,parámetro,Ajustar los parámetros del modelo mejoró significativamente la precisión de las predicciones.,tham số,Việc điều chỉnh các tham số mô hình đã cải thiện đáng kể độ chính xác của các dự đoán.,พารามิเตอร์,การปรับพารามิเตอร์ของแบบจำลองช่วยเพิ่มความแม่นยำของการคาดการณ์อย่างมีนัยสำคัญ,parameter,Penyesuaian parameter model secara signifikan meningkatkan akurasi prediksi.
conjecture,Goldbach's conjecture has been verified computationally for extremely large numbers yet remains formally unproven.,추측,골드바흐의 추측은 매우 큰 수에 대해 전산으로 검증되었지만 아직 공식적으로 증명되지 않았다.,予想,ゴールドバッハの予想は非常に大きな数について計算的に検証されているが正式には未証明のままである。,猜想,哥德巴赫猜想已通过计算对极大数进行了验证但仍未得到正式证明。,conjetura,La conjetura de Goldbach ha sido verificada computacionalmente para números extremadamente grandes pero sigue sin demostrarse formalmente.,phỏng đoán,Phỏng đoán Goldbach đã được kiểm chứng bằng tính toán cho các số cực lớn nhưng vẫn chưa được chứng minh chính thức.,ข้อคาดการณ์,ข้อคาดการณ์ของโกลด์บาคได้รับการตรวจสอบด้วยคอมพิวเตอร์สำหรับจำนวนที่ใหญ่มากแต่ยังไม่ได้รับการพิสูจน์อย่างเป็นทางการ,konjektur,Konjektur Goldbach telah diverifikasi secara komputasional untuk bilangan yang sangat besar namun tetap belum terbukti secara formal.
entropy,In information theory entropy quantifies the average amount of uncertainty in a set of possible outcomes.,엔트로피,정보 이론에서 엔트로피는 가능한 결과 집합의 평균 불확실성 양을 정량화한다.,エントロピー,情報理論においてエントロピーは起こり得る結果の集合における平均的な不確実性の量を定量化する。,熵,在信息论中熵量化了一组可能结果中平均不确定性的大小。,entropía,En la teoría de la información la entropía cuantifica la cantidad promedio de incertidumbre en un conjunto de resultados posibles.,entropy,Trong lý thuyết thông tin entropy định lượng lượng bất định trung bình trong một tập hợp các kết quả có thể xảy ra.,เอนโทรปี,ในทฤษฎีสารสนเทศ เอนโทรปีวัดปริมาณความไม่แน่นอนเฉลี่ยในชุดของผลลัพธ์ที่เป็นไปได้,entropi,Dalam teori informasi entropi mengukur jumlah rata-rata ketidakpastian dalam sekumpulan kemungkinan hasil.
nebula,The Orion Nebula is a stellar nursery where new stars are continuously being born from clouds of gas and dust.,성운,오리온 성운은 가스와 먼지 구름에서 새로운 별이 끊임없이 탄생하는 항성 요람이다.,星雲,オリオン星雲はガスと塵の雲から新しい星が絶えず誕生している恒星の揺りかごである。,星云,猎户座星云是一个恒星摇篮，新的恒星不断从气体和尘埃云中诞生。,nebulosa,La Nebulosa de Orión es una guardería estelar donde nuevas estrellas nacen continuamente a partir de nubes de gas y polvo.,tinh vân,Tinh vân Orion là một vườn ươm sao nơi các ngôi sao mới liên tục được sinh ra từ những đám mây khí và bụi.,เนบิวลา,เนบิวลานายพรานเป็นแหล่งกำเนิดดาวที่ดาวใหม่ถือกำเนิดอย่างต่อเนื่องจากเมฆก๊าซและฝุ่น,nebula,Nebula Orion adalah tempat kelahiran bintang di mana bintang-bintang baru terus-menerus terlahir dari awan gas dan debu.
quasar,Quasars are among the most luminous objects in the universe powered by supermassive black holes at galactic centres.,퀘이사,퀘이사는 은하 중심의 초대질량 블랙홀에 의해 작동하는 우주에서 가장 밝은 천체 중 하나이다.,クエーサー,クエーサーは銀河中心の超大質量ブラックホールによって駆動される宇宙で最も明るい天体の一つである。,类星体,类星体是宇宙中最明亮的天体之一由星系中心的超大质量黑洞提供能量。,cuásar,Los cuásares se encuentran entre los objetos más luminosos del universo alimentados por agujeros negros supermasivos en los centros galácticos.,chuẩn tinh,Chuẩn tinh là một trong những thiên thể sáng nhất trong vũ trụ được cung cấp năng lượng bởi các hố đen siêu lớn tại trung tâm thiên hà.,เควซาร์,เควซาร์เป็นหนึ่งในวัตถุที่สว่างที่สุดในจักรวาล ขับเคลื่อนโดยหลุมดำมวลยิ่งยวดที่ใจกลางกาแล็กซี,kuasar,Kuasar termasuk objek paling terang di alam semesta yang ditenagai oleh lubang hitam supermasif di pusat galaksi.
supernova,The supernova explosion scattered heavy elements across vast regions of interstellar space.,초신성,초신성 폭발은 무거운 원소들을 성간 우주의 광대한 영역으로 흩뿌렸다.,超新星,超新星爆発は重い元素を星間空間の広大な領域にまき散らした。,超新星,超新星爆发将重元素散布到广阔的星际空间区域。,supernova,La explosión de la supernova dispersó elementos pesados por vastas regiones del espacio interestelar.,siêu tân tinh,Vụ nổ siêu tân tinh phát tán các nguyên tố nặng khắp các vùng rộng lớn của không gian giữa các vì sao.,ซูเปอร์โนวา,การระเบิดของซูเปอร์โนวากระจายธาตุหนักไปทั่วบริเวณกว้างใหญ่ของอวกาศระหว่างดาว,supernova,Ledakan supernova menyebarkan unsur-unsur berat ke wilayah luas ruang antarbintang.
constellation,Ancient mariners relied on constellations to navigate the open seas long before the invention of the compass.,별자리,고대 항해사들은 나침반이 발명되기 훨씬 전부터 별자리에 의지하여 공해를 항해했다.,星座,古代の航海者たちは羅針盤が発明されるはるか以前から星座を頼りに外洋を航行していた。,星座,古代水手在指南针发明之前很久就依靠星座在公海上航行。,constelación,Los marineros antiguos confiaban en las constelaciones para navegar en alta mar mucho antes de la invención de la brújula.,chòm sao,Các thủy thủ cổ đại dựa vào các chòm sao để định hướng trên biển khơi từ rất lâu trước khi la bàn được phát minh.,กลุ่มดาว,นักเดินเรือโบราณพึ่งพากลุ่มดาวเพื่อนำทางในทะเลเปิดนานก่อนการประดิษฐ์เข็มทิศ,rasi bintang,Pelaut kuno mengandalkan rasi bintang untuk bernavigasi di laut lepas jauh sebelum penemuan kompas.
