english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
apply,Several qualified candidates applied for the management position.,신청하다; 적용하다,여러 명의 자격을 갖춘 후보자가 관리직에 지원했다.,応募する; 適用する,複数の有資格者がその管理職に応募した。,申请; 应用,多位合格候选人申请了该管理职位。,solicitar; aplicar,Varios candidatos calificados solicitaron el puesto de gerencia.,nộp đơn; áp dụng,Nhiều ứng viên đủ điều kiện đã nộp đơn vào vị trí quản lý.,สมัคร; นำไปใช้,ผู้สมัครที่มีคุณสมบัติหลายคนสมัครตำแหน่งผู้จัดการ,melamar; menerapkan,Beberapa kandidat berkualifikasi melamar posisi manajer.
appoint,The board decided to appoint a new chief financial officer.,임명하다,이사회는 새로운 최고재무책임자를 임명하기로 결정했다.,任命する,取締役会は新しい最高財務責任者を任命することを決めた。,任命,董事会决定任命一位新的首席财务官。,nombrar; designar,La junta decidió nombrar a un nuevo director financiero.,bổ nhiệm; chỉ định,Hội đồng quyết định bổ nhiệm giám đốc tài chính mới.,แต่งตั้ง,คณะกรรมการตัดสินใจแต่งตั้งประธานเจ้าหน้าที่การเงินคนใหม่,menunjuk; mengangkat,Dewan memutuskan untuk menunjuk direktur keuangan baru.
appointment,I have an appointment with the client at two o'clock.,약속; 예약,2시에 고객과 약속이 있다.,予約; 任命,2時にクライアントとの約束がある。,预约; 任命,我两点钟与客户有一个预约。,cita; nombramiento,Tengo una cita con el cliente a las dos en punto.,cuộc hẹn; sự bổ nhiệm,Tôi có cuộc hẹn với khách hàng lúc hai giờ.,การนัดหมาย,ฉันมีนัดกับลูกค้าตอนบ่ายสองโมง,janji temu; penunjukan,Saya ada janji temu dengan klien pukul dua.
appraisal,The annual performance appraisal determines employee bonus amounts.,평가,연간 업적 평가가 직원 보너스 금액을 결정한다.,評価,年次業績評価が従業員のボーナス額を決定する。,评估,年度绩效考核决定员工奖金数额。,evaluación; valoración,La evaluación anual de desempeño determina los montos de bonificación de los empleados.,sự đánh giá; thẩm định,Đánh giá hiệu suất hàng năm quyết định mức thưởng của nhân viên.,การประเมิน; การประเมินผล,การประเมินผลงานประจำปีเป็นตัวกำหนดจำนวนโบนัสของพนักงาน,penilaian; evaluasi,Penilaian kinerja tahunan menentukan jumlah bonus karyawan.
appreciate,We appreciate your continued support and loyalty to our brand.,감사하다; 높이 평가하다,저희 브랜드에 대한 지속적인 지지와 충성에 감사드립니다.,感謝する,弊社ブランドへの継続的なご支援とご愛顧に感謝いたします。,感谢; 赞赏,我们感谢您对我们品牌的持续支持和忠诚。,agradecer; apreciar,Apreciamos su apoyo continuo y lealtad a nuestra marca.,đánh giá cao; trân trọng,Chúng tôi trân trọng sự ủng hộ và trung thành liên tục của bạn.,ขอบคุณ; ซาบซึ้ง,เราซาบซึ้งในการสนับสนุนและความภักดีที่มีต่อแบรนด์ของเราอย่างต่อเนื่อง,menghargai; mengapresiasi,Kami menghargai dukungan dan kesetiaan Anda yang berkelanjutan terhadap merek kami.
approach,The manager proposed a new approach to handling customer complaints.,접근하다; 접근법,매니저는 고객 불만 처리에 대한 새로운 접근법을 제안했다.,アプローチする,マネージャーは顧客クレーム対応の新しいアプローチを提案した。,接近; 方法,经理提出了处理客户投诉的新方法。,acercarse; enfoque,El gerente propuso un nuevo enfoque para manejar las quejas de clientes.,cách tiếp cận; phương pháp,Quản lý đề xuất cách tiếp cận mới để xử lý khiếu nại của khách hàng.,แนวทาง; วิธีการ,ผู้จัดการเสนอแนวทางใหม่ในการจัดการข้อร้องเรียนของลูกค้า,pendekatan; cara,Manajer mengusulkan pendekatan baru untuk menangani keluhan pelanggan.
appropriate,Please wear appropriate business attire to the conference meeting.,적절한,회의에 적절한 비즈니스 복장을 착용해 주세요.,適切な,会議には適切なビジネス服装を着用してください。,适当的,请穿着得体的商务着装参加会议。,apropiado,"Por favor, use vestimenta de negocios apropiada para la conferencia.",phù hợp; thích hợp,Vui lòng mặc trang phục công sở phù hợp đến cuộc họp.,เหมาะสม,กรุณาแต่งกายชุดธุรกิจที่เหมาะสมสำหรับการประชุม,sesuai; tepat,Harap kenakan pakaian bisnis yang sesuai untuk rapat konferensi.
approve,The committee approved the proposal for the new office building.,승인하다,위원회는 새 사무실 건물에 대한 제안을 승인했다.,承認する,委員会は新しいオフィスビルの提案を承認した。,批准,委员会批准了新办公楼的提案。,aprobar,El comité aprobó la propuesta para el nuevo edificio de oficinas.,phê duyệt; chấp thuận,Ủy ban đã phê duyệt đề xuất xây dựng tòa nhà văn phòng mới.,อนุมัติ,คณะกรรมการอนุมัติข้อเสนอสำหรับอาคารสำนักงานใหม่,menyetujui; mengesahkan,Komite menyetujui proposal untuk gedung kantor baru.
approximately,Approximately three hundred employees attended the company event.,대략,약 300명의 직원이 회사 행사에 참석했다.,およそ,約300名の従業員が会社のイベントに参加した。,大约,大约三百名员工参加了公司活动。,aproximadamente,Aproximadamente trescientos empleados asistieron al evento de la empresa.,khoảng; xấp xỉ,Khoảng ba trăm nhân viên đã tham dự sự kiện của công ty.,ประมาณ; โดยประมาณ,พนักงานประมาณสามร้อยคนเข้าร่วมงานของบริษัท,kira-kira; sekitar,Sekitar tiga ratus karyawan menghadiri acara perusahaan.
arrange,Please arrange a meeting with the suppliers for next week.,준비하다; 배열하다,다음 주에 공급업체와의 회의를 준비해 주세요.,手配する; 配置する,来週、サプライヤーとのミーティングを手配してください。,安排,请安排下周与供应商的会议。,organizar; preparar,"Por favor, organice una reunión con los proveedores para la próxima semana.",sắp xếp; bố trí,Vui lòng sắp xếp cuộc họp với nhà cung cấp vào tuần tới.,จัดเตรียม; จัดให้,กรุณาจัดการประชุมกับซัพพลายเออร์ในสัปดาห์หน้า,mengatur; menyusun,Tolong atur pertemuan dengan pemasok untuk minggu depan.
assemble,Workers assemble electronic components at the factory each day.,조립하다; 모이다,작업자들은 매일 공장에서 전자 부품을 조립한다.,組み立てる,作業員は毎日工場で電子部品を組み立てている。,组装; 集合,工人们每天在工厂组装电子零部件。,ensamblar; reunir,Los trabajadores ensamblan componentes electrónicos en la fábrica cada día.,lắp ráp; tập hợp,Công nhân lắp ráp các linh kiện điện tử tại nhà máy mỗi ngày.,ประกอบ; รวมตัว,คนงานประกอบชิ้นส่วนอิเล็กทรอนิกส์ที่โรงงานทุกวัน,merakit; mengumpulkan,Pekerja merakit komponen elektronik di pabrik setiap hari.
assess,The auditor will assess the company's financial health this week.,평가하다,감사관이 이번 주에 회사의 재무 건전성을 평가할 것이다.,評価する,監査人が今週、会社の財務状況を評価する予定だ。,评估,审计师将于本周评估公司的财务状况。,evaluar; valorar,El auditor evaluará la salud financiera de la empresa esta semana.,đánh giá; thẩm định,Kiểm toán viên sẽ đánh giá tình hình tài chính của công ty tuần này.,ประเมิน,ผู้ตรวจสอบบัญชีจะประเมินสุขภาพทางการเงินของบริษัทในสัปดาห์นี้,menilai; mengevaluasi,Auditor akan menilai kesehatan keuangan perusahaan minggu ini.
asset,The company's greatest asset is its highly skilled workforce.,자산,회사의 가장 큰 자산은 고도로 숙련된 인력이다.,資産,会社の最大の資産は高度なスキルを持つ人材である。,资产,公司最大的资产是其高素质的员工队伍。,activo,El mayor activo de la empresa es su mano de obra altamente calificada.,tài sản,Tài sản lớn nhất của công ty là đội ngũ nhân viên tay nghề cao.,สินทรัพย์; ทรัพย์สิน,สินทรัพย์ที่ยิ่งใหญ่ที่สุดของบริษัทคือพนักงานที่มีทักษะสูง,aset; kekayaan,Aset terbesar perusahaan adalah tenaga kerja yang sangat terampil.
assign,The director will assign tasks to each team member today.,배정하다,이사는 오늘 각 팀원에게 업무를 배정할 것이다.,割り当てる,ディレクターは今日、各チームメンバーにタスクを割り当てる。,分配,主管今天将为每位团队成员分配任务。,asignar,El director asignará tareas a cada miembro del equipo hoy.,giao; phân công,Giám đốc sẽ phân công nhiệm vụ cho từng thành viên trong nhóm hôm nay.,มอบหมาย,ผู้อำนวยการจะมอบหมายงานให้สมาชิกในทีมแต่ละคนในวันนี้,menugaskan; memberikan tugas,Direktur akan menugaskan tugas kepada setiap anggota tim hari ini.
assist,The customer service team will assist you with your inquiry.,지원하다; 돕다,고객 서비스 팀이 문의 사항을 도와드리겠습니다.,支援する,カスタマーサービスチームがお問い合わせに対応いたします。,协助,客户服务团队将协助您处理咨询。,asistir; ayudar,El equipo de servicio al cliente le asistirá con su consulta.,hỗ trợ; giúp đỡ,Đội dịch vụ khách hàng sẽ hỗ trợ bạn về thắc mắc của bạn.,ช่วยเหลือ,ทีมบริการลูกค้าจะช่วยเหลือคุณเกี่ยวกับคำถามของคุณ,membantu,Tim layanan pelanggan akan membantu Anda dengan pertanyaan Anda.
