stratigraphy,"The stratigraphy of the site revealed multiple periods of human occupation.",층서학,"해당 유적지의 층서학은 여러 시기의 인간 거주를 드러냈다.",層序学,"その遺跡の層序学は複数の時代の人間の居住を明らかにした。",地层学,"该遗址的地层学揭示了多个人类居住时期。",estratigrafía,"La estratigrafía del sitio reveló múltiples períodos de ocupación humana.",địa tầng học,"Địa tầng học của di chỉ cho thấy nhiều giai đoạn cư trú của con người.",ชั้นหินวิทยา,"ชั้นหินวิทยาของแหล่งโบราณคดีเผยให้เห็นการอยู่อาศัยหลายยุค",stratigrafi,"Stratigrafi situs tersebut mengungkapkan beberapa periode hunian manusia."
pelagic,"Pelagic species migrate thousands of kilometers across open ocean.",원양의,"원양 종은 대양을 가로질러 수천 킬로미터를 이동한다.",遠洋性の,"遠洋性の種は外洋を数千キロメートルにわたって回遊する。",远洋的,"远洋物种在开阔大洋中迁徙数千公里。",pelágico,"Las especies pelágicas migran miles de kilómetros a través del océano abierto.",đại dương,"Các loài đại dương di cư hàng nghìn km qua đại dương mở.",ทะเลเปิด,"สิ่งมีชีวิตทะเลเปิดอพยพหลายพันกิโลเมตรข้ามมหาสมุทร",pelagis,"Spesies pelagis bermigrasi ribuan kilometer melintasi lautan terbuka."
symbiosis,"The symbiosis between clownfish and sea anemones is a classic mutualistic relationship.",공생,"흰동가리와 말미잘 사이의 공생은 전형적인 상리 공생 관계이다.",共生,"クマノミとイソギンチャクの共生は典型的な相利共生関係である。",共生,"小丑鱼与海葵之间的共生是典型的互利关系。",simbiosis,"La simbiosis entre el pez payaso y las anémonas de mar es una relación mutualista clásica.",cộng sinh,"Sự cộng sinh giữa cá hề và hải quỳ là mối quan hệ hỗ sinh kinh điển.",การอยู่ร่วมกัน,"การอยู่ร่วมกันระหว่างปลาการ์ตูนกับดอกไม้ทะเลเป็นความสัมพันธ์แบบพึ่งพาอาศัยกัน",simbiosis,"Simbiosis antara ikan badut dan anemon laut adalah hubungan mutualisme klasik."
benthic,"Benthic communities on the ocean floor are sustained by organic matter sinking from above.",저서,"해저의 저서 군집은 위에서 가라앉는 유기물에 의해 유지된다.",底生の,"海底の底生群集は上方から沈降する有機物によって維持されている。",底栖的,"海底底栖群落依靠从上方沉降的有机物维持。",bentónico,"Las comunidades bentónicas del fondo oceánico se sostienen con materia orgánica que se hunde desde arriba.",đáy biển,"Quần xã đáy biển được duy trì bằng chất hữu cơ chìm từ phía trên.",พื้นท้องทะเล,"สิ่งมีชีวิตพื้นท้องทะเลดำรงชีวิตด้วยอินทรียวัตถุที่จมลงมาจากด้านบน",bentik,"Komunitas bentik di dasar laut dipertahankan oleh bahan organik yang tenggelam dari atas."
eutrophication,"Eutrophication caused by agricultural runoff has created vast oceanic dead zones.",부영양화,"농업 유출수에 의한 부영양화는 광대한 해양 사각지대를 만들었다.",富栄養化,"農業排水による富栄養化は広大な海洋デッドゾーンを生み出した。",富营养化,"农业径流引起的富营养化造成了大面积的海洋死区。",eutrofización,"La eutrofización causada por la escorrentía agrícola ha creado vastas zonas muertas oceánicas.",phú dưỡng,"Phú dưỡng do dòng chảy nông nghiệp đã tạo ra các vùng chết đại dương rộng lớn.",ยูโทรฟิเคชัน,"ยูโทรฟิเคชันจากนํ้าเสียเกษตรกรรมทำให้เกิดเขตมรณะในมหาสมุทร",eutrofikasi,"Eutrofikasi yang disebabkan oleh limpasan pertanian telah menciptakan zona mati laut yang luas."
phytoplankton,"Phytoplankton produce roughly half of the world's oxygen through photosynthesis.",식물성 플랑크톤,"식물성 플랑크톤은 광합성을 통해 세계 산소의 약 절반을 생산한다.",植物プランクトン,"植物プランクトンは光合成により世界の酸素の約半分を生産する。",浮游植物,"浮游植物通过光合作用产生全球约一半的氧气。",fitoplancton,"El fitoplancton produce aproximadamente la mitad del oxígeno mundial mediante fotosíntesis.",thực vật phù du,"Thực vật phù du sản xuất khoảng một nửa lượng oxy của thế giới qua quang hợp.",แพลงก์ตอนพืช,"แพลงก์ตอนพืชผลิตออกซิเจนประมาณครึ่งหนึ่งของโลกผ่านการสังเคราะห์แสง",fitoplankton,"Fitoplankton menghasilkan sekitar setengah oksigen dunia melalui fotosintesis."
salinity,"Changes in salinity affect the distribution of marine organisms across ocean basins.",염분,"염분의 변화는 해양 분지 전체에 걸친 해양 생물의 분포에 영향을 미친다.",塩分濃度,"塩分濃度の変化は海洋盆地全体の海洋生物の分布に影響する。",盐度,"盐度变化影响海洋生物在各大洋盆地中的分布。",salinidad,"Los cambios en la salinidad afectan la distribución de organismos marinos en las cuencas oceánicas.",độ mặn,"Sự thay đổi độ mặn ảnh hưởng đến sự phân bố sinh vật biển trên các bồn đại dương.",ความเค็ม,"การเปลี่ยนแปลงความเค็มส่งผลต่อการกระจายตัวของสิ่งมีชีวิตทางทะเล",salinitas,"Perubahan salinitas mempengaruhi distribusi organisme laut di seluruh cekungan samudra."
thermohaline,"The thermohaline circulation acts as a global conveyor belt distributing heat.",열염,"열염 순환은 열을 분배하는 지구적 컨베이어 벨트 역할을 한다.",熱塩の,"熱塩循環は熱を分配するグローバルなコンベアベルトとして機能する。",温盐的,"温盐环流如同全球传送带分配热量。",termohalino,"La circulación termohalina actúa como una cinta transportadora global que distribuye calor.",nhiệt muối,"Tuần hoàn nhiệt muối hoạt động như băng chuyền toàn cầu phân phối nhiệt.",เทอร์โมฮาไลน์,"การไหลเวียนเทอร์โมฮาไลน์ทำหน้าที่เป็นสายพานลำเลียงความร้อนทั่วโลก",termohalin,"Sirkulasi termohalin bertindak sebagai sabuk konveyor global yang mendistribusikan panas."
acidification,"Ocean acidification threatens the ability of corals to build calcium carbonate skeletons.",산성화,"해양 산성화는 산호가 탄산칼슘 골격을 형성하는 능력을 위협한다.",酸性化,"海洋酸性化はサンゴが炭酸カルシウムの骨格を形成する能力を脅かす。",酸化,"海洋酸化威胁着珊瑚构建碳酸钙骨骼的能力。",acidificación,"La acidificación del océano amenaza la capacidad de los corales para construir esqueletos de carbonato de calcio.",axit hóa,"Axit hóa đại dương đe dọa khả năng xây dựng bộ xương canxi cacbonat của san hô.",การเป็นกรด,"การเป็นกรดของมหาสมุทรคุกคามความสามารถของปะการังในการสร้างโครงกระดูกแคลเซียมคาร์บอเนต",pengasaman,"Pengasaman laut mengancam kemampuan karang untuk membangun rangka kalsium karbonat."
cetacean,"Cetacean vocalizations are studied to understand complex marine communication systems.",고래류,"고래류의 발성은 복잡한 해양 의사소통 체계를 이해하기 위해 연구된다.",鯨類の,"鯨類の発声は複雑な海洋コミュニケーションシステムを理解するために研究されている。",鲸类的,"鲸类发声被研究以了解复杂的海洋通信系统。",cetáceo,"Las vocalizaciones de cetáceos se estudian para comprender sistemas complejos de comunicación marina.",cá voi,"Phát âm của cá voi được nghiên cứu để hiểu hệ thống giao tiếp biển phức tạp.",สัตว์จำพวกวาฬ,"การส่งเสียงของสัตว์จำพวกวาฬถูกศึกษาเพื่อทำความเข้าใจระบบสื่อสารทางทะเล",setasea,"Vokalisasi setasea dipelajari untuk memahami sistem komunikasi laut yang kompleks."
rapprochement,"The rapprochement between the two nations ended decades of diplomatic isolation.",화해,"두 국가 간의 화해는 수십 년간의 외교적 고립을 종식시켰다.",関係改善,"両国間の関係改善は数十年にわたる外交的孤立を終わらせた。",和解,"两国之间的和解结束了数十年的外交孤立。",acercamiento,"El acercamiento entre las dos naciones puso fin a décadas de aislamiento diplomático.",hòa giải,"Sự hòa giải giữa hai quốc gia đã chấm dứt hàng thập kỷ cô lập ngoại giao.",การฟื้นฟูความสัมพันธ์,"การฟื้นฟูความสัมพันธ์ระหว่างสองชาติยุติการโดดเดี่ยวทางการทูตหลายทศวรรษ",pemulihan hubungan,"Pemulihan hubungan antara kedua negara mengakhiri isolasi diplomatik selama beberapa dekade."
sovereignty,"The treaty reaffirmed the sovereignty of each signatory nation over its territorial waters.",주권,"그 조약은 각 서명국의 영해에 대한 주권을 재확인했다.",主権,"その条約は各署名国の領海に対する主権を再確認した。",主权,"该条约重申了每个签署国对其领海的主权。",soberanía,"El tratado reafirmó la soberanía de cada nación signataria sobre sus aguas territoriales.",chủ quyền,"Hiệp ước tái khẳng định chủ quyền của mỗi quốc gia ký kết đối với vùng lãnh hải.",อำนาจอธิปไตย,"สนธิสัญญายืนยันอำนาจอธิปไตยของแต่ละประเทศผู้ลงนามเหนือน่านนํ้าอาณาเขต",kedaulatan,"Perjanjian tersebut menegaskan kembali kedaulatan setiap negara penandatangan atas wilayah perairannya."
ratification,"Ratification of the accord required approval from at least two-thirds of member states.",비준,"그 협정의 비준은 최소 회원국 3분의 2의 승인을 필요로 했다.",批准,"その協定の批准には少なくとも加盟国の3分の2の承認が必要だった。",批准,"该协议的批准需要至少三分之二的成员国批准。",ratificación,"La ratificación del acuerdo requería la aprobación de al menos dos tercios de los estados miembros.",phê chuẩn,"Việc phê chuẩn hiệp định đòi hỏi sự chấp thuận của ít nhất hai phần ba quốc gia thành viên.",การให้สัตยาบัน,"การให้สัตยาบันข้อตกลงต้องได้รับความเห็นชอบจากอย่างน้อยสองในสามของรัฐสมาชิก",ratifikasi,"Ratifikasi kesepakatan memerlukan persetujuan dari setidaknya dua pertiga negara anggota."
détente,"The period of détente allowed for unprecedented cultural exchanges between rival blocs.",데탕트,"데탕트 시기는 적대 진영 간의 전례 없는 문화 교류를 가능하게 했다.",デタント,"デタント期間は対立するブロック間の前例のない文化交流を可能にした。",缓和,"缓和时期促成了对立阵营之间前所未有的文化交流。",distensión,"El período de distensión permitió intercambios culturales sin precedentes entre bloques rivales.",hòa hoãn,"Thời kỳ hòa hoãn cho phép trao đổi văn hóa chưa từng có giữa các khối đối địch.",การผ่อนคลายความตึงเครียด,"ช่วงผ่อนคลายความตึงเครียดเปิดโอกาสให้มีการแลกเปลี่ยนวัฒนธรรมระหว่างกลุ่มคู่แข่ง",détente,"Periode détente memungkinkan pertukaran budaya yang belum pernah terjadi antara blok-blok saingan."
multilateral,"Multilateral negotiations are inherently more complex than bilateral talks.",다자간의,"다자간 협상은 본질적으로 양자 회담보다 더 복잡하다.",多国間の,"多国間交渉は本質的に二国間交渉よりも複雑である。",多边的,"多边谈判本质上比双边会谈更为复杂。",multilateral,"Las negociaciones multilaterales son inherentemente más complejas que las conversaciones bilaterales.",đa phương,"Đàm phán đa phương vốn phức tạp hơn đối thoại song phương.",พหุภาคี,"การเจรจาพหุภาคีมีความซับซ้อนมากกว่าการเจรจาทวิภาคีโดยเนื้อแท้",multilateral,"Negosiasi multilateral secara inheren lebih kompleks daripada pembicaraan bilateral."
envoy,"The special envoy was dispatched to mediate the escalating border dispute.",특사,"특사가 격화되는 국경 분쟁을 중재하기 위해 파견되었다.",特使,"特使は激化する国境紛争を調停するために派遣された。",特使,"特使被派遣调解不断升级的边境争端。",enviado,"El enviado especial fue despachado para mediar en la creciente disputa fronteriza.",đặc phái viên,"Đặc phái viên được cử đi hòa giải tranh chấp biên giới đang leo thang.",ทูตพิเศษ,"ทูตพิเศษถูกส่งไปไกล่เกลี่ยข้อพิพาทชายแดนที่ทวีความรุนแรง",utusan,"Utusan khusus dikirim untuk menengahi perselisihan perbatasan yang meningkat."
sanctions,"Economic sanctions were imposed to pressure the regime into compliance with international law.",제재,"국제법 준수를 위해 정권에 압력을 가하기 위한 경제 제재가 부과되었다.",制裁,"経済制裁は国際法の遵守を政権に圧力をかけるために課された。",制裁,"经济制裁旨在迫使该政权遵守国际法。",sanciones,"Se impusieron sanciones económicas para presionar al régimen a cumplir con el derecho internacional.",trừng phạt,"Các biện pháp trừng phạt kinh tế được áp đặt để gây áp lực buộc chế độ tuân thủ luật quốc tế.",การคว่ำบาตร,"การคว่ำบาตรทางเศรษฐกิจถูกบังคับใช้เพื่อกดดันให้ระบอบปฏิบัติตามกฎหมายระหว่างประเทศ",sanksi,"Sanksi ekonomi dijatuhkan untuk menekan rezim agar mematuhi hukum internasional."
armistice,"The armistice halted hostilities but did not resolve the underlying territorial claims.",휴전,"휴전은 적대 행위를 중단시켰지만 근본적인 영토 주장을 해결하지 못했다.",休戦,"休戦は敵対行為を停止させたが根本的な領土主張は解決しなかった。",停战,"停战中止了敌对行动但未解决根本的领土主张。",armisticio,"El armisticio detuvo las hostilidades pero no resolvió las reclamaciones territoriales subyacentes.",đình chiến,"Hiệp định đình chiến chấm dứt xung đột nhưng không giải quyết các yêu sách lãnh thổ.",การสงบศึก,"การสงบศึกหยุดการสู้รบแต่ไม่ได้แก้ไขข้อเรียกร้องดินแดนที่เป็นต้นเหตุ",gencatan senjata,"Gencatan senjata menghentikan permusuhan tetapi tidak menyelesaikan klaim teritorial yang mendasarinya."
plenipotentiary,"The ambassador served as plenipotentiary with full authority to sign the treaty.",전권대사,"대사는 조약에 서명할 전권을 가진 전권대사로 활동했다.",全権の,"大使は条約に署名する全権を持つ全権代表として務めた。",全权的,"大使作为全权代表有权签署该条约。",plenipotenciario,"El embajador sirvió como plenipotenciario con plena autoridad para firmar el tratado.",toàn quyền,"Đại sứ đóng vai trò toàn quyền với quyền hạn đầy đủ để ký hiệp ước.",ผู้มีอำนาจเต็ม,"เอกอัครราชทูตทำหน้าที่ผู้มีอำนาจเต็มในการลงนามสนธิสัญญา",berkuasa penuh,"Duta besar bertindak sebagai berkuasa penuh dengan wewenang penuh untuk menandatangani perjanjian."
heteroscedasticity,"Heteroscedasticity in the residuals violates a key assumption of ordinary least squares regression.",이분산성,"잔차의 이분산성은 보통최소제곱 회귀의 핵심 가정을 위반한다.",分散不均一性,"残差の分散不均一性は通常最小二乗回帰の重要な仮定に違反する。",异方差性,"残差中的异方差性违反了普通最小二乘回归的关键假设。",heterocedasticidad,"La heterocedasticidad en los residuos viola un supuesto clave de la regresión por mínimos cuadrados ordinarios.",phương sai thay đổi,"Phương sai thay đổi trong phần dư vi phạm giả định chính của hồi quy bình phương nhỏ nhất.",ความแปรปรวนไม่คงที่,"ความแปรปรวนไม่คงที่ในค่าคงเหลือละเมิดสมมติฐานสำคัญของการถดถอยกำลังสองน้อยที่สุด",heteroskedastisitas,"Heteroskedastisitas pada residual melanggar asumsi utama regresi kuadrat terkecil biasa."
multicollinearity,"Multicollinearity among predictors inflates standard errors and destabilizes coefficient estimates.",다중공선성,"예측 변수 간의 다중공선성은 표준 오차를 팽창시키고 계수 추정치를 불안정하게 만든다.",多重共線性,"予測変数間の多重共線性は標準誤差を膨張させ係数推定値を不安定にする。",多重共线性,"预测变量之间的多重共线性会膨胀标准误差并使系数估计不稳定。",multicolinealidad,"La multicolinealidad entre predictores infla los errores estándar y desestabiliza las estimaciones de coeficientes.",đa cộng tuyến,"Đa cộng tuyến giữa các biến dự đoán làm phình sai số chuẩn và mất ổn định ước lượng hệ số.",ภาวะร่วมเส้นตรงพหุ,"ภาวะร่วมเส้นตรงพหุระหว่างตัวพยากรณ์ทำให้ค่าความคลาดเคลื่อนมาตรฐานพองตัว",multikolinearitas,"Multikolinearitas antar prediktor memperbesar kesalahan standar dan mendestabilisasi estimasi koefisien."
bayesian,"Bayesian inference updates prior beliefs with observed data to produce posterior distributions.",베이지안,"베이지안 추론은 사전 신념을 관측 데이터로 업데이트하여 사후 분포를 생성한다.",ベイズの,"ベイズ推論は事前の信念を観測データで更新し事後分布を生成する。",贝叶斯的,"贝叶斯推断通过观测数据更新先验信念以产生后验分布。",bayesiano,"La inferencia bayesiana actualiza las creencias previas con datos observados para producir distribuciones posteriores.",Bayes,"Suy luận Bayes cập nhật niềm tin tiên nghiệm với dữ liệu quan sát để tạo phân phối hậu nghiệm.",เบย์เซียน,"การอนุมานเบย์เซียนปรับปรุงความเชื่อเบื้องต้นด้วยข้อมูลสังเกตเพื่อสร้างการแจกแจงภายหลัง",bayesian,"Inferensi bayesian memperbarui keyakinan prior dengan data observasi untuk menghasilkan distribusi posterior."
stochastic,"Stochastic models incorporate randomness to simulate real-world uncertainty.",확률적,"확률적 모델은 현실 세계의 불확실성을 시뮬레이션하기 위해 무작위성을 통합한다.",確率的な,"確率的モデルは現実世界の不確実性をシミュレートするために無作為性を組み込む。",随机的,"随机模型融入随机性以模拟现实世界的不确定性。",estocástico,"Los modelos estocásticos incorporan aleatoriedad para simular la incertidumbre del mundo real.",ngẫu nhiên,"Các mô hình ngẫu nhiên kết hợp tính ngẫu nhiên để mô phỏng sự bất định thực tế.",สุ่ม,"แบบจำลองสุ่มรวมความไม่แน่นอนเพื่อจำลองความไม่แน่นอนในโลกจริง",stokastik,"Model stokastik memasukkan keacakan untuk mensimulasikan ketidakpastian dunia nyata."
kurtosis,"Positive kurtosis indicates heavier tails and a sharper peak than the normal distribution.",첨도,"양의 첨도는 정규 분포보다 더 무거운 꼬리와 더 뾰족한 정점을 나타낸다.",尖度,"正の尖度は正規分布より重い裾と鋭いピークを示す。",峰度,"正峰度表示比正态分布更重的尾部和更尖锐的峰值。",curtosis,"La curtosis positiva indica colas más pesadas y un pico más agudo que la distribución normal.",độ nhọn,"Độ nhọn dương cho thấy đuôi nặng hơn và đỉnh nhọn hơn phân phối chuẩn.",ความโด่ง,"ความโด่งบวกบ่งชี้หางที่หนักกว่าและยอดที่แหลมกว่าการแจกแจงปกติ",kurtosis,"Kurtosis positif menunjukkan ekor yang lebih berat dan puncak yang lebih tajam daripada distribusi normal."
regression,"Multiple regression analysis identified income and education as the strongest predictors.",회귀,"다중 회귀 분석은 소득과 교육을 가장 강력한 예측 변수로 식별했다.",回帰,"重回帰分析は所得と教育を最も強い予測因子として特定した。",回归,"多元回归分析确定收入和教育是最强的预测因子。",regresión,"El análisis de regresión múltiple identificó el ingreso y la educación como los predictores más fuertes.",hồi quy,"Phân tích hồi quy đa biến xác định thu nhập và giáo dục là yếu tố dự đoán mạnh nhất.",การถดถอย,"การวิเคราะห์การถดถอยพหุระบุรายได้และการศึกษาเป็นตัวพยากรณ์ที่แข็งแกร่งที่สุด",regresi,"Analisis regresi berganda mengidentifikasi pendapatan dan pendidikan sebagai prediktor terkuat."
nonparametric,"Nonparametric tests are preferred when data violate normality assumptions.",비모수적,"데이터가 정규성 가정을 위반할 때 비모수적 검정이 선호된다.",ノンパラメトリックの,"データが正規性の仮定に違反する場合ノンパラメトリック検定が好まれる。",非参数的,"当数据违反正态性假设时优先使用非参数检验。",no paramétrico,"Las pruebas no paramétricas se prefieren cuando los datos violan los supuestos de normalidad.",phi tham số,"Kiểm định phi tham số được ưu tiên khi dữ liệu vi phạm giả định phân phối chuẩn.",ไม่อิงพารามิเตอร์,"การทดสอบไม่อิงพารามิเตอร์เป็นที่นิยมเมื่อข้อมูลละเมิดสมมติฐานปกติ",nonparametrik,"Uji nonparametrik lebih disukai ketika data melanggar asumsi normalitas."
covariance,"The covariance matrix revealed strong linear relationships among the variables.",공분산,"공분산 행렬은 변수들 간의 강한 선형 관계를 드러냈다.",共分散,"共分散行列は変数間の強い線形関係を明らかにした。",协方差,"协方差矩阵揭示了变量之间的强线性关系。",covarianza,"La matriz de covarianza reveló fuertes relaciones lineales entre las variables.",hiệp phương sai,"Ma trận hiệp phương sai cho thấy mối quan hệ tuyến tính mạnh giữa các biến.",ความแปรปรวนร่วม,"เมทริกซ์ความแปรปรวนร่วมเผยให้เห็นความสัมพันธ์เชิงเส้นที่แข็งแกร่งระหว่างตัวแปร",kovarians,"Matriks kovarians mengungkapkan hubungan linear yang kuat di antara variabel-variabel tersebut."
percentile,"A score at the 95th percentile exceeds that of 95 percent of all observations.",백분위수,"95번째 백분위수의 점수는 전체 관측치의 95%를 초과한다.",パーセンタイル,"95パーセンタイルのスコアは全観測値の95パーセントを超える。",百分位数,"处于第95百分位数的分数超过了所有观测值的95%。",percentil,"Una puntuación en el percentil 95 supera la del 95 por ciento de todas las observaciones.",phân vị,"Điểm ở phân vị thứ 95 vượt quá 95 phần trăm tất cả các quan sát.",เปอร์เซ็นไทล์,"คะแนนที่เปอร์เซ็นไทล์ที่ 95 สูงกว่า 95 เปอร์เซ็นต์ของข้อมูลทั้งหมด",persentil,"Skor pada persentil ke-95 melebihi 95 persen dari semua pengamatan."
interpolation,"Interpolation was used to estimate missing data points within the observed range.",보간법,"보간법은 관측 범위 내에서 누락된 데이터 포인트를 추정하는 데 사용되었다.",補間,"補間は観測範囲内の欠損データポイントを推定するために使用された。",插值,"插值法用于估计观测范围内的缺失数据点。",interpolación,"La interpolación se usó para estimar puntos de datos faltantes dentro del rango observado.",nội suy,"Nội suy được sử dụng để ước lượng các điểm dữ liệu thiếu trong phạm vi quan sát.",การประมาณค่าในช่วง,"การประมาณค่าในช่วงถูกใช้เพื่อประมาณจุดข้อมูลที่ขาดหายภายในช่วงที่สังเกต",interpolasi,"Interpolasi digunakan untuk memperkirakan titik data yang hilang dalam rentang pengamatan."
