hegemony,"The nation's cultural hegemony influenced global media trends.",패권,"그 나라의 문화적 패권은 세계 미디어 트렌드에 영향을 미쳤다.",覇権,"その国の文化的覇権は世界のメディアトレンドに影響を与えた。",霸权,"该国的文化霸权影响了全球媒体趋势。",hegemonía,"La hegemonía cultural de la nación influyó en las tendencias mediáticas globales.",quyền bá chủ,"Quyền bá chủ văn hóa của quốc gia đã ảnh hưởng đến xu hướng truyền thông toàn cầu.",อำนาจครอบงำ,"อำนาจครอบงำทางวัฒนธรรมของชาติมีอิทธิพลต่อแนวโน้มสื่อทั่วโลก",hegemoni,"Hegemoni budaya negara tersebut memengaruhi tren media global."
eugenics,"The dark history of eugenics programs serves as a cautionary tale for modern genetics.",우생학,"우생학 프로그램의 어두운 역사는 현대 유전학에 대한 경고가 된다.",優生学,"優生学プログラムの暗い歴史は現代の遺伝学に対する警告となっている。",优生学,"优生学项目的黑暗历史为现代遗传学提供了警示。",eugenesia,"La oscura historia de los programas de eugenesia sirve como advertencia para la genética moderna.",thuyết ưu sinh,"Lịch sử đen tối của các chương trình ưu sinh là bài học cảnh báo cho di truyền học hiện đại.",สุพันธุศาสตร์,"ประวัติศาสตร์อันมืดมนของโปรแกรมสุพันธุศาสตร์เป็นเรื่องเตือนใจสำหรับพันธุศาสตร์สมัยใหม่",eugenika,"Sejarah kelam program eugenika menjadi peringatan bagi genetika modern."
informed consent,"Informed consent must be obtained before any experimental treatment is administered.",사전 동의,"실험적 치료가 시행되기 전에 사전 동의를 받아야 한다.",インフォームドコンセント,"実験的治療が行われる前にインフォームドコンセントを得なければならない。",知情同意,"在进行任何实验性治疗之前必须获得知情同意。",consentimiento informado,"Se debe obtener el consentimiento informado antes de administrar cualquier tratamiento experimental.",sự đồng ý sau khi được thông báo,"Phải có sự đồng ý sau khi được thông báo trước khi thực hiện bất kỳ điều trị thử nghiệm nào.",ความยินยอมที่ได้รับการบอกกล่าว,"ต้องได้รับความยินยอมที่ได้รับการบอกกล่าวก่อนที่จะให้การรักษาเชิงทดลองใดๆ",persetujuan setelah penjelasan,"Persetujuan setelah penjelasan harus diperoleh sebelum perawatan eksperimental apa pun diberikan."
genome editing,"Genome editing technologies like CRISPR have revolutionized therapeutic possibilities.",유전체 편집,"크리스퍼와 같은 유전체 편집 기술은 치료 가능성에 혁명을 일으켰다.",ゲノム編集,"CRISPRのようなゲノム編集技術は治療の可能性に革命をもたらした。",基因组编辑,"CRISPR等基因组编辑技术彻底改变了治疗的可能性。",edición genómica,"Las tecnologías de edición genómica como CRISPR han revolucionado las posibilidades terapéuticas.",chỉnh sửa bộ gen,"Các công nghệ chỉnh sửa bộ gen như CRISPR đã cách mạng hóa khả năng điều trị.",การแก้ไขจีโนม,"เทคโนโลยีการแก้ไขจีโนมเช่น CRISPR ได้ปฏิวัติความเป็นไปได้ทางการรักษา",penyuntingan genom,"Teknologi penyuntingan genom seperti CRISPR telah merevolusi kemungkinan terapeutik."
euthanasia,"The legalization of euthanasia remains one of the most divisive bioethical issues.",안락사,"안락사의 합법화는 가장 논쟁적인 생명윤리 문제 중 하나이다.",安楽死,"安楽死の合法化は最も議論を呼ぶ生命倫理の問題の一つである。",安乐死,"安乐死的合法化仍然是最具争议性的生物伦理问题之一。",eutanasia,"La legalización de la eutanasia sigue siendo una de las cuestiones bioéticas más divisivas.",an tử,"Việc hợp pháp hóa an tử vẫn là một trong những vấn đề đạo đức sinh học gây chia rẽ nhất.",การุณยฆาต,"การทำให้การุณยฆาตถูกกฎหมายยังคงเป็นประเด็นจริยธรรมชีวภาพที่ถกเถียงมากที่สุด",eutanasia,"Legalisasi eutanasia tetap menjadi salah satu isu bioetika yang paling memecah belah."
organ trafficking,"International agencies intensified efforts to combat organ trafficking networks.",장기밀매,"국제 기관들은 장기밀매 네트워크를 퇴치하기 위한 노력을 강화했다.",臓器売買,"国際機関は臓器売買ネットワークとの闘いを強化した。",器官贩卖,"国际机构加大了打击器官贩卖网络的力度。",tráfico de órganos,"Las agencias internacionales intensificaron los esfuerzos para combatir las redes de tráfico de órganos.",buôn bán nội tạng,"Các cơ quan quốc tế đã tăng cường nỗ lực chống lại các mạng lưới buôn bán nội tạng.",การค้าอวัยวะ,"หน่วยงานระหว่างประเทศเพิ่มความพยายามในการต่อสู้กับเครือข่ายการค้าอวัยวะ",perdagangan organ,"Badan-badan internasional mengintensifkan upaya untuk memerangi jaringan perdagangan organ."
stem cell therapy,"Stem cell therapy offers promising treatment for degenerative neurological diseases.",줄기세포 치료,"줄기세포 치료는 퇴행성 신경 질환에 유망한 치료법을 제공한다.",幹細胞治療,"幹細胞治療は変性神経疾患に有望な治療法を提供する。",干细胞疗法,"干细胞疗法为退行性神经疾病提供了有前景的治疗方法。",terapia con células madre,"La terapia con células madre ofrece un tratamiento prometedor para enfermedades neurológicas degenerativas.",liệu pháp tế bào gốc,"Liệu pháp tế bào gốc mang đến phương pháp điều trị đầy triển vọng cho các bệnh thần kinh thoái hóa.",การรักษาด้วยเซลล์ต้นกำเนิด,"การรักษาด้วยเซลล์ต้นกำเนิดให้การรักษาที่มีแนวโน้มดีสำหรับโรคทางระบบประสาทเสื่อม",terapi sel punca,"Terapi sel punca menawarkan pengobatan yang menjanjikan untuk penyakit neurologis degeneratif."
clinical trial,"The clinical trial was halted after unexpected adverse reactions were reported.",임상시험,"예상치 못한 부작용이 보고된 후 임상시험이 중단되었다.",臨床試験,"予期せぬ副作用が報告された後、臨床試験は中止された。",临床试验,"在报告了意外不良反应后临床试验被叫停。",ensayo clínico,"El ensayo clínico fue detenido después de que se reportaron reacciones adversas inesperadas.",thử nghiệm lâm sàng,"Thử nghiệm lâm sàng đã bị dừng sau khi có báo cáo về phản ứng bất lợi không mong muốn.",การทดลองทางคลินิก,"การทดลองทางคลินิกถูกระงับหลังจากมีรายงานผลข้างเคียงที่ไม่คาดคิด",uji klinis,"Uji klinis dihentikan setelah reaksi merugikan yang tidak terduga dilaporkan."
pathogen,"Researchers identified a novel pathogen responsible for the mysterious respiratory illness.",병원체,"연구진은 원인불명 호흡기 질환의 원인인 새로운 병원체를 확인했다.",病原体,"研究者たちは謎の呼吸器疾患の原因となる新しい病原体を特定した。",病原体,"研究人员确定了导致神秘呼吸系统疾病的新型病原体。",patógeno,"Los investigadores identificaron un nuevo patógeno responsable de la misteriosa enfermedad respiratoria.",mầm bệnh,"Các nhà nghiên cứu đã xác định được một mầm bệnh mới gây ra căn bệnh hô hấp bí ẩn.",เชื้อโรค,"นักวิจัยระบุเชื้อโรคชนิดใหม่ที่เป็นสาเหนือของโรคทางเดินหายใจลึกลับ",patogen,"Para peneliti mengidentifikasi patogen baru yang bertanggung jawab atas penyakit pernapasan misterius tersebut."
palliative care,"Palliative care focuses on improving quality of life for terminally ill patients.",완화치료,"완화치료는 말기 환자의 삶의 질 향상에 초점을 맞춘다.",緩和ケア,"緩和ケアは末期患者の生活の質の向上に焦点を当てている。",姑息治疗,"姑息治疗侧重于改善终末期患者的生活质量。",cuidados paliativos,"Los cuidados paliativos se centran en mejorar la calidad de vida de los pacientes terminales.",chăm sóc giảm nhẹ,"Chăm sóc giảm nhẹ tập trung vào việc cải thiện chất lượng cuộc sống cho bệnh nhân giai đoạn cuối.",การดูแลแบบประคับประคอง,"การดูแลแบบประคับประคองมุ่งเน้นการปรับปรุงคุณภาพชีวิตของผู้ป่วยระยะสุดท้าย",perawatan paliatif,"Perawatan paliatif berfokus pada peningkatan kualitas hidup pasien dengan penyakit terminal."
cognitive dissonance,"Cognitive dissonance arises when one's actions contradict deeply held beliefs.",인지 부조화,"인지 부조화는 자신의 행동이 깊이 간직한 신념과 모순될 때 발생한다.",認知的不協和,"認知的不協和は自分の行動が深く抱いている信念と矛盾するときに生じる。",认知失调,"当一个人的行为与根深蒂固的信念相矛盾时就会产生认知失调。",disonancia cognitiva,"La disonancia cognitiva surge cuando las acciones contradicen las creencias profundamente arraigadas.",bất hòa nhận thức,"Bất hòa nhận thức phát sinh khi hành động của một người mâu thuẫn với niềm tin sâu sắc.",ความไม่สอดคล้องทางปัญญา,"ความไม่สอดคล้องทางปัญญาเกิดขึ้นเมื่อการกระทำของบุคคลขัดแย้งกับความเชื่อที่ฝังลึก",disonansi kognitif,"Disonansi kognitif muncul ketika tindakan seseorang bertentangan dengan keyakinan yang dipegang teguh."
psychosomatic,"Her chronic pain was diagnosed as psychosomatic after all physical tests came back normal.",심인성의,"모든 신체 검사가 정상으로 나온 후 그녀의 만성 통증은 심인성으로 진단되었다.",心身症的,"すべての身体検査が正常だった後、彼女の慢性痛は心身症と診断された。",心身的,"在所有身体检查结果正常后她的慢性疼痛被诊断为心身性的。",psicosomático,"Su dolor crónico fue diagnosticado como psicosomático después de que todas las pruebas físicas resultaron normales.",tâm thể,"Cơn đau mãn tính của cô ấy được chẩn đoán là tâm thể sau khi tất cả xét nghiệm thể chất đều bình thường.",ทางจิตกาย,"อาการปวดเรื้อรังของเธอได้รับการวินิจฉัยว่าเป็นทางจิตกายหลังจากผลตรวจร่างกายทั้งหมดปกติ",psikosomatis,"Nyeri kronisnya didiagnosis sebagai psikosomatis setelah semua tes fisik kembali normal."
narcissism,"Pathological narcissism can severely impair interpersonal relationships.",나르시시즘,"병적 나르시시즘은 대인관계를 심각하게 손상시킬 수 있다.",ナルシシズム,"病的なナルシシズムは対人関係を著しく損なうことがある。",自恋,"病态的自恋会严重损害人际关系。",narcisismo,"El narcisismo patológico puede deteriorar gravemente las relaciones interpersonales.",chứng tự yêu bản thân,"Chứng tự yêu bản thân bệnh lý có thể làm suy giảm nghiêm trọng các mối quan hệ giữa cá nhân.",โรคหลงตัวเอง,"โรคหลงตัวเองทางพยาธิวิทยาสามารถทำลายความสัมพันธ์ระหว่างบุคคลได้อย่างรุนแรง",narsisme,"Narsisme patologis dapat sangat merusak hubungan interpersonal."
neuroplasticity,"Neuroplasticity allows the brain to reorganize neural pathways after injury.",신경가소성,"신경가소성은 뇌가 손상 후 신경 경로를 재조직할 수 있게 한다.",神経可塑性,"神経可塑性により脳は損傷後に神経経路を再編成できる。",神经可塑性,"神经可塑性使大脑能够在受伤后重组神经通路。",neuroplasticidad,"La neuroplasticidad permite al cerebro reorganizar las vías neuronales después de una lesión.",tính dẻo thần kinh,"Tính dẻo thần kinh cho phép não tái tổ chức các đường dẫn thần kinh sau chấn thương.",ความยืดหยุ่นของระบบประสาท,"ความยืดหยุ่นของระบบประสาทช่วยให้สมองจัดเรียงเส้นทางประสาทใหม่หลังการบาดเจ็บ",neuroplastisitas,"Neuroplastisitas memungkinkan otak untuk mengatur ulang jalur saraf setelah cedera."
sublimation,"In psychoanalysis sublimation channels unacceptable impulses into socially constructive activities.",승화,"정신분석에서 승화는 용납되지 않는 충동을 사회적으로 건설적인 활동으로 전환한다.",昇華,"精神分析において昇華は受け入れられない衝動を社会的に建設的な活動に向ける。",升华,"在精神分析中升华将不可接受的冲动引导到具有社会建设性的活动中。",sublimación,"En psicoanálisis la sublimación canaliza impulsos inaceptables hacia actividades socialmente constructivas.",thăng hoa,"Trong phân tâm học sự thăng hoa chuyển hướng các xung động không thể chấp nhận thành hoạt động có ích cho xã hội.",การระเหิดทางจิต,"ในจิตวิเคราะห์ การระเหิดทางจิตเปลี่ยนแรงกระตุ้นที่ไม่เป็นที่ยอมรับไปสู่กิจกรรมที่สร้างสรรค์ทางสังคม",sublimasi,"Dalam psikoanalisis sublimasi menyalurkan dorongan yang tidak dapat diterima ke dalam aktivitas yang konstruktif secara sosial."
gaslighting,"Gaslighting is a manipulative tactic that causes victims to question their own reality.",가스라이팅,"가스라이팅은 피해자가 자신의 현실을 의심하게 만드는 조종 전술이다.",ガスライティング,"ガスライティングは被害者に自分の現実を疑わせる操作的な手法である。",煤气灯效应,"煤气灯效应是一种操纵手段使受害者怀疑自己的现实。",manipulación psicológica,"La manipulación psicológica es una táctica que hace que las víctimas cuestionen su propia realidad.",thao túng tâm lý,"Thao túng tâm lý là một chiến thuật khiến nạn nhân nghi ngờ chính thực tại của mình.",การปั่นหัว,"การปั่นหัวเป็นกลวิธีบงการที่ทำให้เหยื่อตั้งคำถามกับความเป็นจริงของตัวเอง",gaslighting,"Gaslighting adalah taktik manipulatif yang menyebabkan korban mempertanyakan realitas mereka sendiri."
transference,"Transference in therapy occurs when patients project feelings onto their therapist.",전이,"치료에서 전이는 환자가 치료사에게 감정을 투사할 때 발생한다.",転移,"治療における転移は患者がセラピストに感情を投影するときに起こる。",移情,"治疗中的移情发生在患者将感情投射到治疗师身上时。",transferencia,"La transferencia en terapia ocurre cuando los pacientes proyectan sentimientos sobre su terapeuta.",chuyển di,"Chuyển di trong trị liệu xảy ra khi bệnh nhân phóng chiếu cảm xúc lên nhà trị liệu.",การถ่ายโอนความรู้สึก,"การถ่ายโอนความรู้สึกในการบำบัดเกิดขึ้นเมื่อผู้ป่วยฉายความรู้สึกไปยังนักบำบัด",transferensi,"Transferensi dalam terapi terjadi ketika pasien memproyeksikan perasaan kepada terapis mereka."
dissociation,"Severe trauma can trigger dissociation as a psychological defense mechanism.",해리,"심각한 트라우마는 심리적 방어 기제로서 해리를 유발할 수 있다.",解離,"重度のトラウマは心理的防衛機制として解離を引き起こすことがある。",解离,"严重的创伤可以触发解离作为一种心理防御机制。",disociación,"Un trauma severo puede desencadenar la disociación como mecanismo de defensa psicológica.",phân ly,"Chấn thương nghiêm trọng có thể kích hoạt phân ly như một cơ chế phòng vệ tâm lý.",การแยกตัวทางจิต,"บาดแผลทางจิตใจที่รุนแรงสามารถกระตุ้นการแยกตัวทางจิตเป็นกลไกป้องกันทางจิตวิทยา",disosiasi,"Trauma parah dapat memicu disosiasi sebagai mekanisme pertahanan psikologis."
metacognition,"Metacognition enables learners to evaluate and regulate their own thinking processes.",메타인지,"메타인지는 학습자가 자신의 사고 과정을 평가하고 조절할 수 있게 한다.",メタ認知,"メタ認知は学習者が自分の思考過程を評価し調整することを可能にする。",元认知,"元认知使学习者能够评估和调节自己的思维过程。",metacognición,"La metacognición permite a los aprendices evaluar y regular sus propios procesos de pensamiento.",siêu nhận thức,"Siêu nhận thức cho phép người học đánh giá và điều chỉnh quá trình tư duy của chính họ.",อภิปัญญา,"อภิปัญญาช่วยให้ผู้เรียนประเมินและควบคุมกระบวนการคิดของตนเอง",metakognisi,"Metakognisi memungkinkan pelajar untuk mengevaluasi dan mengatur proses berpikir mereka sendiri."
quantum entanglement,"Quantum entanglement allows particles to instantaneously affect each other regardless of distance.",양자 얽힘,"양자 얽힘은 거리에 관계없이 입자들이 즉각적으로 서로에게 영향을 미칠 수 있게 한다.",量子もつれ,"量子もつれにより粒子は距離に関係なく瞬時に互いに影響を及ぼすことができる。",量子纠缠,"量子纠缠使粒子能够不受距离限制地即时相互影响。",entrelazamiento cuántico,"El entrelazamiento cuántico permite que las partículas se afecten instantáneamente sin importar la distancia.",vướng víu lượng tử,"Vướng víu lượng tử cho phép các hạt ảnh hưởng tức thời lẫn nhau bất kể khoảng cách.",ควอนตัมเอนแทงเกิลเมนต์,"ควอนตัมเอนแทงเกิลเมนต์ทำให้อนุภาคสามารถส่งผลกระทบต่อกันได้ทันทีโดยไม่คำนึงถึงระยะทาง",keterkaitan kuantum,"Keterkaitan kuantum memungkinkan partikel untuk saling memengaruhi secara instan tanpa memandang jarak."
superposition,"In quantum mechanics superposition means a particle exists in multiple states simultaneously.",중첩,"양자역학에서 중첩은 입자가 동시에 여러 상태로 존재하는 것을 의미한다.",重ね合わせ,"量子力学において重ね合わせは粒子が同時に複数の状態に存在することを意味する。",叠加,"在量子力学中叠加意味着粒子同时存在于多个状态。",superposición,"En mecánica cuántica la superposición significa que una partícula existe en múltiples estados simultáneamente.",chồng chập,"Trong cơ học lượng tử chồng chập có nghĩa là một hạt tồn tại ở nhiều trạng thái đồng thời.",สถานะซ้อนทับ,"ในกลศาสตร์ควอนตัม สถานะซ้อนทับหมายความว่าอนุภาคมีอยู่ในหลายสถานะพร้อมกัน",superposisi,"Dalam mekanika kuantum superposisi berarti partikel ada dalam beberapa keadaan secara bersamaan."
wave-particle duality,"Wave-particle duality demonstrates that light behaves as both a wave and a particle.",파동-입자 이중성,"파동-입자 이중성은 빛이 파동과 입자 모두로 행동함을 보여준다.",波動粒子二重性,"波動粒子二重性は光が波と粒子の両方として振る舞うことを示す。",波粒二象性,"波粒二象性表明光既表现为波又表现为粒子。",dualidad onda-partícula,"La dualidad onda-partícula demuestra que la luz se comporta como onda y como partícula.",lưỡng tính sóng-hạt,"Lưỡng tính sóng-hạt cho thấy ánh sáng hoạt động vừa như sóng vừa như hạt.",ทวิภาวะคลื่น-อนุภาค,"ทวิภาวะคลื่น-อนุภาคแสดงให้เห็นว่าแสงมีพฤติกรรมเป็นทั้งคลื่นและอนุภาค",dualitas gelombang-partikel,"Dualitas gelombang-partikel menunjukkan bahwa cahaya berperilaku sebagai gelombang dan partikel."
quantum decoherence,"Quantum decoherence explains why macroscopic objects do not exhibit quantum behavior.",양자 결어긋남,"양자 결어긋남은 거시적 물체가 양자 행동을 보이지 않는 이유를 설명한다.",量子デコヒーレンス,"量子デコヒーレンスは巨視的な物体が量子的振る舞いを示さない理由を説明する。",量子退相干,"量子退相干解释了为什么宏观物体不表现出量子行为。",decoherencia cuántica,"La decoherencia cuántica explica por qué los objetos macroscópicos no exhiben comportamiento cuántico.",giải kết hợp lượng tử,"Giải kết hợp lượng tử giải thích tại sao các vật thể vĩ mô không thể hiện hành vi lượng tử.",ควอนตัมดีโคฮีเรนซ์,"ควอนตัมดีโคฮีเรนซ์อธิบายว่าทำไมวัตถุในระดับมหภาคจึงไม่แสดงพฤติกรรมควอนตัม",dekoherensi kuantum,"Dekoherensi kuantum menjelaskan mengapa objek makroskopis tidak menunjukkan perilaku kuantum."
Heisenberg uncertainty principle,"The Heisenberg uncertainty principle states that position and momentum cannot be simultaneously measured with precision.",하이젠베르크 불확정성 원리,"하이젠베르크 불확정성 원리는 위치와 운동량을 동시에 정밀하게 측정할 수 없다고 명시한다.",ハイゼンベルクの不確定性原理,"ハイゼンベルクの不確定性原理は位置と運動量を同時に正確に測定できないと述べている。",海森堡不确定性原理,"海森堡不确定性原理指出位置和动量不能同时被精确测量。",principio de incertidumbre de Heisenberg,"El principio de incertidumbre de Heisenberg establece que la posición y el momento no pueden medirse simultáneamente con precisión.",nguyên lý bất định Heisenberg,"Nguyên lý bất định Heisenberg phát biểu rằng vị trí và động lượng không thể đồng thời được đo chính xác.",หลักความไม่แน่นอนของไฮเซนเบิร์ก,"หลักความไม่แน่นอนของไฮเซนเบิร์กระบุว่าตำแหน่งและโมเมนตัมไม่สามารถวัดได้อย่างแม่นยำพร้อมกัน",prinsip ketidakpastian Heisenberg,"Prinsip ketidakpastian Heisenberg menyatakan bahwa posisi dan momentum tidak dapat diukur secara bersamaan dengan presisi."
quantum tunneling,"Quantum tunneling enables particles to pass through energy barriers that classical physics deems impenetrable.",양자 터널링,"양자 터널링은 고전 물리학에서 통과 불가능하다고 간주하는 에너지 장벽을 입자가 통과할 수 있게 한다.",量子トンネル効果,"量子トンネル効果により粒子は古典物理学では通過不可能とされるエネルギー障壁を通過できる。",量子隧穿,"量子隧穿使粒子能够穿过经典物理学认为不可穿透的能量壁垒。",efecto túnel cuántico,"El efecto túnel cuántico permite que las partículas atraviesen barreras de energía que la física clásica considera impenetrables.",hiệu ứng đường hầm lượng tử,"Hiệu ứng đường hầm lượng tử cho phép các hạt đi qua rào cản năng lượng mà vật lý cổ điển coi là không thể xuyên qua.",ควอนตัมทันเนลลิง,"ควอนตัมทันเนลลิงทำให้อนุภาคสามารถผ่านกำแพงพลังงานที่ฟิสิกส์แบบดั้งเดิมถือว่าทะลุไม่ได้",efek terowongan kuantum,"Efek terowongan kuantum memungkinkan partikel melewati penghalang energi yang dianggap tidak dapat ditembus oleh fisika klasik."
