cognition,"Higher-order cognition distinguishes humans from most other species.",인지,"고차원적 인지는 인간을 대부분의 다른 종과 구별한다.",認知,高次の認知は人間を他のほとんどの種と区別する。,认知,高级认知将人类与大多数其他物种区分开来。,cognición,La cognición de orden superior distingue a los humanos de la mayoría de las otras especies.,nhận thức,Nhận thức bậc cao phân biệt con người với hầu hết các loài khác.,การรับรู้,การรับรู้ขั้นสูงทำให้มนุษย์แตกต่างจากสิ่งมีชีวิตอื่นส่วนใหญ่,kognisi,Kognisi tingkat tinggi membedakan manusia dari kebanyakan spesies lain.
desensitization,"Systematic desensitization is used to treat phobias by gradually exposing patients to feared stimuli.",둔감화,"체계적 둔감화는 환자를 두려운 자극에 점진적으로 노출시켜 공포증을 치료하는 데 사용된다.",脱感作,系統的脱感作は恐怖刺激に徐々に曝露することで恐怖症の治療に使用される。,脱敏,系统脱敏法通过逐步让患者接触恐惧刺激来治疗恐惧症。,desensibilización,La desensibilización sistemática se utiliza para tratar fobias exponiendo gradualmente a los pacientes a estímulos temidos.,giải mẫn cảm,Giải mẫn cảm có hệ thống được sử dụng để điều trị ám ảnh sợ bằng cách dần dần cho bệnh nhân tiếp xúc với kích thích gây sợ.,การลดความไวต่อสิ่งกระตุ้น,การลดความไวอย่างเป็นระบบใช้ในการรักษาโรคกลัวโดยการเปิดรับสิ่งกระตุ้นที่กลัวทีละน้อย,desensitisasi,Desensitisasi sistematis digunakan untuk mengobati fobia dengan secara bertahap mengekspos pasien pada rangsangan yang ditakuti.
psychosomatic,"Her chronic headaches were determined to be psychosomatic in origin.",심인성의,"그녀의 만성 두통은 심인성 원인인 것으로 판명되었다.",心身症の,彼女の慢性的な頭痛は心身症的な起源であると判断された。,心身的,她的慢性头痛被确定为心身性疾病。,psicosomático,Sus dolores de cabeza crónicos se determinaron como de origen psicosomático.,tâm thể,Chứng đau đầu mãn tính của cô ấy được xác định là có nguồn gốc tâm thể.,ทางจิตกาย,อาการปวดศีรษะเรื้อรังของเธอถูกวินิจฉัยว่ามีสาเหตุทางจิตกาย,psikosomatis,Sakit kepala kronisnya ditentukan berasal dari psikosomatis.
catharsis,"Writing in a journal can serve as a form of emotional catharsis.",카타르시스,"일기 쓰기는 감정적 카타르시스의 한 형태로 작용할 수 있다.",カタルシス,日記を書くことは感情のカタルシスの一形態として機能しうる。,宣泄,写日记可以作为一种情感宣泄的形式。,catarsis,Escribir en un diario puede servir como una forma de catarsis emocional.,sự giải tỏa,Viết nhật ký có thể là một hình thức giải tỏa cảm xúc.,การระบายอารมณ์,การเขียนบันทึกสามารถทำหน้าที่เป็นการระบายอารมณ์รูปแบบหนึ่ง,katarsis,Menulis jurnal dapat berfungsi sebagai bentuk katarsis emosional.
cognizant,"She was fully cognizant of the risks involved in the experimental procedure.",인식하고 있는,"그녀는 실험 절차에 수반되는 위험을 충분히 인식하고 있었다.",認識している,彼女は実験手順に伴うリスクを十分に認識していた。,认识到的,她充分认识到实验程序中涉及的风险。,consciente,Ella era plenamente consciente de los riesgos involucrados en el procedimiento experimental.,nhận thức rõ,Cô ấy hoàn toàn nhận thức rõ những rủi ro liên quan đến quy trình thí nghiệm.,ตระหนักรู้,เธอตระหนักรู้ถึงความเสี่ยงที่เกี่ยวข้องกับขั้นตอนการทดลองอย่างเต็มที่,menyadari,Dia sepenuhnya menyadari risiko yang terlibat dalam prosedur eksperimental.
predisposition,"A genetic predisposition does not guarantee the onset of any particular disease.",소인; 성향,"유전적 소인이 특정 질병의 발병을 보장하는 것은 아니다.",素因,遺伝的素因は特定の疾患の発症を保証するものではない。,易感性,遗传易感性并不保证任何特定疾病的发作。,predisposición,Una predisposición genética no garantiza la aparición de ninguna enfermedad en particular.,khuynh hướng,Khuynh hướng di truyền không đảm bảo sự khởi phát của bất kỳ bệnh cụ thể nào.,ความเสี่ยงทางพันธุกรรม,ความเสี่ยงทางพันธุกรรมไม่ได้รับประกันการเกิดโรคใดโรคหนึ่ง,predisposisi,Predisposisi genetik tidak menjamin timbulnya penyakit tertentu.
dopamine,"Dopamine surges reinforce behaviors that the brain interprets as rewarding.",도파민,"도파민의 급증은 뇌가 보상으로 해석하는 행동을 강화한다.",ドーパミン,ドーパミンの急増は脳が報酬と解釈する行動を強化する。,多巴胺,多巴胺的激增会强化大脑认为有奖赏性的行为。,dopamina,Los aumentos de dopamina refuerzan comportamientos que el cerebro interpreta como gratificantes.,dopamine,Sự gia tăng dopamine củng cố các hành vi mà não bộ diễn giải là có tính thưởng.,โดพามีน,การหลั่งโดพามีนเสริมแรงพฤติกรรมที่สมองตีความว่าเป็นรางวัล,dopamin,Lonjakan dopamin memperkuat perilaku yang ditafsirkan otak sebagai hadiah.
amygdala,"The amygdala processes emotional responses and is central to the fear reaction.",편도체,"편도체는 감정 반응을 처리하며 공포 반응의 핵심이다.",扁桃体,扁桃体は感情的反応を処理し恐怖反応の中心である。,杏仁核,杏仁核处理情绪反应并且是恐惧反应的核心。,amígdala,La amígdala procesa las respuestas emocionales y es fundamental para la reacción de miedo.,hạch hạnh nhân,Hạch hạnh nhân xử lý các phản ứng cảm xúc và là trung tâm của phản ứng sợ hãi.,อะมิกดะลา,อะมิกดะลาประมวลผลการตอบสนองทางอารมณ์และเป็นศูนย์กลางของปฏิกิริยาความกลัว,amigdala,Amigdala memproses respons emosional dan merupakan pusat reaksi ketakutan.
resilience,"Psychological resilience enables individuals to recover swiftly from adversity.",회복탄력성,"심리적 회복탄력성은 개인이 역경으로부터 빠르게 회복할 수 있게 한다.",レジリエンス,心理的レジリエンスは個人が逆境から迅速に回復することを可能にする。,心理韧性,心理韧性使个人能够迅速从逆境中恢复。,resiliencia,La resiliencia psicológica permite a los individuos recuperarse rápidamente de la adversidad.,khả năng phục hồi,Khả năng phục hồi tâm lý cho phép cá nhân hồi phục nhanh chóng từ nghịch cảnh.,ความยืดหยุ่นทางจิตใจ,ความยืดหยุ่นทางจิตใจช่วยให้บุคคลฟื้นตัวจากความทุกข์ยากได้อย่างรวดเร็ว,ketahanan,Ketahanan psikologis memungkinkan individu pulih dengan cepat dari kesulitan.
dissociation,"Dissociation can manifest as a detachment from one's own thoughts and identity.",해리,"해리는 자신의 생각과 정체성으로부터의 분리로 나타날 수 있다.",解離,解離は自分の思考やアイデンティティからの離脱として現れることがある。,解离,解离可以表现为与自己的思想和身份的脱离。,disociación,La disociación puede manifestarse como un desprendimiento de los propios pensamientos e identidad.,phân ly,Phân ly có thể biểu hiện dưới dạng tách rời khỏi suy nghĩ và bản sắc của chính mình.,การแยกตัว,การแยกตัวอาจแสดงออกเป็นการแยกออกจากความคิดและอัตลักษณ์ของตนเอง,disosiasi,Disosiasi dapat bermanifestasi sebagai pelepasan dari pikiran dan identitas seseorang.
operant conditioning,"Operant conditioning shapes behavior through a systematic framework of rewards and punishments.",조작적 조건형성,"조작적 조건형성은 보상과 처벌의 체계적 틀을 통해 행동을 형성한다.",オペラント条件付け,オペラント条件付けは報酬と罰の体系的な枠組みを通じて行動を形成する。,操作性条件反射,操作性条件反射通过系统的奖惩框架来塑造行为。,condicionamiento operante,El condicionamiento operante moldea el comportamiento a través de un marco sistemático de recompensas y castigos.,điều kiện hóa tạo tác,Điều kiện hóa tạo tác định hình hành vi thông qua một khuôn khổ có hệ thống gồm phần thưởng và hình phạt.,การวางเงื่อนไขแบบกระทำ,การวางเงื่อนไขแบบกระทำกำหนดพฤติกรรมผ่านกรอบแบบเป็นระบบของรางวัลและการลงโทษ,pengkondisian operan,Pengkondisian operan membentuk perilaku melalui kerangka sistematis penghargaan dan hukuman.
heuristic,"People rely on cognitive heuristics to make quick decisions under uncertainty.",휴리스틱; 발견법,"사람들은 불확실성 아래에서 빠른 결정을 내리기 위해 인지적 휴리스틱에 의존한다.",ヒューリスティック,人々は不確実性の下で素早い決定を下すために認知的ヒューリスティックに頼る。,启发法,人们依靠认知启发法在不确定性下快速做出决定。,heurístico,Las personas recurren a heurísticos cognitivos para tomar decisiones rápidas bajo incertidumbre.,phương pháp suy đoán,Con người dựa vào các phương pháp suy đoán nhận thức để đưa ra quyết định nhanh trong tình huống bất định.,ฮิวริสติก,ผู้คนพึ่งพาฮิวริสติกทางปัญญาเพื่อตัดสินใจอย่างรวดเร็วภายใต้ความไม่แน่นอน,heuristik,Orang bergantung pada heuristik kognitif untuk membuat keputusan cepat di bawah ketidakpastian.
metacognition,"Metacognition allows learners to evaluate and adjust their own study strategies.",메타인지,"메타인지는 학습자가 자신의 학습 전략을 평가하고 조정할 수 있게 한다.",メタ認知,メタ認知は学習者が自分の学習戦略を評価し調整することを可能にする。,元认知,元认知使学习者能够评估和调整自己的学习策略。,metacognición,La metacognición permite a los estudiantes evaluar y ajustar sus propias estrategias de estudio.,siêu nhận thức,Siêu nhận thức cho phép người học đánh giá và điều chỉnh chiến lược học tập của mình.,อภิปัญญา,อภิปัญญาช่วยให้ผู้เรียนประเมินและปรับกลยุทธ์การเรียนของตนเอง,metakognisi,Metakognisi memungkinkan pelajar mengevaluasi dan menyesuaikan strategi belajar mereka sendiri.
projection,"Projection is a defense mechanism in which one attributes unwanted feelings to others.",투사,"투사는 원치 않는 감정을 타인에게 귀속시키는 방어 기제이다.",投影,投影は望まない感情を他者に帰属させる防衛機制である。,投射,投射是一种将不想要的感受归因于他人的防御机制。,proyección,La proyección es un mecanismo de defensa en el que uno atribuye sentimientos no deseados a otros.,phóng chiếu,Phóng chiếu là một cơ chế phòng vệ trong đó người ta gán những cảm xúc không mong muốn cho người khác.,การฉายภาพทางจิต,การฉายภาพทางจิตเป็นกลไกป้องกันที่บุคคลโอนความรู้สึกที่ไม่ต้องการไปยังผู้อื่น,proyeksi,Proyeksi adalah mekanisme pertahanan di mana seseorang mengatribusikan perasaan yang tidak diinginkan kepada orang lain.
intrinsic motivation,"Intrinsic motivation drives people to pursue activities purely for personal satisfaction.",내재적 동기,"내재적 동기는 순전히 개인적 만족을 위해 활동을 추구하도록 사람들을 이끈다.",内発的動機付け,内発的動機付けは純粋に個人的な満足のために活動を追求するよう人々を駆り立てる。,内在动机,内在动机驱使人们纯粹为了个人满足而追求活动。,motivación intrínseca,La motivación intrínseca impulsa a las personas a realizar actividades puramente por satisfacción personal.,động lực nội tại,Động lực nội tại thúc đẩy con người theo đuổi các hoạt động thuần túy vì sự thỏa mãn cá nhân.,แรงจูงใจภายใน,แรงจูงใจภายในขับเคลื่อนให้ผู้คนทำกิจกรรมเพื่อความพึงพอใจส่วนตัวล้วนๆ,motivasi intrinsik,Motivasi intrinsik mendorong orang untuk mengejar aktivitas murni demi kepuasan pribadi.
confabulation,"Confabulation occurs when the brain fabricates memories to fill gaps in recollection.",작화증,"작화증은 뇌가 기억의 공백을 메우기 위해 기억을 만들어낼 때 발생한다.",作話,作話は脳が記憶のギャップを埋めるために記憶を捏造するときに起こる。,虚构记忆,虚构记忆是大脑编造记忆以填补回忆中的空白时发生的现象。,confabulación,La confabulación ocurre cuando el cerebro fabrica recuerdos para llenar lagunas en la memoria.,bịa nhớ,Bịa nhớ xảy ra khi não bộ tạo ra ký ức để lấp đầy khoảng trống trong hồi ức.,การสร้างความจำเท็จ,การสร้างความจำเท็จเกิดขึ้นเมื่อสมองสร้างความทรงจำขึ้นมาเพื่อเติมช่องว่างในการระลึก,konfabulasi,Konfabulasi terjadi ketika otak memfabrikasi ingatan untuk mengisi celah dalam ingatan.
biodiversity,"The Amazon rainforest harbors unparalleled biodiversity that is vital to global ecosystems.",생물다양성,"아마존 열대우림은 지구 생태계에 필수적인 비할 데 없는 생물다양성을 품고 있다.",生物多様性,アマゾンの熱帯雨林は世界の生態系に不可欠な比類なき生物多様性を有している。,生物多样性,亚马逊雨林拥有对全球生态系统至关重要的无与伦比的生物多样性。,biodiversidad,La selva amazónica alberga una biodiversidad incomparable que es vital para los ecosistemas globales.,đa dạng sinh học,Rừng mưa Amazon chứa đựng sự đa dạng sinh học vô song thiết yếu cho các hệ sinh thái toàn cầu.,ความหลากหลายทางชีวภาพ,ป่าฝนอะเมซอนมีความหลากหลายทางชีวภาพที่ไม่มีใดเทียบได้ซึ่งมีความสำคัญต่อระบบนิเวศโลก,keanekaragaman hayati,Hutan hujan Amazon memiliki keanekaragaman hayati yang tak tertandingi yang vital bagi ekosistem global.
anthropogenic,"Anthropogenic climate change is driven primarily by the burning of fossil fuels.",인위적인,"인위적 기후 변화는 주로 화석 연료의 연소에 의해 발생한다.",人為的,人為的な気候変動は主に化石燃料の燃焼によって引き起こされている。,人为的,人为气候变化主要是由化石燃料的燃烧驱动的。,antropogénico,El cambio climático antropogénico es impulsado principalmente por la quema de combustibles fósiles.,nhân tạo,Biến đổi khí hậu do con người gây ra chủ yếu được thúc đẩy bởi việc đốt nhiên liệu hóa thạch.,ที่เกิดจากมนุษย์,การเปลี่ยนแปลงสภาพภูมิอากาศที่เกิดจากมนุษย์ขับเคลื่อนโดยการเผาไหม้เชื้อเพลิงฟอสซิลเป็นหลัก,antropogenik,Perubahan iklim antropogenik terutama didorong oleh pembakaran bahan bakar fosil.
carbon footprint,"Reducing your carbon footprint requires systemic changes beyond individual consumer choices.",탄소 발자국,"탄소 발자국을 줄이려면 개인 소비자 선택을 넘어서는 체계적 변화가 필요하다.",カーボンフットプリント,カーボンフットプリントの削減には個人の消費者選択を超えた体系的な変化が必要である。,碳足迹,减少碳足迹需要超越个人消费者选择的系统性变革。,huella de carbono,Reducir la huella de carbono requiere cambios sistémicos más allá de las elecciones individuales del consumidor.,dấu chân carbon,Giảm dấu chân carbon đòi hỏi những thay đổi mang tính hệ thống vượt ra ngoài lựa chọn tiêu dùng cá nhân.,รอยเท้าคาร์บอน,การลดรอยเท้าคาร์บอนต้องการการเปลี่ยนแปลงเชิงระบบที่มากกว่าทางเลือกของผู้บริโภคแต่ละคน,jejak karbon,Mengurangi jejak karbon membutuhkan perubahan sistemik di luar pilihan konsumen individu.
renewable,"The transition to renewable energy sources is essential for mitigating climate change.",재생 가능한,"재생 가능 에너지원으로의 전환은 기후 변화 완화에 필수적이다.",再生可能な,再生可能エネルギー源への移行は気候変動の緩和に不可欠である。,可再生的,向可再生能源的过渡对于减缓气候变化至关重要。,renovable,La transición a fuentes de energía renovable es esencial para mitigar el cambio climático.,tái tạo được,Việc chuyển đổi sang các nguồn năng lượng tái tạo là thiết yếu để giảm thiểu biến đổi khí hậu.,พลังงานหมุนเวียน,การเปลี่ยนผ่านไปสู่แหล่งพลังงานหมุนเวียนเป็นสิ่งจำเป็นสำหรับการบรรเทาการเปลี่ยนแปลงสภาพภูมิอากาศ,terbarukan,Transisi ke sumber energi terbarukan sangat penting untuk mitigasi perubahan iklim.
fossil fuel,"Global dependence on fossil fuels continues to accelerate greenhouse gas emissions.",화석 연료,"화석 연료에 대한 전 세계적 의존도는 온실가스 배출을 계속 가속화하고 있다.",化石燃料,化石燃料への世界的な依存は温室効果ガスの排出を加速し続けている。,化石燃料,全球对化石燃料的依赖继续加速温室气体排放。,combustible fósil,La dependencia global de los combustibles fósiles sigue acelerando las emisiones de gases de efecto invernadero.,nhiên liệu hóa thạch,Sự phụ thuộc toàn cầu vào nhiên liệu hóa thạch tiếp tục đẩy nhanh lượng phát thải khí nhà kính.,เชื้อเพลิงฟอสซิล,การพึ่งพาเชื้อเพลิงฟอสซิลของโลกยังคงเร่งการปล่อยก๊าซเรือนกระจก,bahan bakar fosil,Ketergantungan global pada bahan bakar fosil terus mempercepat emisi gas rumah kaca.
ozone depletion,"Ozone depletion over the Antarctic led to the landmark Montreal Protocol.",오존층 파괴,"남극 상공의 오존층 파괴는 획기적인 몬트리올 의정서로 이어졌다.",オゾン層破壊,南極上空のオゾン層破壊は画期的なモントリオール議定書につながった。,臭氧层消耗,南极上空的臭氧层消耗促成了具有里程碑意义的蒙特利尔议定书。,agotamiento del ozono,El agotamiento del ozono sobre la Antártida condujo al histórico Protocolo de Montreal.,suy giảm tầng ozone,Sự suy giảm tầng ozone trên Nam Cực đã dẫn đến Nghị định thư Montreal mang tính bước ngoặt.,การสูญเสียชั้นโอโซน,การสูญเสียชั้นโอโซนเหนือแอนตาร์กติกานำไปสู่พิธีสารมอนทรีออลอันเป็นประวัติศาสตร์,penipisan ozon,Penipisan ozon di atas Antarktika menghasilkan Protokol Montreal yang bersejarah.
contamination,"Contamination of groundwater by industrial runoff poses severe public health risks.",오염,"산업 유출수에 의한 지하수 오염은 심각한 공중 보건 위험을 초래한다.",汚染,産業排水による地下水の汚染は深刻な公衆衛生上のリスクをもたらす。,污染,工业径流对地下水的污染构成严重的公共健康风险。,contaminación,La contaminación de las aguas subterráneas por escorrentía industrial plantea graves riesgos para la salud pública.,sự ô nhiễm,Sự ô nhiễm nước ngầm bởi nước thải công nghiệp gây ra những rủi ro nghiêm trọng cho sức khỏe cộng đồng.,การปนเปื้อน,การปนเปื้อนของน้ำใต้ดินจากน้ำทิ้งอุตสาหกรรมก่อให้เกิดความเสี่ยงด้านสาธารณสุขอย่างรุนแรง,kontaminasi,Kontaminasi air tanah oleh limpasan industri menimbulkan risiko kesehatan masyarakat yang serius.
remediation,"Environmental remediation of the contaminated site will take over a decade to complete.",정화; 복원,"오염된 부지의 환경 정화는 완료하는 데 10년 이상 걸릴 것이다.",浄化,汚染された場所の環境浄化は完了までに10年以上かかるだろう。,修复,受污染场地的环境修复将需要十多年才能完成。,remediación,La remediación ambiental del sitio contaminado tardará más de una década en completarse.,khắc phục,Việc khắc phục môi trường của khu vực bị ô nhiễm sẽ mất hơn một thập kỷ để hoàn thành.,การฟื้นฟู,การฟื้นฟูสิ่งแวดล้อมของพื้นที่ที่ปนเปื้อนจะใช้เวลามากกว่าทศวรรษในการดำเนินการ,remediasi,Remediasi lingkungan di lokasi yang terkontaminasi akan memakan waktu lebih dari satu dekade untuk diselesaikan.
deforestation,"Rampant deforestation in tropical regions threatens countless endemic species.",삼림 벌채,"열대 지역의 무분별한 삼림 벌채는 수많은 고유종을 위협한다.",森林破壊,熱帯地域での無秩序な森林破壊は無数の固有種を脅かしている。,毁林,热带地区猖獗的毁林威胁着无数特有物种。,deforestación,La deforestación desenfrenada en regiones tropicales amenaza a innumerables especies endémicas.,phá rừng,Nạn phá rừng tràn lan ở các vùng nhiệt đới đe dọa vô số loài đặc hữu.,การตัดไม้ทำลายป่า,การตัดไม้ทำลายป่าอย่างบ้าคลั่งในเขตร้อนคุกคามสิ่งมีชีวิตเฉพาะถิ่นนับไม่ถ้วน,deforestasi,Deforestasi yang merajalela di wilayah tropis mengancam banyak spesies endemik.
ecosystem,"The delicate balance of a coral reef ecosystem can be disrupted by even slight temperature changes.",생태계,"산호초 생태계의 섬세한 균형은 약간의 온도 변화만으로도 파괴될 수 있다.",生態系,サンゴ礁の生態系の繊細なバランスはわずかな温度変化でも崩れる可能性がある。,生态系统,珊瑚礁生态系统的微妙平衡即使温度轻微变化也会被打破。,ecosistema,El delicado equilibrio de un ecosistema de arrecife de coral puede verse alterado incluso por ligeros cambios de temperatura.,hệ sinh thái,Sự cân bằng mong manh của hệ sinh thái rạn san hô có thể bị phá vỡ bởi những thay đổi nhiệt độ dù rất nhỏ.,ระบบนิเวศ,สมดุลที่ละเอียดอ่อนของระบบนิเวศแนวปะการังอาจถูกรบกวนได้แม้จะมีการเปลี่ยนแปลงอุณหภูมิเพียงเล็กน้อย,ekosistem,Keseimbangan halus ekosistem terumbu karang dapat terganggu bahkan oleh perubahan suhu yang kecil.
