jurisprudence,The professor's lecture on jurisprudence explored the philosophical foundations of legal systems.,법학,그 교수의 법학 강의는 법 체계의 철학적 기초를 탐구했다.,法学,その教授の法学の講義は法体系の哲学的基礎を探究した。,法理学,那位教授的法理学讲座探讨了法律体系的哲学基础。,jurisprudencia,La conferencia del profesor sobre jurisprudencia exploró los fundamentos filosóficos de los sistemas legales.,luật học,Bài giảng của giáo sư về luật học đã khám phá nền tảng triết học của các hệ thống pháp luật.,นิติศาสตร์,การบรรยายของศาสตราจารย์เรื่องนิติศาสตร์ได้สำรวจรากฐานทางปรัชญาของระบบกฎหมาย,yurisprudensi,Kuliah profesor tentang yurisprudensi mengeksplorasi dasar filosofis sistem hukum.
amicus curiae,Several organizations submitted amicus curiae briefs to inform the court on broader implications.,법정조언자,여러 단체가 더 넓은 시사점에 대해 법원에 알리기 위해 법정조언자 의견서를 제출했다.,法廷助言者,いくつかの組織がより広い影響について裁判所に情報を提供するために法廷助言者意見書を提出した。,法庭之友,多个组织提交了法庭之友意见书以告知法院更广泛的影响。,amicus curiae,Varias organizaciones presentaron escritos de amicus curiae para informar al tribunal sobre implicaciones más amplias.,người bạn của tòa án,Nhiều tổ chức đã nộp bản ý kiến người bạn của tòa án để thông báo cho tòa về các tác động rộng hơn.,มิตรศาล,หลายองค์กรยื่นคำแถลงมิตรศาลเพื่อแจ้งให้ศาลทราบถึงผลกระทบในวงกว้าง,amicus curiae,Beberapa organisasi mengajukan ringkasan amicus curiae untuk menginformasikan pengadilan tentang implikasi yang lebih luas.
preemption,Federal preemption invalidates state laws that conflict with national legislation.,선점,연방 선점은 국가 입법과 충돌하는 주법을 무효화한다.,専占,連邦専占は国の立法と矛盾する州法を無効にする。,优先权,联邦优先权使与国家立法冲突的州法律无效。,preempción,La preempción federal invalida las leyes estatales que entran en conflicto con la legislación nacional.,quyền ưu tiên,Quyền ưu tiên liên bang vô hiệu hóa các luật tiểu bang mâu thuẫn với pháp luật quốc gia.,สิทธิเหนือกว่า,สิทธิเหนือกว่าของรัฐบาลกลางทำให้กฎหมายของรัฐที่ขัดแย้งกับกฎหมายระดับชาติเป็นโมฆะ,preemsi,Preemsi federal membatalkan undang-undang negara bagian yang bertentangan dengan legislasi nasional.
originalism,Originalism interprets the constitution according to the framers' intent at the time of drafting.,원의주의,원의주의는 헌법을 기초 당시 기초자들의 의도에 따라 해석한다.,原意主義,原意主義は憲法を起草時の起草者の意図に従って解釈する。,原旨主义,原旨主义按照制宪者起草时的意图来解释宪法。,originalismo,El originalismo interpreta la constitución según la intención de los redactores en el momento de su redacción.,thuyết nguyên gốc,Thuyết nguyên gốc giải thích hiến pháp theo ý định của những người soạn thảo tại thời điểm soạn thảo.,ทฤษฎีต้นฉบับ,ทฤษฎีต้นฉบับตีความรัฐธรรมนูญตามเจตนารมณ์ของผู้ร่างในขณะที่ร่าง,originalisme,Originalisme menafsirkan konstitusi sesuai dengan maksud para perumus pada saat penyusunan.
strict scrutiny,Laws that restrict fundamental rights must survive strict scrutiny to be upheld.,엄격심사,기본권을 제한하는 법률은 유지되기 위해 엄격심사를 통과해야 한다.,厳格審査,基本的権利を制限する法律は維持されるために厳格審査に耐えなければならない。,严格审查,限制基本权利的法律必须经受严格审查才能维持。,escrutinio estricto,Las leyes que restringen derechos fundamentales deben superar el escrutinio estricto para ser confirmadas.,kiểm tra nghiêm ngặt,Các luật hạn chế quyền cơ bản phải vượt qua kiểm tra nghiêm ngặt để được duy trì.,การตรวจสอบอย่างเข้มงวด,กฎหมายที่จำกัดสิทธิขั้นพื้นฐานต้องผ่านการตรวจสอบอย่างเข้มงวดจึงจะมีผลบังคับใช้,pengujian ketat,Undang-undang yang membatasi hak-hak fundamental harus lolos pengujian ketat untuk dipertahankan.
separation of powers,The separation of powers prevents any single branch from accumulating excessive authority.,권력분립,권력분립은 어떤 단일 부서도 과도한 권한을 축적하는 것을 방지한다.,権力分立,権力分立はいかなる単一の部門も過度な権限を蓄積することを防ぐ。,三权分立,三权分立防止任何单一部门积累过多权力。,separación de poderes,La separación de poderes impide que cualquier rama acumule autoridad excesiva.,phân chia quyền lực,Sự phân chia quyền lực ngăn chặn bất kỳ nhánh nào tích lũy quyền lực quá mức.,การแบ่งแยกอำนาจ,การแบ่งแยกอำนาจป้องกันไม่ให้ฝ่ายใดฝ่ายหนึ่งสะสมอำนาจมากเกินไป,pemisahan kekuasaan,Pemisahan kekuasaan mencegah cabang mana pun dari mengakumulasi otoritas yang berlebihan.
equal protection clause,The equal protection clause prohibits states from denying any person equal treatment under the law.,평등보호조항,평등보호조항은 주가 어떤 사람에게도 법 아래 평등한 대우를 거부하는 것을 금지한다.,平等保護条項,平等保護条項は州がいかなる人にも法の下の平等な扱いを否定することを禁じる。,平等保护条款,平等保护条款禁止各州拒绝给予任何人法律上的平等待遇。,cláusula de igual protección,La cláusula de igual protección prohíbe a los estados negar a cualquier persona un trato igualitario ante la ley.,điều khoản bảo vệ bình đẳng,Điều khoản bảo vệ bình đẳng cấm các tiểu bang từ chối đối xử bình đẳng với bất kỳ ai theo pháp luật.,หลักคุ้มครองเท่าเทียม,หลักคุ้มครองเท่าเทียมห้ามรัฐปฏิเสธการปฏิบัติอย่างเท่าเทียมกันภายใต้กฎหมายต่อบุคคลใดๆ,klausul perlindungan yang setara,Klausul perlindungan yang setara melarang negara bagian menolak perlakuan yang sama di bawah hukum kepada siapa pun.
judicial review,Judicial review empowers courts to invalidate legislation that violates constitutional provisions.,사법심사,사법심사는 법원에 헌법 조항을 위반하는 입법을 무효화할 권한을 부여한다.,違憲立法審査権,違憲立法審査権は憲法の規定に違反する立法を無効にする権限を裁判所に与える。,司法审查,司法审查赋予法院权力使违反宪法规定的立法无效。,revisión judicial,La revisión judicial faculta a los tribunales para invalidar legislación que viole disposiciones constitucionales.,quyền xem xét tư pháp,Quyền xem xét tư pháp trao cho tòa án quyền vô hiệu hóa luật vi phạm các quy định hiến pháp.,การทบทวนของศาล,การทบทวนของศาลให้อำนาจศาลในการเพิกถอนกฎหมายที่ละเมิดบทบัญญัติของรัฐธรรมนูญ,judicial review,Judicial review memberdayakan pengadilan untuk membatalkan undang-undang yang melanggar ketentuan konstitusi.
commerce clause,The commerce clause grants Congress the authority to regulate interstate economic activity.,통상조항,통상조항은 의회에 주간 경제 활동을 규제할 권한을 부여한다.,通商条項,通商条項は議会に州間の経済活動を規制する権限を付与する。,商业条款,商业条款授予国会监管州际经济活动的权力。,cláusula de comercio,La cláusula de comercio otorga al Congreso la autoridad para regular la actividad económica interestatal.,điều khoản thương mại,Điều khoản thương mại trao cho Quốc hội quyền điều tiết hoạt động kinh tế liên bang.,มาตราการพาณิชย์,มาตราการพาณิชย์มอบอำนาจให้รัฐสภาในการควบคุมกิจกรรมทางเศรษฐกิจระหว่างรัฐ,klausul perdagangan,Klausul perdagangan memberikan Kongres otoritas untuk mengatur aktivitas ekonomi antarnegara bagian.
epigenetics,Epigenetics studies heritable changes in gene expression that occur without alterations to the DNA sequence.,후성유전학,후성유전학은 DNA 서열의 변화 없이 발생하는 유전자 발현의 유전 가능한 변화를 연구한다.,エピジェネティクス,エピジェネティクスはDNA配列の変化なしに起こる遺伝子発現の遺伝可能な変化を研究する。,表观遗传学,表观遗传学研究在不改变DNA序列的情况下发生的基因表达的可遗传变化。,epigenética,La epigenética estudia los cambios heredables en la expresión génica que ocurren sin alteraciones en la secuencia de ADN.,di truyền biểu sinh,Di truyền biểu sinh nghiên cứu các thay đổi có thể di truyền trong biểu hiện gen xảy ra mà không thay đổi trình tự DNA.,เอพิเจเนติกส์,เอพิเจเนติกส์ศึกษาการเปลี่ยนแปลงที่ถ่ายทอดได้ในการแสดงออกของยีนที่เกิดขึ้นโดยไม่มีการเปลี่ยนแปลงลำดับดีเอ็นเอ,epigenetika,Epigenetika mempelajari perubahan yang dapat diwariskan dalam ekspresi gen yang terjadi tanpa perubahan pada urutan DNA.
apoptosis,Apoptosis is the programmed cell death mechanism essential for maintaining tissue homeostasis.,세포자멸사,세포자멸사는 조직 항상성을 유지하는 데 필수적인 프로그램된 세포 사멸 메커니즘이다.,アポトーシス,アポトーシスは組織の恒常性を維持するために不可欠なプログラム細胞死のメカニズムである。,细胞凋亡,细胞凋亡是维持组织稳态所必需的程序性细胞死亡机制。,apoptosis,La apoptosis es el mecanismo de muerte celular programada esencial para mantener la homeostasis tisular.,chết theo chương trình,Chết theo chương trình là cơ chế chết tế bào được lập trình cần thiết để duy trì cân bằng nội môi mô.,อะพอพโทซิส,อะพอพโทซิสเป็นกลไกการตายของเซลล์แบบโปรแกรมที่จำเป็นต่อการรักษาสมดุลของเนื้อเยื่อ,apoptosis,Apoptosis adalah mekanisme kematian sel terprogram yang penting untuk menjaga homeostasis jaringan.
mitochondrial biogenesis,Mitochondrial biogenesis increases the cellular capacity for oxidative phosphorylation under metabolic stress.,미토콘드리아 생합성,미토콘드리아 생합성은 대사 스트레스 하에서 산화적 인산화에 대한 세포 능력을 증가시킨다.,ミトコンドリア生合成,ミトコンドリア生合成は代謝ストレス下で酸化的リン酸化の細胞能力を増加させる。,线粒体生物合成,线粒体生物合成在代谢应激下增加细胞氧化磷酸化的能力。,biogénesis mitocondrial,La biogénesis mitocondrial aumenta la capacidad celular para la fosforilación oxidativa bajo estrés metabólico.,sinh tổng hợp ty thể,Sinh tổng hợp ty thể tăng khả năng phosphoryl hóa oxy hóa của tế bào dưới stress chuyển hóa.,การสร้างไมโทคอนเดรีย,การสร้างไมโทคอนเดรียเพิ่มความสามารถของเซลล์ในการฟอสโฟรีเลชันแบบออกซิเดทีฟภายใต้ความเครียดทางเมตาบอลิก,biogenesis mitokondria,Biogenesis mitokondria meningkatkan kapasitas seluler untuk fosforilasi oksidatif di bawah stres metabolik.
endocytosis,Receptor-mediated endocytosis allows cells to internalize specific macromolecules from the extracellular environment.,세포내이입,수용체 매개 세포내이입은 세포가 세포외 환경에서 특정 거대분자를 내부화할 수 있게 한다.,エンドサイトーシス,受容体介在性エンドサイトーシスは細胞が細胞外環境から特定の高分子を取り込むことを可能にする。,内吞作用,受体介导的内吞作用使细胞能够从细胞外环境中内化特定的大分子。,endocitosis,La endocitosis mediada por receptores permite a las células internalizar macromoléculas específicas del entorno extracelular.,nhập bào,Nhập bào qua trung gian thụ thể cho phép tế bào thu nhận các đại phân tử cụ thể từ môi trường ngoại bào.,เอนโดไซโทซิส,เอนโดไซโทซิสที่ผ่านตัวรับช่วยให้เซลล์นำโมเลกุลขนาดใหญ่เฉพาะจากสภาพแวดล้อมนอกเซลล์เข้าภายใน,endositosis,Endositosis yang dimediasi reseptor memungkinkan sel menginternalisasi makromolekul tertentu dari lingkungan ekstraseluler.
telomerase,Telomerase is an enzyme that extends telomeres and is aberrantly activated in most cancer cells.,텔로머라아제,텔로머라아제는 텔로미어를 연장하는 효소로 대부분의 암세포에서 비정상적으로 활성화된다.,テロメラーゼ,テロメラーゼはテロメアを伸長する酵素で、ほとんどのがん細胞で異常に活性化される。,端粒酶,端粒酶是一种延长端粒的酶，在大多数癌细胞中被异常激活。,telomerasa,La telomerasa es una enzima que extiende los telómeros y se activa de manera aberrante en la mayoría de las células cancerosas.,telomerase,Telomerase là một enzyme kéo dài telomere và được kích hoạt bất thường trong hầu hết các tế bào ung thư.,เทโลเมอเรส,เทโลเมอเรสเป็นเอนไซม์ที่ยืดเทโลเมียร์และถูกกระตุ้นอย่างผิดปกติในเซลล์มะเร็งส่วนใหญ่,telomerase,Telomerase adalah enzim yang memperpanjang telomer dan diaktifkan secara menyimpang di sebagian besar sel kanker.
signal transduction,Signal transduction cascades convert extracellular stimuli into intracellular biochemical responses.,신호전달,신호전달 연쇄반응은 세포외 자극을 세포내 생화학적 반응으로 변환한다.,シグナル伝達,シグナル伝達カスケードは細胞外刺激を細胞内の生化学的応答に変換する。,信号转导,信号转导级联将细胞外刺激转化为细胞内生化反应。,transducción de señales,Las cascadas de transducción de señales convierten estímulos extracelulares en respuestas bioquímicas intracelulares.,truyền tín hiệu,Các chuỗi truyền tín hiệu chuyển đổi kích thích ngoại bào thành phản ứng sinh hóa nội bào.,การถ่ายทอดสัญญาณ,กระบวนการถ่ายทอดสัญญาณแบบน้ำตกแปลงสิ่งกระตุ้นจากภายนอกเซลล์เป็นการตอบสนองทางชีวเคมีภายในเซลล์,transduksi sinyal,Kaskade transduksi sinyal mengubah rangsangan ekstraseluler menjadi respons biokimia intraseluler.
angiogenesis,Angiogenesis is the formation of new blood vessels from pre-existing vasculature during wound healing.,혈관신생,혈관신생은 상처 치유 과정에서 기존 혈관으로부터 새로운 혈관이 형성되는 것이다.,血管新生,血管新生は創傷治癒中に既存の血管から新しい血管が形成されることである。,血管生成,血管生成是伤口愈合过程中从已有血管形成新血管的过程。,angiogénesis,La angiogénesis es la formación de nuevos vasos sanguíneos a partir de vasculatura preexistente durante la cicatrización.,tân tạo mạch,Tân tạo mạch là sự hình thành mạch máu mới từ hệ mạch có sẵn trong quá trình lành vết thương.,การสร้างหลอดเลือดใหม่,การสร้างหลอดเลือดใหม่คือการสร้างหลอดเลือดใหม่จากหลอดเลือดที่มีอยู่แล้วระหว่างการรักษาแผล,angiogenesis,Angiogenesis adalah pembentukan pembuluh darah baru dari pembuluh darah yang sudah ada selama penyembuhan luka.
homologous recombination,Homologous recombination repairs double-strand DNA breaks using a sister chromatid as a template.,상동 재조합,상동 재조합은 자매 염색분체를 템플릿으로 사용하여 이중가닥 DNA 절단을 복구한다.,相同組換え,相同組換えは姉妹染色分体をテンプレートとして使用して二本鎖DNA切断を修復する。,同源重组,同源重组利用姐妹染色单体作为模板修复双链DNA断裂。,recombinación homóloga,La recombinación homóloga repara las roturas de doble cadena del ADN usando una cromátida hermana como plantilla.,tái tổ hợp tương đồng,Tái tổ hợp tương đồng sửa chữa các đứt gãy sợi đôi DNA bằng cách sử dụng nhiễm sắc tử chị em làm khuôn mẫu.,การรวมตัวแบบคล้ายคลึง,การรวมตัวแบบคล้ายคลึงซ่อมแซมการแตกหักของดีเอ็นเอสายคู่โดยใช้โครมาทิดพี่น้องเป็นแม่แบบ,rekombinasi homolog,Rekombinasi homolog memperbaiki kerusakan untai ganda DNA menggunakan kromatid saudara sebagai templat.
meristematic tissue,Meristematic tissue contains undifferentiated cells responsible for continuous plant growth.,분열조직,분열조직은 지속적인 식물 성장을 담당하는 미분화 세포를 포함한다.,分裂組織,分裂組織は継続的な植物の成長を担う未分化細胞を含む。,分生组织,分生组织包含负责植物持续生长的未分化细胞。,tejido meristemático,El tejido meristemático contiene células indiferenciadas responsables del crecimiento continuo de la planta.,mô phân sinh,Mô phân sinh chứa các tế bào chưa biệt hóa chịu trách nhiệm cho sự tăng trưởng liên tục của thực vật.,เนื้อเยื่อเจริญ,เนื้อเยื่อเจริญมีเซลล์ที่ยังไม่เปลี่ยนแปลงซึ่งรับผิดชอบการเจริญเติบโตอย่างต่อเนื่องของพืช,jaringan meristematik,Jaringan meristematik mengandung sel-sel yang belum terdiferensiasi yang bertanggung jawab atas pertumbuhan tanaman yang berkelanjutan.
allosteric regulation,Allosteric regulation modulates enzyme activity through binding at sites other than the active site.,알로스테릭 조절,알로스테릭 조절은 활성 부위가 아닌 다른 부위에서의 결합을 통해 효소 활성을 조절한다.,アロステリック調節,アロステリック調節は活性部位以外の部位での結合を通じて酵素活性を調節する。,变构调节,变构调节通过在活性位点以外的位点结合来调节酶活性。,regulación alostérica,La regulación alostérica modula la actividad enzimática mediante la unión en sitios distintos al sitio activo.,điều hòa dị lập thể,Điều hòa dị lập thể điều chỉnh hoạt tính enzyme thông qua liên kết tại các vị trí khác ngoài vị trí hoạt động.,การควบคุมแบบอัลโลสเตอริก,การควบคุมแบบอัลโลสเตอริกปรับเปลี่ยนกิจกรรมของเอนไซม์ผ่านการจับที่ตำแหน่งอื่นนอกเหนือจากตำแหน่งที่ทำงาน,regulasi alosterik,Regulasi alosterik memodulasi aktivitas enzim melalui pengikatan di situs selain situs aktif.
chemotaxis,Chemotaxis guides the directed movement of organisms toward or away from chemical stimuli.,주화성,주화성은 화학적 자극을 향해 또는 멀어지는 유기체의 방향성 이동을 안내한다.,走化性,走化性は化学刺激に向かうまたは遠ざかる生物の方向性のある移動を誘導する。,趋化性,趋化性引导生物体向化学刺激方向或远离化学刺激的定向运动。,quimiotaxis,La quimiotaxis guía el movimiento dirigido de organismos hacia o lejos de estímulos químicos.,hóa hướng động,Hóa hướng động hướng dẫn sự di chuyển có hướng của sinh vật về phía hoặc xa các kích thích hóa học.,เคมีแทกซิส,เคมีแทกซิสนำทางการเคลื่อนที่อย่างมีทิศทางของสิ่งมีชีวิตเข้าหาหรือออกห่างจากสิ่งกระตุ้นทางเคมี,kemotaksis,Kemotaksis memandu pergerakan terarah organisme menuju atau menjauhi rangsangan kimia.
symbiogenesis,Symbiogenesis proposes that mitochondria and chloroplasts originated from endosymbiotic prokaryotes.,공생발생,공생발생은 미토콘드리아와 엽록체가 내부공생 원핵생물에서 유래했다고 제안한다.,共生発生,共生発生はミトコンドリアと葉緑体が内部共生原核生物に由来すると提唱する。,共生起源,共生起源提出线粒体和叶绿体起源于内共生原核生物。,simbiogénesis,La simbiogénesis propone que las mitocondrias y los cloroplastos se originaron a partir de procariotas endosimbióticos.,cộng sinh phát sinh,Cộng sinh phát sinh đề xuất rằng ty thể và lục lạp có nguồn gốc từ các sinh vật nhân sơ nội cộng sinh.,ซิมไบโอเจเนซิส,ซิมไบโอเจเนซิสเสนอว่าไมโทคอนเดรียและคลอโรพลาสต์มีต้นกำเนิดจากโพรแคริโอตแบบเอนโดซิมไบโอติก,simbiogenesis,Simbiogenesis mengusulkan bahwa mitokondria dan kloroplas berasal dari prokariota endosimbiotik.
proteomics,Proteomics analyzes the entire complement of proteins expressed by a genome under specific conditions.,프로테오믹스,프로테오믹스는 특정 조건에서 게놈에 의해 발현되는 전체 단백질 보완체를 분석한다.,プロテオミクス,プロテオミクスは特定の条件下でゲノムによって発現されるタンパク質の全体を分析する。,蛋白质组学,蛋白质组学分析基因组在特定条件下表达的全部蛋白质。,proteómica,La proteómica analiza el complemento completo de proteínas expresadas por un genoma bajo condiciones específicas.,protein học,Protein học phân tích toàn bộ bổ sung protein được biểu hiện bởi một hệ gen trong các điều kiện cụ thể.,โปรตีโอมิกส์,โปรตีโอมิกส์วิเคราะห์โปรตีนทั้งหมดที่แสดงออกโดยจีโนมภายใต้สภาวะเฉพาะ,proteomik,Proteomik menganalisis seluruh komplemen protein yang diekspresikan oleh genom di bawah kondisi tertentu.
nucleosynthesis,Stellar nucleosynthesis forges heavier elements from hydrogen and helium in the cores of massive stars.,핵합성,항성 핵합성은 거대한 별의 핵에서 수소와 헬륨으로부터 더 무거운 원소를 만들어낸다.,核合成,恒星核合成は巨大な恒星の核で水素とヘリウムからより重い元素を生成する。,核合成,恒星核合成在大质量恒星核心中从氢和氦锻造更重的元素。,nucleosíntesis,La nucleosíntesis estelar forja elementos más pesados a partir de hidrógeno y helio en los núcleos de estrellas masivas.,tổng hợp hạt nhân,Tổng hợp hạt nhân sao tạo ra các nguyên tố nặng hơn từ hydro và heli trong lõi của các ngôi sao lớn.,นิวคลีโอซินทีซิส,นิวคลีโอซินทีซิสของดาวฤกษ์สร้างธาตุที่หนักกว่าจากไฮโดรเจนและฮีเลียมในแกนกลางของดาวฤกษ์มวลมาก,nukleosintesis,Nukleosintesis bintang menempa unsur-unsur yang lebih berat dari hidrogen dan helium di inti bintang masif.
