amortization,"The amortization schedule showed decreasing interest payments over the loan's lifetime.",상각,"상각 일정은 대출 기간 동안 이자 지급이 감소함을 보여주었다.",償却,"償却スケジュールはローン期間中の利息支払いの減少を示していた。",摊销,"摊销计划显示了贷款期限内利息支付的递减。",amortización,"El calendario de amortización mostraba pagos de intereses decrecientes durante la vida del préstamo.",khấu hao,"Lịch khấu hao cho thấy các khoản thanh toán lãi giảm dần trong suốt thời hạn vay.",การตัดจำหน่าย,"ตารางการตัดจำหน่ายแสดงการชำระดอกเบี้ยที่ลดลงตลอดอายุเงินกู้",amortisasi,"Jadwal amortisasi menunjukkan pembayaran bunga yang menurun selama masa pinjaman."
promulgation,"The promulgation of the new environmental regulations sparked intense debate in parliament.",공포,"새로운 환경 규정의 공포는 의회에서 격렬한 논쟁을 촉발했다.",公布,"新しい環境規制の公布は議会で激しい議論を引き起こした。",颁布,"新环境法规的颁布在议会引发了激烈的辩论。",promulgación,"La promulgación de las nuevas regulaciones ambientales generó un intenso debate en el parlamento.",ban hành,"Việc ban hành các quy định môi trường mới đã gây ra cuộc tranh luận gay gắt trong quốc hội.",การประกาศใช้,"การประกาศใช้กฎระเบียบด้านสิ่งแวดล้อมใหม่จุดชนวนการอภิปรายอย่างเข้มข้นในรัฐสภา",pengundangan,"Pengundangan regulasi lingkungan baru memicu perdebatan sengit di parlemen."
stare decisis,"The court relied on stare decisis to maintain consistency with prior rulings on free speech.",선례구속,"법원은 언론의 자유에 대한 이전 판결과의 일관성을 유지하기 위해 선례구속 원칙에 의존했다.",先例拘束,"裁判所は言論の自由に関する先例との一貫性を維持するために先例拘束の原則に依拠した。",遵循先例,"法院依靠遵循先例原则来保持与先前言论自由裁决的一致性。",stare decisis,"El tribunal se basó en el stare decisis para mantener la coherencia con fallos anteriores sobre libertad de expresión.",tiền lệ pháp,"Tòa án dựa vào tiền lệ pháp để duy trì tính nhất quán với các phán quyết trước đó về tự do ngôn luận.",หลักบรรทัดฐาน,"ศาลอาศัยหลักบรรทัดฐานเพื่อรักษาความสอดคล้องกับคำตัดสินก่อนหน้าเกี่ยวกับเสรีภาพในการพูด",stare decisis,"Pengadilan mengandalkan stare decisis untuk menjaga konsistensi dengan putusan sebelumnya tentang kebebasan berpendapat."
antithesis,"The speaker used antithesis to highlight the contrast between liberty and oppression.",대조법,"연사는 자유와 억압의 대조를 부각하기 위해 대조법을 사용했다.",対句法,"演説者は自由と抑圧の対比を強調するために対句法を用いた。",对比,"演讲者使用对比来突出自由与压迫之间的对照。",antítesis,"El orador usó la antítesis para resaltar el contraste entre libertad y opresión.",phép đối,"Diễn giả sử dụng phép đối để làm nổi bật sự tương phản giữa tự do và áp bức.",การใช้ถ้อยคำตรงข้าม,"ผู้พูดใช้การใช้ถ้อยคำตรงข้ามเพื่อเน้นความแตกต่างระหว่างเสรีภาพและการกดขี่",antitesis,"Pembicara menggunakan antitesis untuk menyoroti kontras antara kebebasan dan penindasan."
chiasmus,"Kennedy's famous chiasmus urged citizens to prioritize national service over personal gain.",교차대구법,"케네디의 유명한 교차대구법은 시민들에게 개인적 이익보다 국가 봉사를 우선시할 것을 촉구했다.",交差対句法,"ケネディの有名な交差対句法は市民に個人的利益よりも国家への奉仕を優先するよう促した。",交错排列,"肯尼迪著名的交错排列敦促公民将国家服务置于个人利益之上。",quiasmo,"El famoso quiasmo de Kennedy instó a los ciudadanos a priorizar el servicio nacional sobre el beneficio personal.",phép giao hoán,"Phép giao hoán nổi tiếng của Kennedy kêu gọi công dân ưu tiên phụng sự quốc gia hơn lợi ích cá nhân.",การสลับถ้อยคำ,"การสลับถ้อยคำอันโด่งดังของเคนเนดีเรียกร้องให้พลเมืองให้ความสำคัญกับการรับใช้ชาติมากกว่าผลประโยชน์ส่วนตัว",kiasmus,"Kiasmus terkenal Kennedy mendesak warga untuk memprioritaskan pelayanan nasional di atas keuntungan pribadi."
syllogism,"The attorney's syllogism was logically valid but factually unsound.",삼단논법,"변호사의 삼단논법은 논리적으로는 타당했지만 사실적으로는 건전하지 않았다.",三段論法,"弁護士の三段論法は論理的には妥当だが事実的には不健全だった。",三段论,"律师的三段论在逻辑上有效但在事实上不成立。",silogismo,"El silogismo del abogado era lógicamente válido pero fácticamente incorrecto.",tam đoạn luận,"Tam đoạn luận của luật sư có giá trị logic nhưng không đúng về mặt thực tế.",ตรรกบท,"ตรรกบทของทนายความถูกต้องตามตรรกะแต่ไม่ถูกต้องตามข้อเท็จจริง",silogisme,"Silogisme pengacara tersebut valid secara logis tetapi tidak berdasar secara faktual."
periphrasis,"The diplomat employed periphrasis to avoid directly naming the hostile nation.",우회적 표현,"외교관은 적대국을 직접적으로 명명하는 것을 피하기 위해 우회적 표현을 사용했다.",婉曲法,"外交官は敵対国の名を直接挙げることを避けるために婉曲法を用いた。",迂回表达,"外交官使用迂回表达来避免直接点名敌对国家。",perífrasis,"El diplomático empleó la perífrasis para evitar nombrar directamente a la nación hostil.",nói vòng,"Nhà ngoại giao sử dụng cách nói vòng để tránh gọi tên trực tiếp quốc gia thù địch.",การใช้คำอ้อมค้อม,"นักการทูตใช้คำอ้อมค้อมเพื่อหลีกเลี่ยงการเอ่ยชื่อประเทศที่เป็นศัตรูโดยตรง",perifrase,"Diplomat tersebut menggunakan perifrase untuk menghindari menyebut langsung negara yang bermusuhan."
heuristic,"The heuristic algorithm sacrificed optimal accuracy for significantly faster computation times.",휴리스틱,"휴리스틱 알고리즘은 상당히 빠른 계산 시간을 위해 최적의 정확도를 희생했다.",ヒューリスティック,"ヒューリスティックアルゴリズムは大幅に高速な計算時間のために最適な精度を犠牲にした。",启发式,"启发式算法牺牲了最优精度以换取显著更快的计算时间。",heurístico,"El algoritmo heurístico sacrificó la precisión óptima por tiempos de cálculo significativamente más rápidos.",thuật toán heuristic,"Thuật toán heuristic hy sinh độ chính xác tối ưu để đạt thời gian tính toán nhanh hơn đáng kể.",ฮิวริสติก,"อัลกอริทึมฮิวริสติกเสียสละความแม่นยำที่เหมาะสมที่สุดเพื่อเวลาการคำนวณที่เร็วขึ้นอย่างมาก",heuristik,"Algoritma heuristik mengorbankan akurasi optimal demi waktu komputasi yang jauh lebih cepat."
idempotent,"Ensuring the API endpoint is idempotent prevents duplicate transactions from repeated requests.",멱등,"API 엔드포인트가 멱등임을 보장하면 반복 요청으로 인한 중복 거래를 방지한다.",冪等,"APIエンドポイントの冪等性を確保することで繰り返しリクエストによる重複トランザクションを防ぐ。",幂等,"确保API端点是幂等的可以防止重复请求产生的重复交易。",idempotente,"Asegurar que el endpoint de la API sea idempotente previene transacciones duplicadas por solicitudes repetidas.",lũy đẳng,"Đảm bảo điểm cuối API là lũy đẳng ngăn chặn giao dịch trùng lặp từ các yêu cầu lặp lại.",อุดมกรณ์,"การทำให้ API endpoint เป็นอุดมกรณ์ป้องกันธุรกรรมซ้ำซ้อนจากคำขอที่ซ้ำกัน",idempoten,"Memastikan endpoint API bersifat idempoten mencegah transaksi duplikat dari permintaan berulang."
polymorphism,"Runtime polymorphism in object-oriented programming enables flexible method dispatch based on actual object types.",다형성,"객체 지향 프로그래밍의 런타임 다형성은 실제 객체 유형에 기반한 유연한 메서드 디스패치를 가능하게 한다.",ポリモーフィズム,"オブジェクト指向プログラミングにおける実行時ポリモーフィズムは実際のオブジェクト型に基づく柔軟なメソッドディスパッチを可能にする。",多态性,"面向对象编程中的运行时多态性实现了基于实际对象类型的灵活方法分派。",polimorfismo,"El polimorfismo en tiempo de ejecución en programación orientada a objetos permite el despacho flexible de métodos basado en tipos de objetos reales.",đa hình,"Đa hình thời gian chạy trong lập trình hướng đối tượng cho phép điều phối phương thức linh hoạt dựa trên kiểu đối tượng thực tế.",พหุสัณฐาน,"พหุสัณฐานในขณะรันไทม์ในการเขียนโปรแกรมเชิงวัตถุทำให้สามารถส่งเมธอดได้อย่างยืดหยุ่นตามประเภทวัตถุจริง",polimorfisme,"Polimorfisme runtime dalam pemrograman berorientasi objek memungkinkan pengiriman metode fleksibel berdasarkan tipe objek aktual."
concurrency,"Concurrency bugs are notoriously difficult to reproduce in multithreaded applications.",동시성,"동시성 버그는 다중 스레드 애플리케이션에서 재현하기 매우 어렵기로 악명 높다.",並行性,"並行性のバグはマルチスレッドアプリケーションにおいて再現が非常に困難であることで知られている。",并发性,"并发性错误在多线程应用程序中极难重现。",concurrencia,"Los errores de concurrencia son notoriamente difíciles de reproducir en aplicaciones multihilo.",đồng thời,"Lỗi đồng thời nổi tiếng là khó tái tạo trong các ứng dụng đa luồng.",การทำงานพร้อมกัน,"บักของการทำงานพร้อมกันเป็นที่รู้กันว่ายากต่อการจำลองในแอปพลิเคชันมัลติเธรด",konkurensi,"Bug konkurensi terkenal sulit direproduksi dalam aplikasi multithreaded."
deterministic,"A deterministic finite automaton always produces the same output for a given input sequence.",결정론적,"결정론적 유한 오토마톤은 주어진 입력 시퀀스에 대해 항상 동일한 출력을 생성한다.",決定性,"決定性有限オートマトンは与えられた入力列に対して常に同じ出力を生成する。",确定性,"确定性有限自动机对给定输入序列总是产生相同的输出。",determinista,"Un autómata finito determinista siempre produce la misma salida para una secuencia de entrada dada.",tất định,"Một otomat hữu hạn tất định luôn tạo ra cùng một đầu ra cho một chuỗi đầu vào nhất định.",ดีเทอร์มินิสติก,"ออโตมาตาจำกัดดีเทอร์มินิสติกจะสร้างผลลัพธ์เดียวกันเสมอสำหรับลำดับอินพุตที่กำหนด",deterministik,"Automata hingga deterministik selalu menghasilkan output yang sama untuk urutan input tertentu."
liquidity,"Market liquidity dried up during the flash crash causing severe price dislocations.",유동성,"플래시 크래시 동안 시장 유동성이 고갈되어 심각한 가격 왜곡이 발생했다.",流動性,"フラッシュクラッシュ中に市場の流動性が枯渇し深刻な価格の混乱を引き起こした。",流动性,"闪崩期间市场流动性枯竭导致严重的价格错位。",liquidez,"La liquidez del mercado se agotó durante el flash crash causando graves dislocaciones de precios.",thanh khoản,"Thanh khoản thị trường cạn kiệt trong đợt sụp đổ chớp nhoáng gây ra sự lệch giá nghiêm trọng.",สภาพคล่อง,"สภาพคล่องของตลาดหายไปในช่วงแฟลชแครชทำให้เกิดการเคลื่อนตัวของราคาอย่างรุนแรง",likuiditas,"Likuiditas pasar mengering selama flash crash menyebabkan dislokasi harga yang parah."
hedging,"The fund manager used interest rate swaps for hedging against rising bond yields.",헤징,"펀드 매니저는 상승하는 채권 수익률에 대한 헤징을 위해 금리 스왑을 사용했다.",ヘッジ,"ファンドマネージャーは上昇する債券利回りに対するヘッジのために金利スワップを用いた。",对冲,"基金经理使用利率互换来对冲债券收益率上升的风险。",cobertura,"El gestor de fondos usó swaps de tipos de interés para la cobertura contra el aumento de los rendimientos de bonos.",phòng ngừa rủi ro,"Quản lý quỹ sử dụng hoán đổi lãi suất để phòng ngừa rủi ro trước lợi suất trái phiếu tăng.",การป้องกันความเสี่ยง,"ผู้จัดการกองทุนใช้สวอปอัตราดอกเบี้ยสำหรับการป้องกันความเสี่ยงจากผลตอบแทนพันธบัตรที่เพิ่มขึ้น",lindung nilai,"Manajer dana menggunakan swap suku bunga untuk lindung nilai terhadap kenaikan imbal hasil obligasi."
solvency,"Regulatory stress tests evaluate whether banks maintain solvency under adverse economic scenarios.",지급능력,"규제 스트레스 테스트는 은행이 불리한 경제 시나리오에서 지급능력을 유지하는지 평가한다.",支払能力,"規制上のストレステストは不利な経済シナリオの下で銀行が支払能力を維持できるかを評価する。",偿付能力,"监管压力测试评估银行在不利经济情景下是否保持偿付能力。",solvencia,"Las pruebas de estrés regulatorias evalúan si los bancos mantienen la solvencia bajo escenarios económicos adversos.",khả năng thanh toán,"Các bài kiểm tra sức chịu đựng đánh giá liệu ngân hàng có duy trì khả năng thanh toán trong các kịch bản kinh tế bất lợi.",ความสามารถในการชำระหนี้,"การทดสอบภาวะวิกฤตของหน่วยงานกำกับดูแลประเมินว่าธนาคารรักษาความสามารถในการชำระหนี้ภายใต้สถานการณ์เศรษฐกิจที่ไม่เอื้ออำนวย",solvabilitas,"Uji stres regulasi mengevaluasi apakah bank mempertahankan solvabilitas di bawah skenario ekonomi yang merugikan."
yield,"The yield curve inversion has historically preceded economic recessions by twelve to eighteen months.",수익률,"수익률 곡선 역전은 역사적으로 경기 침체에 12개월에서 18개월 앞서 발생했다.",利回り,"イールドカーブの逆転は歴史的に景気後退に12か月から18か月先行してきた。",收益率,"收益率曲线倒挂历史上在经济衰退前12至18个月出现。",rendimiento,"La inversión de la curva de rendimiento ha precedido históricamente a las recesiones económicas por doce a dieciocho meses.",lợi suất,"Đảo ngược đường cong lợi suất trong lịch sử đã đi trước suy thoái kinh tế từ mười hai đến mười tám tháng.",ผลตอบแทน,"การกลับตัวของเส้นอัตราผลตอบแทนมักเกิดขึ้นก่อนภาวะเศรษฐกิจถดถอยสิบสองถึงสิบแปดเดือนในอดีต",imbal hasil,"Inversi kurva imbal hasil secara historis mendahului resesi ekonomi selama dua belas hingga delapan belas bulan."
fiduciary,"A fiduciary duty requires financial advisors to act solely in their clients' best interests.",수탁자의,"수탁자의 의무는 재정 고문이 오로지 고객의 최선의 이익을 위해 행동할 것을 요구한다.",受託者の,"受託者としての義務は財務アドバイザーに顧客の最善の利益のためにのみ行動することを求める。",受托人的,"受托责任要求财务顾问完全按照客户的最佳利益行事。",fiduciario,"Un deber fiduciario requiere que los asesores financieros actúen exclusivamente en el mejor interés de sus clientes.",ủy thác,"Nghĩa vụ ủy thác yêu cầu các cố vấn tài chính hành động hoàn toàn vì lợi ích tốt nhất của khách hàng.",ความเป็นผู้ดูแลผลประโยชน์,"หน้าที่ความเป็นผู้ดูแลผลประโยชน์กำหนดให้ที่ปรึกษาทางการเงินดำเนินการเพื่อผลประโยชน์สูงสุดของลูกค้าเท่านั้น",fidusia,"Kewajiban fidusia mengharuskan penasihat keuangan bertindak semata-mata demi kepentingan terbaik klien mereka."
immunosuppression,"Chronic immunosuppression increases vulnerability to opportunistic infections in transplant recipients.",면역억제,"만성 면역억제는 이식 수혜자의 기회 감염에 대한 취약성을 증가시킨다.",免疫抑制,"慢性的な免疫抑制は移植患者の日和見感染に対する脆弱性を高める。",免疫抑制,"慢性免疫抑制增加了移植受者对机会性感染的易感性。",inmunosupresión,"La inmunosupresión crónica aumenta la vulnerabilidad a infecciones oportunistas en receptores de trasplantes.",ức chế miễn dịch,"Ức chế miễn dịch mạn tính làm tăng tính dễ bị tổn thương đối với nhiễm trùng cơ hội ở người nhận tạng.",การกดภูมิคุ้มกัน,"การกดภูมิคุ้มกันเรื้อรังเพิ่มความเสี่ยงต่อการติดเชื้อฉวยโอกาสในผู้รับการปลูกถ่ายอวัยวะ",imunosupresi,"Imunosupresi kronis meningkatkan kerentanan terhadap infeksi oportunistik pada penerima transplantasi."
metastasis,"Early detection is crucial because metastasis dramatically reduces cancer survival rates.",전이,"조기 발견이 중요한 이유는 전이가 암 생존율을 극적으로 낮추기 때문이다.",転移,"早期発見は極めて重要であり転移はがんの生存率を劇的に低下させる。",转移,"早期发现至关重要因为转移会大幅降低癌症存活率。",metástasis,"La detección temprana es crucial porque la metástasis reduce drásticamente las tasas de supervivencia del cáncer.",di căn,"Phát hiện sớm rất quan trọng vì di căn làm giảm đáng kể tỷ lệ sống sót của ung thư.",การแพร่กระจาย,"การตรวจพบตั้งแต่เนิ่นๆ เป็นสิ่งสำคัญเพราะการแพร่กระจายของมะเร็งลดอัตราการรอดชีวิตอย่างมาก",metastasis,"Deteksi dini sangat penting karena metastasis secara dramatis mengurangi tingkat kelangsungan hidup kanker."
bioavailability,"Oral bioavailability of the compound was enhanced through nanoparticle encapsulation technology.",생체이용률,"화합물의 경구 생체이용률은 나노입자 캡슐화 기술을 통해 향상되었다.",バイオアベイラビリティ,"化合物の経口バイオアベイラビリティはナノ粒子カプセル化技術により向上した。",生物利用度,"通过纳米粒子包封技术提高了该化合物的口服生物利用度。",biodisponibilidad,"La biodisponibilidad oral del compuesto se mejoró mediante tecnología de encapsulación de nanopartículas.",sinh khả dụng,"Sinh khả dụng đường uống của hợp chất được tăng cường thông qua công nghệ đóng gói hạt nano.",ชีวปริมาณออกฤทธิ์,"ชีวปริมาณออกฤทธิ์ทางปากของสารประกอบได้รับการเพิ่มขึ้นผ่านเทคโนโลยีการห่อหุ้มอนุภาคนาโน",bioavailabilitas,"Bioavailabilitas oral senyawa tersebut ditingkatkan melalui teknologi enkapsulasi nanopartikel."
comorbidity,"The patient's comorbidity of diabetes and hypertension complicated the treatment protocol.",동반이환,"환자의 당뇨병과 고혈압의 동반이환은 치료 프로토콜을 복잡하게 만들었다.",合併症,"患者の糖尿病と高血圧の合併症は治療プロトコルを複雑にした。",合并症,"患者糖尿病和高血压的合并症使治疗方案变得复杂。",comorbilidad,"La comorbilidad de diabetes e hipertensión del paciente complicó el protocolo de tratamiento.",bệnh đồng mắc,"Bệnh đồng mắc tiểu đường và tăng huyết áp của bệnh nhân làm phức tạp phác đồ điều trị.",โรคร่วม,"โรคร่วมของผู้ป่วยคือเบาหวานและความดันโลหิตสูงทำให้โปรโตคอลการรักษาซับซ้อนขึ้น",komorbiditas,"Komorbiditas diabetes dan hipertensi pada pasien mempersulit protokol pengobatan."
