english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example
fiduciary,Board members have a fiduciary duty to act in shareholders' best interests.,수탁자의,이사회 구성원은 주주의 최선의 이익을 위해 행동할 수탁자의 의무가 있다.,受託者の,取締役会メンバーは株主の最善の利益のために行動する受託者義務を負う。,受托的,董事会成员有受托责任为股东的最佳利益行事。,fiduciario,Los miembros de la junta tienen el deber fiduciario de actuar en el mejor interés de los accionistas.
foreclosure,The bank initiated foreclosure proceedings after six months of nonpayment.,담보권 실행,은행은 6개월간 미납 후 담보권 실행 절차를 개시했다.,抵当権実行,銀行は6か月の未払い後に抵当権実行手続きを開始した。,止赎,银行在六个月未付款后启动了止赎程序。,ejecución hipotecaria,El banco inició los procedimientos de ejecución hipotecaria tras seis meses de impago.
franchise,The franchise agreement grants exclusive rights to operate in this region.,가맹점,가맹 계약은 이 지역에서의 독점 운영권을 부여한다.,フランチャイズ,フランチャイズ契約はこの地域での独占的な営業権を付与する。,特许经营权,特许经营协议授予在该地区运营的独家权利。,franquicia,El contrato de franquicia otorga derechos exclusivos para operar en esta región.
garnishment,The court issued a garnishment order against the debtor's monthly wages.,압류,법원은 채무자의 월급에 대한 압류 명령을 내렸다.,差押え,裁判所は債務者の月給に対する差押え命令を出した。,扣押,法院对债务人的月薪发出了扣押令。,embargo de salario,El tribunal dictó una orden de embargo sobre el salario mensual del deudor.
hedge,The company uses currency derivatives to hedge against exchange rate fluctuations.,위험 회피,회사는 환율 변동에 대비하여 통화 파생 상품으로 헤지한다.,ヘッジ,会社は為替変動に対してヘッジするために通貨デリバティブを利用する。,对冲,公司使用货币衍生品来对冲汇率波动。,"cobertura, protección contra riesgos",La empresa utiliza derivados de divisas para cubrirse contra las fluctuaciones del tipo de cambio.
hypothetical,The analyst presented a hypothetical scenario for the upcoming fiscal year.,가설적인,분석가는 다가오는 회계 연도에 대한 가설적 시나리오를 제시했다.,仮説的な,アナリストは次の会計年度の仮説的なシナリオを提示した。,假设的,分析师提出了即将到来的财年的假设情景。,"hipotético, supuesto",El analista presentó un escenario hipotético para el próximo ejercicio fiscal.
indemnify,The insurance policy will indemnify the company against property damage claims.,배상하다,보험 정책은 재산 피해 청구에 대해 회사를 보상할 것이다.,補償する,保険契約は財産損害請求に対して会社を補償する。,赔偿,保险单将赔偿公司因财产损害索赔而遭受的损失。,"indemnizar, compensar",La póliza de seguro indemnizará a la empresa contra reclamaciones por daños a la propiedad.
infringement,The lawsuit alleges patent infringement by the competing technology company.,침해,소송은 경쟁 기술 회사의 특허 침해를 주장한다.,侵害,訴訟は競合テクノロジー企業による特許侵害を主張している。,侵权,诉讼指控竞争对手的科技公司专利侵权。,"infracción, violación",La demanda alega una infracción de patente por parte de la empresa tecnológica competidora.
insolvency,Rising debts pushed the corporation toward insolvency and potential bankruptcy.,지급 불능,증가하는 부채가 회사를 지급 불능과 잠재적 파산으로 몰아갔다.,支払不能,増加する負債が企業を債務超過と潜在的な破産に追い込んだ。,资不抵债,不断增加的债务将公司推向了资不抵债和潜在的破产。,insolvencia,El aumento de deudas empujó a la empresa hacia la insolvencia y una posible quiebra.
jurisdiction,The federal court has jurisdiction over cases involving interstate commerce disputes.,관할권,연방 법원은 주간 상거래 분쟁과 관련된 사건에 대한 관할권을 가진다.,管轄権,連邦裁判所は州間商取引紛争に関する事件の管轄権を有する。,管辖权,联邦法院对涉及州际商业纠纷的案件有管辖权。,"jurisdicción, competencia",El tribunal federal tiene jurisdicción sobre los casos relacionados con disputas de comercio interestatal.
leverage,The firm used financial leverage to maximize returns on limited capital.,레버리지,회사는 제한된 자본의 수익을 극대화하기 위해 재무 레버리지를 사용했다.,レバレッジ,企業は限られた資本のリターンを最大化するために財務レバレッジを利用した。,杠杆,公司利用财务杠杆最大化有限资本的回报。,apalancamiento financiero,La empresa utilizó el apalancamiento financiero para maximizar los rendimientos del capital limitado.
liquidate,The board voted to liquidate the company's remaining overseas assets immediately.,청산하다,이사회는 회사의 남은 해외 자산을 즉시 청산하기로 의결했다.,清算する,取締役会は会社の残りの海外資産を直ちに清算することを決議した。,清算,董事会投票决定立即清算公司剩余的海外资产。,liquidar,La junta votó para liquidar inmediatamente los activos en el extranjero restantes de la empresa.
litigate,Both parties decided to litigate rather than settle the contract dispute.,소송하다,양측은 계약 분쟁을 합의하기보다 소송을 진행하기로 결정했다.,訴訟する,両当事者は契約紛争を和解ではなく訴訟で解決することを決めた。,诉讼,双方决定就合同纠纷提起诉讼而非和解。,"litigar, pleitear",Ambas partes decidieron litigar en lugar de llegar a un acuerdo sobre la disputa contractual.
maturity,The corporate bonds will reach maturity in December of next year.,만기,회사채는 내년 12월에 만기가 도래한다.,満期,社債は来年12月に満期を迎える。,到期,公司债券将于明年十二月到期。,"vencimiento, madurez",Los bonos corporativos alcanzarán su vencimiento en diciembre del próximo año.
monopoly,The government investigation found evidence of monopoly practices in telecommunications.,독점,정부 조사는 통신 분야에서 독점 행위의 증거를 발견했다.,独占,政府調査は通信分野での独占的慣行の証拠を発見した。,垄断,政府调查发现了电信领域存在垄断行为的证据。,monopolio,La investigación gubernamental encontró evidencias de prácticas monopolísticas en telecomunicaciones.
mortgage,The company secured a commercial mortgage to purchase the office building.,담보 대출,회사는 사무실 건물을 구매하기 위해 상업용 모기지를 확보했다.,住宅ローン,会社はオフィスビルを購入するために商業用モーゲージを確保した。,抵押贷款,公司获得了商业抵押贷款来购买办公楼。,hipoteca,La empresa obtuvo una hipoteca comercial para adquirir el edificio de oficinas.
negligence,The firm was found liable for negligence in its safety inspection procedures.,과실,회사는 안전 점검 절차에서의 과실에 대해 책임이 있다고 판결되었다.,過失,企業は安全検査手順における過失の責任があると認定された。,过失,该公司被认定在安全检查程序中存在疏忽责任。,negligencia,Se determinó que la empresa era responsable por negligencia en sus procedimientos de inspección de seguridad.
notarize,All parties must notarize the agreement before submitting it to court.,공증하다,모든 당사자는 법원에 제출하기 전에 합의서를 공증해야 한다.,公証する,全当事者は裁判所に提出する前に合意書を公証しなければならない。,公证,所有当事方必须在提交法院之前对协议进行公证。,"notarizar, autenticar ante notario",Todas las partes deben notarizar el acuerdo antes de presentarlo al tribunal.
obligor,The obligor must fulfill all payment obligations stated in the contract.,채무자,채무자는 계약서에 명시된 모든 지급 의무를 이행해야 한다.,債務者,債務者は契約書に記載されたすべての支払い義務を履行しなければならない。,债务人,义务人必须履行合同中规定的所有付款义务。,deudor obligado,El deudor obligado debe cumplir todas las obligaciones de pago establecidas en el contrato.
portfolio,The investment portfolio was diversified across multiple industry sectors.,포트폴리오,투자 포트폴리오는 여러 산업 부문에 걸쳐 분산되었다.,ポートフォリオ,投資ポートフォリオは複数の業種に分散された。,投资组合,投资组合在多个行业领域进行了多元化配置。,"cartera de inversiones, portafolio",La cartera de inversiones fue diversificada en múltiples sectores industriales.
premium,Customers pay a monthly premium for comprehensive health insurance coverage.,보험료,고객은 종합 건강 보험 보장을 위해 월별 보험료를 지불한다.,保険料,顧客は包括的な健康保険の補償のために月額保険料を支払う。,保费,客户每月支付保费以获得综合健康保险。,prima de seguro,Los clientes pagan una prima mensual por la cobertura de seguro médico integral.
procurement,The procurement department negotiated better terms with all major suppliers.,조달,조달 부서는 모든 주요 공급업체와 더 나은 조건을 협상했다.,調達,調達部門はすべての主要サプライヤーとより良い条件を交渉した。,采购,采购部门与所有主要供应商谈判了更好的条款。,"adquisición, aprovisionamiento",El departamento de adquisiciones negoció mejores condiciones con todos los principales proveedores.
receivable,The company reported two million dollars in accounts receivable this quarter.,미수금,회사는 이번 분기에 200만 달러의 매출 채권을 보고했다.,売掛金,会社は今四半期に200万ドルの売掛金を報告した。,应收账款,公司本季度报告了两百万美元的应收账款。,cuentas por cobrar,La empresa reportó dos millones de dólares en cuentas por cobrar este trimestre.
reconcile,The accountant needs to reconcile the bank statement with internal records.,조정하다,회계사는 은행 명세서와 내부 기록을 대조해야 한다.,照合する,会計士は銀行明細書と社内記録を照合する必要がある。,对账,会计需要将银行对账单与内部记录进行核对。,"conciliar, cuadrar",El contador necesita conciliar el extracto bancario con los registros internos.
reimburse,The company will reimburse employees for all approved travel expenses promptly.,상환하다,회사는 승인된 모든 출장 경비를 직원들에게 신속히 상환할 것이다.,払い戻す,会社は承認されたすべての出張費用を速やかに社員に払い戻す。,报销,公司将及时报销员工所有经批准的差旅费用。,"reembolsar, reintegrar",La empresa reembolsará a los empleados todos los gastos de viaje aprobados de manera oportuna.
remittance,The overseas remittance was processed within three business days as promised.,송금,해외 송금은 약속대로 3 영업일 이내에 처리되었다.,送金,海外送金は約束通り3営業日以内に処理された。,汇款,海外汇款按承诺在三个工作日内处理完毕。,"remesa, transferencia de dinero","La remesa al extranjero se procesó dentro de tres días hábiles, tal como se prometió."
royalty,The author receives a ten percent royalty on every book sold worldwide.,로열티,저자는 전 세계에서 판매되는 모든 책에 대해 10%의 로열티를 받는다.,ロイヤリティ,著者は世界中で販売されるすべての本に対して10%のロイヤリティを受け取る。,特许使用费,作者从全球销售的每本书中获得百分之十的版税。,"regalía, canon",El autor recibe una regalía del diez por ciento por cada libro vendido en todo el mundo.
securitize,The bank plans to securitize mortgage loans into tradable financial instruments.,증권화하다,은행은 모기지 대출을 거래 가능한 금융 상품으로 증권화할 계획이다.,証券化する,銀行は住宅ローンを取引可能な金融商品に証券化する計画である。,证券化,银行计划将抵押贷款证券化为可交易的金融工具。,"securitizar, titularizar",El banco planea titularizar los préstamos hipotecarios en instrumentos financieros negociables.
solvent,"Despite the economic downturn, the company remains financially solvent and stable.",지급 능력이 있는,경기 침체에도 불구하고 회사는 재정적으로 건전하고 안정적이다.,支払能力のある,景気後退にもかかわらず、会社は財務的に健全で安定している。,有偿付能力的,尽管经济低迷，公司仍保持财务偿付能力和稳定。,"solvente, con capacidad de pago","A pesar de la recesión económica, la empresa sigue siendo financieramente solvente y estable."
stipulate,The contract clearly stipulates the delivery schedule and payment terms.,규정하다,계약서는 배송 일정과 지불 조건을 명확히 규정한다.,規定する,契約書は納品スケジュールと支払い条件を明確に規定している。,规定,合同明确规定了交货时间表和付款条件。,"estipular, establecer",El contrato estipula claramente el calendario de entrega y las condiciones de pago.
subsidiary,The parent company established a new subsidiary in the Southeast Asian market.,자회사,모회사는 동남아시아 시장에 새로운 자회사를 설립했다.,子会社,親会社は東南アジア市場に新しい子会社を設立した。,子公司,母公司在东南亚市场设立了一家新的子公司。,"subsidiaria, filial",La empresa matriz estableció una nueva subsidiaria en el mercado del sudeste asiático.
surcharge,A fuel surcharge will be applied to all international shipping orders.,추가 요금,모든 국제 배송 주문에 연료 할증료가 부과될 것이다.,追加料金,すべての国際配送注文に燃料サーチャージが適用される。,附加费,所有国际运输订单将加收燃油附加费。,"recargo, cargo adicional",Se aplicará un recargo por combustible a todos los pedidos de envío internacional.
syndicate,A banking syndicate was formed to finance the large infrastructure project.,신디케이트,대규모 인프라 프로젝트에 자금을 지원하기 위해 은행 신디케이트가 결성되었다.,シンジケート,大規模インフラプロジェクトに融資するために銀行シンジケートが結成された。,辛迪加,组建了银行银团为大型基础设施项目提供融资。,sindicato bancario,Se formó un sindicato bancario para financiar el gran proyecto de infraestructura.
tariff,The new tariff on imported steel affected manufacturers across the country.,관세,수입 철강에 대한 새로운 관세가 전국의 제조업체에 영향을 미쳤다.,関税,輸入鉄鋼に対する新しい関税が全国の製造業者に影響を与えた。,关税,对进口钢铁征收的新关税影响了全国的制造商。,"arancel, tarifa aduanera",El nuevo arancel sobre el acero importado afectó a los fabricantes de todo el país.
tenure,"After five years of tenure, the director was promoted to vice president.",재임 기간,5년간의 재임 후 이사는 부사장으로 승진했다.,在職期間,5年間の在職後、取締役は副社長に昇進した。,任期,在任五年后，董事被提升为副总裁。,"mandato, permanencia en el cargo","Tras cinco años de mandato, el director fue ascendido a vicepresidente."
underwrite,The investment bank agreed to underwrite the company's initial public offering.,인수하다,투자 은행은 회사의 기업 공개를 인수하기로 합의했다.,引き受ける,投資銀行は会社の新規株式公開を引き受けることに合意した。,承保,投资银行同意承销该公司的首次公开募股。,"suscribir, asegurar",El banco de inversión acordó suscribir la oferta pública inicial de la empresa.
accrual,The accrual of interest on the savings account is calculated monthly.,발생주의,저축 계좌의 이자 발생은 매월 계산된다.,発生主義,普通預金口座の利息の発生は毎月計算される。,应计,储蓄账户的利息按月计算累计。,"devengo, acumulación",El devengo de intereses en la cuenta de ahorros se calcula mensualmente.
acquiescence,The board's acquiescence to the merger surprised many industry analysts.,묵인,이사회의 합병 묵인은 많은 업계 분석가들을 놀라게 했다.,黙認,取締役会の合併への黙認は多くの業界アナリストを驚かせた。,默许,董事会对合并的默许让许多行业分析师感到意外。,"aquiescencia, consentimiento tácito",La aquiescencia de la junta ante la fusión sorprendió a muchos analistas del sector.
affidavit,The witness submitted a sworn affidavit to support the plaintiff's case.,선서 진술서,증인은 원고의 사건을 뒷받침하기 위해 선서 진술서를 제출했다.,宣誓供述書,証人は原告の訴訟を裏付けるために宣誓供述書を提出した。,宣誓书,证人提交了宣誓书以支持原告的案件。,"declaración jurada, affidávit",El testigo presentó una declaración jurada para apoyar el caso del demandante.
aggregate,The aggregate revenue from all divisions exceeded quarterly projections significantly.,총계의,모든 사업부의 총 수익이 분기 예측을 크게 초과했다.,合計の,全部門の総収益が四半期予測を大幅に上回った。,总计的,所有部门的总收入大幅超过了季度预测。,"total, agregado",Los ingresos totales de todas las divisiones superaron significativamente las proyecciones trimestrales.
allegation,The company denied all allegations of unfair labor practices in court.,주장,회사는 법정에서 불공정 노동 관행에 대한 모든 혐의를 부인했다.,申し立て,会社は法廷で不当労働行為のすべての申し立てを否認した。,指控,公司在法庭上否认了所有不公平劳动行为的指控。,"alegación, acusación",La empresa negó todas las acusaciones de prácticas laborales desleales en el tribunal.
allocable,Only allocable expenses directly tied to the project may be claimed.,배분 가능한,프로젝트에 직접 연결된 배분 가능한 비용만 청구할 수 있다.,配分可能な,プロジェクトに直接関連する配分可能な費用のみ請求できる。,可分配的,只有与项目直接相关的可分配费用才能申报。,"asignable, imputable",Solo se pueden reclamar los gastos asignables directamente vinculados al proyecto.
amalgamation,The amalgamation of the two banks created the region's largest financial institution.,합병,두 은행의 합병이 지역 최대의 금융 기관을 탄생시켰다.,合併,2つの銀行の合併により地域最大の金融機関が誕生した。,合并,两家银行的合并创建了该地区最大的金融机构。,"fusión, amalgama",La fusión de los dos bancos creó la institución financiera más grande de la región.
amicus,The trade association filed an amicus brief supporting the defendant's position.,법정 조언자,무역 협회가 피고의 입장을 지지하는 법정 의견서를 제출했다.,法廷助言者,業界団体は被告の立場を支持するアミカスブリーフを提出した。,法庭之友,贸易协会提交了支持被告立场的法庭之友意见书。,"amicus curiae, asesor del tribunal",La asociación comercial presentó un escrito amicus apoyando la posición del demandado.
antitrust,The antitrust investigation revealed illegal price-fixing among major competitors.,독점 금지의,반독점 조사는 주요 경쟁사들 간의 불법 가격 담합을 밝혀냈다.,独占禁止の,独占禁止法調査は主要競合企業間の違法な価格カルテルを明らかにした。,反垄断的,反垄断调查揭露了主要竞争对手之间的非法价格操纵。,"antimonopolio, anticompetitivo",La investigación antimonopolio reveló una fijación ilegal de precios entre los principales competidores.
appellate,The appellate court upheld the original ruling on the patent dispute.,항소의,항소 법원은 특허 분쟁에 대한 원래 판결을 유지했다.,控訴の,控訴裁判所は特許紛争に関する原判決を支持した。,上诉的,上诉法院维持了专利纠纷的原判。,de apelación,El tribunal de apelaciones confirmó el fallo original sobre la disputa de patentes.
apportion,The manager will apportion the annual budget equally among all departments.,배분하다,관리자는 연간 예산을 모든 부서에 균등하게 배분할 것이다.,配分する,マネージャーは年間予算を全部門に均等に配分する。,分摊,经理将在所有部门之间平均分配年度预算。,"prorratear, distribuir",El gerente distribuirá el presupuesto anual equitativamente entre todos los departamentos.
appropriation,Congress approved the appropriation of funds for national infrastructure development.,충당,의회는 국가 인프라 개발을 위한 자금 배정을 승인했다.,充当,議会は国家インフラ整備のための資金の充当を承認した。,拨款,国会批准了用于国家基础设施建设的资金拨款。,"asignación de fondos, consignación presupuestaria",El Congreso aprobó la asignación de fondos para el desarrollo de infraestructura nacional.
arrears,The tenant fell three months into arrears on the commercial lease payments.,연체금,세입자는 상업용 임대료가 3개월 연체되었다.,延滞金,テナントは商業リースの支払いが3か月滞納した。,欠款,租户的商业租赁付款拖欠了三个月。,"atrasos, pagos atrasados",El arrendatario acumuló tres meses de atrasos en los pagos del arrendamiento comercial.
assessor,The tax assessor determined the current market value of the property.,세금 사정관,세무 평가사가 부동산의 현재 시장 가치를 산정했다.,査定人,税務評価者が不動産の現在の市場価値を査定した。,评估员,税务评估员确定了该房产的当前市场价值。,"tasador, perito",El tasador fiscal determinó el valor de mercado actual de la propiedad.
assignee,The assignee will assume all rights and obligations under the original contract.,양수인,양수인은 원래 계약에 따른 모든 권리와 의무를 인수한다.,譲受人,譲受人は原契約に基づくすべての権利と義務を引き受ける。,受让人,受让人将承担原合同下的所有权利和义务。,"cesionario, receptor",El cesionario asumirá todos los derechos y obligaciones del contrato original.
attestation,The notary provided an official attestation confirming the document's authenticity.,증명,공증인은 문서의 진위를 확인하는 공식 증명서를 제공했다.,証明,公証人は文書の真正性を確認する公式の証明を提供した。,证明,公证人提供了确认文件真实性的正式证明。,"atestación, certificación",El notario proporcionó una certificación oficial que confirma la autenticidad del documento.
austerity,The government implemented austerity measures to reduce the national budget deficit.,긴축,정부는 국가 재정 적자를 줄이기 위해 긴축 조치를 시행했다.,緊縮,政府は国家財政赤字を削減するために緊縮策を実施した。,紧缩,政府实施了紧缩措施以减少国家预算赤字。,austeridad,El gobierno implementó medidas de austeridad para reducir el déficit presupuestario nacional.
bailout,The federal government approved a bailout package for the struggling airline industry.,구제 금융,연방 정부는 어려움에 처한 항공 산업을 위한 구제 금융을 승인했다.,救済措置,連邦政府は苦境にある航空業界への救済パッケージを承認した。,紧急救助,联邦政府批准了对陷入困境的航空业的救助方案。,"rescate financiero, ayuda estatal",El gobierno federal aprobó un paquete de rescate para la industria aérea en dificultades.
barter,Some companies still barter goods and services instead of using currency.,물물 교환,일부 회사는 화폐 대신 물품과 서비스를 물물교환한다.,物々交換,一部の企業は通貨の代わりに商品やサービスを物々交換している。,以物易物,一些公司仍然以物易物而非使用货币。,"trueque, intercambio",Algunas empresas todavía realizan trueques de bienes y servicios en lugar de usar dinero.
beneficiary,Each employee must designate a beneficiary for their life insurance policy.,수익자,각 직원은 생명 보험의 수익자를 지정해야 한다.,受益者,各従業員は生命保険の受取人を指定しなければならない。,受益人,每位员工必须为其人寿保险指定受益人。,beneficiario,Cada empleado debe designar un beneficiario para su póliza de seguro de vida.
bequest,The late founder's bequest funded a new scholarship program for employees.,유증,고인이 된 창립자의 유산이 직원을 위한 새 장학 프로그램에 자금을 지원했다.,遺贈,故創業者の遺贈が従業員のための新しい奨学金プログラムに資金を提供した。,遗赠,已故创始人的遗赠资助了一项新的员工奖学金计划。,"legado, herencia",El legado del difunto fundador financió un nuevo programa de becas para empleados.
