english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
food,The food at this place is great.,음식,이곳의 음식은 훌륭해요.,食べ物,この場所の食べ物は素晴らしいです。,食物,这个地方的食物很棒。,comida,La comida de este lugar es excelente.,thức ăn; đồ ăn,Đồ ăn ở đây rất ngon.,อาหาร,อาหารที่นี่อร่อยมาก,makanan,Makanan di tempat ini enak sekali.
book,I read a book every night.,책,나는 매일 밤 책을 읽어요.,本,私は毎晩本を読みます。,书,我每晚都读一本书。,libro,Leo un libro cada noche.,sách,Tôi đọc một cuốn sách mỗi tối.,หนังสือ,ฉันอ่านหนังสือทุกคืน,buku,Saya membaca buku setiap malam.
school,The children walk to school together.,학교,아이들은 함께 학교에 걸어가요.,学校,子供たちは一緒に学校へ歩きます。,学校,孩子们一起走路去学校。,escuela,Los niños van caminando juntos a la escuela.,trường học,Bọn trẻ cùng đi bộ đến trường.,โรงเรียน,เด็ก ๆ เดินไปโรงเรียนด้วยกัน,sekolah,Anak-anak berjalan ke sekolah bersama.
house,Our house has a red door.,집,우리 집은 빨간 문이 있어요.,家,私たちの家には赤いドアがあります。,房子,我们家有一扇红色的门。,casa,Nuestra casa tiene una puerta roja.,nhà,Nhà chúng tôi có cửa màu đỏ.,บ้าน,บ้านของเรามีประตูสีแดง,rumah,Rumah kami memiliki pintu berwarna merah.
friend,She is my best friend.,친구,그녀는 나의 가장 친한 친구예요.,友達,彼女は私の一番の友達です。,朋友,她是我最好的朋友。,amigo,Ella es mi mejor amiga.,bạn,Cô ấy là bạn thân nhất của tôi.,เพื่อน,เธอเป็นเพื่อนสนิทที่สุดของฉัน,teman,Dia adalah teman terbaik saya.
family,My family eats dinner together.,가족,우리 가족은 함께 저녁을 먹어요.,家族,家族は一緒に夕食を食べます。,家人,我的家人一起吃晚饭。,familia,Mi familia cena junta.,gia đình,Gia đình tôi cùng ăn tối với nhau.,ครอบครัว,ครอบครัวของฉันทานอาหารเย็นด้วยกัน,keluarga,Keluarga saya makan malam bersama.
mother,My mother makes great food.,어머니; 엄마,우리 엄마는 음식을 잘 만들어요.,お母さん,母は料理が上手です。,妈妈,我妈妈做的饭很好吃。,madre,Mi madre cocina muy bien.,mẹ,Mẹ tôi nấu ăn rất ngon.,แม่,แม่ของฉันทำอาหารอร่อยมาก,ibu,Ibu saya membuat makanan yang enak.
father,My father goes to work early.,아버지; 아빠,아버지는 일찍 출근해요.,お父さん,父は早く仕事に行きます。,爸爸,我爸爸很早去上班。,padre,Mi padre sale temprano al trabajo.,bố; cha,Bố tôi đi làm sớm.,พ่อ,พ่อของฉันไปทำงานแต่เช้า,ayah,Ayah saya pergi bekerja pagi-pagi.
brother,My brother is taller than me.,형제; 남동생,내 형은 나보다 키가 커요.,兄弟,兄は私より背が高いです。,兄弟,我哥哥比我高。,hermano,Mi hermano es más alto que yo.,anh; em trai,Anh trai tôi cao hơn tôi.,พี่ชาย; น้องชาย,พี่ชายของฉันสูงกว่าฉัน,saudara laki-laki,Saudara laki-laki saya lebih tinggi dari saya.
sister,My sister likes to draw pictures.,자매; 여동생,내 여동생은 그림 그리기를 좋아해요.,姉妹,姉は絵を描くのが好きです。,姐妹,我姐姐喜欢画画。,hermana,A mi hermana le gusta dibujar.,chị; em gái,Em gái tôi thích vẽ tranh.,พี่สาว; น้องสาว,น้องสาวของฉันชอบวาดรูป,saudara perempuan,Saudara perempuan saya suka menggambar.
baby,The baby is sleeping now.,아기,아기가 지금 자고 있어요.,赤ちゃん,赤ちゃんは今寝ています。,婴儿,宝宝现在在睡觉。,bebé,El bebé está durmiendo ahora.,em bé,Em bé đang ngủ.,ทารก; เด็กทารก,ทารกกำลังนอนหลับ,bayi,Bayinya sedang tidur sekarang.
boy,The boy plays in the park.,소년,그 소년은 공원에서 놀아요.,男の子,男の子は公園で遊びます。,男孩,男孩在公园里玩。,niño,El niño juega en el parque.,cậu bé,Cậu bé chơi trong công viên.,เด็กผู้ชาย,เด็กผู้ชายเล่นในสวนสาธารณะ,anak laki-laki,Anak laki-laki itu bermain di taman.
girl,The girl reads a book quietly.,소녀,그 소녀는 조용히 책을 읽어요.,女の子,女の子は静かに本を読みます。,女孩,女孩安静地读书。,niña,La niña lee un libro en silencio.,cô bé,Cô bé đọc sách yên lặng.,เด็กผู้หญิง,เด็กผู้หญิงอ่านหนังสืออย่างเงียบ ๆ,anak perempuan,Anak perempuan itu membaca buku dengan tenang.
man,The man is wearing a hat.,남자,그 남자는 모자를 쓰고 있어요.,男の人,男性は帽子をかぶっています。,男人,那个男人戴着帽子。,hombre,El hombre lleva un sombrero.,đàn ông,Người đàn ông đang đội mũ.,ผู้ชาย,ผู้ชายคนนั้นสวมหมวก,pria; laki-laki,Pria itu sedang memakai topi.
woman,The woman smiled at us kindly.,여자,그 여자는 우리에게 친절히 미소 지었어요.,女の人,女性は私たちに優しく微笑みました。,女人,那位女士对我们友好地微笑。,mujer,La mujer nos sonrió amablemente.,phụ nữ,Người phụ nữ mỉm cười với chúng tôi.,ผู้หญิง,ผู้หญิงคนนั้นยิ้มให้เราอย่างใจดี,wanita; perempuan,Wanita itu tersenyum ramah kepada kami.
child,Every child needs love and care.,아이,모든 아이는 사랑과 돌봄이 필요해요.,子供,すべての子供には愛と世話が必要です。,孩子,每个孩子都需要爱和关怀。,niño; infante,Cada niño necesita amor y cuidado.,trẻ em,Mỗi đứa trẻ đều cần tình yêu thương và sự chăm sóc.,เด็ก,เด็กทุกคนต้องการความรักและการดูแล,anak,Setiap anak membutuhkan kasih sayang dan perhatian.
people,Many people visit this park daily.,사람들,많은 사람들이 매일 이 공원을 방문해요.,人々,多くの人が毎日この公園を訪れます。,人们,很多人每天都来这个公园。,personas; gente,Mucha gente visita este parque a diario.,người; mọi người,Nhiều người đến thăm công viên này mỗi ngày.,ผู้คน,ผู้คนจำนวนมากมาเที่ยวสวนสาธารณะนี้ทุกวัน,orang-orang,Banyak orang mengunjungi taman ini setiap hari.
name,"What is your name, please?",이름,이름이 뭐예요?,名前,お名前は何ですか？,名字,请问你叫什么名字？,nombre,"¿Cuál es tu nombre, por favor?",tên,Xin hỏi tên bạn là gì?,ชื่อ,คุณชื่ออะไรครับ?,nama,Siapa nama Anda?
dog,The dog runs fast in the yard.,개,개가 마당에서 빨리 뛰어요.,犬,犬は庭で速く走ります。,狗,狗在院子里跑得很快。,perro,El perro corre rápido por el patio.,con chó,Con chó chạy nhanh trong sân.,สุนัข; หมา,สุนัขวิ่งเร็วในสนาม,anjing,Anjing itu berlari cepat di halaman.
cat,The cat sleeps on the sofa.,고양이,고양이가 소파에서 자요.,猫,猫はソファで寝ています。,猫,猫在沙发上睡觉。,gato,El gato duerme en el sofá.,con mèo,Con mèo ngủ trên ghế sofa.,แมว,แมวนอนบนโซฟา,kucing,Kucing itu tidur di sofa.
bird,A bird is singing in the tree.,새,새가 나무에서 노래하고 있어요.,鳥,鳥が木で歌っています。,鸟,一只鸟在树上唱歌。,pájaro,Un pájaro está cantando en el árbol.,con chim,Một con chim đang hót trên cây.,นก,นกตัวหนึ่งกำลังร้องเพลงบนต้นไม้,burung,Seekor burung sedang bernyanyi di pohon.
fish,We eat fish for dinner tonight.,물고기,오늘 저녁에 생선을 먹어요.,魚,今夜は魚を食べます。,鱼,我们今晚吃鱼。,pez,Esta noche comemos pescado para cenar.,cá,Tối nay chúng tôi ăn cá.,ปลา,เราทานปลาเป็นอาหารเย็นคืนนี้,ikan,Kami makan ikan untuk makan malam.
tree,The tree is very tall and green.,나무,그 나무는 매우 크고 푸르러요.,木,その木はとても高くて緑です。,树,那棵树又高又绿。,árbol,El árbol es muy alto y verde.,cây,Cái cây rất cao và xanh.,ต้นไม้,ต้นไม้สูงมากและเขียวขจี,pohon,Pohon itu sangat tinggi dan hijau.
flower,She gave me a beautiful flower.,꽃,그녀가 나에게 예쁜 꽃을 줬어요.,花,彼女は私に美しい花をくれました。,花,她给了我一朵漂亮的花。,flor,Ella me dio una flor hermosa.,hoa,Cô ấy tặng tôi một bông hoa đẹp.,ดอกไม้,เธอให้ดอกไม้สวย ๆ ฉัน,bunga,Dia memberi saya bunga yang indah.
sun,The sun is bright this morning.,태양,오늘 아침 해가 밝아요.,太陽,今朝は太陽が明るいです。,太阳,今天早上阳光很明亮。,sol,El sol está brillante esta mañana.,mặt trời,Mặt trời sáng chói sáng nay.,ดวงอาทิตย์; พระอาทิตย์,พระอาทิตย์สว่างจ้าเมื่อเช้านี้,matahari,Matahari cerah pagi ini.
moon,The moon is full and beautiful tonight.,달,오늘 밤 보름달이 아름다워요.,月,今夜は満月で美しいです。,月亮,今晚的月亮又圆又美。,luna,La luna está llena y hermosa esta noche.,mặt trăng,Tối nay trăng tròn và đẹp.,ดวงจันทร์; พระจันทร์,คืนนี้พระจันทร์เต็มดวงและสวยงาม,bulan,Bulan purnama dan indah malam ini.
star,I can see a bright star.,별,밝은 별이 보여요.,星,明るい星が見えます。,星星,我能看到一颗明亮的星星。,estrella,Puedo ver una estrella brillante.,ngôi sao,Tôi có thể thấy một ngôi sao sáng.,ดาว,ฉันมองเห็นดาวสว่างดวงหนึ่ง,bintang,Saya bisa melihat bintang yang terang.
rain,The rain stopped an hour ago.,비,한 시간 전에 비가 그쳤어요.,雨,一時間前に雨が止みました。,雨,雨一个小时前停了。,lluvia,La lluvia paró hace una hora.,mưa,Mưa đã tạnh một giờ trước.,ฝน,ฝนหยุดตกเมื่อชั่วโมงที่แล้ว,hujan,Hujan berhenti satu jam yang lalu.
snow,The snow covers the whole ground.,눈,눈이 온 땅을 덮었어요.,雪,雪が地面を覆っています。,雪,雪覆盖了整个地面。,nieve,La nieve cubre todo el suelo.,tuyết,Tuyết phủ kín mặt đất.,หิมะ,หิมะปกคลุมพื้นดินทั้งหมด,salju,Salju menutupi seluruh tanah.
wind,The wind is blowing very strong.,바람,바람이 매우 세게 불어요.,風,風がとても強く吹いています。,风,风刮得很大。,viento,El viento sopla muy fuerte.,gió,Gió thổi rất mạnh.,ลม,ลมพัดแรงมาก,angin,Angin bertiup sangat kencang.
sky,The sky is clear and blue.,하늘,하늘이 맑고 파래요.,空,空は晴れて青いです。,天空,天空晴朗而蔚蓝。,cielo,El cielo está despejado y azul.,bầu trời,Bầu trời trong xanh.,ท้องฟ้า,ท้องฟ้าแจ่มใสและเป็นสีฟ้า,langit,Langit cerah dan biru.
head,He hit his head on the door.,머리,그는 문에 머리를 부딪혔어요.,頭,彼はドアに頭をぶつけました。,头,他的头撞到了门上。,cabeza,Él se golpeó la cabeza con la puerta.,đầu,Anh ấy đập đầu vào cửa.,หัว; ศีรษะ,เขาเอาหัวชนประตู,kepala,Dia membenturkan kepalanya di pintu.
eye,She has beautiful brown eyes.,눈,그녀는 아름다운 갈색 눈을 가졌어요.,目,彼女は美しい茶色の目をしています。,眼睛,她有美丽的棕色眼睛。,ojo,Ella tiene unos hermosos ojos marrones.,mắt,Cô ấy có đôi mắt nâu đẹp.,ตา; ดวงตา,เธอมีดวงตาสีน้ำตาลสวยงาม,mata,Dia memiliki mata cokelat yang indah.
ear,He whispered something in my ear.,귀,그가 내 귀에 속삭였어요.,耳,彼は私の耳に何かささやきました。,耳朵,他在我耳边低声说了什么。,oreja,Él me susurró algo al oído.,tai,Anh ấy thì thầm vào tai tôi.,หู,เขากระซิบบางอย่างที่หูของฉัน,telinga,Dia membisikkan sesuatu di telinga saya.
nose,The dog has a cold nose.,코,개의 코가 차가워요.,鼻,犬の鼻は冷たいです。,鼻子,狗的鼻子是凉的。,nariz,El perro tiene la nariz fría.,mũi,Con chó có cái mũi lạnh.,จมูก,สุนัขมีจมูกเย็น,hidung,Anjing itu memiliki hidung yang dingin.
mouth,Please close your mouth when eating.,입,먹을 때 입을 다물어 주세요.,口,食べる時は口を閉じてください。,嘴,吃饭的时候请闭上嘴。,boca,"Por favor, cierra la boca cuando comas.",miệng,Xin hãy ngậm miệng khi ăn.,ปาก,กรุณาหุบปากเวลากิน,mulut,Tolong tutup mulut saat makan.
hand,She held the baby in her hand.,손,그녀는 손으로 아기를 안았어요.,手,彼女は赤ちゃんを手で抱きました。,手,她用手抱着宝宝。,mano,Ella sostuvo al bebé en sus brazos.,tay; bàn tay,Cô ấy bế em bé trong tay.,มือ,เธออุ้มทารกไว้ในมือ,tangan,Dia menggendong bayi di tangannya.
foot,My foot hurts after running.,발,달리기 후에 발이 아파요.,足,走った後、足が痛いです。,脚,跑步后我的脚很疼。,pie,Me duele el pie después de correr.,chân; bàn chân,Chân tôi đau sau khi chạy.,เท้า,เท้าของฉันเจ็บหลังจากวิ่ง,kaki,Kaki saya sakit setelah berlari.
arm,He broke his arm last week.,팔,그는 지난주에 팔이 부러졌어요.,腕,彼は先週腕を骨折しました。,胳膊,他上周摔断了胳膊。,brazo,Él se rompió el brazo la semana pasada.,cánh tay,Anh ấy bị gãy tay tuần trước.,แขน,เขาแขนหักเมื่อสัปดาห์ที่แล้ว,lengan,Dia mematahkan lengannya minggu lalu.
leg,She sat down and crossed her legs.,다리,그녀는 앉아서 다리를 꼬았어요.,足; 脚,彼女は座って脚を組みました。,腿,她坐下来翘起了腿。,pierna,Ella se sentó y cruzó las piernas.,chân,Cô ấy ngồi xuống và bắt chéo chân.,ขา,เธอนั่งลงและไขว้ขา,kaki,Dia duduk dan menyilangkan kakinya.
heart,My heart beats fast when I run.,심장; 마음,달릴 때 심장이 빨리 뛰어요.,心臓,走ると心臓が速く打ちます。,心脏,我跑步时心跳加速。,corazón,Mi corazón late rápido cuando corro.,tim; trái tim,Tim tôi đập nhanh khi chạy.,หัวใจ,หัวใจของฉันเต้นเร็วเวลาวิ่ง,jantung; hati,Jantung saya berdetak cepat saat berlari.
face,She washed her face with water.,얼굴,그녀는 물로 얼굴을 씻었어요.,顔,彼女は水で顔を洗いました。,脸,她用水洗了脸。,cara,Ella se lavó la cara con agua.,khuôn mặt,Cô ấy rửa mặt bằng nước.,ใบหน้า; หน้า,เธอล้างหน้าด้วยน้ำ,wajah; muka,Dia mencuci wajahnya dengan air.
hair,She has long black hair.,머리카락,그녀는 긴 검은 머리를 가졌어요.,髪,彼女は長い黒い髪をしています。,头发,她有一头黑色的长发。,cabello; pelo,Ella tiene el cabello largo y negro.,tóc,Cô ấy có mái tóc đen dài.,ผม,เธอมีผมยาวสีดำ,rambut,Dia memiliki rambut hitam panjang.
tooth,The child lost a tooth today.,이; 치아,아이가 오늘 이를 하나 빠졌어요.,歯,子供は今日歯が一本抜けました。,牙齿,孩子今天掉了一颗牙。,diente,Al niño se le cayó un diente hoy.,răng,Đứa trẻ rụng một chiếc răng hôm nay.,ฟัน,เด็กคนนั้นฟันหลุดวันนี้,gigi,Anak itu kehilangan satu gigi hari ini.
finger,She wore a ring on her finger.,손가락,그녀는 손가락에 반지를 끼었어요.,指,彼女は指に指輪をはめました。,手指,她手指上戴着一枚戒指。,dedo,Ella llevaba un anillo en el dedo.,ngón tay,Cô ấy đeo nhẫn ở ngón tay.,นิ้วมือ,เธอสวมแหวนที่นิ้ว,jari,Dia memakai cincin di jarinya.
back,My back hurts from sitting too long.,등,오래 앉아서 등이 아파요.,背中,長時間座って背中が痛いです。,背,坐太久我的背很疼。,espalda,Me duele la espalda de estar sentado mucho tiempo.,lưng,Lưng tôi đau vì ngồi quá lâu.,หลัง,หลังของฉันเจ็บเพราะนั่งนานเกินไป,punggung,Punggung saya sakit karena duduk terlalu lama.
stomach,My stomach is full after lunch.,배,점심 후에 배가 불러요.,お腹,昼食後、お腹がいっぱいです。,肚子,午饭后我的肚子很饱。,estómago,Tengo el estómago lleno después del almuerzo.,dạ dày; bụng,Bụng tôi no sau bữa trưa.,ท้อง; กระเพาะ,ท้องฉันอิ่มหลังมื้อเที่ยง,perut,Perut saya kenyang setelah makan siang.
red,She is wearing a red dress.,빨간,그녀는 빨간 드레스를 입고 있어요.,赤い,彼女は赤いドレスを着ています。,红色的,她穿着一条红色的裙子。,rojo,Ella lleva un vestido rojo.,đỏ,Cô ấy mặc váy đỏ.,แดง; สีแดง,เธอสวมชุดสีแดง,merah,Dia memakai gaun merah.
blue,The ocean looks very blue today.,파란,오늘 바다가 매우 파랗게 보여요.,青い,今日の海はとても青く見えます。,蓝色的,今天大海看起来很蓝。,azul,El océano se ve muy azul hoy.,xanh dương,Đại dương trông rất xanh hôm nay.,น้ำเงิน; สีน้ำเงิน,มหาสมุทรดูเป็นสีน้ำเงินมากวันนี้,biru,Laut terlihat sangat biru hari ini.
green,The grass is fresh and green.,초록색의,잔디가 싱싱하고 푸르러요.,緑の,芝生は新鮮で緑です。,绿色的,草地又新鲜又绿。,verde,El césped está fresco y verde.,xanh lá,Cỏ tươi và xanh.,เขียว; สีเขียว,หญ้าสดและเขียวขจี,hijau,Rumputnya segar dan hijau.
yellow,The yellow flower is very pretty.,노란,노란 꽃이 아주 예뻐요.,黄色い,黄色い花はとてもきれいです。,黄色的,黄色的花非常漂亮。,amarillo,La flor amarilla es muy bonita.,vàng,Bông hoa vàng rất đẹp.,เหลือง; สีเหลือง,ดอกไม้สีเหลืองสวยมาก,kuning,Bunga kuning itu sangat cantik.
white,He wears a white shirt to work.,하얀,그는 흰 셔츠를 입고 출근해요.,白い,彼は白いシャツを着て仕事に行きます。,白色的,他穿白衬衫去上班。,blanco,Él usa una camisa blanca para trabajar.,trắng,Anh ấy mặc áo trắng đi làm.,ขาว; สีขาว,เขาสวมเสื้อเชิ้ตสีขาวไปทำงาน,putih,Dia memakai kemeja putih untuk bekerja.
black,The black cat sat on the wall.,검은,검은 고양이가 담 위에 앉았어요.,黒い,黒い猫が壁の上に座りました。,黑色的,黑猫坐在墙上。,negro,El gato negro se sentó en la pared.,đen,Con mèo đen ngồi trên tường.,ดำ; สีดำ,แมวดำนั่งอยู่บนกำแพง,hitam,Kucing hitam itu duduk di tembok.
one,I need just one more minute.,하나; 일,1분만 더 필요해요.,一つ,あと1分だけ必要です。,一,我只需要再一分钟。,uno,Solo necesito un minuto más.,một,Tôi chỉ cần thêm một phút nữa.,หนึ่ง,ฉันต้องการเวลาอีกแค่หนึ่งนาที,satu,Saya hanya butuh satu menit lagi.
two,She has two younger sisters.,둘; 이,그녀는 여동생이 둘 있어요.,二つ,彼女には妹が二人います。,二,她有两个妹妹。,dos,Ella tiene dos hermanas menores.,hai,Cô ấy có hai em gái.,สอง,เธอมีน้องสาวสองคน,dua,Dia memiliki dua adik perempuan.
three,We waited for three long hours.,셋; 삼,우리는 세 시간이나 기다렸어요.,三つ,私たちは3時間も待ちました。,三,我们等了三个小时。,tres,Esperamos durante tres largas horas.,ba,Chúng tôi đợi ba tiếng đồng hồ.,สาม,เรารอสามชั่วโมง,tiga,Kami menunggu selama tiga jam.
four,The table has four wooden legs.,넷; 사,그 테이블은 나무 다리가 네 개예요.,四つ,テーブルには木の脚が4本あります。,四,那张桌子有四条木腿。,cuatro,La mesa tiene cuatro patas de madera.,bốn,Cái bàn có bốn chân gỗ.,สี่,โต๊ะมีขาไม้สี่ขา,empat,Meja itu memiliki empat kaki kayu.
five,I have five coins in my pocket.,다섯; 오,주머니에 동전 다섯 개가 있어요.,五つ,ポケットにコインが5枚あります。,五,我口袋里有五枚硬币。,cinco,Tengo cinco monedas en el bolsillo.,năm,Tôi có năm đồng xu trong túi.,ห้า,ฉันมีเหรียญห้าเหรียญในกระเป๋า,lima,Saya punya lima koin di saku saya.
ten,The store closes in ten minutes.,열; 십,가게가 10분 후에 문을 닫아요.,十,店は10分後に閉まります。,十,商店十分钟后关门。,diez,La tienda cierra en diez minutos.,mười,Cửa hàng đóng cửa trong mười phút nữa.,สิบ,ร้านจะปิดในอีกสิบนาที,sepuluh,Toko tutup dalam sepuluh menit.
hundred,There are a hundred students here.,백,여기 학생이 백 명 있어요.,百,ここには100人の学生がいます。,一百,这里有一百名学生。,cien,Hay cien estudiantes aquí.,trăm; một trăm,Có một trăm học sinh ở đây.,ร้อย; หนึ่งร้อย,มีนักเรียนหนึ่งร้อยคนที่นี่,seratus,Ada seratus siswa di sini.
morning,I drink coffee every morning.,아침,나는 매일 아침 커피를 마셔요.,朝,私は毎朝コーヒーを飲みます。,早上,我每天早上喝咖啡。,mañana,Tomo café cada mañana.,buổi sáng,Tôi uống cà phê mỗi sáng.,เช้า; ตอนเช้า,ฉันดื่มกาแฟทุกเช้า,pagi,Saya minum kopi setiap pagi.
afternoon,We have a meeting this afternoon.,오후,오늘 오후에 회의가 있어요.,午後,今日の午後に会議があります。,下午,今天下午有个会议。,tarde,Esta tarde tenemos una reunión.,buổi chiều,Chiều nay chúng tôi có cuộc họp.,ตอนบ่าย,เรามีประชุมบ่ายนี้,siang; sore,Kami ada rapat sore ini.
evening,We take a walk every evening.,저녁,우리는 매일 저녁 산책해요.,夕方,私たちは毎晩散歩します。,晚上,我们每天傍晚散步。,tarde; noche,Damos un paseo cada tarde.,buổi tối,Chúng tôi đi dạo mỗi tối.,ตอนเย็น,เราเดินเล่นทุกเย็น,malam; sore hari,Kami jalan-jalan setiap sore.
