"english","example","ko_meaning","ko_example","ja_meaning","ja_example","zh_meaning","zh_example"
"apprehensive","Investors remain apprehensive about the volatile state of emerging markets.","불안한","투자자들은 신흥 시장의 불안정한 상태에 대해 여전히 불안해하고 있다.","不安な","投資家は新興市場の不安定な状態について依然として不安を抱えている。","忧虑的","投资者对新兴市场的波动状态仍然感到忧虑。"
"arbitrary","The manager was criticized for making arbitrary decisions without consultation.","임의적인","관리자는 상의 없이 임의적인 결정을 내린 것에 대해 비판받았다.","恣意的な","マネージャーは相談なく恣意的な決定を下したことで批判された。","武断的","经理因未经协商就做出武断决定而受到批评。"
"arduous","The arduous negotiation process lasted well over six months.","힘든","힘든 협상 과정은 6개월 이상 계속되었다.","困難な","困難な交渉プロセスは6ヶ月以上にわたって続いた。","艰巨的","艰巨的谈判过程持续了六个多月。"
"articulate","She was able to articulate the company's vision with remarkable clarity.","명확히 표현하다","그녀는 회사의 비전을 놀라운 명확함으로 표현할 수 있었다.","明確に述べる","彼女は会社のビジョンを驚くほど明確に述べることができた。","清晰表达","她能够非常清晰地表达公司的愿景。"
"ascertain","The team needs to ascertain the root cause before proposing solutions.","확인하다","팀은 해결책을 제안하기 전에 근본 원인을 확인해야 한다.","確認する","チームは解決策を提案する前に根本原因を確認する必要がある。","查明","团队需要在提出解决方案之前查明根本原因。"
"aspire","Many young professionals aspire to leadership roles in multinational corporations.","열망하다","많은 젊은 전문가들이 다국적 기업에서 리더십 역할을 열망한다.","志望する","多くの若い専門家が多国籍企業でのリーダーシップの役割を志望している。","渴望","许多年轻专业人士渴望在跨国公司担任领导职务。"
"assertive","An assertive communication style is essential for effective project management.","단호한","단호한 의사소통 방식은 효과적인 프로젝트 관리에 필수적이다.","断定的な","断定的なコミュニケーションスタイルは効果的なプロジェクト管理に不可欠だ。","果断的","果断的沟通风格对于有效的项目管理至关重要。"
"astute","The astute investor recognized the opportunity before anyone else did.","기민한","기민한 투자자는 누구보다 먼저 기회를 인식했다.","鋭い","鋭い投資家は誰よりも早くその機会を認識した。","精明的","精明的投资者比任何人都先发现了这个机会。"
"attrition","High attrition rates forced the company to revamp its retention strategy.","자연 감소","높은 자연 감소율로 인해 회사는 유지 전략을 개편해야 했다.","自然減少","高い自然減少率により会社はリテンション戦略を刷新せざるを得なかった。","人员流失","高人员流失率迫使公司改革其留任策略。"
"audacious","The startup's audacious plan to disrupt the market attracted major investors.","대담한","시장을 뒤흔들겠다는 스타트업의 대담한 계획이 주요 투자자를 끌어들였다.","大胆な","市場を覆すというスタートアップの大胆な計画が主要投資家を引きつけた。","大胆的","这家初创公司颠覆市场的大胆计划吸引了主要投资者。"
"auspicious","The strong quarterly earnings were an auspicious sign for the new CEO.","좋은 징조의","강한 분기 실적은 새 CEO에게 좋은 징조였다.","幸先の良い","好調な四半期決算は新CEOにとって幸先の良い兆しだった。","吉祥的","强劲的季度收益对新任CEO来说是一个吉祥的征兆。"
"austere","The company adopted austere budgeting measures during the economic downturn.","긴축의","회사는 경기 침체 동안 긴축 예산 조치를 채택했다.","厳格な","会社は景気後退時に厳格な予算措置を採用した。","紧缩的","公司在经济低迷期间采取了紧缩的预算措施。"
"autonomous","Each regional office operates as an autonomous unit with local decision-making.","자율적인","각 지역 사무소는 지역 의사결정이 가능한 자율적 단위로 운영된다.","自律的な","各地域オフィスは地域の意思決定ができる自律的な部門として運営されている。","自主的","每个区域办事处作为具有本地决策权的自主单位运营。"
"aversion","The board expressed a strong aversion to any form of hostile takeover.","혐오","이사회는 어떤 형태의 적대적 인수에도 강한 혐오감을 표현했다.","嫌悪","取締役会はいかなる形の敵対的買収にも強い嫌悪を示した。","厌恶","董事会对任何形式的恶意收购表达了强烈的厌恶。"
"axiom","It is a business axiom that customer satisfaction drives long-term profitability.","공리","고객 만족이 장기적 수익성을 이끈다는 것은 비즈니스 공리이다.","公理","顧客満足度が長期的な収益性を導くというのはビジネスの公理だ。","公理","客户满意度驱动长期盈利能力是一条商业公理。"
"belated","The belated response to the crisis damaged the company's public image.","뒤늦은","위기에 대한 뒤늦은 대응이 회사의 공공 이미지를 손상시켰다.","遅れた","危機への遅れた対応が会社の公共イメージを損なった。","迟来的","对危机的迟来回应损害了公司的公众形象。"
"benevolent","The benevolent founder established a scholarship fund for underprivileged students.","자비로운","자비로운 설립자는 소외된 학생들을 위한 장학금을 설립했다.","慈善的な","慈善的な創設者は恵まれない学生のための奨学金を設立した。","仁慈的","仁慈的创始人为贫困学生设立了奖学金基金。"
"bilateral","The bilateral trade agreement benefited both nations' manufacturing sectors.","양자 간의","양자 간 무역 협정은 양국의 제조업 부문에 이익을 가져다주었다.","二国間の","二国間貿易協定は両国の製造業セクターに利益をもたらした。","双边的","双边贸易协定使两国的制造业部门都受益。"
"bolster","New evidence was presented to bolster the legal team's argument.","강화하다","법률팀의 주장을 강화하기 위해 새로운 증거가 제시되었다.","強化する","法務チームの主張を強化するために新しい証拠が提示された。","支持","新证据被提出以支持法律团队的论点。"
"brevity","The consultant was praised for the brevity and clarity of her report.","간결함","컨설턴트는 보고서의 간결함과 명확성으로 칭찬받았다.","簡潔さ","コンサルタントは報告書の簡潔さと明瞭さで称賛された。","简洁","顾问因报告的简洁和清晰而受到赞扬。"
"bureaucratic","Excessive bureaucratic procedures slowed down the product approval process significantly.","관료적인","과도한 관료적 절차가 제품 승인 과정을 크게 지연시켰다.","官僚的な","過度な官僚的手続きが製品承認プロセスを大幅に遅らせた。","官僚的","过多的官僚程序大大减慢了产品审批流程。"
"burgeon","The tech sector continues to burgeon despite global economic uncertainties.","급성장하다","기술 부문은 세계 경제 불확실성에도 불구하고 계속 급성장하고 있다.","急成長する","テック分野は世界経済の不確実性にもかかわらず急成長を続けている。","蓬勃发展","尽管全球经济不确定，科技行业仍在蓬勃发展。"
"candid","The CEO gave a candid assessment of the company's financial challenges.","솔직한","CEO는 회사의 재정적 어려움에 대해 솔직한 평가를 내렸다.","率直な","CEOは会社の財務上の課題について率直な評価を行った。","坦率的","CEO对公司的财务挑战做出了坦率的评估。"
"capitalize","The firm moved quickly to capitalize on the favorable market conditions.","활용하다","회사는 유리한 시장 상황을 활용하기 위해 빠르게 움직였다.","活用する","企業は有利な市場環境を活用するために素早く動いた。","利用","公司迅速行动以利用有利的市场条件。"
"capacious","The capacious new warehouse can accommodate twice our current inventory.","넓은","넓은 새 창고는 현재 재고의 두 배를 수용할 수 있다.","広々とした","広々とした新しい倉庫は現在の在庫の2倍を収容できる。","宽敞的","宽敞的新仓库可以容纳我们目前库存的两倍。"
"catalyze","The merger is expected to catalyze innovation across both organizations.","촉진하다","합병은 양 조직 전반에 걸쳐 혁신을 촉진할 것으로 예상된다.","触媒する","合併は両組織全体のイノベーションを触媒することが期待されている。","催化","合并预计将催化两个组织的创新。"
"caustic","His caustic remarks about the proposal offended several board members.","신랄한","그의 제안에 대한 신랄한 발언이 여러 이사회 구성원을 불쾌하게 했다.","辛辣な","提案に対する彼の辛辣な発言は数名の取締役を不快にさせた。","刻薄的","他对提案的刻薄评论冒犯了几位董事会成员。"
"caveat","The lawyer added an important caveat to the terms of the agreement.","경고","변호사는 계약 조건에 중요한 경고 조항을 추가했다.","注意事項","弁護士は契約条件に重要な注意事項を追加した。","警告","律师在协议条款中添加了一项重要的警告。"
"cede","The company was forced to cede market share to aggressive new competitors.","양도하다","회사는 공격적인 신규 경쟁자에게 시장 점유율을 양도해야 했다.","譲渡する","会社は積極的な新規競合他社に市場シェアを譲渡せざるを得なかった。","让出","公司被迫将市场份额让给了激进的新竞争对手。"
"circumscribe","Regulations circumscribe the range of activities permitted for financial advisors.","제한하다","규정은 재정 고문에게 허용되는 활동 범위를 제한한다.","制限する","規制は金融アドバイザーに許可される活動範囲を制限する。","限制","法规限制了金融顾问被允许的活动范围。"
"circumvent","The company found ways to circumvent the restrictive trade regulations.","우회하다","회사는 제한적인 무역 규정을 우회하는 방법을 찾았다.","回避する","会社は制限的な貿易規制を回避する方法を見つけた。","规避","公司找到了规避限制性贸易法规的方法。"
"clandestine","The clandestine meeting between executives raised concerns about insider trading.","은밀한","경영진 간의 은밀한 회의가 내부자 거래에 대한 우려를 불러일으켰다.","秘密の","幹部間の秘密の会合がインサイダー取引への懸念を引き起こした。","秘密的","高管之间的秘密会议引发了对内幕交易的担忧。"
"coalesce","Various departments began to coalesce around the new strategic vision.","합치다","여러 부서가 새로운 전략적 비전을 중심으로 합치기 시작했다.","合体する","様々な部門が新しい戦略的ビジョンのもとに合体し始めた。","合并","各部门开始围绕新的战略愿景合并。"
"coerce","No employee should be coerced into signing an unfavorable contract.","강요하다","어떤 직원도 불리한 계약에 서명하도록 강요받아서는 안 된다.","強制する","従業員が不利な契約への署名を強制されるべきではない。","胁迫","不应胁迫任何员工签署不利的合同。"
"cogent","The consultant presented a cogent argument for restructuring the supply chain.","설득력 있는","컨설턴트는 공급망 재구성에 대한 설득력 있는 주장을 제시했다.","説得力のある","コンサルタントはサプライチェーン再構築について説得力のある主張を提示した。","有说服力的","顾问提出了重组供应链的有说服力的论点。"
"cohesive","Building a cohesive team requires trust, communication, and shared goals.","결속력 있는","결속력 있는 팀을 만들려면 신뢰, 소통, 공유된 목표가 필요하다.","結束力のある","結束力のあるチームを作るには信頼、コミュニケーション、共通の目標が必要だ。","有凝聚力的","建立一个有凝聚力的团队需要信任、沟通和共同目标。"
"commensurate","The salary offered was commensurate with her extensive industry experience.","상응하는","제시된 급여는 그녀의 풍부한 업계 경험에 상응했다.","相応の","提示された給与は彼女の豊富な業界経験に相応のものだった。","相称的","提供的薪水与她丰富的行业经验相称。"
"compelling","The marketing team created a compelling narrative around the new product launch.","설득력 있는","마케팅 팀은 신제품 출시에 대한 설득력 있는 이야기를 만들었다.","説得力のある","マーケティングチームは新製品発売について説得力のある物語を作り上げた。","引人注目的","营销团队围绕新产品发布创造了引人注目的叙事。"
"complacent","The company grew complacent after years of unchallenged market dominance.","안주하는","회사는 수년간 도전받지 않는 시장 지배 후에 안주하게 되었다.","自己満足した","会社は何年も挑戦されない市場支配の後、自己満足に陥った。","自满的","公司在多年未受挑战的市场主导地位后变得自满。"
"complement","The new software perfectly complements the existing hardware infrastructure.","보완하다","새 소프트웨어는 기존 하드웨어 인프라를 완벽하게 보완한다.","補完する","新しいソフトウェアは既存のハードウェアインフラを完璧に補完する。","补充","新软件完美地补充了现有的硬件基础设施。"
"compliance","Ensuring regulatory compliance is a top priority for financial institutions.","준수","규제 준수를 보장하는 것은 금융 기관의 최우선 과제이다.","コンプライアンス","規制コンプライアンスの確保は金融機関の最優先事項だ。","合规","确保监管合规是金融机构的首要任务。"
"comprehensive","The firm conducted a comprehensive review of its internal security protocols.","포괄적인","회사는 내부 보안 프로토콜에 대한 포괄적인 검토를 수행했다.","包括的な","企業は内部セキュリティプロトコルの包括的なレビューを実施した。","全面的","该公司对其内部安全协议进行了全面审查。"
"concede","After lengthy deliberation, the CEO had to concede the point.","인정하다","긴 숙고 끝에 CEO는 그 점을 인정해야 했다.","認める","長い審議の後、CEOはその点を認めざるを得なかった。","承认","经过长时间的审议，CEO不得不承认这一点。"
"conciliatory","The manager adopted a conciliatory tone to resolve the workplace conflict.","화해적인","관리자는 직장 갈등을 해결하기 위해 화해적인 어조를 채택했다.","融和的な","マネージャーは職場の紛争を解決するために融和的な口調を取った。","调解的","经理采取了调解的语气来解决职场冲突。"
"concurrent","The company managed three concurrent product launches across different markets.","동시의","회사는 서로 다른 시장에서 세 개의 동시 제품 출시를 관리했다.","同時の","会社は異なる市場で3つの同時製品発売を管理した。","同时的","公司管理了在不同市场同时推出的三个产品。"
"condone","The organization does not condone any form of discriminatory behavior.","용납하다","조직은 어떤 형태의 차별적 행위도 용납하지 않는다.","容認する","組織はいかなる形の差別的行為も容認しない。","纵容","该组织不纵容任何形式的歧视行为。"
"conducive","A quiet work environment is conducive to higher productivity levels.","도움이 되는","조용한 업무 환경은 더 높은 생산성 수준에 도움이 된다.","助けになる","静かな職場環境はより高い生産性レベルに助けになる。","有利于","安静的工作环境有利于提高生产力水平。"
"confer","The board will confer with legal advisors before making the decision.","협의하다","이사회는 결정을 내리기 전에 법률 고문과 협의할 것이다.","協議する","取締役会は決定を下す前に法律顧問と協議する予定だ。","商议","董事会将在做出决定之前与法律顾问商议。"
"confluence","The confluence of market trends created a unique investment opportunity.","합류","시장 추세의 합류가 독특한 투자 기회를 만들어냈다.","合流","市場トレンドの合流がユニークな投資機会を生み出した。","汇合","市场趋势的汇合创造了独特的投资机会。"
"conjecture","Without hard data, any estimate would be mere conjecture at this point.","추측","확실한 데이터 없이는 어떤 추정도 이 시점에서 단순한 추측일 뿐이다.","推測","確かなデータなしにはいかなる推定もこの時点では単なる推測に過ぎない。","推测","没有确切数据，任何估计在此时都只是推测。"
"connotation","The word 'cheap' has a negative connotation in marketing and branding contexts.","함축","'저렴한'이라는 단어는 마케팅과 브랜딩에서 부정적인 함축을 갖는다.","含意","「安い」という言葉はマーケティングやブランディングの文脈で否定的な含意を持つ。","含义","'廉价'一词在营销和品牌语境中具有负面含义。"
"conscientious","Her conscientious approach to quality control prevented many potential defects.","성실한","품질 관리에 대한 그녀의 성실한 접근이 많은 잠재적 결함을 방지했다.","良心的な","品質管理に対する彼女の良心的なアプローチが多くの潜在的欠陥を防いだ。","认真的","她对质量控制认真的态度防止了许多潜在缺陷。"
"consensus","The committee reached a consensus on the proposed budget allocation.","합의","위원회는 제안된 예산 배분에 대해 합의에 도달했다.","合意","委員会は提案された予算配分について合意に達した。","共识","委员会就拟议的预算分配达成了共识。"
"consolidate","The firm plans to consolidate its three offices into a single headquarters.","통합하다","회사는 세 개의 사무소를 하나의 본사로 통합할 계획이다.","統合する","企業は3つのオフィスを1つの本社に統合する計画だ。","合并","该公司计划将三个办事处合并为一个总部。"
"conspicuous","The absence of the CFO at the annual meeting was conspicuous.","눈에 띄는","연례 회의에서 CFO의 부재는 눈에 띄었다.","目立つ","年次会議でのCFOの不在は目立った。","显眼的","首席财务官在年会上的缺席很显眼。"
"construe","The ambiguous memo could be construed as a tacit approval of the plan.","해석하다","모호한 메모는 그 계획에 대한 암묵적 승인으로 해석될 수 있다.","解釈する","曖昧なメモはその計画の暗黙の承認と解釈される可能性がある。","解释","这份模糊的备忘录可能被解释为对该计划的默许。"
"contentious","The contentious issue of executive compensation dominated the shareholders' meeting.","논쟁적인","경영진 보상에 대한 논쟁적인 문제가 주주총회를 지배했다.","論争的な","役員報酬という論争的な問題が株主総会を支配した。","有争议的","高管薪酬这一有争议的问题主导了股东大会。"
"contingent","The deal is contingent upon regulatory approval from three separate agencies.","~에 달려 있는","거래는 세 개의 개별 기관의 규제 승인에 달려 있다.","~次第の","取引は3つの別々の機関からの規制承認次第だ。","取决于","该交易取决于三个独立机构的监管批准。"
"converge","Multiple economic factors are converging to create a challenging business climate.","수렴하다","여러 경제적 요인이 수렴하여 어려운 비즈니스 환경을 만들고 있다.","収束する","複数の経済的要因が収束し、厳しいビジネス環境を生み出している。","汇聚","多种经济因素正在汇聚，创造出具有挑战性的商业环境。"
"convoluted","The convoluted tax code makes compliance difficult for small businesses.","복잡한","복잡한 세법은 소규모 사업체의 준수를 어렵게 만든다.","複雑な","複雑な税法は中小企業のコンプライアンスを困難にしている。","复杂的","复杂的税法使小企业难以合规。"
"copious","The researcher gathered copious data to support the feasibility study.","풍부한","연구원은 타당성 조사를 뒷받침하기 위해 풍부한 데이터를 수집했다.","豊富な","研究者は実現可能性調査を裏付けるために豊富なデータを収集した。","大量的","研究人员收集了大量数据来支持可行性研究。"
"corroborate","Independent auditors were hired to corroborate the accuracy of financial reports.","확증하다","재무 보고서의 정확성을 확증하기 위해 독립 감사인이 고용되었다.","裏付ける","財務報告の正確性を裏付けるために独立監査人が雇われた。","证实","聘请了独立审计师来证实财务报告的准确性。"
"countermand","The director chose to countermand the previous order due to new information.","철회하다","이사는 새로운 정보로 인해 이전 명령을 철회하기로 했다.","撤回する","取締役は新しい情報により以前の命令を撤回することを選んだ。","撤销","由于新信息，主管选择撤销之前的命令。"
"credence","The detailed market analysis gave credence to the proposed expansion strategy.","신뢰","상세한 시장 분석이 제안된 확장 전략에 신뢰를 부여했다.","信頼性","詳細な市場分析が提案された拡大戦略に信頼性を与えた。","可信度","详细的市场分析为拟议的扩张战略增加了可信度。"
"criterion","Customer satisfaction is the primary criterion for evaluating service quality.","기준","고객 만족도는 서비스 품질을 평가하는 주요 기준이다.","基準","顧客満足度はサービス品質を評価する主要な基準だ。","标准","客户满意度是评估服务质量的主要标准。"
"culminate","Years of strategic planning culminated in a successful IPO last quarter.","절정에 달하다","수년간의 전략적 계획이 지난 분기 성공적인 IPO로 절정에 달했다.","最高潮に達する","数年にわたる戦略的計画が前四半期に成功したIPOで最高潮に達した。","达到顶点","多年的战略规划在上季度成功的IPO中达到顶点。"
"curtail","Budget constraints forced the department to curtail its training programs.","축소하다","예산 제약으로 부서는 교육 프로그램을 축소해야 했다.","削減する","予算の制約により部門は研修プログラムを削減せざるを得なかった。","削减","预算限制迫使该部门削减其培训项目。"
"dearth","There is a dearth of qualified candidates for senior engineering positions.","부족","고급 엔지니어링 직책에 적합한 후보자가 부족하다.","不足","上級エンジニアリング職の適格な候補者が不足している。","缺乏","高级工程职位缺乏合格的候选人。"
"debacle","The product launch debacle resulted in significant financial losses for the firm.","대실패","제품 출시 대실패는 회사에 상당한 재정적 손실을 초래했다.","大失敗","製品発売の大失敗は企業に大きな財務的損失をもたらした。","惨败","产品发布的惨败给公司造成了重大财务损失。"
"decorum","Professional decorum should be maintained at all times during client meetings.","예의","고객 회의 중에는 항상 전문적인 예의를 유지해야 한다.","礼儀","クライアント会議中は常にプロフェッショナルな礼儀を維持すべきだ。","礼仪","在客户会议期间应始终保持专业礼仪。"
"deference","Out of deference to the chairman, all members stood when he entered.","존경","의장에 대한 존경으로 모든 구성원이 그가 들어왔을 때 일어섰다.","敬意","議長への敬意から全メンバーが彼の入室時に起立した。","敬意","出于对主席的敬意，所有成员在他进入时起立。"
"delineate","The report clearly delineates the responsibilities of each team member.","묘사하다","보고서는 각 팀 구성원의 책임을 명확하게 묘사한다.","描写する","報告書は各チームメンバーの責任を明確に描写している。","描述","该报告清楚地描述了每个团队成员的职责。"
"demeanor","Her professional demeanor impressed the interviewers during the selection process.","태도","그녀의 전문적인 태도가 선발 과정에서 면접관들에게 깊은 인상을 주었다.","態度","彼女のプロフェッショナルな態度が選考過程で面接官に好印象を与えた。","举止","她的专业举止在选拔过程中给面试官留下了深刻印象。"
"denounce","Consumer groups were quick to denounce the deceptive advertising practices.","비난하다","소비자 단체들은 기만적인 광고 관행을 신속히 비난했다.","非難する","消費者団体は欺瞞的な広告慣行を素早く非難した。","谴责","消费者团体迅速谴责了欺骗性的广告行为。"
"deplete","Overspending on marketing will deplete the quarterly budget before its end.","고갈시키다","마케팅에 과도한 지출은 분기가 끝나기 전에 예산을 고갈시킬 것이다.","枯渇させる","マーケティングへの過剰支出は四半期終了前に予算を枯渇させるだろう。","耗尽","过度的营销支出将在季度结束前耗尽预算。"
"deprecate","Industry experts deprecate the use of outdated security protocols.","비난하다","업계 전문가들은 구식 보안 프로토콜의 사용을 비난한다.","非推奨とする","業界の専門家は時代遅れのセキュリティプロトコルの使用を非推奨としている。","反对","行业专家反对使用过时的安全协议。"
"deride","Critics deride the proposal as unrealistic and financially unsustainable.","조롱하다","비평가들은 그 제안이 비현실적이고 재정적으로 지속 불가능하다고 조롱한다.","嘲笑する","批評家はその提案を非現実的で財務的に持続不可能だと嘲笑する。","嘲笑","批评者嘲笑该提案不切实际且财务上不可持续。"
"derivative","The analyst warned that derivative financial products carry significant risk.","파생적인","분석가는 파생 금융 상품이 상당한 위험을 수반한다고 경고했다.","派生的な","アナリストは派生金融商品が大きなリスクを伴うと警告した。","衍生的","分析师警告说衍生金融产品具有重大风险。"
"desultory","The desultory efforts to reform the policy yielded no meaningful results.","산만한","정책 개혁에 대한 산만한 노력은 의미 있는 결과를 내지 못했다.","散漫な","政策改革に対する散漫な取り組みは意味のある成果を生まなかった。","散漫的","对政策改革散漫的努力没有产生有意义的结果。"
"deter","Strict penalties are designed to deter employees from violating compliance rules.","억제하다","엄격한 처벌은 직원들이 준수 규정을 위반하는 것을 억제하기 위한 것이다.","抑止する","厳しい罰則は従業員がコンプライアンス規則に違反するのを抑止するためのものだ。","威慑","严厉的处罚旨在威慑员工违反合规规定。"
"detrimental","Prolonged stress can be detrimental to employee health and work performance.","해로운","장기간의 스트레스는 직원 건강과 업무 성과에 해로울 수 있다.","有害な","長期的なストレスは従業員の健康と業務パフォーマンスに有害になり得る。","有害的","长期压力可能对员工健康和工作表现有害。"
"diatribe","The shareholder launched a lengthy diatribe against the executive compensation plan.","통렬한 비난","주주는 경영진 보상 계획에 대해 길고 통렬한 비난을 퍼부었다.","痛烈な非難","株主は役員報酬プランに対して長い痛烈な非難を展開した。","抨击","该股东对高管薪酬计划进行了长篇抨击。"
"dichotomy","There is a clear dichotomy between the company's stated values and actions.","이분법","회사의 명시된 가치와 행동 사이에 명확한 이분법이 있다.","二分法","会社の掲げる価値観と行動の間には明確な二分法がある。","二分法","公司声明的价值观与行为之间存在明显的二分法。"
