hegemony,"The cultural hegemony of Western media shapes global consumption patterns.",패권,서구 미디어의 문화적 패권은 세계적 소비 패턴을 형성한다.,覇権,西洋メディアの文化的覇権はグローバルな消費パターンを形成している。,霸权,西方媒体的文化霸权塑造了全球消费模式。,hegemonía,La hegemonía cultural de los medios occidentales moldea los patrones de consumo global.,quyền bá chủ,Quyền bá chủ văn hóa của truyền thông phương Tây định hình các mô hình tiêu dùng toàn cầu.,อำนาจครอบงำ,อำนาจครอบงำทางวัฒนธรรมของสื่อตะวันตกกำหนดรูปแบบการบริโภคทั่วโลก,hegemoni,Hegemoni budaya media Barat membentuk pola konsumsi global.
technocracy,"Some argue that technocracy sacrifices democratic participation for efficiency.",기술관료제,일부는 기술관료제가 효율성을 위해 민주적 참여를 희생한다고 주장한다.,テクノクラシー,テクノクラシーは効率性のために民主的参加を犠牲にすると主張する人もいる。,技术官僚制,有人认为技术官僚制为了效率而牺牲了民主参与。,tecnocracia,Algunos argumentan que la tecnocracia sacrifica la participación democrática por la eficiencia.,kỹ trị,Một số người cho rằng kỹ trị hy sinh sự tham gia dân chủ vì hiệu quả.,เทคโนแครซี,บางคนโต้แย้งว่าเทคโนแครซีเสียสละการมีส่วนร่วมประชาธิปไตยเพื่อประสิทธิภาพ,teknokrasi,Beberapa berpendapat bahwa teknokrasi mengorbankan partisipasi demokratis demi efisiensi.
liquidity trap,"In a liquidity trap conventional monetary policy becomes ineffective.",유동성 함정,유동성 함정에서는 전통적인 통화 정책이 무력해진다.,流動性の罠,流動性の罠では従来の金融政策が無効になる。,流动性陷阱,在流动性陷阱中传统货币政策变得无效。,trampa de liquidez,En una trampa de liquidez la política monetaria convencional se vuelve ineficaz.,bẫy thanh khoản,Trong bẫy thanh khoản chính sách tiền tệ thông thường trở nên không hiệu quả.,กับดักสภาพคล่อง,ในกับดักสภาพคล่องนโยบายการเงินแบบดั้งเดิมจะไม่มีประสิทธิภาพ,jebakan likuiditas,Dalam jebakan likuiditas kebijakan moneter konvensional menjadi tidak efektif.
semiotics,"Semiotics examines how signs and symbols generate meaning in cultural contexts.",기호학,기호학은 기호와 상징이 문화적 맥락에서 어떻게 의미를 생성하는지 탐구한다.,記号学,記号学は文化的文脈において記号やシンボルがどのように意味を生成するかを考察する。,符号学,符号学研究符号和象征如何在文化语境中产生意义。,semiótica,La semiótica examina cómo los signos y símbolos generan significado en contextos culturales.,ký hiệu học,Ký hiệu học nghiên cứu cách các ký hiệu và biểu tượng tạo ra ý nghĩa trong bối cảnh văn hóa.,สัญศาสตร์,สัญศาสตร์ศึกษาว่าสัญลักษณ์สร้างความหมายในบริบททางวัฒนธรรมอย่างไร,semiotika,Semiotika mengkaji bagaimana tanda dan simbol menghasilkan makna dalam konteks budaya.
stagflation,"The economy entered stagflation with rising prices and stagnant output.",스태그플레이션,경제는 물가 상승과 생산 정체가 동시에 나타나는 스태그플레이션에 진입했다.,スタグフレーション,経済は物価上昇と生産停滞が同時に起こるスタグフレーションに陥った。,滞涨,经济进入了物价上涨和产出停滞并存的滞涨状态。,estanflación,La economía entró en estanflación con precios en alza y producción estancada.,lạm phát đình trệ,Nền kinh tế rơi vào lạm phát đình trệ với giá cả tăng và sản lượng trì trệ.,ภาวะเศรษฐกิจชะงักงัน,เศรษฐกิจเข้าสู่ภาวะชะงักงันพร้อมราคาที่สูงขึ้นและผลผลิตที่หยุดนิ่ง,stagflasi,Ekonomi memasuki stagflasi dengan harga yang meningkat dan output yang stagnan.
sublimation,"In aesthetics sublimation transforms base impulses into elevated artistic expression.",승화,미학에서 승화는 원초적 충동을 고양된 예술적 표현으로 변환한다.,昇華,美学において昇華は根源的衝動を崇高な芸術的表現へと変容させる。,升华,在美学中升华将低级冲动转化为崇高的艺术表达。,sublimación,En la estética la sublimación transforma impulsos básicos en expresión artística elevada.,sự thăng hoa,Trong mỹ học sự thăng hoa biến đổi những xung động thô thành biểu đạt nghệ thuật cao quý.,การระเหิด,ในสุนทรียศาสตร์การระเหิดเปลี่ยนแรงกระตุ้นพื้นฐานเป็นการแสดงออกทางศิลปะที่สูงส่ง,sublimasi,Dalam estetika sublimasi mengubah dorongan dasar menjadi ekspresi artistik yang luhur.
diaspora,"The diaspora maintained cultural ties despite geographical dispersion.",디아스포라,디아스포라는 지리적 분산에도 불구하고 문화적 유대를 유지했다.,ディアスポラ,ディアスポラは地理的分散にもかかわらず文化的絆を維持した。,散居群体,散居群体尽管地理上分散但仍保持着文化联系。,diáspora,La diáspora mantuvo lazos culturales a pesar de la dispersión geográfica.,cộng đồng lưu vong,Cộng đồng lưu vong duy trì mối liên kết văn hóa bất chấp sự phân tán địa lý.,พลัดถิ่น,ชาวพลัดถิ่นรักษาสายสัมพันธ์ทางวัฒนธรรมแม้จะกระจัดกระจายทางภูมิศาสตร์,diaspora,Diaspora mempertahankan ikatan budaya meskipun tersebar secara geografis.
intertextuality,"Intertextuality reveals how every text is shaped by its predecessors.",상호텍스트성,상호텍스트성은 모든 텍스트가 선행 텍스트에 의해 어떻게 형성되는지를 보여준다.,間テクスト性,間テクスト性はすべてのテクストが先行テクストによってどう形作られるかを明らかにする。,互文性,互文性揭示了每个文本如何被其前文本所塑造。,intertextualidad,La intertextualidad revela cómo cada texto es moldeado por sus predecesores.,liên văn bản,Tính liên văn bản cho thấy mọi văn bản đều được định hình bởi các văn bản trước đó.,สหบท,สหบทเผยให้เห็นว่าทุกตัวบทถูกหล่อหลอมโดยตัวบทก่อนหน้าอย่างไร,intertekstualitas,Intertekstualitas mengungkapkan bagaimana setiap teks dibentuk oleh pendahulunya.
quantitative easing,"Quantitative easing injects money into the economy by purchasing government bonds.",양적 완화,양적 완화는 국채를 매입하여 경제에 자금을 주입한다.,量的緩和,量的緩和は国債を購入することで経済に資金を注入する。,量化宽松,量化宽松通过购买政府债券向经济注入资金。,flexibilización cuantitativa,La flexibilización cuantitativa inyecta dinero en la economía mediante la compra de bonos gubernamentales.,nới lỏng định lượng,Nới lỏng định lượng bơm tiền vào nền kinh tế bằng cách mua trái phiếu chính phủ.,มาตรการผ่อนคลายเชิงปริมาณ,มาตรการผ่อนคลายเชิงปริมาณอัดฉีดเงินเข้าสู่เศรษฐกิจโดยการซื้อพันธบัตรรัฐบาล,pelonggaran kuantitatif,Pelonggaran kuantitatif menyuntikkan uang ke dalam ekonomi dengan membeli obligasi pemerintah.
panopticism,"Foucault's concept of panopticism describes how surveillance disciplines society.",판옵티시즘,푸코의 판옵티시즘 개념은 감시가 어떻게 사회를 규율하는지를 설명한다.,パノプティシズム,フーコーのパノプティシズムの概念は監視がいかに社会を規律化するかを描写する。,全景敞视主义,福柯的全景敞视主义概念描述了监视如何规训社会。,panopticismo,El concepto de panopticismo de Foucault describe cómo la vigilancia disciplina a la sociedad.,thuyết toàn thị,Khái niệm thuyết toàn thị của Foucault mô tả cách giám sát kỷ luật xã hội.,แนวคิดการจับตามอง,แนวคิดการจับตามองของฟูโกต์อธิบายว่าการเฝ้าระวังสร้างวินัยให้สังคมอย่างไร,panoptisisme,Konsep panoptisisme Foucault menggambarkan bagaimana pengawasan mendisiplinkan masyarakat.
heterodox,"Heterodox economists challenge the assumptions of mainstream economic theory.",비주류의,비주류 경제학자들은 주류 경제 이론의 가정에 도전한다.,異端の,異端派の経済学者は主流経済理論の前提に挑戦する。,非正统的,非正统经济学家挑战主流经济理论的假设。,heterodoxo,Los economistas heterodoxos cuestionan los supuestos de la teoría económica convencional.,phi chính thống,Các nhà kinh tế phi chính thống thách thức các giả định của lý thuyết kinh tế chính thống.,นอกกรอบ,นักเศรษฐศาสตร์นอกกรอบท้าทายสมมติฐานของทฤษฎีเศรษฐศาสตร์กระแสหลัก,heterodoks,Ekonom heterodoks menantang asumsi teori ekonomi arus utama.
praxis,"Revolutionary praxis unites theoretical knowledge with political action.",실천,혁명적 실천은 이론적 지식과 정치적 행동을 결합한다.,実践,革命的実践は理論的知識と政治的行動を統合する。,实践,革命实践将理论知识与政治行动结合起来。,praxis,La praxis revolucionaria une el conocimiento teórico con la acción política.,thực hành,Thực hành cách mạng kết hợp tri thức lý thuyết với hành động chính trị.,การปฏิบัติ,การปฏิบัติเชิงปฏิวัติรวมความรู้ทางทฤษฎีเข้ากับการกระทำทางการเมือง,praksis,Praksis revolusioner menyatukan pengetahuan teoretis dengan tindakan politik.
externality,"Pollution is a classic negative externality not reflected in market prices.",외부효과,오염은 시장 가격에 반영되지 않는 전형적인 부정적 외부효과이다.,外部性,汚染は市場価格に反映されない典型的な負の外部性である。,外部性,污染是未反映在市场价格中的典型负外部性。,externalidad,La contaminación es una externalidad negativa clásica no reflejada en los precios de mercado.,ngoại tác,Ô nhiễm là một ngoại tác tiêu cực điển hình không được phản ánh trong giá thị trường.,ผลกระทบภายนอก,มลพิษเป็นผลกระทบภายนอกเชิงลบแบบคลาสสิกที่ไม่สะท้อนในราคาตลาด,eksternalitas,Polusi adalah eksternalitas negatif klasik yang tidak tercermin dalam harga pasar.
discursive,"Discursive practices shape what counts as legitimate knowledge in a society.",담론적,담론적 실천은 사회에서 무엇이 정당한 지식으로 인정되는지를 형성한다.,言説的,言説的実践は社会において何が正当な知識とみなされるかを形成する。,话语的,话语实践塑造了社会中什么算作合法知识。,discursivo,Las prácticas discursivas moldean lo que cuenta como conocimiento legítimo en una sociedad.,diễn ngôn,Các thực hành diễn ngôn định hình những gì được coi là tri thức hợp pháp trong xã hội.,วาทกรรม,แนวปฏิบัติทางวาทกรรมกำหนดสิ่งที่ถือว่าเป็นความรู้ที่ชอบธรรมในสังคม,diskursif,Praktik diskursif membentuk apa yang dianggap sebagai pengetahuan yang sah dalam masyarakat.
autarky,"North Korea's pursuit of autarky has isolated its economy from global trade.",자급자족 경제,북한의 자급자족 경제 추구는 세계 무역으로부터 경제를 고립시켰다.,自給自足,北朝鮮の自給自足の追求は世界貿易から経済を孤立させた。,自给自足,朝鲜追求自给自足使其经济与全球贸易隔绝。,autarquía,La búsqueda de autarquía de Corea del Norte ha aislado su economía del comercio global.,tự cung tự cấp,Việc Triều Tiên theo đuổi tự cung tự cấp đã cô lập nền kinh tế khỏi thương mại toàn cầu.,เศรษฐกิจพึ่งตนเอง,การแสวงหาเศรษฐกิจพึ่งตนเองของเกาหลีเหนือได้แยกเศรษฐกิจออกจากการค้าโลก,autarki,Pengejaran autarki Korea Utara telah mengisolasi ekonominya dari perdagangan global.
phenomenology,"Phenomenology seeks to describe the structures of lived experience.",현상학,현상학은 체험의 구조를 기술하고자 한다.,現象学,現象学は生きられた経験の構造を記述しようとする。,现象学,现象学旨在描述生活经验的结构。,fenomenología,La fenomenología busca describir las estructuras de la experiencia vivida.,hiện tượng học,Hiện tượng học tìm cách mô tả các cấu trúc của trải nghiệm sống.,ปรากฏการณ์วิทยา,ปรากฏการณ์วิทยาพยายามอธิบายโครงสร้างของประสบการณ์ที่มีชีวิต,fenomenologi,Fenomenologi berusaha menggambarkan struktur pengalaman hidup.
moral hazard,"Government bailouts can create moral hazard by rewarding reckless behavior.",도덕적 해이,정부의 구제금융은 무모한 행동에 보상을 함으로써 도덕적 해이를 야기할 수 있다.,モラルハザード,政府の救済措置は無謀な行動に報いることでモラルハザードを生み出しうる。,道德风险,政府救助可能通过奖励鲁莽行为而产生道德风险。,riesgo moral,Los rescates gubernamentales pueden crear riesgo moral al recompensar el comportamiento imprudente.,rủi ro đạo đức,Các gói cứu trợ của chính phủ có thể tạo ra rủi ro đạo đức bằng cách khen thưởng hành vi liều lĩnh.,ภาวะภัยทางศีลธรรม,การอุ้มของรัฐบาลอาจสร้างภาวะภัยทางศีลธรรมโดยให้รางวัลแก่พฤติกรรมไม่รอบคอบ,risiko moral,Bailout pemerintah dapat menciptakan risiko moral dengan memberi imbalan perilaku sembrono.
hermeneutics,"Hermeneutics provides a framework for interpreting sacred and literary texts.",해석학,해석학은 신성한 텍스트와 문학 텍스트를 해석하기 위한 틀을 제공한다.,解釈学,解釈学は聖典や文学テクストを解釈するための枠組みを提供する。,诠释学,诠释学为解读神圣和文学文本提供了一个框架。,hermenéutica,La hermenéutica proporciona un marco para interpretar textos sagrados y literarios.,thông diễn học,Thông diễn học cung cấp một khuôn khổ để diễn giải các văn bản thiêng liêng và văn học.,อรรถศาสตร์,อรรถศาสตร์ให้กรอบในการตีความตัวบทศักดิ์สิทธิ์และวรรณกรรม,hermeneutika,Hermeneutika memberikan kerangka kerja untuk menafsirkan teks-teks suci dan sastra.
asymmetric information,"Asymmetric information between buyers and sellers leads to market failures.",정보 비대칭,구매자와 판매자 사이의 정보 비대칭은 시장 실패로 이어진다.,情報の非対称性,買い手と売り手の間の情報の非対称性は市場の失敗につながる。,信息不对称,买卖双方之间的信息不对称导致市场失灵。,información asimétrica,La información asimétrica entre compradores y vendedores conduce a fallos del mercado.,thông tin bất đối xứng,Thông tin bất đối xứng giữa người mua và người bán dẫn đến thất bại thị trường.,ข้อมูลอสมมาตร,ข้อมูลอสมมาตรระหว่างผู้ซื้อและผู้ขายนำไปสู่ความล้มเหลวของตลาด,informasi asimetris,Informasi asimetris antara pembeli dan penjual menyebabkan kegagalan pasar.
subaltern,"Spivak questioned whether the subaltern can truly speak within dominant discourse.",하위주체,스피박은 하위주체가 지배 담론 내에서 진정으로 발언할 수 있는지를 물었다.,サバルタン,スピヴァクはサバルタンが支配的言説の中で真に語ることができるかを問うた。,底层,斯皮瓦克质疑底层是否能在主导话语中真正发声。,subalterno,Spivak cuestionó si el subalterno puede verdaderamente hablar dentro del discurso dominante.,người dưới đáy,Spivak đặt câu hỏi liệu người dưới đáy có thể thực sự phát ngôn trong diễn ngôn thống trị.,ผู้ด้อยอำนาจ,สปิแว็กตั้งคำถามว่าผู้ด้อยอำนาจสามารถพูดได้จริงภายในวาทกรรมที่มีอำนาจเหนือหรือไม่,subaltern,Spivak mempertanyakan apakah subaltern benar-benar dapat berbicara dalam wacana dominan.
aggregate demand,"A decline in aggregate demand triggers recessionary pressures.",총수요,총수요의 감소는 경기 침체 압력을 촉발한다.,総需要,総需要の減少は景気後退圧力を引き起こす。,总需求,总需求下降引发衰退压力。,demanda agregada,Una caída en la demanda agregada desencadena presiones recesivas.,tổng cầu,Sự sụt giảm tổng cầu gây ra áp lực suy thoái.,อุปสงค์รวม,การลดลงของอุปสงค์รวมกระตุ้นแรงกดดันด้านเศรษฐกิจถดถอย,permintaan agregat,Penurunan permintaan agregat memicu tekanan resesi.
poststructuralism,"Poststructuralism rejects the notion of fixed meanings in language.",후기구조주의,후기구조주의는 언어에서 고정된 의미의 개념을 거부한다.,ポスト構造主義,ポスト構造主義は言語における固定的意味の概念を拒否する。,后结构主义,后结构主义拒绝语言中固定意义的概念。,posestructuralismo,El posestructuralismo rechaza la noción de significados fijos en el lenguaje.,hậu cấu trúc,Hậu cấu trúc bác bỏ quan niệm về ý nghĩa cố định trong ngôn ngữ.,หลังโครงสร้างนิยม,หลังโครงสร้างนิยมปฏิเสธแนวคิดเรื่องความหมายตายตัวในภาษา,pascastrukturalisme,Pascastrukturalisme menolak gagasan makna tetap dalam bahasa.
endogenous,"Endogenous growth theory emphasizes innovation as an internal driver of economic expansion.",내생적,내생적 성장 이론은 혁신을 경제 성장의 내부 동력으로 강조한다.,内生的,内生的成長理論はイノベーションを経済拡大の内的推進力として重視する。,内生的,内生增长理论强调创新作为经济扩张的内部驱动力。,endógeno,La teoría del crecimiento endógeno enfatiza la innovación como motor interno de la expansión económica.,nội sinh,Lý thuyết tăng trưởng nội sinh nhấn mạnh đổi mới là động lực nội tại của mở rộng kinh tế.,ภายใน,ทฤษฎีการเติบโตภายในเน้นนวัตกรรมเป็นตัวขับเคลื่อนภายในของการขยายตัวทางเศรษฐกิจ,endogen,Teori pertumbuhan endogen menekankan inovasi sebagai penggerak internal ekspansi ekonomi.
normative,"Normative political theory prescribes how institutions ought to be structured.",규범적,규범적 정치 이론은 제도가 어떻게 구조화되어야 하는지를 규정한다.,規範的,規範的政治理論は制度がどのように構造化されるべきかを規定する。,规范性的,规范性政治理论规定制度应该如何构建。,normativo,La teoría política normativa prescribe cómo deben estructurarse las instituciones.,chuẩn tắc,Lý thuyết chính trị chuẩn tắc quy định các thể chế nên được cấu trúc như thế nào.,เชิงบรรทัดฐาน,ทฤษฎีการเมืองเชิงบรรทัดฐานกำหนดว่าสถาบันควรถูกจัดโครงสร้างอย่างไร,normatif,Teori politik normatif menentukan bagaimana institusi seharusnya distrukturkan.
reification,"Reification treats abstract social relations as if they were concrete things.",물화,물화는 추상적인 사회 관계를 마치 구체적인 사물인 것처럼 취급한다.,物象化,物象化は抽象的な社会関係をあたかも具体的な事物であるかのように扱う。,物化,物化将抽象的社会关系视为具体事物。,reificación,La reificación trata las relaciones sociales abstractas como si fueran cosas concretas.,vật hóa,Vật hóa đối xử các quan hệ xã hội trừu tượng như thể chúng là những thứ cụ thể.,การทำให้เป็นรูปธรรม,การทำให้เป็นรูปธรรมปฏิบัติต่อความสัมพันธ์ทางสังคมที่เป็นนามธรรมราวกับเป็นสิ่งที่จับต้องได้,reifikasi,Reifikasi memperlakukan hubungan sosial abstrak seolah-olah itu adalah hal yang konkret.
sovereign debt,"Sovereign debt crises can destabilize entire regional economies.",국가 채무,국가 채무 위기는 지역 경제 전체를 불안정하게 만들 수 있다.,国家債務,国家債務危機は地域経済全体を不安定にする可能性がある。,主权债务,主权债务危机可以破坏整个区域经济的稳定。,deuda soberana,Las crisis de deuda soberana pueden desestabilizar economías regionales enteras.,nợ công,Khủng hoảng nợ công có thể gây bất ổn cho toàn bộ nền kinh tế khu vực.,หนี้สาธารณะ,วิกฤตหนี้สาธารณะสามารถทำให้เศรษฐกิจทั้งภูมิภาคไม่มั่นคง,utang negara,Krisis utang negara dapat mendestabilisasi seluruh ekonomi regional.
logocentrism,"Derrida critiqued Western logocentrism and its privileging of speech over writing.",로고스중심주의,데리다는 서구의 로고스중심주의와 문자보다 음성을 특권화하는 것을 비판했다.,ロゴス中心主義,デリダは西洋のロゴス中心主義と書記よりも音声を特権化することを批判した。,逻各斯中心主义,德里达批判了西方逻各斯中心主义及其对言语优于书写的特权化。,logocentrismo,Derrida criticó el logocentrismo occidental y su privilegio del habla sobre la escritura.,chủ nghĩa logos trung tâm,Derrida phê phán chủ nghĩa logos trung tâm phương Tây và sự ưu tiên lời nói hơn chữ viết.,โลโกสเป็นศูนย์กลาง,แดร์ริดาวิจารณ์แนวคิดโลโกสเป็นศูนย์กลางของตะวันตกและการให้สิทธิพิเศษแก่การพูดเหนือการเขียน,logosentrisme,Derrida mengkritik logosentrisme Barat dan pengistimewaan tuturan di atas tulisan.
rentier state,"A rentier state derives most revenue from external rents rather than domestic taxation.",지대추구 국가,지대추구 국가는 국내 세금보다는 외부 지대에서 대부분의 수입을 얻는다.,レンティア国家,レンティア国家は国内課税よりも外部からのレントで大部分の歳入を得る。,食利国家,食利国家的大部分收入来自外部租金而非国内税收。,estado rentista,Un estado rentista obtiene la mayoría de sus ingresos de rentas externas en lugar de impuestos internos.,nhà nước thực lợi,Nhà nước thực lợi thu hầu hết nguồn thu từ tô lợi bên ngoài thay vì thuế nội địa.,รัฐผู้เก็บค่าเช่า,รัฐผู้เก็บค่าเช่าได้รายได้ส่วนใหญ่จากค่าเช่าภายนอกแทนที่จะเป็นภาษีในประเทศ,negara rentier,Negara rentier memperoleh sebagian besar pendapatan dari sewa eksternal daripada pajak domestik.
defamiliarization,"Defamiliarization in art forces audiences to perceive the ordinary in unfamiliar ways.",낯설게 하기,예술에서 낯설게 하기는 관객이 일상적인 것을 낯선 방식으로 인식하도록 강제한다.,異化,芸術における異化は観客に日常を見慣れない方法で知覚させる。,陌生化,艺术中的陌生化迫使观众以不熟悉的方式感知日常事物。,desfamiliarización,La desfamiliarización en el arte obliga al público a percibir lo ordinario de maneras inusuales.,lạ hóa,Lạ hóa trong nghệ thuật buộc khán giả nhận thức cái bình thường theo cách xa lạ.,การทำให้แปลกใหม่,การทำให้แปลกใหม่ในศิลปะบังคับให้ผู้ชมรับรู้สิ่งธรรมดาในแบบที่ไม่คุ้นเคย,defamiliarisasi,Defamiliarisasi dalam seni memaksa penonton mempersepsi yang biasa dengan cara yang tidak biasa.
