calibrate,"The technician needed to calibrate the instruments before conducting the experiment.",보정하다,기술자는 실험을 수행하기 전에 기기를 보정해야 했다.,校正する,技術者は実験を行う前に機器を校正する必要があった。,校准,技术人员需要在进行实验前校准仪器。,calibrar,El técnico necesitaba calibrar los instrumentos antes de realizar el experimento.,hiệu chuẩn,Kỹ thuật viên cần hiệu chuẩn các thiết bị trước khi tiến hành thí nghiệm.,สอบเทียบ,ช่างเทคนิคจำเป็นต้องสอบเทียบเครื่องมือก่อนทำการทดลอง,mengkalibrasi,Teknisi perlu mengkalibrasi instrumen sebelum melakukan percobaan.
semiconductor,"The global shortage of semiconductors disrupted automotive production for over a year.",반도체,반도체의 글로벌 부족은 1년 이상 자동차 생산을 혼란에 빠뜨렸다.,半導体,半導体の世界的な不足は1年以上にわたり自動車生産を混乱させた。,半导体,全球半导体短缺导致汽车生产中断了一年多。,semiconductor,La escasez global de semiconductores interrumpió la producción automotriz durante más de un año.,chất bán dẫn,Tình trạng thiếu hụt chất bán dẫn toàn cầu đã làm gián đoạn sản xuất ô tô hơn một năm.,สารกึ่งตัวนำ,การขาดแคลนสารกึ่งตัวนำทั่วโลกทำให้การผลิตรถยนต์หยุดชะงักไปกว่าหนึ่งปี,semikonduktor,Kekurangan semikonduktor global mengganggu produksi otomotif selama lebih dari satu tahun.
conduit,"The electrical conduit runs beneath the floor to protect the wiring from damage.",도관; 전선관,전선관은 배선을 손상으로부터 보호하기 위해 바닥 아래로 설치되어 있다.,導管,電気導管は配線を損傷から保護するために床の下を通っている。,导管,电气导管铺设在地板下方以保护线路免受损坏。,conducto,El conducto eléctrico pasa por debajo del piso para proteger el cableado de daños.,ống dẫn,Ống dẫn điện chạy dưới sàn nhà để bảo vệ dây điện khỏi hư hỏng.,ท่อร้อยสาย,ท่อร้อยสายไฟฟ้าวิ่งใต้พื้นเพื่อปกป้องสายไฟจากความเสียหาย,saluran,Saluran listrik berjalan di bawah lantai untuk melindungi kabel dari kerusakan.
schematic,"The engineer reviewed the schematic before assembling the circuit board.",도면; 회로도,엔지니어는 회로 기판을 조립하기 전에 회로도를 검토했다.,回路図,エンジニアは回路基板を組み立てる前に回路図を確認した。,示意图,工程师在组装电路板之前审查了电路图。,esquema,El ingeniero revisó el esquema antes de ensamblar la placa de circuito.,sơ đồ,Kỹ sư đã xem xét sơ đồ trước khi lắp ráp bảng mạch.,แผนผัง,วิศวกรตรวจสอบแผนผังก่อนประกอบแผงวงจร,skema,Insinyur meninjau skema sebelum merakit papan sirkuit.
oscillate,"The pendulum continues to oscillate with diminishing amplitude until it reaches equilibrium.",진동하다,진자는 평형에 도달할 때까지 진폭이 줄어들며 계속 진동한다.,振動する,振り子は平衡に達するまで振幅を減少させながら振動し続ける。,振荡,钟摆继续以递减的振幅振荡直到达到平衡。,oscilar,El péndulo continúa oscilando con amplitud decreciente hasta alcanzar el equilibrio.,dao động,Con lắc tiếp tục dao động với biên độ giảm dần cho đến khi đạt trạng thái cân bằng.,แกว่ง; สั่น,ลูกตุ้มยังคงแกว่งด้วยแอมพลิจูดที่ลดลงจนกระทั่งถึงจุดสมดุล,berosilasi,Pendulum terus berosilasi dengan amplitudo yang berkurang hingga mencapai keseimbangan.
tensile,"The tensile strength of this composite material exceeds that of conventional steel.",인장의,이 복합 재료의 인장 강도는 기존 강철의 인장 강도를 초과한다.,引張の,この複合材料の引張強度は従来の鋼鉄を上回る。,拉伸的,这种复合材料的抗拉强度超过了传统钢材。,de tracción,La resistencia a la tracción de este material compuesto supera la del acero convencional.,kéo; chịu kéo,Độ bền kéo của vật liệu composite này vượt trội hơn thép thông thường.,แรงดึง,ความแข็งแรงแรงดึงของวัสดุคอมโพสิตนี้เกินกว่าเหล็กกล้าทั่วไป,tarik,Kekuatan tarik material komposit ini melebihi baja konvensional.
corrosion,"Regular maintenance is essential to prevent corrosion in offshore drilling platforms.",부식,해양 시추 플랫폼의 부식을 방지하려면 정기적인 유지보수가 필수적이다.,腐食,海洋掘削プラットフォームの腐食を防ぐために定期的なメンテナンスが不可欠である。,腐蚀,定期维护对于防止海上钻井平台的腐蚀至关重要。,corrosión,El mantenimiento regular es esencial para prevenir la corrosión en las plataformas de perforación marítima.,ăn mòn,Bảo trì định kỳ là cần thiết để ngăn ngừa ăn mòn trên các giàn khoan ngoài khơi.,การกัดกร่อน,การบำรุงรักษาอย่างสม่ำเสมอเป็นสิ่งจำเป็นเพื่อป้องกันการกัดกร่อนในแท่นขุดเจาะนอกชายฝั่ง,korosi,Perawatan rutin sangat penting untuk mencegah korosi pada platform pengeboran lepas pantai.
resonance,"The bridge collapsed because the wind induced a destructive resonance in its structure.",공명,바람이 구조물에 파괴적인 공명을 유발하여 다리가 붕괴되었다.,共鳴,風が構造物に破壊的な共鳴を引き起こしたために橋が崩壊した。,共振,桥梁因风在其结构中引起破坏性共振而坍塌。,resonancia,El puente se derrumbó porque el viento indujo una resonancia destructiva en su estructura.,cộng hưởng,Cây cầu sụp đổ vì gió gây ra hiện tượng cộng hưởng phá hủy trong cấu trúc của nó.,การสั่นพ้อง,สะพานถล่มเพราะลมทำให้เกิดการสั่นพ้องแบบทำลายล้างในโครงสร้าง,resonansi,Jembatan runtuh karena angin menyebabkan resonansi destruktif pada strukturnya.
aerodynamic,"The aerodynamic design of the vehicle reduces drag by nearly thirty percent.",공기역학적인,차량의 공기역학적 설계는 항력을 거의 30퍼센트 줄여 준다.,空力学的な,その車両の空力学的デザインは空気抵抗をほぼ30パーセント削減する。,空气动力学的,该车辆的空气动力学设计将阻力降低了近百分之三十。,aerodinámico,El diseño aerodinámico del vehículo reduce la resistencia en casi un treinta por ciento.,khí động học,Thiết kế khí động học của xe giảm lực cản gần ba mươi phần trăm.,ตามหลักอากาศพลศาสตร์,การออกแบบตามหลักอากาศพลศาสตร์ของยานพาหนะช่วยลดแรงต้านได้เกือบสามสิบเปอร์เซ็นต์,aerodinamis,Desain aerodinamis kendaraan mengurangi hambatan udara hampir tiga puluh persen.
gauge,"The pressure gauge indicated that the system was operating well within safe parameters.",게이지; 측정기,압력 게이지는 시스템이 안전 매개변수 내에서 잘 작동하고 있음을 나타냈다.,計器,圧力計はシステムが安全なパラメータ内で正常に動作していることを示した。,仪表,压力表显示系统在安全参数范围内正常运行。,indicador; medidor,El manómetro indicó que el sistema estaba operando dentro de los parámetros seguros.,đồng hồ đo,Đồng hồ đo áp suất cho thấy hệ thống đang hoạt động tốt trong các thông số an toàn.,เกจวัด,เกจวัดความดันบ่งชี้ว่าระบบทำงานอยู่ในเกณฑ์ที่ปลอดภัย,pengukur,Pengukur tekanan menunjukkan bahwa sistem beroperasi dengan baik dalam parameter yang aman.
replicate,"Scientists struggled to replicate the results of the controversial cold fusion experiment.",재현하다,과학자들은 논쟁이 된 상온 핵융합 실험의 결과를 재현하는 데 어려움을 겪었다.,再現する,科学者たちは物議を醸した常温核融合実験の結果を再現するのに苦労した。,复制,科学家们难以复制这一有争议的冷聚变实验的结果。,replicar,Los científicos lucharon por replicar los resultados del controvertido experimento de fusión fría.,tái tạo; nhân bản,Các nhà khoa học gặp khó khăn trong việc tái tạo kết quả của thí nghiệm nhiệt hạch lạnh gây tranh cãi.,ทำซ้ำ,นักวิทยาศาสตร์พยายามทำซ้ำผลการทดลองฟิวชันเย็นที่เป็นที่ถกเถียง,mereplikasi,Para ilmuwan kesulitan mereplikasi hasil eksperimen fusi dingin yang kontroversial.
neural network,"The neural network was trained on millions of images to achieve human-level accuracy.",신경망,신경망은 인간 수준의 정확도를 달성하기 위해 수백만 개의 이미지로 훈련되었다.,ニューラルネットワーク,ニューラルネットワークは人間レベルの精度を達成するために数百万の画像で訓練された。,神经网络,该神经网络通过数百万张图像训练以达到人类水平的准确率。,red neuronal,La red neuronal fue entrenada con millones de imágenes para lograr una precisión a nivel humano.,mạng nơ-ron,Mạng nơ-ron được huấn luyện trên hàng triệu hình ảnh để đạt độ chính xác ngang tầm con người.,โครงข่ายประสาทเทียม,โครงข่ายประสาทเทียมถูกฝึกด้วยภาพหลายล้านภาพเพื่อให้ได้ความแม่นยำระดับมนุษย์,jaringan saraf,Jaringan saraf dilatih pada jutaan gambar untuk mencapai akurasi setara manusia.
deep learning,"Deep learning algorithms have revolutionized natural language processing and computer vision.",딥러닝,딥러닝 알고리즘은 자연어 처리와 컴퓨터 비전에 혁명을 일으켰다.,深層学習,深層学習アルゴリズムは自然言語処理とコンピュータビジョンに革命をもたらした。,深度学习,深度学习算法彻底改变了自然语言处理和计算机视觉。,aprendizaje profundo,Los algoritmos de aprendizaje profundo han revolucionado el procesamiento del lenguaje natural y la visión por computadora.,học sâu,Các thuật toán học sâu đã cách mạng hóa xử lý ngôn ngữ tự nhiên và thị giác máy tính.,การเรียนรู้เชิงลึก,อัลกอริทึมการเรียนรู้เชิงลึกได้ปฏิวัติการประมวลผลภาษาธรรมชาติและคอมพิวเตอร์วิชัน,pembelajaran mendalam,Algoritma pembelajaran mendalam telah merevolusi pemrosesan bahasa alami dan visi komputer.
heuristic,"The software employs a heuristic approach to find near-optimal solutions in real time.",휴리스틱의; 발견적인,소프트웨어는 실시간으로 거의 최적의 솔루션을 찾기 위해 휴리스틱 접근법을 사용한다.,発見的な,ソフトウェアはリアルタイムで準最適解を見つけるためにヒューリスティックなアプローチを採用している。,启发式的,该软件采用启发式方法实时寻找近似最优解。,heurístico,El software emplea un enfoque heurístico para encontrar soluciones casi óptimas en tiempo real.,heuristic,Phần mềm sử dụng phương pháp heuristic để tìm giải pháp gần tối ưu trong thời gian thực.,ฮิวริสติก,ซอฟต์แวร์ใช้วิธีฮิวริสติกเพื่อหาคำตอบที่ใกล้เคียงที่สุดในเวลาจริง,heuristik,Perangkat lunak menggunakan pendekatan heuristik untuk menemukan solusi mendekati optimal secara real-time.
Bayesian,"Bayesian inference allows the model to update its predictions as new data becomes available.",베이즈의,베이즈 추론은 새로운 데이터가 이용 가능해지면 모델이 예측을 업데이트할 수 있게 한다.,ベイズの,ベイズ推論により新しいデータが利用可能になるとモデルの予測を更新できる。,贝叶斯的,贝叶斯推断允许模型在新数据可用时更新其预测。,bayesiano,La inferencia bayesiana permite al modelo actualizar sus predicciones a medida que se dispone de nuevos datos.,Bayes,Suy luận Bayes cho phép mô hình cập nhật dự đoán khi có dữ liệu mới.,เบย์เซียน,การอนุมานแบบเบย์เซียนช่วยให้โมเดลอัปเดตการทำนายเมื่อมีข้อมูลใหม่,Bayesian,Inferensi Bayesian memungkinkan model memperbarui prediksinya saat data baru tersedia.
supervised,"In supervised learning the algorithm is trained on labeled data with known correct outputs.",지도 학습의,지도 학습에서 알고리즘은 알려진 정답이 있는 레이블된 데이터로 훈련된다.,教師ありの,教師あり学習ではアルゴリズムは既知の正解出力を持つラベル付きデータで訓練される。,监督的,在监督学习中算法使用具有已知正确输出的标记数据进行训练。,supervisado,En el aprendizaje supervisado el algoritmo se entrena con datos etiquetados con salidas correctas conocidas.,có giám sát,Trong học có giám sát thuật toán được huấn luyện trên dữ liệu được gán nhãn với đầu ra đúng đã biết.,แบบมีผู้สอน,ในการเรียนรู้แบบมีผู้สอน อัลกอริทึมถูกฝึกด้วยข้อมูลที่มีป้ายกำกับและมีผลลัพธ์ที่ถูกต้อง,terawasi,Dalam pembelajaran terawasi algoritma dilatih pada data berlabel dengan keluaran yang diketahui benar.
unsupervised,"Unsupervised clustering revealed three distinct customer segments that marketers had not previously identified.",비지도 학습의,비지도 클러스터링은 마케터들이 이전에 파악하지 못했던 세 가지 고유한 고객 세그먼트를 밝혀냈다.,教師なしの,教師なしクラスタリングによりマーケターが以前特定していなかった3つの異なる顧客セグメントが明らかになった。,无监督的,无监督聚类揭示了营销人员此前未识别的三个不同的客户群体。,no supervisado,La agrupación no supervisada reveló tres segmentos de clientes distintos que los comercializadores no habían identificado previamente.,không giám sát,Phân cụm không giám sát đã phát hiện ba phân khúc khách hàng riêng biệt mà các nhà tiếp thị chưa từng nhận ra.,แบบไม่มีผู้สอน,การจัดกลุ่มแบบไม่มีผู้สอนเปิดเผยกลุ่มลูกค้าที่แตกต่างกันสามกลุ่มที่นักการตลาดไม่เคยระบุมาก่อน,tanpa pengawasan,Pengelompokan tanpa pengawasan mengungkap tiga segmen pelanggan berbeda yang sebelumnya tidak teridentifikasi oleh pemasar.
reinforcement,"Reinforcement learning enabled the AI agent to master the game through trial and error.",강화,강화 학습은 AI 에이전트가 시행착오를 통해 게임을 마스터할 수 있게 했다.,強化,強化学習によりAIエージェントは試行錯誤を通じてゲームを習得した。,强化,强化学习使AI代理通过试错掌握了这款游戏。,refuerzo,El aprendizaje por refuerzo permitió al agente de IA dominar el juego a través de prueba y error.,tăng cường,Học tăng cường cho phép tác tử AI thành thạo trò chơi thông qua thử và sai.,การเสริมแรง,การเรียนรู้แบบเสริมแรงทำให้เอเจนต์ AI เชี่ยวชาญเกมผ่านการลองผิดลองถูก,penguatan,Pembelajaran penguatan memungkinkan agen AI menguasai permainan melalui percobaan dan kesalahan.
latent,"The researchers discovered latent variables that significantly influenced the model's performance.",잠재적인,연구자들은 모델의 성능에 크게 영향을 미치는 잠재 변수를 발견했다.,潜在的な,研究者たちはモデルの性能に大きく影響する潜在変数を発見した。,潜在的,研究人员发现了显著影响模型性能的潜在变量。,latente,Los investigadores descubrieron variables latentes que influían significativamente en el rendimiento del modelo.,tiềm ẩn,Các nhà nghiên cứu phát hiện các biến tiềm ẩn ảnh hưởng đáng kể đến hiệu suất mô hình.,แฝง,นักวิจัยค้นพบตัวแปรแฝงที่มีอิทธิพลอย่างมากต่อประสิทธิภาพของโมเดล,laten,Para peneliti menemukan variabel laten yang secara signifikan memengaruhi kinerja model.
algorithm,"The sorting algorithm processes a million records in under two seconds.",알고리즘,정렬 알고리즘은 백만 개의 레코드를 2초 이내에 처리한다.,アルゴリズム,ソートアルゴリズムは100万件のレコードを2秒以内に処理する。,算法,该排序算法在两秒内处理一百万条记录。,algoritmo,El algoritmo de clasificación procesa un millón de registros en menos de dos segundos.,thuật toán,Thuật toán sắp xếp xử lý một triệu bản ghi trong chưa đầy hai giây.,อัลกอริทึม,อัลกอริทึมการเรียงลำดับประมวลผลบันทึกหนึ่งล้านรายการในเวลาไม่ถึงสองวินาที,algoritma,Algoritma pengurutan memproses satu juta catatan dalam waktu kurang dari dua detik.
regression,"The data scientist applied a multivariate regression to predict quarterly revenue.",회귀,데이터 과학자는 분기별 수익을 예측하기 위해 다변량 회귀를 적용했다.,回帰,データサイエンティストは四半期収益を予測するために多変量回帰を適用した。,回归,数据科学家应用多元回归来预测季度收入。,regresión,El científico de datos aplicó una regresión multivariante para predecir los ingresos trimestrales.,hồi quy,Nhà khoa học dữ liệu áp dụng hồi quy đa biến để dự đoán doanh thu hàng quý.,การถดถอย,นักวิทยาศาสตร์ข้อมูลใช้การถดถอยหลายตัวแปรเพื่อทำนายรายได้รายไตรมาส,regresi,Ilmuwan data menerapkan regresi multivariat untuk memprediksi pendapatan kuartalan.
gradient,"The optimization process follows the steepest gradient to minimize the loss function.",기울기; 경사,최적화 과정은 손실 함수를 최소화하기 위해 가장 가파른 기울기를 따른다.,勾配,最適化プロセスは損失関数を最小化するために最も急な勾配に沿って進む。,梯度,优化过程沿最陡梯度方向最小化损失函数。,gradiente,El proceso de optimización sigue el gradiente más pronunciado para minimizar la función de pérdida.,gradient,Quá trình tối ưu hóa đi theo gradient dốc nhất để tối thiểu hóa hàm mất mát.,เกรเดียนต์,กระบวนการปรับให้เหมาะสมจะเดินตามเกรเดียนต์ที่ชันที่สุดเพื่อลดฟังก์ชันการสูญเสีย,gradien,Proses optimasi mengikuti gradien paling curam untuk meminimalkan fungsi kerugian.
epoch,"After fifty epochs of training the model's accuracy plateaued at ninety-seven percent.",에포크,50 에포크의 훈련 후 모델의 정확도는 97퍼센트에서 정체되었다.,エポック,50エポックの訓練後モデルの精度は97パーセントで頭打ちになった。,轮次,经过五十轮训练后模型的准确率在百分之九十七处趋于稳定。,época,Después de cincuenta épocas de entrenamiento la precisión del modelo se estancó en el noventa y siete por ciento.,epoch,Sau năm mươi epoch huấn luyện độ chính xác của mô hình đạt đỉnh ở chín mươi bảy phần trăm.,เอพอค,หลังจากฝึกห้าสิบเอพอค ความแม่นยำของโมเดลคงที่อยู่ที่เก้าสิบเจ็ดเปอร์เซ็นต์,epoch,Setelah lima puluh epoch pelatihan akurasi model mencapai puncak di sembilan puluh tujuh persen.
overfitting,"Overfitting occurs when a model memorizes training data rather than learning generalizable patterns.",과적합,과적합은 모델이 일반화 가능한 패턴을 학습하는 대신 훈련 데이터를 암기할 때 발생한다.,過学習,過学習はモデルが一般化可能なパターンを学習するのではなく訓練データを暗記してしまう場合に発生する。,过拟合,当模型记住训练数据而不是学习可泛化的模式时就会发生过拟合。,sobreajuste,El sobreajuste ocurre cuando un modelo memoriza los datos de entrenamiento en lugar de aprender patrones generalizables.,quá khớp,Quá khớp xảy ra khi mô hình ghi nhớ dữ liệu huấn luyện thay vì học các mẫu có thể tổng quát hóa.,การเรียนรู้เกินพอดี,การเรียนรู้เกินพอดีเกิดขึ้นเมื่อโมเดลจดจำข้อมูลฝึกแทนที่จะเรียนรู้รูปแบบที่สรุปได้,overfitting,Overfitting terjadi ketika model menghafal data pelatihan alih-alih mempelajari pola yang dapat digeneralisasi.
inference,"The edge device performs real-time inference without sending data to the cloud.",추론,엣지 장치는 데이터를 클라우드로 전송하지 않고 실시간 추론을 수행한다.,推論,エッジデバイスはデータをクラウドに送信せずにリアルタイムの推論を行う。,推理,边缘设备在不向云端发送数据的情况下执行实时推理。,inferencia,El dispositivo de borde realiza inferencia en tiempo real sin enviar datos a la nube.,suy luận,Thiết bị biên thực hiện suy luận thời gian thực mà không gửi dữ liệu lên đám mây.,การอนุมาน,อุปกรณ์เอดจ์ทำการอนุมานแบบเรียลไทม์โดยไม่ต้องส่งข้อมูลไปยังคลาวด์,inferensi,Perangkat edge melakukan inferensi real-time tanpa mengirim data ke cloud.
vicissitude,"The company weathered the vicissitudes of the market and emerged stronger than before.",변천; 부침,회사는 시장의 부침을 견뎌내고 이전보다 더 강해졌다.,変遷; 浮き沈み,会社は市場の浮き沈みを乗り越え以前よりも強くなった。,变迁; 沧桑,公司经受住了市场的沧桑变迁并变得比以前更强大。,vicisitud,La empresa superó las vicisitudes del mercado y salió más fuerte que antes.,thăng trầm,Công ty đã vượt qua những thăng trầm của thị trường và trở nên mạnh mẽ hơn trước.,ความผันผวน,บริษัทฝ่าฟันความผันผวนของตลาดและกลับมาแข็งแกร่งกว่าเดิม,pasang surut,Perusahaan bertahan melalui pasang surut pasar dan muncul lebih kuat dari sebelumnya.
zeitgeist,"The artist's work perfectly captured the zeitgeist of the postwar generation.",시대정신,그 예술가의 작품은 전후 세대의 시대정신을 완벽하게 포착했다.,時代精神,その芸術家の作品は戦後世代の時代精神を完璧にとらえていた。,时代精神,这位艺术家的作品完美地捕捉了战后一代的时代精神。,espíritu de la época,La obra del artista capturó perfectamente el espíritu de la generación de posguerra.,tinh thần thời đại,Tác phẩm của nghệ sĩ đã nắm bắt hoàn hảo tinh thần thời đại của thế hệ hậu chiến.,จิตวิญญาณแห่งยุคสมัย,ผลงานของศิลปินจับจิตวิญญาณแห่งยุคสมัยของคนรุ่นหลังสงครามได้อย่างสมบูรณ์แบบ,semangat zaman,Karya seniman itu dengan sempurna menangkap semangat zaman generasi pascaperang.
ennui,"A profound ennui settled over the aristocrats who had exhausted every possible diversion.",권태,모든 가능한 오락을 소진한 귀족들에게 깊은 권태가 밀려왔다.,倦怠; 退屈,あらゆる娯楽を使い果たした貴族たちに深い倦怠感が漂った。,倦怠,一种深深的倦怠笼罩了那些耗尽一切消遣的贵族。,hastío; tedio,Un profundo hastío se apoderó de los aristócratas que habían agotado toda diversión posible.,sự chán chường,Một nỗi chán chường sâu sắc bao trùm những quý tộc đã cạn kiệt mọi thú tiêu khiển.,ความเบื่อหน่าย,ความเบื่อหน่ายอย่างลึกซึ้งปกคลุมเหล่าชนชั้นสูงที่หมดสิ้นความบันเทิงทุกอย่าง,kebosanan mendalam,Kebosanan mendalam menyelimuti para bangsawan yang telah menghabiskan setiap hiburan yang mungkin.
