amortization,"The amortization of the loan is spread over twenty years.",상각,"대출의 상각은 20년에 걸쳐 분산됩니다.",償却,"ローンの償却は20年にわたって分散されています。",摊销,"贷款的摊销分摊在二十年内。",amortización,"La amortización del préstamo se distribuye a lo largo de veinte años.",khấu hao,"Việc khấu hao khoản vay được trải đều trong hai mươi năm.",การตัดจำหน่าย,"การตัดจำหน่ายของเงินกู้กระจายไปตลอดยี่สิบปี",amortisasi,"Amortisasi pinjaman tersebar selama dua puluh tahun."
recapitalization,"The board approved a recapitalization plan to reduce the debt-to-equity ratio.",자본 재구성,"이사회는 부채비율을 줄이기 위한 자본 재구성 계획을 승인했습니다.",資本再構成,"取締役会は負債資本比率を削減するための資本再構成計画を承認しました。",资本重组,"董事会批准了降低资产负债率的资本重组计划。",recapitalización,"La junta aprobó un plan de recapitalización para reducir la relación deuda-capital.",tái cấu trúc vốn,"Hội đồng quản trị đã phê duyệt kế hoạch tái cấu trúc vốn để giảm tỷ lệ nợ trên vốn chủ sở hữu.",การเพิ่มทุน,"คณะกรรมการอนุมัติแผนการเพิ่มทุนเพื่อลดอัตราส่วนหนี้สินต่อทุน",rekapitalisasi,"Dewan menyetujui rencana rekapitalisasi untuk mengurangi rasio utang terhadap ekuitas."
divestiture,"The conglomerate announced the divestiture of its non-core subsidiaries.",사업 매각,"해당 대기업은 비핵심 자회사의 사업 매각을 발표했습니다.",事業売却,"その複合企業は非中核子会社の事業売却を発表しました。",剥离,"该集团宣布剥离其非核心子公司。",desinversión,"El conglomerado anunció la desinversión de sus filiales no esenciales.",thoái vốn,"Tập đoàn đã công bố việc thoái vốn khỏi các công ty con không thuộc lĩnh vực cốt lõi.",การขายกิจการ,"กลุ่มบริษัทประกาศการขายกิจการของบริษัทย่อยที่ไม่ใช่ธุรกิจหลัก",divestasi,"Konglomerat mengumumkan divestasi anak perusahaan non-intinya."
securitization,"Banks use securitization to convert illiquid mortgage pools into tradable securities.",증권화,"은행은 비유동 모기지 풀을 거래 가능한 증권으로 변환하기 위해 증권화를 사용합니다.",証券化,"銀行は非流動性の住宅ローンプールを取引可能な証券に変換するために証券化を利用します。",证券化,"银行利用证券化将非流动性抵押贷款池转换为可交易证券。",titulización,"Los bancos usan la titulización para convertir grupos de hipotecas ilíquidas en valores negociables.",chứng khoán hóa,"Các ngân hàng sử dụng chứng khoán hóa để chuyển đổi các nhóm thế chấp kém thanh khoản thành chứng khoán có thể giao dịch.",การแปลงสินทรัพย์เป็นหลักทรัพย์,"ธนาคารใช้การแปลงสินทรัพย์เป็นหลักทรัพย์เพื่อเปลี่ยนกลุ่มสินเชื่อที่อยู่อาศัยที่มีสภาพคล่องต่ำเป็นหลักทรัพย์ที่ซื้อขายได้",sekuritisasi,"Bank menggunakan sekuritisasi untuk mengubah kumpulan hipotek yang tidak likuid menjadi sekuritas yang dapat diperdagangkan."
goodwill impairment,"The company recorded a goodwill impairment charge following the failed acquisition.",영업권 손상,"회사는 인수 실패 후 영업권 손상 비용을 기록했습니다.",のれん減損,"同社は買収失敗後にのれん減損損失を計上しました。",商誉减值,"公司在收购失败后记录了商誉减值费用。",deterioro del fondo de comercio,"La empresa registró un cargo por deterioro del fondo de comercio tras la adquisición fallida.",suy giảm lợi thế thương mại,"Công ty đã ghi nhận khoản phí suy giảm lợi thế thương mại sau thương vụ mua lại thất bại.",การด้อยค่าของค่าความนิยม,"บริษัทบันทึกค่าใช้จ่ายจากการด้อยค่าของค่าความนิยมหลังการเข้าซื้อกิจการที่ล้มเหลว",penurunan nilai goodwill,"Perusahaan mencatat beban penurunan nilai goodwill setelah akuisisi yang gagal."
callable bond,"The issuer exercised its right to redeem the callable bond before maturity.",콜러블 채권,"발행자는 만기 전에 콜러블 채권을 상환할 권리를 행사했습니다.",コーラブル債,"発行体は満期前にコーラブル債を償還する権利を行使しました。",可赎回债券,"发行人行使了在到期前赎回可赎回债券的权利。",bono rescatable,"El emisor ejerció su derecho a redimir el bono rescatable antes del vencimiento.",trái phiếu có thể thu hồi,"Tổ chức phát hành đã thực hiện quyền mua lại trái phiếu có thể thu hồi trước khi đáo hạn.",พันธบัตรที่ไถ่ถอนได้,"ผู้ออกใช้สิทธิในการไถ่ถอนพันธบัตรที่ไถ่ถอนได้ก่อนครบกำหนด",obligasi yang dapat ditarik,"Penerbit menggunakan haknya untuk menebus obligasi yang dapat ditarik sebelum jatuh tempo."
syndication,"Loan syndication allows multiple lenders to share the credit risk of a large financing.",대출 신디케이션,"대출 신디케이션은 여러 대출 기관이 대규모 금융의 신용 위험을 분담할 수 있게 합니다.",シンジケーション,"ローンのシンジケーションにより、複数の貸し手が大型融資の信用リスクを分担できます。",银团贷款,"银团贷款允许多个贷方分担大型融资的信用风险。",sindicación,"La sindicación de préstamos permite a múltiples prestamistas compartir el riesgo crediticio de un gran financiamiento.",cho vay hợp vốn,"Cho vay hợp vốn cho phép nhiều người cho vay chia sẻ rủi ro tín dụng của một khoản tài trợ lớn.",การร่วมให้สินเชื่อ,"การร่วมให้สินเชื่อช่วยให้ผู้ให้กู้หลายรายแบ่งปันความเสี่ยงด้านเครดิตของการจัดหาเงินทุนขนาดใหญ่",sindikasi,"Sindikasi pinjaman memungkinkan beberapa pemberi pinjaman berbagi risiko kredit dari pembiayaan besar."
hedging,"The corporation employed currency hedging strategies to mitigate foreign exchange exposure.",헤징,"해당 기업은 외환 노출을 완화하기 위해 통화 헤징 전략을 사용했습니다.",ヘッジ,"その企業は外国為替エクスポージャーを軽減するために通貨ヘッジ戦略を採用しました。",对冲,"该公司采用货币对冲策略来减轻外汇风险敞口。",cobertura,"La corporación empleó estrategias de cobertura de divisas para mitigar la exposición cambiaria.",phòng ngừa rủi ro,"Công ty đã áp dụng các chiến lược phòng ngừa rủi ro tiền tệ để giảm thiểu rủi ro ngoại hối.",การป้องกันความเสี่ยง,"บริษัทใช้กลยุทธ์การป้องกันความเสี่ยงด้านอัตราแลกเปลี่ยนเพื่อลดความเสี่ยงจากอัตราแลกเปลี่ยน",lindung nilai,"Korporasi menerapkan strategi lindung nilai mata uang untuk mengurangi eksposur valuta asing."
tranche,"The senior tranche of the structured product received a triple-A credit rating.",트랜치,"구조화 상품의 선순위 트랜치는 AAA 신용 등급을 받았습니다.",トランシェ,"仕組み商品のシニアトランシェはトリプルA信用格付けを取得しました。",分级,"结构化产品的优先级分级获得了三A信用评级。",tramo,"El tramo preferente del producto estructurado recibió una calificación crediticia de triple A.",đợt phát hành,"Đợt phát hành ưu tiên của sản phẩm cấu trúc đã nhận được xếp hạng tín dụng AAA.",ชั้น,"ชั้นอาวุโสของผลิตภัณฑ์ที่มีโครงสร้างได้รับการจัดอันดับเครดิตระดับ AAA",tranche,"Tranche senior dari produk terstruktur menerima peringkat kredit triple-A."
accretion,"The accretion of value from the merger exceeded initial projections by fifteen percent.",가치 증가,"합병으로 인한 가치 증가는 초기 예상보다 15퍼센트를 초과했습니다.",価値増加,"合併による価値増加は当初の予測を15パーセント上回りました。",价值增值,"合并带来的价值增值超出初始预期百分之十五。",acreción,"La acreción de valor de la fusión superó las proyecciones iniciales en un quince por ciento.",sự gia tăng giá trị,"Sự gia tăng giá trị từ vụ sáp nhập vượt quá dự báo ban đầu mười lăm phần trăm.",การเพิ่มมูลค่า,"การเพิ่มมูลค่าจากการควบรวมกิจการเกินกว่าที่คาดการณ์ไว้สิบห้าเปอร์เซ็นต์",akresi,"Akresi nilai dari merger melebihi proyeksi awal sebesar lima belas persen."
counterparty risk,"Counterparty risk intensified during the financial crisis as banks questioned each other's solvency.",거래상대방 위험,"금융 위기 동안 은행들이 서로의 지급 능력을 의심하면서 거래상대방 위험이 심화되었습니다.",カウンターパーティリスク,"金融危機中、銀行が互いの支払能力を疑問視したため、カウンターパーティリスクが増大しました。",交易对手风险,"金融危机期间，随着银行质疑彼此的偿付能力，交易对手风险加剧。",riesgo de contraparte,"El riesgo de contraparte se intensificó durante la crisis financiera cuando los bancos cuestionaron la solvencia mutua.",rủi ro đối tác,"Rủi ro đối tác gia tăng trong cuộc khủng hoảng tài chính khi các ngân hàng đặt câu hỏi về khả năng thanh toán của nhau.",ความเสี่ยงคู่สัญญา,"ความเสี่ยงคู่สัญญาทวีความรุนแรงขึ้นในช่วงวิกฤตการเงินเมื่อธนาคารตั้งคำถามถึงความสามารถในการชำระหนี้ของกัน",risiko pihak lawan,"Risiko pihak lawan meningkat selama krisis keuangan ketika bank mempertanyakan solvabilitas satu sama lain."
pro forma,"The pro forma financial statements projected revenue growth of twelve percent annually.",추정,"추정 재무제표는 연간 12퍼센트의 매출 성장을 전망했습니다.",プロフォーマ,"プロフォーマ財務諸表は年間12パーセントの収益成長を予測しました。",预估,"预估财务报表预计年收入增长百分之十二。",pro forma,"Los estados financieros pro forma proyectaron un crecimiento de ingresos del doce por ciento anual.",dự phóng,"Báo cáo tài chính dự phóng dự đoán tăng trưởng doanh thu mười hai phần trăm hàng năm.",งบการเงินจำลอง,"งบการเงินจำลองคาดการณ์การเติบโตของรายได้ร้อยละสิบสองต่อปี",pro forma,"Laporan keuangan pro forma memproyeksikan pertumbuhan pendapatan dua belas persen per tahun."
warrant,"The company issued stock warrants as an incentive for early-stage investors.",신주인수권,"회사는 초기 단계 투자자들을 위한 인센티브로 신주인수권을 발행했습니다.",ワラント,"同社は初期段階の投資家向けインセンティブとして株式ワラントを発行しました。",认股权证,"公司向早期投资者发行认股权证作为激励。",certificado de opción,"La empresa emitió certificados de opción sobre acciones como incentivo para los inversores iniciales.",chứng quyền,"Công ty phát hành chứng quyền cổ phiếu như một động lực cho các nhà đầu tư giai đoạn đầu.",ใบสำคัญแสดงสิทธิ,"บริษัทออกใบสำคัญแสดงสิทธิซื้อหุ้นเป็นแรงจูงใจสำหรับนักลงทุนในระยะเริ่มต้น",waran,"Perusahaan menerbitkan waran saham sebagai insentif bagi investor tahap awal."
equity premium,"The equity premium puzzle remains one of the most debated topics in financial economics.",주식 프리미엄,"주식 프리미엄 퍼즐은 금융 경제학에서 가장 논쟁이 되는 주제 중 하나로 남아 있습니다.",エクイティプレミアム,"エクイティプレミアムパズルは金融経済学で最も議論されるトピックの一つです。",股权溢价,"股权溢价之谜仍然是金融经济学中最受争议的话题之一。",prima de riesgo de la renta variable,"El enigma de la prima de riesgo de la renta variable sigue siendo uno de los temas más debatidos en economía financiera.",phần bù rủi ro vốn cổ phần,"Câu đố về phần bù rủi ro vốn cổ phần vẫn là một trong những chủ đề được tranh luận nhiều nhất trong kinh tế tài chính.",ส่วนชดเชยความเสี่ยงของหุ้น,"ปริศนาส่วนชดเชยความเสี่ยงของหุ้นยังคงเป็นหนึ่งในหัวข้อที่ถูกถกเถียงมากที่สุดในเศรษฐศาสตร์การเงิน",premi ekuitas,"Teka-teki premi ekuitas tetap menjadi salah satu topik yang paling diperdebatkan dalam ekonomi keuangan."
moral hazard,"Bailout programs can create moral hazard by incentivizing reckless risk-taking.",도덕적 해이,"구제 프로그램은 무분별한 위험 감수를 장려하여 도덕적 해이를 초래할 수 있습니다.",モラルハザード,"救済プログラムは無謀なリスクテイクを奨励することでモラルハザードを生み出す可能性があります。",道德风险,"救助计划可能通过激励鲁莽的冒险行为而产生道德风险。",riesgo moral,"Los programas de rescate pueden crear riesgo moral al incentivar la asunción imprudente de riesgos.",rủi ro đạo đức,"Các chương trình cứu trợ có thể tạo ra rủi ro đạo đức bằng cách khuyến khích việc chấp nhận rủi ro liều lĩnh.",ภัยทางศีลธรรม,"โครงการช่วยเหลือทางการเงินอาจสร้างภัยทางศีลธรรมโดยจูงใจให้มีการรับความเสี่ยงอย่างประมาท",bahaya moral,"Program bailout dapat menciptakan bahaya moral dengan mendorong pengambilan risiko yang sembrono."
clawback,"The executive compensation agreement included a clawback provision for restatement of earnings.",환수 조항,"임원 보수 계약에는 실적 재작성에 대한 환수 조항이 포함되어 있었습니다.",クローバック,"経営陣の報酬契約には業績修正に対するクローバック条項が含まれていました。",追回条款,"高管薪酬协议包含了针对收益重述的追回条款。",cláusula de recuperación,"El acuerdo de compensación ejecutiva incluía una cláusula de recuperación por reformulación de ganancias.",điều khoản thu hồi,"Thỏa thuận lương thưởng của giám đốc điều hành bao gồm điều khoản thu hồi khi điều chỉnh lại thu nhập.",เงื่อนไขเรียกคืน,"ข้อตกลงค่าตอบแทนผู้บริหารมีเงื่อนไขเรียกคืนสำหรับการปรับปรุงงบการเงิน",ketentuan clawback,"Perjanjian kompensasi eksekutif mencakup ketentuan clawback untuk penyajian kembali pendapatan."
mezzanine financing,"Mezzanine financing bridged the gap between senior debt and equity in the capital structure.",메자닌 금융,"메자닌 금융은 자본 구조에서 선순위 부채와 자본 사이의 격차를 메웠습니다.",メザニンファイナンス,"メザニンファイナンスは資本構造におけるシニアデットとエクイティの間のギャップを埋めました。",夹层融资,"夹层融资弥补了资本结构中优先债务与股权之间的差距。",financiación mezzanine,"La financiación mezzanine cubrió la brecha entre la deuda preferente y el capital en la estructura de capital.",tài trợ tầng lửng,"Tài trợ tầng lửng đã lấp đầy khoảng cách giữa nợ ưu tiên và vốn chủ sở hữu trong cấu trúc vốn.",การเงินชั้นกลาง,"การเงินชั้นกลางเชื่อมช่องว่างระหว่างหนี้อาวุโสและส่วนของผู้ถือหุ้นในโครงสร้างเงินทุน",pembiayaan mezzanine,"Pembiayaan mezzanine menjembatani kesenjangan antara utang senior dan ekuitas dalam struktur modal."
credit default swap,"The bank purchased a credit default swap to protect against potential bond defaults.",신용부도스왑,"은행은 잠재적 채권 부도에 대비하기 위해 신용부도스왑을 매입했습니다.",クレジット・デフォルト・スワップ,"銀行は潜在的な債券デフォルトに備えてクレジット・デフォルト・スワップを購入しました。",信用违约互换,"银行购买了信用违约互换以防范潜在的债券违约。",permuta de incumplimiento crediticio,"El banco compró una permuta de incumplimiento crediticio para protegerse contra posibles impagos de bonos.",hợp đồng hoán đổi rủi ro tín dụng,"Ngân hàng đã mua hợp đồng hoán đổi rủi ro tín dụng để bảo vệ trước khả năng vỡ nợ trái phiếu.",สัญญาสวอปผิดนัดชำระหนี้,"ธนาคารซื้อสัญญาสวอปผิดนัดชำระหนี้เพื่อป้องกันการผิดนัดชำระพันธบัตรที่อาจเกิดขึ้น",credit default swap,"Bank membeli credit default swap untuk melindungi dari potensi gagal bayar obligasi."
carried interest,"Private equity managers earn carried interest as a percentage of profits above a hurdle rate.",성과보수,"사모 펀드 매니저들은 허들 레이트를 초과하는 이익의 일정 비율로 성과보수를 받습니다.",キャリード・インタレスト,"プライベートエクイティマネージャーはハードルレートを超える利益の一定割合としてキャリード・インタレストを得ます。",附带权益,"私募股权经理人以超过门槛收益率的利润百分比形式获得附带权益。",interés acumulado,"Los gestores de capital privado obtienen interés acumulado como porcentaje de las ganancias por encima de una tasa mínima.",lãi suất chia sẻ,"Các nhà quản lý vốn cổ phần tư nhân kiếm được lãi suất chia sẻ dưới dạng phần trăm lợi nhuận vượt trên tỷ lệ rào cản.",ผลตอบแทนส่วนเกิน,"ผู้จัดการกองทุนไพรเวทอิควิตี้ได้รับผลตอบแทนส่วนเกินเป็นเปอร์เซ็นต์ของกำไรที่สูงกว่าอัตราผลตอบแทนขั้นต่ำ",carried interest,"Manajer ekuitas swasta mendapatkan carried interest sebagai persentase keuntungan di atas tingkat rintangan."
verisimilitude,"The novel's verisimilitude made readers question where fiction ended and reality began.",개연성,"소설의 개연성은 독자들로 하여금 허구가 끝나고 현실이 시작되는 지점에 대해 의문을 갖게 했습니다.",迫真性,"その小説の迫真性は、読者にフィクションが終わり現実が始まる場所を疑問に思わせました。",逼真性,"小说的逼真性让读者质疑虚构在哪里结束、现实从哪里开始。",verosimilitud,"La verosimilitud de la novela hizo que los lectores cuestionaran dónde terminaba la ficción y comenzaba la realidad.",tính chân thực,"Tính chân thực của tiểu thuyết khiến độc giả đặt câu hỏi nơi hư cấu kết thúc và thực tế bắt đầu.",ความสมจริง,"ความสมจริงของนวนิยายทำให้ผู้อ่านตั้งคำถามว่าเรื่องแต่งสิ้นสุดและความจริงเริ่มต้นตรงไหน",kesepertinyataan,"Kesepertinyataan novel tersebut membuat pembaca mempertanyakan di mana fiksi berakhir dan kenyataan dimulai."
intertextuality,"The poet's use of intertextuality wove classical allusions into a contemporary narrative framework.",상호텍스트성,"시인의 상호텍스트성 사용은 고전적 암시를 현대적 서사 구조에 엮어냈습니다.",間テクスト性,"詩人の間テクスト性の使用は、古典的な暗示を現代の物語の枠組みに織り込みました。",互文性,"诗人对互文性的运用将古典典故编织进当代叙事框架中。",intertextualidad,"El uso de la intertextualidad por parte del poeta tejió alusiones clásicas en un marco narrativo contemporáneo.",liên văn bản,"Việc sử dụng liên văn bản của nhà thơ đã đan xen các ám chỉ cổ điển vào khung tự sự đương đại.",การอ้างอิงระหว่างตัวบท,"การใช้การอ้างอิงระหว่างตัวบทของกวีได้สอดแทรกการอ้างอิงเชิงคลาสสิกเข้ากับกรอบเรื่องเล่าร่วมสมัย",intertekstualitas,"Penggunaan intertekstualitas oleh penyair menenun alusi klasik ke dalam kerangka naratif kontemporer."
metanarrative,"Postmodernist writers deliberately subvert the metanarrative of linear historical progress.",메타서사,"포스트모더니즘 작가들은 의도적으로 선형적 역사 진보의 메타서사를 전복시킵니다.",メタナラティブ,"ポストモダニストの作家たちは、線形的な歴史進歩のメタナラティブを意図的に覆します。",元叙事,"后现代主义作家刻意颠覆线性历史进步的元叙事。",metanarrativa,"Los escritores posmodernistas subvierten deliberadamente la metanarrativa del progreso histórico lineal.",siêu tự sự,"Các nhà văn hậu hiện đại cố tình lật đổ siêu tự sự về tiến bộ lịch sử tuyến tính.",อภิมหาเรื่องเล่า,"นักเขียนหลังสมัยใหม่จงใจล้มล้างอภิมหาเรื่องเล่าของความก้าวหน้าทางประวัติศาสตร์เชิงเส้น",metanarasi,"Penulis postmodernis dengan sengaja menumbangkan metanarasi kemajuan sejarah linear."
bildungsroman,"The critic classified the work as a bildungsroman tracing the protagonist's moral awakening.",성장 소설,"비평가는 그 작품을 주인공의 도덕적 각성을 추적하는 성장 소설로 분류했습니다.",ビルドゥングスロマン,"批評家はその作品を主人公の道徳的覚醒を辿るビルドゥングスロマンとして分類しました。",成长小说,"评论家将这部作品归类为追溯主人公道德觉醒的成长小说。",novela de formación,"El crítico clasificó la obra como una novela de formación que traza el despertar moral del protagonista.",tiểu thuyết trưởng thành,"Nhà phê bình đã phân loại tác phẩm này là tiểu thuyết trưởng thành theo dõi sự thức tỉnh đạo đức của nhân vật chính.",นิยายว่าด้วยการเติบโต,"นักวิจารณ์จัดประเภทผลงานนี้ว่าเป็นนิยายว่าด้วยการเติบโตที่ติดตามการตื่นรู้ทางศีลธรรมของตัวเอก",novel pembentukan,"Kritikus mengklasifikasikan karya tersebut sebagai novel pembentukan yang menelusuri kebangkitan moral protagonis."
