english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
assign,The professor will assign a group project next week.,배정하다,교수는 다음 주에 그룹 프로젝트를 배정할 것이다.,割り当てる,教授は来週グループプロジェクトを割り当てる。,分配,教授将在下周分配一个小组项目。,asignar,El profesor asignará un proyecto grupal la próxima semana.,giao,Giáo sư sẽ giao một đồ án nhóm vào tuần tới.,มอบหมาย,อาจารย์จะมอบหมายโปรเจกต์กลุ่มในสัปดาห์หน้า,menugaskan,Profesor akan menugaskan proyek kelompok minggu depan.
assist,Teaching assistants help assist students during lab sessions.,돕다,조교들은 실험 시간에 학생들을 돕는다.,支援する,ティーチングアシスタントは実験セッション中に学生を支援する。,协助,助教在实验课上协助学生。,asistir,Los asistentes de enseñanza ayudan a asistir a los estudiantes durante las sesiones de laboratorio.,hỗ trợ,Trợ giảng giúp hỗ trợ sinh viên trong các buổi thí nghiệm.,ช่วยเหลือ,ผู้ช่วยสอนช่วยเหลือนักศึกษาในชั่วโมงปฏิบัติการ,membantu,Asisten pengajar membantu mahasiswa selama sesi laboratorium.
assume,We cannot assume that all students have access to a computer at home.,가정하다,우리는 모든 학생이 집에서 컴퓨터를 이용할 수 있다고 가정할 수 없다.,仮定する,すべての学生が自宅でコンピュータを利用できると仮定することはできない。,假设,我们不能假设所有学生在家都有电脑。,asumir,No podemos asumir que todos los estudiantes tienen acceso a una computadora en casa.,giả định,Chúng ta không thể giả định rằng tất cả sinh viên đều có máy tính ở nhà.,สันนิษฐาน,เราไม่สามารถสันนิษฐานได้ว่านักศึกษาทุกคนมีคอมพิวเตอร์ที่บ้าน,mengasumsikan,Kita tidak bisa mengasumsikan bahwa semua mahasiswa memiliki akses komputer di rumah.
authority,The dean has the authority to approve new academic programs.,권한,학장은 새로운 학과 프로그램을 승인할 권한이 있다.,権限,学部長は新しい学術プログラムを承認する権限を持っている。,权力,院长有权批准新的学术项目。,autoridad,El decano tiene la autoridad para aprobar nuevos programas académicos.,quyền hạn,Trưởng khoa có quyền hạn phê duyệt các chương trình học thuật mới.,อำนาจ,คณบดีมีอำนาจในการอนุมัติหลักสูตรใหม่,wewenang,Dekan memiliki wewenang untuk menyetujui program akademik baru.
available,The textbook is available in the campus bookstore and online.,이용 가능한,그 교재는 캠퍼스 서점과 온라인에서 이용 가능하다.,利用可能な,教科書はキャンパスの書店とオンラインで利用可能である。,可用的,这本教科书在校园书店和网上都有售。,disponible,El libro de texto está disponible en la librería del campus y en línea.,có sẵn,Sách giáo khoa có sẵn tại hiệu sách trong khuôn viên trường và trực tuyến.,มีอยู่,หนังสือเรียนมีอยู่ที่ร้านหนังสือในมหาวิทยาลัยและออนไลน์,tersedia,Buku teks tersedia di toko buku kampus dan secara daring.
aware,Students should be aware of the deadline for submitting applications.,인식하는,학생들은 지원서 제출 마감일을 인식해야 한다.,認識している,学生は出願の締め切りを認識しておくべきである。,意识到,学生应该意识到提交申请的截止日期。,consciente,Los estudiantes deben ser conscientes de la fecha límite para enviar solicitudes.,nhận thức,Sinh viên nên nhận thức được thời hạn nộp đơn.,ตระหนัก,นักศึกษาควรตระหนักถึงกำหนดเวลาส่งใบสมัคร,menyadari,Mahasiswa harus menyadari tenggat waktu pengajuan aplikasi.
behalf,The student council spoke on behalf of the entire student body.,대신하여,학생회는 전체 학생을 대신하여 발언했다.,代わりに,学生会は全学生を代表して発言した。,代表,学生会代表全体学生发言。,en nombre de,El consejo estudiantil habló en nombre de todo el cuerpo estudiantil.,thay mặt,Hội sinh viên đã phát biểu thay mặt toàn thể sinh viên.,ในนามของ,สภานักศึกษาพูดในนามของนักศึกษาทั้งหมด,atas nama,Dewan mahasiswa berbicara atas nama seluruh mahasiswa.
benefit,One benefit of studying abroad is gaining cross-cultural experience.,이점,유학의 이점 중 하나는 이문화 경험을 얻는 것이다.,利点,留学の利点の一つは異文化体験を得ることである。,好处,留学的一个好处是获得跨文化体验。,beneficio,Un beneficio de estudiar en el extranjero es adquirir experiencia intercultural.,lợi ích,Một lợi ích của việc du học là có được trải nghiệm đa văn hóa.,ประโยชน์,ประโยชน์หนึ่งของการเรียนต่างประเทศคือการได้รับประสบการณ์ข้ามวัฒนธรรม,manfaat,Satu manfaat belajar di luar negeri adalah mendapatkan pengalaman lintas budaya.
category,The research falls into the category of social sciences.,범주,이 연구는 사회과학 범주에 속한다.,カテゴリー,この研究は社会科学のカテゴリーに属する。,类别,这项研究属于社会科学类别。,categoría,La investigación cae en la categoría de ciencias sociales.,loại,Nghiên cứu này thuộc loại khoa học xã hội.,หมวดหมู่,การวิจัยนี้อยู่ในหมวดหมู่สังคมศาสตร์,kategori,Penelitian ini termasuk dalam kategori ilmu sosial.
chapter,Please read chapter five before the next lecture.,장,다음 강의 전에 5장을 읽어 주세요.,章,次の講義の前に第5章を読んでください。,章,请在下次讲座前阅读第五章。,capítulo,Por favor lean el capítulo cinco antes de la próxima clase.,chương,Hãy đọc chương năm trước buổi giảng tiếp theo.,บท,กรุณาอ่านบทที่ห้าก่อนการบรรยายครั้งต่อไป,bab,Silakan baca bab lima sebelum kuliah berikutnya.
circumstance,Under no circumstance should students plagiarize their assignments.,상황,어떤 상황에서도 학생들은 과제를 표절해서는 안 된다.,状況,いかなる状況でも学生は課題を盗作してはならない。,情况,在任何情况下学生都不应抄袭作业。,circunstancia,Bajo ninguna circunstancia los estudiantes deben plagiar sus tareas.,hoàn cảnh,Trong bất kỳ hoàn cảnh nào sinh viên cũng không được đạo văn bài tập.,สถานการณ์,ไม่ว่าสถานการณ์ใดนักศึกษาไม่ควรลอกงาน,keadaan,Dalam keadaan apa pun mahasiswa tidak boleh menjiplak tugas mereka.
civil,The course covers civil rights movements in American history.,시민의,이 과정은 미국 역사에서 시민권 운동을 다룬다.,市民の,この講座はアメリカ史における市民権運動を扱う。,公民的,本课程涵盖美国历史上的公民权利运动。,civil,El curso cubre los movimientos de derechos civiles en la historia estadounidense.,dân sự,Khóa học bao gồm các phong trào dân quyền trong lịch sử Hoa Kỳ.,พลเมือง,วิชานี้ครอบคลุมการเคลื่อนไหวเพื่อสิทธิพลเมืองในประวัติศาสตร์อเมริกา,sipil,Mata kuliah ini membahas gerakan hak-hak sipil dalam sejarah Amerika.
clause,The contract includes a clause about intellectual property rights.,조항,계약서에는 지적재산권에 관한 조항이 포함되어 있다.,条項,契約には知的財産権に関する条項が含まれている。,条款,合同中包含一条关于知识产权的条款。,cláusula,El contrato incluye una cláusula sobre los derechos de propiedad intelectual.,điều khoản,Hợp đồng bao gồm một điều khoản về quyền sở hữu trí tuệ.,ข้อ,สัญญามีข้อเกี่ยวกับสิทธิ์ในทรัพย์สินทางปัญญา,klausul,Kontrak tersebut mencakup klausul tentang hak kekayaan intelektual.
code,Students must follow the university's academic honor code.,규정,학생들은 대학의 학문적 명예 규정을 따라야 한다.,規則,学生は大学の学術倫理規則に従わなければならない。,准则,学生必须遵守大学的学术荣誉准则。,código,Los estudiantes deben seguir el código de honor académico de la universidad.,quy tắc,Sinh viên phải tuân theo quy tắc danh dự học thuật của trường đại học.,ระเบียบ,นักศึกษาต้องปฏิบัติตามระเบียบเกียรติยศทางวิชาการของมหาวิทยาลัย,kode,Mahasiswa harus mengikuti kode kehormatan akademik universitas.
commit,The university is committed to providing equal opportunities for all students.,전념하다,대학은 모든 학생에게 평등한 기회를 제공하는 데 전념하고 있다.,尽力する,大学はすべての学生に平等な機会を提供することに尽力している。,致力于,大学致力于为所有学生提供平等的机会。,comprometerse,La universidad se compromete a brindar igualdad de oportunidades para todos los estudiantes.,cam kết,Trường đại học cam kết cung cấp cơ hội bình đẳng cho tất cả sinh viên.,มุ่งมั่น,มหาวิทยาลัยมุ่งมั่นที่จะให้โอกาสเท่าเทียมกันสำหรับนักศึกษาทุกคน,berkomitmen,Universitas berkomitmen untuk memberikan kesempatan yang sama bagi semua mahasiswa.
communicate,Effective researchers must communicate their findings clearly.,소통하다,효과적인 연구자는 자신의 발견을 명확하게 소통해야 한다.,伝達する,有能な研究者は自分の発見を明確に伝達しなければならない。,交流,有效的研究者必须清楚地交流他们的发现。,comunicar,Los investigadores eficaces deben comunicar sus hallazgos con claridad.,truyền đạt,Nhà nghiên cứu hiệu quả phải truyền đạt phát hiện của mình một cách rõ ràng.,สื่อสาร,นักวิจัยที่มีประสิทธิภาพต้องสื่อสารผลการค้นพบอย่างชัดเจน,mengomunikasikan,Peneliti yang efektif harus mengomunikasikan temuan mereka dengan jelas.
community,The campus community organized a fundraiser for local schools.,공동체,캠퍼스 공동체는 지역 학교를 위한 모금 행사를 조직했다.,コミュニティ,キャンパスコミュニティは地元の学校のための募金活動を組織した。,社区,校园社区为当地学校组织了一次募捐活动。,comunidad,La comunidad del campus organizó una recaudación de fondos para escuelas locales.,cộng đồng,Cộng đồng trong khuôn viên trường đã tổ chức gây quỹ cho các trường địa phương.,ชุมชน,ชุมชนในมหาวิทยาลัยจัดกิจกรรมระดมทุนให้โรงเรียนในท้องถิ่น,komunitas,Komunitas kampus mengorganisir penggalangan dana untuk sekolah-sekolah lokal.
compare,The essay asks students to compare two different economic theories.,비교하다,에세이는 학생들에게 두 가지 다른 경제 이론을 비교하도록 요구한다.,比較する,このエッセイでは2つの異なる経済理論を比較するよう求めている。,比较,这篇文章要求学生比较两种不同的经济理论。,comparar,El ensayo pide a los estudiantes comparar dos teorías económicas diferentes.,so sánh,Bài luận yêu cầu sinh viên so sánh hai lý thuyết kinh tế khác nhau.,เปรียบเทียบ,บทความขอให้นักศึกษาเปรียบเทียบทฤษฎีเศรษฐศาสตร์สองทฤษฎี,membandingkan,Esai tersebut meminta mahasiswa membandingkan dua teori ekonomi yang berbeda.
complex,The professor explained the complex relationship between genes and behavior.,복잡한,교수는 유전자와 행동 사이의 복잡한 관계를 설명했다.,複雑な,教授は遺伝子と行動の複雑な関係を説明した。,复杂的,教授解释了基因和行为之间的复杂关系。,complejo,El profesor explicó la compleja relación entre genes y comportamiento.,phức tạp,Giáo sư đã giải thích mối quan hệ phức tạp giữa gen và hành vi.,ซับซ้อน,อาจารย์อธิบายความสัมพันธ์ที่ซับซ้อนระหว่างยีนกับพฤติกรรม,kompleks,Profesor menjelaskan hubungan kompleks antara gen dan perilaku.
component,Lab work is a key component of the biology course.,구성 요소,실험 실습은 생물학 과정의 핵심 구성 요소이다.,構成要素,実験は生物学コースの重要な構成要素である。,组成部分,实验是生物课程的关键组成部分。,componente,El trabajo de laboratorio es un componente clave del curso de biología.,thành phần,Thực hành phòng thí nghiệm là thành phần quan trọng của khóa sinh học.,องค์ประกอบ,งานห้องปฏิบัติการเป็นองค์ประกอบสำคัญของวิชาชีววิทยา,komponen,Kerja laboratorium adalah komponen kunci dari mata kuliah biologi.
concept,The concept of supply and demand is fundamental in economics.,개념,수요와 공급의 개념은 경제학에서 기본이다.,概念,需要と供給の概念は経済学の基本である。,概念,供求概念是经济学的基础。,concepto,El concepto de oferta y demanda es fundamental en economía.,khái niệm,Khái niệm cung và cầu là nền tảng trong kinh tế học.,แนวคิด,แนวคิดเรื่องอุปสงค์และอุปทานเป็นพื้นฐานในเศรษฐศาสตร์,konsep,Konsep penawaran dan permintaan adalah dasar dalam ilmu ekonomi.
conclude,The researcher concluded that the hypothesis was supported by the data.,결론짓다,연구자는 가설이 데이터에 의해 뒷받침된다고 결론지었다.,結論づける,研究者はデータが仮説を支持していると結論づけた。,得出结论,研究者得出结论认为假设得到了数据的支持。,concluir,El investigador concluyó que la hipótesis estaba respaldada por los datos.,kết luận,Nhà nghiên cứu kết luận rằng giả thuyết được dữ liệu hỗ trợ.,สรุป,นักวิจัยสรุปว่าสมมติฐานได้รับการสนับสนุนจากข้อมูล,menyimpulkan,Peneliti menyimpulkan bahwa hipotesis didukung oleh data.
conduct,The team will conduct a survey of first-year students.,수행하다,팀은 1학년 학생들을 대상으로 설문조사를 수행할 것이다.,実施する,チームは1年生を対象にアンケート調査を実施する。,进行,该团队将对一年级学生进行调查。,realizar,El equipo realizará una encuesta a los estudiantes de primer año.,tiến hành,Nhóm sẽ tiến hành một cuộc khảo sát sinh viên năm nhất.,ดำเนินการ,ทีมจะดำเนินการสำรวจนักศึกษาชั้นปีที่หนึ่ง,melakukan,Tim akan melakukan survei terhadap mahasiswa tahun pertama.
confirm,The registrar confirmed that the student had met all degree requirements.,확인하다,교무처는 학생이 모든 학위 요건을 충족했음을 확인했다.,確認する,教務課は学生がすべての学位要件を満たしたことを確認した。,确认,教务处确认该学生已满足所有学位要求。,confirmar,El registrador confirmó que el estudiante había cumplido todos los requisitos de grado.,xác nhận,Phòng đào tạo xác nhận sinh viên đã đáp ứng tất cả yêu cầu bằng cấp.,ยืนยัน,สำนักทะเบียนยืนยันว่านักศึกษาได้ครบถ้วนตามข้อกำหนดของปริญญา,mengonfirmasi,Bagian registrasi mengonfirmasi bahwa mahasiswa telah memenuhi semua persyaratan gelar.
consequence,One consequence of poor time management is lower grades.,결과,시간 관리 부족의 결과 중 하나는 낮은 성적이다.,結果,時間管理が不十分な結果の一つは成績の低下である。,后果,时间管理不善的一个后果是成绩下降。,consecuencia,Una consecuencia de la mala gestión del tiempo son las calificaciones más bajas.,hậu quả,Một hậu quả của việc quản lý thời gian kém là điểm thấp.,ผลที่ตามมา,ผลที่ตามมาของการจัดการเวลาที่ไม่ดีคือเกรดที่ต่ำลง,konsekuensi,Satu konsekuensi dari manajemen waktu yang buruk adalah nilai yang lebih rendah.
considerable,The scholarship provided considerable financial support.,상당한,장학금은 상당한 재정적 지원을 제공했다.,かなりの,奨学金はかなりの経済的支援を提供した。,相当大的,奖学金提供了相当大的经济支持。,considerable,La beca proporcionó un considerable apoyo financiero.,đáng kể,Học bổng đã cung cấp hỗ trợ tài chính đáng kể.,มาก,ทุนการศึกษาให้การสนับสนุนทางการเงินมาก,cukup besar,Beasiswa tersebut memberikan dukungan finansial yang cukup besar.
consist,"The final grade consists of exams, essays, and class participation.",구성되다,"최종 성적은 시험, 에세이, 수업 참여로 구성된다.",構成される,最終成績は試験、エッセイ、授業参加で構成される。,由…组成,期末成绩由考试、论文和课堂参与组成。,consistir,"La calificación final consiste en exámenes, ensayos y participación en clase.",bao gồm,"Điểm cuối kỳ bao gồm bài thi, bài luận và tham gia lớp học.",ประกอบด้วย,คะแนนสุดท้ายประกอบด้วยการสอบ เรียงความ และการมีส่วนร่วมในชั้นเรียน,terdiri dari,"Nilai akhir terdiri dari ujian, esai, dan partisipasi kelas."
constant,Constant practice is necessary to improve academic writing skills.,끊임없는,학술 글쓰기 실력을 향상시키기 위해서는 끊임없는 연습이 필요하다.,絶え間ない,学術的な文章力を向上させるには絶え間ない練習が必要である。,不断的,不断的练习对于提高学术写作技能是必要的。,constante,La práctica constante es necesaria para mejorar las habilidades de escritura académica.,liên tục,Thực hành liên tục là cần thiết để cải thiện kỹ năng viết học thuật.,สม่ำเสมอ,การฝึกฝนอย่างสม่ำเสมอเป็นสิ่งจำเป็นเพื่อพัฒนาทักษะการเขียนเชิงวิชาการ,konstan,Latihan yang konstan diperlukan untuk meningkatkan keterampilan menulis akademik.
constitute,Foreign students constitute about fifteen percent of the enrollment.,구성하다,유학생은 전체 등록 인원의 약 15%를 구성한다.,構成する,留学生は登録者の約15%を構成している。,构成,外国学生约占注册人数的百分之十五。,constituir,Los estudiantes extranjeros constituyen aproximadamente el quince por ciento de la matrícula.,chiếm,Sinh viên nước ngoài chiếm khoảng mười lăm phần trăm tổng số đăng ký.,เป็น,นักศึกษาต่างชาติเป็นประมาณร้อยละสิบห้าของจำนวนลงทะเบียน,merupakan,Mahasiswa asing merupakan sekitar lima belas persen dari pendaftaran.
construct,The students were asked to construct a model of the solar system.,구성하다,학생들은 태양계 모형을 구성하도록 요청받았다.,構築する,学生たちは太陽系のモデルを構築するよう求められた。,构建,学生们被要求构建一个太阳系模型。,construir,Se pidió a los estudiantes construir un modelo del sistema solar.,xây dựng,Sinh viên được yêu cầu xây dựng một mô hình hệ mặt trời.,สร้าง,นักศึกษาถูกขอให้สร้างแบบจำลองระบบสุริยะ,membangun,Mahasiswa diminta untuk membangun model tata surya.
consumer,The marketing course examines consumer behavior in digital markets.,소비자,마케팅 과정은 디지털 시장에서의 소비자 행동을 검토한다.,消費者,マーケティングコースはデジタル市場における消費者行動を検討する。,消费者,营销课程研究数字市场中的消费者行为。,consumidor,El curso de marketing examina el comportamiento del consumidor en mercados digitales.,người tiêu dùng,Khóa marketing nghiên cứu hành vi người tiêu dùng trong thị trường kỹ thuật số.,ผู้บริโภค,วิชาการตลาดศึกษาพฤติกรรมผู้บริโภคในตลาดดิจิทัล,konsumen,Mata kuliah pemasaran memeriksa perilaku konsumen di pasar digital.
contact,Students should contact their academic advisor for course registration help.,연락하다,학생들은 수강 신청 도움을 위해 학과 지도교수에게 연락해야 한다.,連絡する,学生はコース登録の支援のために学術アドバイザーに連絡するべきである。,联系,学生应联系学术顾问以获取选课帮助。,contactar,Los estudiantes deben contactar a su asesor académico para obtener ayuda con la inscripción.,liên hệ,Sinh viên nên liên hệ cố vấn học tập để được giúp đỡ đăng ký khóa học.,ติดต่อ,นักศึกษาควรติดต่ออาจารย์ที่ปรึกษาเพื่อขอความช่วยเหลือในการลงทะเบียน,menghubungi,Mahasiswa harus menghubungi penasihat akademik untuk bantuan pendaftaran mata kuliah.
context,It is important to understand the historical context of the literary work.,맥락,문학 작품의 역사적 맥락을 이해하는 것이 중요하다.,文脈,文学作品の歴史的文脈を理解することが重要である。,背景,了解文学作品的历史背景很重要。,contexto,Es importante comprender el contexto histórico de la obra literaria.,bối cảnh,Điều quan trọng là hiểu bối cảnh lịch sử của tác phẩm văn học.,บริบท,สิ่งสำคัญคือการเข้าใจบริบททางประวัติศาสตร์ของงานวรรณกรรม,konteks,Penting untuk memahami konteks sejarah dari karya sastra tersebut.
contrast,"In contrast to last year, enrollment has increased significantly.",대조,작년과 대조적으로 등록이 크게 증가했다.,対照,昨年と対照的に登録者数は大幅に増加した。,对比,与去年相比，注册人数显著增加。,contraste,"En contraste con el año pasado, la matrícula ha aumentado significativamente.",tương phản,"Trái ngược với năm ngoái, số lượng đăng ký đã tăng đáng kể.",ตรงกันข้าม,ตรงกันข้ามกับปีที่แล้ว จำนวนการลงทะเบียนเพิ่มขึ้นอย่างมาก,kontras,"Berbeda dengan tahun lalu, pendaftaran telah meningkat secara signifikan."
