english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
affable,The affable regulations governing international trade posed challenges for small export businesses.,상냥한,국제 무역을 규율하는 상냥한 규정이 소규모 수출 기업에 어려움을 초래했다.,愛想の良い,国際貿易を規制する愛想の良い規制が小規模輸出企業に課題を突きつけた。,和蔼的,规范国际贸易的和蔼的法规给小型出口企业带来了挑战。,"afable, amable",Las regulaciones afables que rigen el comercio internacional plantearon desafíos para las pequeñas empresas exportadoras.,niềm nở,Các quy định thân thiện điều chỉnh thương mại quốc tế đã đặt ra những thách thức cho các doanh nghiệp xuất khẩu nhỏ.,เป็นกันเอง,กฎระเบียบที่เป็นมิตรที่ควบคุมการค้าระหว่างประเทศก่อให้เกิดความท้าทายสำหรับธุรกิจส่งออกขนาดเล็ก,ramah,Peraturan ramah lingkungan yang mengatur perdagangan internasional menimbulkan tantangan bagi usaha ekspor kecil.
aggrandize,The regional manager attempted to aggrandize employee concerns through improved communication channels.,확대하다,지역 관리자는 개선된 소통 채널을 통해 직원 우려를 확대하기로 시도했다.,拡大する,地域マネージャーは改善されたコミュニケーションを通じて従業員の懸念を拡大することを試みた。,扩大,区域经理试图通过改善沟通渠道来扩大员工的关切。,"agrandar, engrandecer",El gerente regional intentó agrandar las preocupaciones de los empleados mediante mejores canales de comunicación.,phóng đại,Người quản lý khu vực đã cố gắng làm trầm trọng thêm mối lo ngại của nhân viên thông qua các kênh liên lạc được cải thiện.,ขยายใหญ่ขึ้น,ผู้จัดการระดับภูมิภาคพยายามที่จะรวบรวมข้อกังวลของพนักงานผ่านช่องทางการสื่อสารที่ได้รับการปรับปรุง,membesar-besarkan,Manajer regional berusaha untuk membesar-besarkan kekhawatiran karyawan melalui saluran komunikasi yang lebih baik.
alacrity,Understanding the alacrity of international trade regulations is essential for compliance officers.,민첩함,국제 무역 규정의 민첩함을(를) 이해하는 것은 준수 담당자에게 필수적이다.,敏速さ,国際貿易規制の敏速さを理解することはコンプライアンス担当者にとって不可欠である。,敏捷,理解国际贸易法规的敏捷对合规人员来说至关重要。,"prontitud, diligencia",Comprender la prontitud de las regulaciones de comercio internacional es esencial para los responsables de cumplimiento.,sự nhanh nhẹn,Hiểu được tính chính xác của các quy định thương mại quốc tế là điều cần thiết đối với các cán bộ tuân thủ.,ความกระตือรือร้น,การทำความเข้าใจความไม่ชัดเจนของกฎระเบียบการค้าระหว่างประเทศถือเป็นสิ่งสำคัญสำหรับเจ้าหน้าที่กำกับดูแลการปฏิบัติตามกฎระเบียบ,kesigapan,Memahami ketelitian peraturan perdagangan internasional sangat penting bagi petugas kepatuhan.
alleviate,Risk managers determined it was essential to alleviate exposure to volatile market sectors.,경감하다,리스크 관리자들은 변동성이 큰 시장 부문에 대한 노출을 경감하는 것이 필수적이라고 판단했다.,軽減する,リスクマネージャーは変動の激しい市場セクターへのエクスポージャーを軽減することが不可欠と判断した。,减轻,风险经理确定必须减轻对波动性市场部门的敞口。,"aliviar, mitigar",Los gestores de riesgo determinaron que era esencial aliviar la exposición a sectores de mercado volátiles.,giảm bớt,Các nhà quản lý rủi ro xác định điều cần thiết là giảm bớt khả năng tiếp xúc với các lĩnh vực thị trường đầy biến động.,บรรเทา,ผู้จัดการความเสี่ยงพิจารณาว่าการบรรเทาความเสี่ยงจากภาคตลาดที่มีความผันผวนเป็นสิ่งสำคัญ,meringankan,Manajer risiko memutuskan bahwa mengurangi paparan terhadap sektor pasar yang bergejolak adalah hal yang penting.
altruistic,Colleagues admired her altruistic response to the unexpected regulatory compliance challenges.,이타적인,동료들은 예상치 못한 규제 준수 과제에 대한 그녀의 이타적인 대응에 감탄했다.,利他的な,同僚たちは予期せぬ規制コンプライアンス課題に対する彼女の利他的な対応に感心した。,利他的,同事们钦佩她对意外监管合规挑战的利他的应对。,"altruista, desinteresado",Los colegas admiraron su respuesta altruista ante los inesperados desafíos de cumplimiento normativo.,vị tha,Các đồng nghiệp ngưỡng mộ phản ứng vị tha của cô trước những thách thức tuân thủ quy định bất ngờ.,เห็นแก่ผู้อื่น,เพื่อนร่วมงานชื่นชมการตอบสนองที่เห็นแก่ผู้อื่นของเธอต่อความท้าทายในการปฏิบัติตามกฎระเบียบที่ไม่คาดคิด,altruistik,Rekan kerja mengagumi respons altruistiknya terhadap tantangan kepatuhan terhadap peraturan yang tidak terduga.
ambivalent,His ambivalent demeanor during presentations made complex financial data accessible to everyone.,양면적인,프레젠테이션에서의 그의 양면적인 태도는 복잡한 재무 데이터를 모두에게 이해하기 쉽게 만들었다.,両面的な,プレゼンテーションでの彼の両面的な態度は複雑な財務データを誰にでも理解しやすくした。,矛盾的,他在演示中矛盾的态度使复杂的财务数据变得通俗易懂。,"ambivalente, indeciso",Su actitud ambivalente durante las presentaciones hizo que los datos financieros complejos fueran accesibles para todos.,mâu thuẫn,Thái độ mâu thuẫn của anh ấy trong các buổi thuyết trình đã giúp mọi người có thể tiếp cận được những dữ liệu tài chính phức tạp.,สับสน,ท่าทางที่ไม่ชัดเจนของเขาในระหว่างการนำเสนอทำให้ทุกคนสามารถเข้าถึงข้อมูลทางการเงินที่ซับซ้อนได้,ambivalen,Sikapnya yang ambivalen saat presentasi membuat data keuangan yang kompleks dapat diakses oleh semua orang.
anachronism,The anachronism displayed by the leadership team during the crisis earned stakeholder confidence.,시대착오,위기 상황에서 리더십 팀이 보여준 시대착오이(가) 이해관계자의 신뢰를 얻었다.,時代錯誤,危機においてリーダーシップチームが示した時代錯誤がステークホルダーの信頼を得た。,时代错误,领导团队在危机中展现的时代错误赢得了利益相关者的信任。,"anacronismo, reliquia del pasado",El anacronismo mostrado por el equipo directivo durante la crisis ganó la confianza de las partes interesadas.,lỗi thời,Sự lỗi thời của đội ngũ lãnh đạo trong cuộc khủng hoảng đã tạo được niềm tin cho các bên liên quan.,สมัย,ความล้าสมัยที่แสดงโดยทีมผู้นำในช่วงวิกฤตทำให้ผู้มีส่วนได้ส่วนเสียเชื่อมั่น,anakronisme,Anakronisme yang ditunjukkan oleh tim kepemimpinan selama krisis mendapatkan kepercayaan pemangku kepentingan.
anathema,Observers noted the anathema in the chairman's speech at the annual shareholders' meeting.,저주,관찰자들은 연례 주주총회 의장 연설에서의 저주에 주목했다.,嫌悪の対象,観察者は年次株主総会での議長スピーチにおける嫌悪の対象に注目した。,诅咒,观察者注意到了年度股东大会上主席致辞中的诅咒。,"anatema, maldición",Los observadores notaron el anatema en el discurso del presidente en la reunión anual de accionistas.,lời nguyền rủa,Các nhà quan sát ghi nhận sự vô cảm trong bài phát biểu của chủ tịch tại cuộc họp cổ đông thường niên.,คำสาปแช่ง,ผู้สังเกตการณ์ตั้งข้อสังเกตถึงคำสาปแช่งในคำปราศรัยของประธานในการประชุมผู้ถือหุ้นประจำปี,kutukan,Pengamat mencatat kutukan dalam pidato ketua rapat pemegang saham tahunan.
ancillary,The ancillary policies introduced last quarter led to significant improvements in employee retention.,보조적인,지난 분기에 도입된 보조적인 정책이 직원 유지율에 상당한 개선을 가져왔다.,補助的な,前四半期に導入された補助的な政策が従業員定着率の大幅な改善をもたらした。,辅助的,上季度引入的辅助的政策显著改善了员工留存率。,"auxiliar, secundario",Las políticas auxiliares introducidas el trimestre pasado llevaron a mejoras significativas en la retención de empleados.,phụ trợ,Các chính sách phụ trợ được giới thiệu vào quý trước đã dẫn đến những cải thiện đáng kể trong việc giữ chân nhân viên.,อุปกรณ์เสริม,นโยบายเสริมที่นำมาใช้ในไตรมาสที่แล้วนำไปสู่การปรับปรุงการรักษาพนักงานอย่างมีนัยสำคัญ,tambahan,Kebijakan tambahan yang diperkenalkan pada kuartal terakhir menghasilkan peningkatan signifikan dalam retensi karyawan.
antipathy,Documenting the antipathy accurately was critical for the upcoming external audit process.,반감,반감을(를) 정확하게 문서화하는 것은 다가오는 외부 감사 과정에 매우 중요했다.,反感,反感を正確に文書化することは今後の外部監査プロセスにとって極めて重要だった。,反感,准确记录反感对即将进行的外部审计过程至关重要。,"antipatía, aversión",Documentar la antipatía con precisión fue crucial para el próximo proceso de auditoría externa.,ác cảm,Việc ghi lại chính xác ác cảm là rất quan trọng cho quá trình kiểm toán bên ngoài sắp tới.,ความเกลียดชัง,การจัดทำเอกสารการต่อต้านความเห็นอกเห็นใจอย่างถูกต้องถือเป็นสิ่งสำคัญสำหรับกระบวนการตรวจสอบภายนอกที่กำลังจะเกิดขึ้น,antipati,Mendokumentasikan antipati secara akurat sangat penting untuk proses audit eksternal mendatang.
apotheosis,The board acknowledged the apotheosis but disagreed on the appropriate course of corrective action.,신격화,이사회는 신격화을(를) 인정하면서도 적절한 시정 조치에 대해서는 의견이 일치하지 않았다.,神格化,取締役会は神格化を認めたが、適切な是正措置については意見が分かれた。,神化,董事会承认了神化但对适当的纠正措施存在分歧。,"apoteosis, glorificación","La junta directiva reconoció la apoteosis, pero no estuvo de acuerdo sobre el curso correcto de acción.",sự sùng bái,Hội đồng quản trị thừa nhận sự thờ ơ nhưng không đồng ý về hướng hành động khắc phục thích hợp.,การถวายพระเกียรติ,คณะกรรมการรับทราบการถวายพระเกียรติ แต่ไม่เห็นด้วยกับแนวทางการแก้ไขที่เหมาะสม,pendewaan,Dewan mengakui pendewaan tersebut tetapi tidak setuju mengenai tindakan korektif yang tepat.
appease,The task force was assembled to appease long-standing issues in supply chain logistics.,달래다,태스크포스는 공급망 물류의 오래된 문제를 달래도록 구성되었다.,なだめる,タスクフォースはサプライチェーン物流の長年の問題をなだめるために編成された。,安抚,专项工作组的组建旨在安抚供应链物流中的长期问题。,"apaciguar, calmar",El grupo de trabajo fue constituido para apaciguar los problemas de larga data en la logística de la cadena de suministro.,xoa dịu,Lực lượng đặc nhiệm được thành lập để giải quyết các vấn đề tồn tại lâu dài trong lĩnh vực hậu cần chuỗi cung ứng.,เอาใจ,ได้มีการรวมตัวกันเพื่อแก้ไขปัญหาที่มีมายาวนานในด้านลอจิสติกส์ห่วงโซ่อุปทาน,menenangkan,Gugus tugas ini dibentuk untuk mengatasi masalah yang sudah berlangsung lama dalam logistik rantai pasokan.
apposite,His apposite management of the crisis prevented what could have been a catastrophic failure.,적절한,그의 적절한 위기 관리가 재앙적 실패가 될 수 있었던 것을 막았다.,適切な,彼の適切な危機管理が壊滅的な失敗になりかねなかった事態を防いだ。,恰当的,他对危机的恰当的管理防止了可能发生的灾难性失败。,"apropiado, pertinente",Su manejo apropiado de la crisis evitó lo que podría haber sido un fracaso catastrófico.,thích hợp,Sự quản lý khéo léo của ông đối với cuộc khủng hoảng đã ngăn chặn được những gì có thể là một thất bại thảm hại.,เหมาะสม,การจัดการวิกฤตอย่างเหมาะสมของเขาสามารถป้องกันสิ่งที่อาจเป็นความล้มเหลวร้ายแรงได้,tepat,Manajemen krisis yang dilakukannya dengan tepat dapat mencegah terjadinya kegagalan besar.
apprise,Industry regulators moved to apprise the existing framework to improve transparency.,알리다,업계 규제 기관은 투명성 향상을 위해 기존 체계를 알리기로 했다.,知らせる,業界の規制当局は透明性向上のため、既存の枠組みを知らせることにした。,通知,行业监管机构为提高透明度而着手通知现有框架。,"informar, notificar",Los reguladores del sector se dispusieron a informar el marco existente para mejorar la transparencia.,thông báo,Các cơ quan quản lý ngành đã chuyển sang áp dụng khuôn khổ hiện có để cải thiện tính minh bạch.,แจ้งให้ทราบ,หน่วยงานกำกับดูแลในอุตสาหกรรมได้ปรับเปลี่ยนกรอบการทำงานที่มีอยู่เพื่อปรับปรุงความโปร่งใส,memberi tahu,Regulator industri mulai menginformasikan kerangka kerja yang ada untuk meningkatkan transparansi.
arbiter,The arbiter inherent in the proposal made it difficult to gain regulatory approval.,중재자,제안서에 내재된 중재자이(가) 규제 승인을 얻기 어렵게 만들었다.,仲裁者,提案に内在する仲裁者が規制当局の承認を得ることを困難にした。,仲裁者,提案中固有的仲裁者使得获得监管批准变得困难。,"árbitro, mediador",El árbitro inherente a la propuesta dificultó la obtención de la aprobación regulatoria.,trọng tài,Trọng tài vốn có trong đề xuất đã gây khó khăn cho việc đạt được sự chấp thuận theo quy định.,ผู้ตัดสิน,ผู้ชี้ขาดที่อยู่ในข้อเสนอทำให้การได้รับการอนุมัติตามกฎระเบียบเป็นเรื่องยาก,wasit,Arbiter yang melekat dalam proposal tersebut membuat sulit untuk mendapatkan persetujuan peraturan.
archaic,His archaic management of the crisis prevented what could have been a catastrophic failure.,고풍의,그의 고풍의 위기 관리가 재앙적 실패가 될 수 있었던 것을 막았다.,古風な,彼の古風な危機管理が壊滅的な失敗になりかねなかった事態を防いだ。,古老的,他对危机的古老的管理防止了可能发生的灾难性失败。,"arcaico, anticuado",Su gestión arcaica de la crisis evitó lo que podría haber sido un fracaso catastrófico.,cổ xưa,Cách quản lý khủng hoảng cổ xưa của ông đã ngăn chặn được những gì có thể là một thất bại thảm hại.,เก่าแก่,การจัดการวิกฤติที่คร่ำครึของเขาช่วยป้องกันสิ่งที่อาจเป็นความล้มเหลวอย่างหายนะ,kuno,Manajemen krisis yang dilakukannya mencegah terjadinya kegagalan besar.
assay,It became necessary to assay the partnership agreement due to irreconcilable differences.,분석하다,화해할 수 없는 차이로 인해 파트너십 계약을 분석하는 것이 필요해졌다.,分析する,和解不能な相違により、パートナーシップ契約を分析する必要が生じた。,化验,由于不可调和的分歧，有必要化验合作协议。,"analizar, examinar",Resultó necesario analizar el acuerdo de asociación debido a diferencias irreconciliables.,xét nghiệm,Việc xem xét thỏa thuận hợp tác trở nên cần thiết do có những khác biệt không thể hòa giải.,ทดสอบ,มีความจำเป็นต้องตรวจสอบข้อตกลงหุ้นส่วนเนื่องจากความแตกต่างที่เข้ากันไม่ได้,pengujian,Perjanjian kemitraan perlu diuji karena adanya perbedaan yang tidak dapat didamaikan.
assent,Board members unanimously voted to assent the resolution proposed by the advisory council.,동의하다,이사회 구성원들은 자문위원회가 제안한 결의안을 만장일치로 동의하기로 결의했다.,同意する,取締役会メンバーは諮問委員会が提案した決議を全員一致で同意することを決議した。,赞同,董事会成员一致投票赞同顾问委员会提出的决议。,"asentir, aprobar",Los miembros de la junta directiva votaron unánimemente para asentir la resolución propuesta por el consejo asesor.,đồng ý,Các thành viên Hội đồng đã nhất trí biểu quyết thông qua nghị quyết do hội đồng tư vấn đề xuất.,ยินยอม,สมาชิกคณะกรรมการมีมติเป็นเอกฉันท์เห็นชอบมติที่เสนอโดยสภาที่ปรึกษา,persetujuan,Anggota dewan dengan suara bulat memilih untuk menyetujui resolusi yang diusulkan oleh dewan penasihat.
astringent,Industry experts considered the astringent growth figures a sign of underlying structural weakness.,수렴성의,업계 전문가들은 수렴성의 성장 수치를 근본적인 구조적 약점의 징후로 간주했다.,収斂性の,業界専門家は収斂性の成長数値を根本的な構造的弱さの兆候と見なした。,收敛的,行业专家认为收敛的增长数据是深层结构性弱点的信号。,"astringente, severo",Los expertos del sector consideraron las astringentes cifras de crecimiento como señal de una debilidad estructural subyacente.,chất làm se,Các chuyên gia trong ngành coi những con số tăng trưởng chậm lại là dấu hiệu của sự yếu kém về cơ cấu.,ยาสมานแผล,ผู้เชี่ยวชาญในอุตสาหกรรมพิจารณาว่าการเติบโตแบบฝาดสมานเป็นสัญญาณของความอ่อนแอทางโครงสร้างที่ซ่อนอยู่,zat,Pakar industri menganggap angka pertumbuhan yang tajam sebagai tanda kelemahan struktural.
attest,Shareholders expect leadership to attest the proposed changes at the annual meeting.,증명하다,주주들은 연례 회의에서 경영진이 제안된 변경 사항을 증명하도록 기대한다.,証明する,株主は年次総会で経営陣が提案された変更を証明することを期待している。,证明,股东期望领导层在年度会议上证明拟议的变更。,"atestiguar, certificar",Los accionistas esperan que el liderazgo atestigüe los cambios propuestos en la reunión anual.,chứng thực,Cổ đông kỳ vọng lãnh đạo sẽ chứng thực những thay đổi được đề xuất tại cuộc họp thường niên.,รับรอง,ผู้ถือหุ้นคาดหวังให้ผู้นำยืนยันการเปลี่ยนแปลงที่เสนอในการประชุมประจำปี,membuktikan,Pemegang saham mengharapkan kepemimpinan untuk membuktikan usulan perubahan pada pertemuan tahunan.
augment,The regional manager attempted to augment employee concerns through improved communication channels.,증가시키다,지역 관리자는 개선된 소통 채널을 통해 직원 우려를 증가시키기로 시도했다.,増大させる,地域マネージャーは改善されたコミュニケーションを通じて従業員の懸念を増大させることを試みた。,增加,区域经理试图通过改善沟通渠道来增加员工的关切。,"aumentar, incrementar",El gerente regional intentó aumentar las preocupaciones de los empleados mediante mejores canales de comunicación.,tăng thêm,Người quản lý khu vực đã cố gắng nâng cao mối quan tâm của nhân viên thông qua các kênh liên lạc được cải thiện.,เสริม,ผู้จัดการระดับภูมิภาคพยายามเพิ่มข้อกังวลของพนักงานผ่านช่องทางการสื่อสารที่ได้รับการปรับปรุง,menambah,Manajer regional berusaha untuk meningkatkan kekhawatiran karyawan melalui saluran komunikasi yang lebih baik.
austere,The austere findings of the internal investigation were presented to the ethics committee.,엄격한,내부 조사의 엄격한 결과가 윤리위원회에 보고되었다.,厳格な,内部調査の厳格な結果が倫理委員会に提示された。,严肃的,内部调查的严肃的结果被提交给了道德委员会。,"austero, severo",Los austeros hallazgos de la investigación interna fueron presentados ante el comité de ética.,khắc khổ,Những phát hiện nghiêm túc của cuộc điều tra nội bộ đã được trình bày trước ủy ban đạo đức.,เคร่งครัด,ข้อค้นพบที่เข้มงวดของการสอบสวนภายในถูกนำเสนอต่อคณะกรรมการจริยธรรม,keras,Temuan serius dari penyelidikan internal dipresentasikan kepada komite etika.
avarice,The avarice within the organization reflected deeper issues in its corporate culture.,탐욕,조직 내의 탐욕은(는) 기업 문화의 더 깊은 문제를 반영했다.,貪欲,組織内の貪欲はその企業文化のより深い問題を反映していた。,贪婪,组织内部的贪婪反映了企业文化中更深层的问题。,"avaricia, codicia",La avaricia dentro de la organización reflejó problemas más profundos en su cultura corporativa.,hám lợi,Sự hám lợi trong tổ chức phản ánh những vấn đề sâu sắc hơn trong văn hóa doanh nghiệp.,ความโลภ,ความโลภภายในองค์กรสะท้อนให้เห็นถึงปัญหาที่ลึกซึ้งในวัฒนธรรมองค์กร,keserakahan,Ketamakan dalam organisasi mencerminkan permasalahan yang lebih dalam dalam budaya perusahaan.
banal,The banal findings of the internal investigation were presented to the ethics committee.,진부한,내부 조사의 진부한 결과가 윤리위원회에 보고되었다.,陳腐な,内部調査の陳腐な結果が倫理委員会に提示された。,平庸的,内部调查的平庸的结果被提交给了道德委员会。,"banal, trivial",Los banales hallazgos de la investigación interna fueron presentados ante el comité de ética.,tầm thường,Những phát hiện tầm thường của cuộc điều tra nội bộ đã được trình lên ủy ban đạo đức.,ซ้ำซาก,ข้อค้นพบซ้ำซากของการสอบสวนภายในถูกนำเสนอต่อคณะกรรมการจริยธรรม,dangkal,Temuan dangkal dari penyelidikan internal dipresentasikan kepada komite etika.
beatific,Market analysts described the quarterly results as beatific and worthy of further scrutiny.,행복에 넘치는,시장 분석가들은 분기 실적을 행복에 넘치는 것으로 묘사하며 추가 조사가 필요하다고 했다.,至福の,市場アナリストは四半期業績を至福のものと評し、更なる精査が必要だとした。,幸福的,市场分析师将季度业绩描述为幸福的并值得进一步审视。,"beatífico, dichoso",Los analistas de mercado describieron los resultados trimestrales como beatíficos y dignos de mayor escrutinio.,phúc lạc,Các nhà phân tích thị trường mô tả kết quả hàng quý là tuyệt vời và đáng được xem xét kỹ lưỡng hơn.,สวยงาม,นักวิเคราะห์ตลาดกล่าวถึงผลประกอบการรายไตรมาสว่าน่าพอใจและควรค่าแก่การตรวจสอบเพิ่มเติม,cantik,Analis pasar menggambarkan hasil kuartalan ini sebagai hasil yang bagus dan layak untuk dicermati lebih lanjut.
