english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
contract,The company signed a contract with the supplier.,계약,회사는 공급업체와 계약을 체결했다.,契約,会社はサプライヤーと契約を結んだ。,合同,公司与供应商签订了合同。,contrato,La empresa firmó un contrato con el proveedor.,hợp đồng,Công ty đã ký hợp đồng với nhà cung cấp.,สัญญา,บริษัทลงนามในสัญญากับผู้จัดหา,kontrak,Perusahaan menandatangani kontrak dengan pemasok.
create,The government aims to create more jobs.,창출하다,정부는 더 많은 일자리를 창출하는 것을 목표로 한다.,創出する,政府はより多くの雇用を創出することを目指している。,创造,政府旨在创造更多就业机会。,crear,El gobierno busca crear más empleos.,tạo ra,Chính phủ nhằm tạo ra nhiều việc làm hơn.,สร้าง,รัฐบาลมุ่งสร้างงานเพิ่มขึ้น,menciptakan,Pemerintah bertujuan menciptakan lebih banyak lapangan kerja.
data,The data suggests a significant trend.,데이터,데이터는 중요한 추세를 시사한다.,データ,データは重要な傾向を示唆している。,数据,数据表明了一个显著的趋势。,datos,Los datos sugieren una tendencia significativa.,dữ liệu,Dữ liệu cho thấy một xu hướng đáng kể.,ข้อมูล,ข้อมูลบ่งชี้ถึงแนวโน้มที่สำคัญ,data,Data menunjukkan tren yang signifikan.
define,It is important to define key terms clearly.,정의하다,핵심 용어를 명확하게 정의하는 것이 중요하다.,定義する,重要な用語を明確に定義することが重要だ。,定义,清楚地定义关键术语很重要。,definir,Es importante definir los términos clave claramente.,định nghĩa,Việc định nghĩa rõ ràng các thuật ngữ chính là rất quan trọng.,นิยาม,สิ่งสำคัญคือต้องนิยามคำศัพท์สำคัญให้ชัดเจน,mendefinisikan,Penting untuk mendefinisikan istilah kunci dengan jelas.
derive,The word derives from Latin origins.,유래하다,그 단어는 라틴어에서 유래한다.,由来する,その単語はラテン語に由来する。,源于,这个词源于拉丁语。,derivar,La palabra deriva de orígenes latinos.,bắt nguồn,Từ này bắt nguồn từ tiếng Latinh.,มาจาก,คำนี้มาจากภาษาละติน,berasal,Kata tersebut berasal dari bahasa Latin.
distribute,The organization distributes food to the needy.,분배하다,그 단체는 빈곤층에게 음식을 분배한다.,分配する,その組織は困っている人々に食料を分配する。,分发,该组织向贫困者分发食物。,distribuir,La organización distribuye alimentos a los necesitados.,phân phối,Tổ chức phân phối thực phẩm cho người nghèo.,แจกจ่าย,องค์กรแจกจ่ายอาหารให้ผู้ยากไร้,mendistribusikan,Organisasi mendistribusikan makanan kepada yang membutuhkan.
economy,The economy has shown signs of recovery.,경제,경제가 회복 조짐을 보이고 있다.,経済,経済は回復の兆しを見せている。,经济,经济已显示出复苏迹象。,economía,La economía ha mostrado signos de recuperación.,nền kinh tế,Nền kinh tế đã cho thấy dấu hiệu phục hồi.,เศรษฐกิจ,เศรษฐกิจแสดงสัญญาณของการฟื้นตัว,ekonomi,Ekonomi telah menunjukkan tanda-tanda pemulihan.
environment,Protecting the environment is everyone's responsibility.,환경,환경 보호는 모두의 책임이다.,環境,環境を守ることは皆の責任だ。,环境,保护环境是每个人的责任。,medio ambiente,Proteger el medio ambiente es responsabilidad de todos.,môi trường,Bảo vệ môi trường là trách nhiệm của mọi người.,สิ่งแวดล้อม,การปกป้องสิ่งแวดล้อมเป็นความรับผิดชอบของทุกคน,lingkungan,Melindungi lingkungan adalah tanggung jawab semua orang.
establish,The university was established in 1900.,설립하다,그 대학은 1900년에 설립되었다.,設立する,その大学は1900年に設立された。,建立,这所大学成立于1900年。,establecer,La universidad fue establecida en 1900.,thành lập,Trường đại học được thành lập vào năm 1900.,ก่อตั้ง,มหาวิทยาลัยก่อตั้งขึ้นในปี 1900,mendirikan,Universitas didirikan pada tahun 1900.
estimate,Scientists estimate the population will grow by 10%.,추정하다,과학자들은 인구가 10% 증가할 것으로 추정한다.,推定する,科学者は人口が10%増加すると推定している。,估计,科学家估计人口将增长10%。,estimar,Los científicos estiman que la población crecerá un 10%.,ước tính,Các nhà khoa học ước tính dân số sẽ tăng 10%.,ประมาณการ,นักวิทยาศาสตร์ประมาณการว่าประชากรจะเพิ่มขึ้น 10%,memperkirakan,Para ilmuwan memperkirakan populasi akan tumbuh 10%.
evident,It is evident that climate change affects agriculture.,명백한,기후 변화가 농업에 영향을 미치는 것은 명백하다.,明白な,気候変動が農業に影響を与えることは明白だ。,明显的,气候变化影响农业这一点是显而易见的。,evidente,Es evidente que el cambio climático afecta la agricultura.,rõ ràng,Rõ ràng là biến đổi khí hậu ảnh hưởng đến nông nghiệp.,ชัดเจน,เห็นได้ชัดว่าการเปลี่ยนแปลงสภาพภูมิอากาศส่งผลต่อเกษตรกรรม,jelas,Jelas bahwa perubahan iklim mempengaruhi pertanian.
export,The country exports oil to many nations.,수출하다,그 나라는 많은 국가에 석유를 수출한다.,輸出する,その国は多くの国に石油を輸出している。,出口,该国向许多国家出口石油。,exportar,El país exporta petróleo a muchas naciones.,xuất khẩu,Đất nước xuất khẩu dầu sang nhiều quốc gia.,ส่งออก,ประเทศส่งออกน้ำมันไปยังหลายประเทศ,mengekspor,Negara mengekspor minyak ke banyak negara.
factor,Several factors contributed to the decline.,요인,여러 요인이 그 감소에 기여했다.,要因,いくつかの要因がその減少に寄与した。,因素,几个因素导致了下降。,factor,Varios factores contribuyeron al declive.,yếu tố,Một số yếu tố đã góp phần vào sự suy giảm.,ปัจจัย,หลายปัจจัยมีส่วนทำให้เกิดการลดลง,faktor,Beberapa faktor berkontribusi terhadap penurunan.
finance,The project is financed by the government.,재정; 자금을 대다,그 프로젝트는 정부에 의해 자금이 지원된다.,財政; 資金を出す,そのプロジェクトは政府が資金を提供している。,金融; 资助,该项目由政府资助。,finanzas; financiar,El proyecto es financiado por el gobierno.,tài chính; tài trợ,Dự án được chính phủ tài trợ.,การเงิน; ให้เงินทุน,โครงการนี้ได้รับเงินทุนจากรัฐบาล,keuangan; membiayai,Proyek ini dibiayai oleh pemerintah.
formula,The mathematical formula is used in engineering.,공식,그 수학 공식은 공학에서 사용된다.,公式,その数学の公式は工学で使われている。,公式,该数学公式用于工程学。,fórmula,La fórmula matemática se usa en ingeniería.,công thức,Công thức toán học được sử dụng trong kỹ thuật.,สูตร,สูตรทางคณิตศาสตร์ใช้ในวิศวกรรม,rumus,Rumus matematika digunakan dalam teknik.
function,The function of the brain is complex.,기능,뇌의 기능은 복잡하다.,機能,脳の機能は複雑だ。,功能,大脑的功能是复杂的。,función,La función del cerebro es compleja.,chức năng,Chức năng của não bộ rất phức tạp.,หน้าที่,หน้าที่ของสมองนั้นซับซ้อน,fungsi,Fungsi otak itu kompleks.
identify,Researchers identified the main cause of the disease.,식별하다,연구원들은 그 질병의 주요 원인을 식별했다.,特定する,研究者たちはその病気の主な原因を特定した。,识别,研究人员确定了该疾病的主要原因。,identificar,Los investigadores identificaron la causa principal de la enfermedad.,xác định,Các nhà nghiên cứu đã xác định nguyên nhân chính của bệnh.,ระบุ,นักวิจัยระบุสาเหตุหลักของโรค,mengidentifikasi,Para peneliti mengidentifikasi penyebab utama penyakit.
income,Average income has increased over the decade.,소득,평균 소득이 지난 10년간 증가했다.,収入,平均収入はこの10年間で増加した。,收入,过去十年平均收入有所增加。,ingreso,El ingreso promedio ha aumentado durante la década.,thu nhập,Thu nhập trung bình đã tăng trong thập kỷ qua.,รายได้,รายได้เฉลี่ยเพิ่มขึ้นในช่วงทศวรรษ,pendapatan,Pendapatan rata-rata telah meningkat selama dekade ini.
indicate,The results indicate a positive outcome.,나타내다,결과는 긍정적인 성과를 나타낸다.,示す,結果は肯定的な結果を示している。,表明,结果表明了积极的成果。,indicar,Los resultados indican un resultado positivo.,cho thấy,Kết quả cho thấy một kết quả tích cực.,บ่งบอก,ผลลัพธ์บ่งบอกถึงผลลัพธ์ที่ดี,menunjukkan,Hasilnya menunjukkan hasil yang positif.
individual,Each individual has unique learning needs.,개인,각 개인은 고유한 학습 요구가 있다.,個人,各個人には固有の学習ニーズがある。,个人,每个人都有独特的学习需求。,individuo,Cada individuo tiene necesidades de aprendizaje únicas.,cá nhân,Mỗi cá nhân đều có nhu cầu học tập riêng.,บุคคล,แต่ละบุคคลมีความต้องการในการเรียนรู้ที่เป็นเอกลักษณ์,individu,Setiap individu memiliki kebutuhan belajar yang unik.
interpret,Students must interpret the data correctly.,해석하다,학생들은 데이터를 정확하게 해석해야 한다.,解釈する,学生はデータを正しく解釈しなければならない。,解释,学生必须正确解释数据。,interpretar,Los estudiantes deben interpretar los datos correctamente.,diễn giải,Học sinh phải diễn giải dữ liệu một cách chính xác.,ตีความ,นักเรียนต้องตีความข้อมูลอย่างถูกต้อง,menafsirkan,Siswa harus menafsirkan data dengan benar.
involve,The project involves extensive research.,포함하다,그 프로젝트는 광범위한 연구를 포함한다.,伴う,そのプロジェクトには広範な研究が伴う。,涉及,该项目涉及广泛的研究。,involucrar,El proyecto involucra investigación extensa.,bao gồm,Dự án bao gồm nghiên cứu rộng rãi.,เกี่ยวข้อง,โครงการนี้เกี่ยวข้องกับการวิจัยอย่างกว้างขวาง,melibatkan,Proyek ini melibatkan penelitian yang luas.
issue,Climate change is a global issue.,문제,기후 변화는 세계적인 문제이다.,問題,気候変動は世界的な問題だ。,问题,气候变化是一个全球性问题。,asunto,El cambio climático es un asunto global.,vấn đề,Biến đổi khí hậu là một vấn đề toàn cầu.,ประเด็น,การเปลี่ยนแปลงสภาพภูมิอากาศเป็นประเด็นระดับโลก,isu,Perubahan iklim adalah isu global.
labour,The country faces a labour shortage.,노동,그 나라는 노동력 부족에 직면해 있다.,労働,その国は労働力不足に直面している。,劳动,该国面临劳动力短缺。,mano de obra,El país enfrenta una escasez de mano de obra.,lao động,Đất nước đối mặt với tình trạng thiếu lao động.,แรงงาน,ประเทศเผชิญกับปัญหาการขาดแคลนแรงงาน,tenaga kerja,Negara menghadapi kekurangan tenaga kerja.
legal,Legal reforms are necessary for progress.,법적인,법적 개혁은 발전을 위해 필요하다.,法的な,法的改革は進歩に必要だ。,法律的,法律改革对进步是必要的。,legal,Las reformas legales son necesarias para el progreso.,pháp lý,Cải cách pháp lý là cần thiết cho sự tiến bộ.,ทางกฎหมาย,การปฏิรูปทางกฎหมายจำเป็นสำหรับความก้าวหน้า,hukum,Reformasi hukum diperlukan untuk kemajuan.
legislate,The parliament legislated new environmental laws.,입법하다,의회는 새로운 환경법을 입법했다.,立法する,議会は新しい環境法を立法した。,立法,议会立法通过了新的环境法。,legislar,El parlamento legisló nuevas leyes ambientales.,lập pháp,Quốc hội đã lập pháp các luật môi trường mới.,ออกกฎหมาย,รัฐสภาออกกฎหมายสิ่งแวดล้อมใหม่,membuat undang-undang,Parlemen membuat undang-undang lingkungan baru.
major,Education is a major factor in development.,주요한,교육은 발전의 주요한 요인이다.,主要な,教育は発展の主要な要因だ。,主要的,教育是发展的主要因素。,principal,La educación es un factor principal en el desarrollo.,chính,Giáo dục là yếu tố chính trong phát triển.,สำคัญ,การศึกษาเป็นปัจจัยสำคัญในการพัฒนา,utama,Pendidikan adalah faktor utama dalam pembangunan.
method,The scientific method requires careful observation.,방법,과학적 방법은 세심한 관찰을 요구한다.,方法,科学的方法は慎重な観察を必要とする。,方法,科学方法需要仔细观察。,método,El método científico requiere observación cuidadosa.,phương pháp,Phương pháp khoa học đòi hỏi quan sát cẩn thận.,วิธีการ,วิธีการทางวิทยาศาสตร์ต้องการการสังเกตอย่างรอบคอบ,metode,Metode ilmiah memerlukan pengamatan yang cermat.
occur,Earthquakes frequently occur in this region.,발생하다,지진이 이 지역에서 빈번하게 발생한다.,発生する,地震がこの地域で頻繁に発生する。,发生,地震在该地区频繁发生。,ocurrir,Los terremotos ocurren frecuentemente en esta región.,xảy ra,Động đất thường xảy ra ở khu vực này.,เกิดขึ้น,แผ่นดินไหวเกิดขึ้นบ่อยในภูมิภาคนี้,terjadi,Gempa bumi sering terjadi di wilayah ini.
percent,About 30 percent of students study abroad.,퍼센트,약 30퍼센트의 학생들이 해외에서 공부한다.,パーセント,約30パーセントの学生が海外で学ぶ。,百分之,大约百分之三十的学生出国留学。,por ciento,Alrededor del 30 por ciento de estudiantes estudian en el extranjero.,phần trăm,Khoảng 30 phần trăm sinh viên du học.,เปอร์เซ็นต์,ประมาณ 30 เปอร์เซ็นต์ของนักศึกษาเรียนต่อต่างประเทศ,persen,Sekitar 30 persen siswa belajar di luar negeri.
period,The study covers a ten-year period.,기간,그 연구는 10년의 기간을 다룬다.,期間,その研究は10年間を対象としている。,时期,该研究涵盖了十年的时期。,período,El estudio cubre un período de diez años.,giai đoạn,Nghiên cứu bao gồm giai đoạn mười năm.,ช่วงเวลา,การศึกษาครอบคลุมช่วงเวลาสิบปี,periode,Studi ini mencakup periode sepuluh tahun.
policy,Government policy affects the education system.,정책,정부 정책은 교육 체계에 영향을 미친다.,政策,政府の政策は教育制度に影響を与える。,政策,政府政策影响教育系统。,política,La política gubernamental afecta el sistema educativo.,chính sách,Chính sách của chính phủ ảnh hưởng đến hệ thống giáo dục.,นโยบาย,นโยบายของรัฐบาลส่งผลต่อระบบการศึกษา,kebijakan,Kebijakan pemerintah mempengaruhi sistem pendidikan.
principle,The principle of equality is fundamental.,원칙,평등의 원칙은 근본적이다.,原則,平等の原則は基本的だ。,原则,平等原则是根本性的。,principio,El principio de igualdad es fundamental.,nguyên tắc,Nguyên tắc bình đẳng là nền tảng.,หลักการ,หลักการความเท่าเทียมเป็นสิ่งพื้นฐาน,prinsip,Prinsip kesetaraan adalah fundamental.
proceed,We will proceed with the experiment tomorrow.,진행하다,우리는 내일 실험을 진행할 것이다.,進める,私たちは明日実験を進める。,进行,我们明天将继续进行实验。,proceder,Procederemos con el experimento mañana.,tiến hành,Chúng tôi sẽ tiến hành thí nghiệm vào ngày mai.,ดำเนินการ,เราจะดำเนินการทดลองในวันพรุ่งนี้,melanjutkan,Kami akan melanjutkan eksperimen besok.
process,The manufacturing process is highly automated.,과정,제조 과정은 고도로 자동화되어 있다.,過程,製造過程は高度に自動化されている。,过程,制造过程高度自动化。,proceso,El proceso de fabricación está altamente automatizado.,quy trình,Quy trình sản xuất được tự động hóa cao.,กระบวนการ,กระบวนการผลิตเป็นระบบอัตโนมัติสูง,proses,Proses manufaktur sangat terotomatisasi.
require,The course requires prior knowledge of statistics.,요구하다,그 과목은 통계학에 대한 사전 지식을 요구한다.,要求する,そのコースは統計学の予備知識を必要とする。,要求,该课程要求具备统计学基础知识。,requerir,El curso requiere conocimiento previo de estadística.,yêu cầu,Khóa học yêu cầu kiến thức trước về thống kê.,ต้องการ,หลักสูตรต้องการความรู้พื้นฐานด้านสถิติ,memerlukan,Kursus ini memerlukan pengetahuan statistik sebelumnya.
research,The research findings were published in a journal.,연구,그 연구 결과는 저널에 발표되었다.,研究,その研究結果はジャーナルに発表された。,研究,研究结果发表在期刊上。,investigación,Los hallazgos de la investigación se publicaron en una revista.,nghiên cứu,Kết quả nghiên cứu đã được công bố trên tạp chí.,การวิจัย,ผลการวิจัยได้รับการตีพิมพ์ในวารสาร,penelitian,Temuan penelitian diterbitkan di jurnal.
respond,The government must respond to public concerns.,응답하다,정부는 대중의 우려에 응답해야 한다.,対応する,政府は国民の懸念に対応しなければならない。,回应,政府必须回应公众的关切。,responder,El gobierno debe responder a las preocupaciones públicas.,phản hồi,Chính phủ phải phản hồi mối quan ngại của công chúng.,ตอบสนอง,รัฐบาลต้องตอบสนองต่อความกังวลของประชาชน,menanggapi,Pemerintah harus menanggapi kekhawatiran publik.
role,Technology plays a vital role in education.,역할,기술은 교육에서 중요한 역할을 한다.,役割,テクノロジーは教育において重要な役割を果たす。,角色,技术在教育中发挥着至关重要的作用。,papel,La tecnología juega un papel vital en la educación.,vai trò,Công nghệ đóng vai trò quan trọng trong giáo dục.,บทบาท,เทคโนโลยีมีบทบาทสำคัญในการศึกษา,peran,Teknologi memainkan peran penting dalam pendidikan.
section,The final section of the report summarizes findings.,부분,보고서의 마지막 부분은 결과를 요약한다.,セクション,レポートの最終セクションは結果をまとめている。,部分,报告的最后部分总结了发现。,sección,La sección final del informe resume los hallazgos.,phần,Phần cuối của báo cáo tóm tắt các phát hiện.,ส่วน,ส่วนสุดท้ายของรายงานสรุปผลการวิจัย,bagian,Bagian akhir laporan merangkum temuan.
sector,The private sector drives economic growth.,부문,민간 부문이 경제 성장을 이끈다.,部門,民間部門が経済成長を牽引する。,部门,私营部门推动经济增长。,sector,El sector privado impulsa el crecimiento económico.,khu vực,Khu vực tư nhân thúc đẩy tăng trưởng kinh tế.,ภาคส่วน,ภาคเอกชนขับเคลื่อนการเติบโตทางเศรษฐกิจ,sektor,Sektor swasta mendorong pertumbuhan ekonomi.
significant,The study found a significant difference.,중요한; 상당한,그 연구는 상당한 차이를 발견했다.,重要な,その研究は有意な差を発見した。,显著的,研究发现了显著差异。,significativo,El estudio encontró una diferencia significativa.,đáng kể,Nghiên cứu phát hiện sự khác biệt đáng kể.,สำคัญ,การศึกษาพบความแตกต่างที่สำคัญ,signifikan,Studi ini menemukan perbedaan yang signifikan.
similar,The two theories are similar in many ways.,유사한,두 이론은 여러 면에서 유사하다.,類似した,二つの理論は多くの点で類似している。,相似的,这两个理论在许多方面是相似的。,similar,Las dos teorías son similares en muchos aspectos.,tương tự,Hai lý thuyết tương tự nhau ở nhiều khía cạnh.,คล้ายกัน,ทฤษฎีทั้งสองคล้ายกันในหลายด้าน,serupa,Kedua teori tersebut serupa dalam banyak hal.
source,The internet is a major source of information.,출처,인터넷은 주요 정보 출처이다.,出典,インターネットは主要な情報源だ。,来源,互联网是主要的信息来源。,fuente,Internet es una fuente principal de información.,nguồn,Internet là nguồn thông tin chính.,แหล่ง,อินเทอร์เน็ตเป็นแหล่งข้อมูลหลัก,sumber,Internet adalah sumber informasi utama.
specific,The report addresses specific issues in healthcare.,구체적인,그 보고서는 의료 분야의 구체적인 문제를 다룬다.,具体的な,そのレポートは医療の具体的な問題を扱っている。,具体的,报告涉及医疗保健的具体问题。,específico,El informe aborda problemas específicos en salud.,cụ thể,Báo cáo đề cập đến các vấn đề cụ thể trong y tế.,เฉพาะเจาะจง,รายงานกล่าวถึงปัญหาเฉพาะในด้านสาธารณสุข,spesifik,Laporan membahas masalah spesifik dalam perawatan kesehatan.
structure,The organizational structure needs to be reformed.,구조,조직 구조는 개혁되어야 한다.,構造,組織構造は改革される必要がある。,结构,组织结构需要改革。,estructura,La estructura organizacional necesita ser reformada.,cấu trúc,Cấu trúc tổ chức cần được cải cách.,โครงสร้าง,โครงสร้างองค์กรต้องได้รับการปฏิรูป,struktur,Struktur organisasi perlu direformasi.
theory,Darwin's theory of evolution changed science.,이론,다윈의 진화론은 과학을 변화시켰다.,理論,ダーウィンの進化論は科学を変えた。,理论,达尔文的进化论改变了科学。,teoría,La teoría de la evolución de Darwin cambió la ciencia.,lý thuyết,Lý thuyết tiến hóa của Darwin đã thay đổi khoa học.,ทฤษฎี,ทฤษฎีวิวัฒนาการของดาร์วินเปลี่ยนแปลงวิทยาศาสตร์,teori,Teori evolusi Darwin mengubah ilmu pengetahuan.
vary,Results may vary depending on the conditions.,다양하다,결과는 조건에 따라 다양할 수 있다.,異なる,結果は条件によって異なる場合がある。,变化,结果可能因条件不同而变化。,variar,Los resultados pueden variar según las condiciones.,thay đổi,Kết quả có thể thay đổi tùy theo điều kiện.,แตกต่าง,ผลลัพธ์อาจแตกต่างกันไปตามเงื่อนไข,bervariasi,Hasil dapat bervariasi tergantung pada kondisi.
achieve,Students can achieve success through hard work.,달성하다,학생들은 노력을 통해 성공을 달성할 수 있다.,達成する,学生は努力を通じて成功を達成できる。,达到,学生可以通过努力取得成功。,lograr,Los estudiantes pueden lograr el éxito con trabajo duro.,đạt được,Học sinh có thể đạt được thành công thông qua sự chăm chỉ.,บรรลุ,นักเรียนสามารถบรรลุความสำเร็จได้ด้วยการทำงานหนัก,mencapai,Siswa dapat mencapai kesuksesan melalui kerja keras.
acquire,She acquired new skills during the internship.,습득하다,그녀는 인턴십 동안 새로운 기술을 습득했다.,習得する,彼女はインターンシップ中に新しいスキルを習得した。,获得,她在实习期间获得了新技能。,adquirir,Ella adquirió nuevas habilidades durante la pasantía.,tiếp thu,Cô ấy đã tiếp thu các kỹ năng mới trong thời gian thực tập.,ได้มา,เธอได้รับทักษะใหม่ระหว่างฝึกงาน,memperoleh,Dia memperoleh keterampilan baru selama magang.
administer,The organization administers scholarship programs.,관리하다,그 기관은 장학금 프로그램을 관리한다.,管理する,その組織は奨学金プログラムを管理している。,管理,该组织管理奖学金项目。,administrar,La organización administra programas de becas.,quản lý,Tổ chức quản lý các chương trình học bổng.,บริหาร,องค์กรบริหารโครงการทุนการศึกษา,mengelola,Organisasi mengelola program beasiswa.
affect,Pollution affects public health significantly.,영향을 미치다,오염은 공중 보건에 크게 영향을 미친다.,影響する,汚染は公衆衛生に大きく影響する。,影响,污染严重影响公共健康。,afectar,La contaminación afecta significativamente la salud pública.,ảnh hưởng,Ô nhiễm ảnh hưởng đáng kể đến sức khỏe cộng đồng.,ส่งผลกระทบ,มลพิษส่งผลกระทบอย่างมากต่อสุขภาพของประชาชน,mempengaruhi,Polusi mempengaruhi kesehatan masyarakat secara signifikan.
appropriate,It is appropriate to cite sources in academic writing.,적절한,학술 글쓰기에서 출처를 인용하는 것이 적절하다.,適切な,学術論文で出典を引用するのは適切だ。,适当的,在学术写作中引用来源是适当的。,apropiado,Es apropiado citar fuentes en la escritura académica.,phù hợp,Trích dẫn nguồn trong viết học thuật là phù hợp.,เหมาะสม,การอ้างอิงแหล่งที่มาในงานเขียนเชิงวิชาการเป็นสิ่งที่เหมาะสม,tepat,Adalah tepat untuk mengutip sumber dalam penulisan akademis.
aspect,We need to consider every aspect of the problem.,측면,우리는 문제의 모든 측면을 고려해야 한다.,側面,問題のあらゆる側面を考慮する必要がある。,方面,我们需要考虑问题的每个方面。,aspecto,Necesitamos considerar cada aspecto del problema.,khía cạnh,Chúng ta cần xem xét mọi khía cạnh của vấn đề.,แง่มุม,เราต้องพิจารณาทุกแง่มุมของปัญหา,aspek,Kita perlu mempertimbangkan setiap aspek dari masalah.
