english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
enormous,The project requires an enormous budget.,막대한,그 프로젝트는 막대한 예산을 필요로 한다.,莫大な,そのプロジェクトは莫大な予算を必要とする。,巨大的,该项目需要巨大的预算。,enorme,El proyecto requiere un presupuesto enorme.,khổng lồ,Dự án đòi hỏi một ngân sách khổng lồ.,มหาศาล,โครงการนี้ต้องการงบประมาณมหาศาล,sangat besar,Proyek ini memerlukan anggaran yang sangat besar.
exclude,The price excludes tax and delivery fees.,제외하다,가격에는 세금과 배송비가 제외되어 있다.,除外する,価格には税金と配送料が含まれていない。,不包括,价格不包括税费和运费。,excluir,El precio excluye impuestos y gastos de envío.,không bao gồm,Giá không bao gồm thuế và phí giao hàng.,ไม่รวม,ราคานี้ไม่รวมภาษีและค่าจัดส่ง,tidak termasuk,Harga tidak termasuk pajak dan biaya pengiriman.
exhibit,The museum will exhibit works by local artists.,전시하다,박물관은 지역 예술가들의 작품을 전시할 것이다.,展示する,美術館は地元のアーティストの作品を展示する。,展出,博物馆将展出当地艺术家的作品。,exhibir,El museo exhibirá obras de artistas locales.,trưng bày,Bảo tàng sẽ trưng bày các tác phẩm của nghệ sĩ địa phương.,จัดแสดง,พิพิธภัณฑ์จะจัดแสดงผลงานของศิลปินท้องถิ่น,memamerkan,Museum akan memamerkan karya seniman lokal.
exploit,Companies should not exploit their workers.,착취하다,회사는 근로자를 착취해서는 안 된다.,搾取する,企業は労働者を搾取すべきではない。,剥削,公司不应该剥削工人。,explotar,Las empresas no deben explotar a sus trabajadores.,bóc lột,Các công ty không nên bóc lột công nhân của họ.,เอาเปรียบ,บริษัทไม่ควรเอาเปรียบพนักงาน,mengeksploitasi,Perusahaan tidak boleh mengeksploitasi pekerja mereka.
foundation,Education is the foundation of a successful career.,기초,교육은 성공적인 경력의 기초이다.,基礎,教育は成功するキャリアの基礎である。,基础,教育是成功职业的基础。,fundamento,La educación es el fundamento de una carrera exitosa.,nền tảng,Giáo dục là nền tảng của một sự nghiệp thành công.,รากฐาน,การศึกษาเป็นรากฐานของอาชีพที่ประสบความสำเร็จ,fondasi,Pendidikan adalah fondasi karier yang sukses.
generate,Solar panels generate electricity from sunlight.,생성하다,태양 전지판은 햇빛에서 전기를 생성한다.,生成する,ソーラーパネルは太陽光から電気を生成する。,产生,太阳能电池板利用阳光产生电力。,generar,Los paneles solares generan electricidad a partir de la luz solar.,tạo ra,Tấm pin mặt trời tạo ra điện từ ánh sáng mặt trời.,ผลิต,แผงโซลาร์เซลล์ผลิตไฟฟ้าจากแสงแดด,menghasilkan,Panel surya menghasilkan listrik dari sinar matahari.
identical,The twins wore identical outfits.,동일한,쌍둥이는 동일한 옷을 입었다.,同一の,双子は同じ服を着ていた。,相同的,双胞胎穿着相同的衣服。,idéntico,Los gemelos llevaban trajes idénticos.,giống hệt,Cặp sinh đôi mặc trang phục giống hệt nhau.,เหมือนกัน,ฝาแฝดสวมชุดที่เหมือนกัน,identik,Si kembar mengenakan pakaian yang identik.
illustrate,The chart illustrates the trend clearly.,설명하다,그 차트는 추세를 명확히 설명한다.,説明する,そのチャートは傾向を明確に説明している。,说明,图表清楚地说明了趋势。,ilustrar,El gráfico ilustra la tendencia claramente.,minh họa,Biểu đồ minh họa xu hướng một cách rõ ràng.,แสดงให้เห็น,แผนภูมิแสดงให้เห็นแนวโน้มอย่างชัดเจน,mengilustrasikan,Grafik tersebut mengilustrasikan tren dengan jelas.
impact,Pollution has a serious impact on public health.,영향,오염은 공중 보건에 심각한 영향을 미친다.,影響,汚染は公衆衛生に深刻な影響を及ぼす。,影响,污染对公共健康有严重影响。,impacto,La contaminación tiene un impacto serio en la salud pública.,tác động,Ô nhiễm có tác động nghiêm trọng đến sức khỏe cộng đồng.,ผลกระทบ,มลพิษมีผลกระทบร้ายแรงต่อสุขภาพของประชาชน,dampak,Polusi memiliki dampak serius pada kesehatan masyarakat.
implement,The school plans to implement a new curriculum.,시행하다,학교는 새 교육과정을 시행할 계획이다.,実施する,学校は新しいカリキュラムを実施する予定だ。,实施,学校计划实施新的课程。,implementar,La escuela planea implementar un nuevo currículo.,thực hiện,Trường học dự định thực hiện chương trình giảng dạy mới.,ดำเนินการ,โรงเรียนวางแผนที่จะดำเนินการหลักสูตรใหม่,menerapkan,Sekolah berencana menerapkan kurikulum baru.
imply,His silence seemed to imply agreement.,암시하다,그의 침묵은 동의를 암시하는 것 같았다.,暗示する,彼の沈黙は同意を暗示しているようだった。,暗示,他的沉默似乎暗示着同意。,implicar,Su silencio parecía implicar acuerdo.,ngụ ý,Sự im lặng của anh ấy dường như ngụ ý sự đồng ý.,บ่งบอก,ความเงียบของเขาดูเหมือนจะบ่งบอกถึงความเห็นด้วย,menyiratkan,Diamnya tampak menyiratkan persetujuan.
impose,The government imposed new regulations on businesses.,부과하다,정부가 기업에 새로운 규제를 부과했다.,課す,政府は企業に新しい規制を課した。,施加,政府对企业实施了新的法规。,imponer,El gobierno impuso nuevas regulaciones a las empresas.,áp đặt,Chính phủ áp đặt các quy định mới lên doanh nghiệp.,กำหนด,รัฐบาลกำหนดกฎระเบียบใหม่ให้กับธุรกิจ,memberlakukan,Pemerintah memberlakukan regulasi baru pada bisnis.
indicate,The results indicate a need for further research.,나타내다,결과는 추가 연구의 필요성을 나타낸다.,示す,結果はさらなる研究の必要性を示している。,表明,结果表明需要进一步研究。,indicar,Los resultados indican la necesidad de más investigación.,chỉ ra,Kết quả chỉ ra sự cần thiết phải nghiên cứu thêm.,บ่งชี้,ผลลัพธ์บ่งชี้ถึงความจำเป็นในการวิจัยเพิ่มเติม,menunjukkan,Hasil menunjukkan perlunya penelitian lebih lanjut.
individual,Each individual has unique strengths.,개인,각 개인은 고유한 강점을 가지고 있다.,個人,各個人には独自の強みがある。,个人,每个人都有独特的优势。,individuo,Cada individuo tiene fortalezas únicas.,cá nhân,Mỗi cá nhân đều có những điểm mạnh riêng.,บุคคล,แต่ละบุคคลมีจุดแข็งเฉพาะตัว,individu,Setiap individu memiliki kekuatan yang unik.
inevitable,Change is inevitable in any organization.,불가피한,변화는 어떤 조직에서도 불가피하다.,避けられない,変化はどの組織においても避けられない。,不可避免的,变化在任何组织中都是不可避免的。,inevitable,El cambio es inevitable en cualquier organización.,không thể tránh khỏi,Sự thay đổi là không thể tránh khỏi trong bất kỳ tổ chức nào.,หลีกเลี่ยงไม่ได้,การเปลี่ยนแปลงเป็นสิ่งที่หลีกเลี่ยงไม่ได้ในทุกองค์กร,tak terelakkan,Perubahan tak terelakkan dalam organisasi mana pun.
initial,The initial reaction was mostly positive.,초기의,초기 반응은 대부분 긍정적이었다.,初期の,初期の反応はおおむね好意的だった。,最初的,最初的反应大多是积极的。,inicial,La reacción inicial fue mayormente positiva.,ban đầu,Phản ứng ban đầu phần lớn là tích cực.,เริ่มต้น,ปฏิกิริยาเริ่มต้นส่วนใหญ่เป็นไปในทางบวก,awal,Reaksi awal sebagian besar positif.
instance,In this instance the rule does not apply.,경우,이 경우에는 그 규칙이 적용되지 않는다.,場合,この場合にはルールは適用されない。,情况,在这种情况下，规则不适用。,caso,En este caso la regla no aplica.,trường hợp,Trong trường hợp này quy tắc không áp dụng.,กรณี,ในกรณีนี้กฎไม่ได้บังคับใช้,kasus,Dalam kasus ini aturan tidak berlaku.
integrate,The company plans to integrate the two systems.,통합하다,회사는 두 시스템을 통합할 계획이다.,統合する,会社は2つのシステムを統合する予定だ。,整合,公司计划整合两个系统。,integrar,La empresa planea integrar los dos sistemas.,tích hợp,Công ty dự định tích hợp hai hệ thống.,รวมเข้าด้วยกัน,บริษัทวางแผนที่จะรวมสองระบบเข้าด้วยกัน,mengintegrasikan,Perusahaan berencana mengintegrasikan kedua sistem tersebut.
interpret,It is difficult to interpret the data accurately.,해석하다,데이터를 정확하게 해석하기 어렵다.,解釈する,データを正確に解釈するのは難しい。,解释,准确解释数据是困难的。,interpretar,Es difícil interpretar los datos con precisión.,diễn giải,Thật khó để diễn giải dữ liệu một cách chính xác.,ตีความ,เป็นเรื่องยากที่จะตีความข้อมูลได้อย่างถูกต้อง,menafsirkan,Sulit untuk menafsirkan data secara akurat.
investigation,The police launched an investigation into the crime.,조사,경찰이 범죄에 대한 조사를 시작했다.,調査,警察は犯罪の調査を開始した。,调查,警方对这起犯罪展开了调查。,investigación,La policía lanzó una investigación sobre el crimen.,cuộc điều tra,Cảnh sát đã tiến hành cuộc điều tra về vụ tội phạm.,การสืบสวน,ตำรวจเปิดการสืบสวนเกี่ยวกับอาชญากรรม,penyelidikan,Polisi meluncurkan penyelidikan atas kejahatan tersebut.
isolate,Scientists isolated the virus in the lab.,격리하다,과학자들이 실험실에서 바이러스를 격리했다.,隔離する,科学者たちは研究室でウイルスを隔離した。,隔离,科学家们在实验室中分离了病毒。,aislar,Los científicos aislaron el virus en el laboratorio.,cô lập,Các nhà khoa học đã cô lập virus trong phòng thí nghiệm.,แยก,นักวิทยาศาสตร์แยกไวรัสในห้องปฏิบัติการ,mengisolasi,Para ilmuwan mengisolasi virus di laboratorium.
justify,How can you justify such a high price?,정당화하다,어떻게 그렇게 높은 가격을 정당화할 수 있습니까?,正当化する,どうしてそのような高い価格を正当化できるのですか？,证明…合理,你怎么能证明这么高的价格是合理的？,justificar,¿Cómo puedes justificar un precio tan alto?,biện minh,Làm sao bạn có thể biện minh cho mức giá cao như vậy?,ให้เหตุผล,คุณจะให้เหตุผลสำหรับราคาที่สูงขนาดนี้ได้อย่างไร,membenarkan,Bagaimana Anda bisa membenarkan harga setinggi itu?
liberal,The university has a liberal admissions policy.,자유로운,그 대학은 자유로운 입학 정책을 가지고 있다.,寛大な,その大学は寛大な入学方針を持っている。,开明的,该大学有开明的招生政策。,liberal,La universidad tiene una política de admisiones liberal.,tự do,Trường đại học có chính sách tuyển sinh tự do.,เสรี,มหาวิทยาลัยมีนโยบายการรับเข้าเรียนที่เสรี,liberal,Universitas tersebut memiliki kebijakan penerimaan yang liberal.
likewise,He worked hard and likewise encouraged others.,마찬가지로,그는 열심히 일했고 마찬가지로 다른 사람들을 격려했다.,同様に,彼は一生懸命働き、同様に他の人々を励ました。,同样地,他努力工作，同样也鼓励他人。,igualmente,Trabajó duro e igualmente animó a otros.,tương tự,Anh ấy làm việc chăm chỉ và tương tự cũng khuyến khích người khác.,เช่นเดียวกัน,เขาทำงานหนักและเช่นเดียวกันก็ให้กำลังใจคนอื่น,demikian juga,Dia bekerja keras dan demikian juga mendorong orang lain.
maintain,It is important to maintain a healthy diet.,유지하다,건강한 식단을 유지하는 것이 중요하다.,維持する,健康的な食事を維持することが重要だ。,保持,保持健康的饮食很重要。,mantener,Es importante mantener una dieta saludable.,duy trì,Điều quan trọng là duy trì một chế độ ăn uống lành mạnh.,รักษา,เป็นสิ่งสำคัญที่จะรักษาอาหารที่ดีต่อสุขภาพ,menjaga,Penting untuk menjaga pola makan yang sehat.
major,Traffic is a major problem in big cities.,주요한,교통은 대도시의 주요 문제이다.,主要な,交通は大都市の主要な問題だ。,主要的,交通是大城市的主要问题。,importante,El tráfico es un problema importante en las grandes ciudades.,chính,Giao thông là vấn đề chính ở các thành phố lớn.,สำคัญ,การจราจรเป็นปัญหาสำคัญในเมืองใหญ่,utama,Lalu lintas adalah masalah utama di kota-kota besar.
mechanism,The lock has a simple mechanism.,메커니즘,그 자물쇠는 간단한 메커니즘을 가지고 있다.,仕組み,その錠には簡単な仕組みがある。,机制,这把锁有一个简单的机制。,mecanismo,La cerradura tiene un mecanismo simple.,cơ chế,Ổ khóa có một cơ chế đơn giản.,กลไก,กุญแจมีกลไกที่เรียบง่าย,mekanisme,Kunci itu memiliki mekanisme yang sederhana.
moreover,The plan is effective; moreover it is affordable.,게다가,그 계획은 효과적이다; 게다가 저렴하다.,さらに,その計画は効果的だ。さらに手頃な価格だ。,而且,该计划有效；而且价格实惠。,además,El plan es efectivo; además es asequible.,hơn nữa,Kế hoạch này hiệu quả; hơn nữa nó có giá phải chăng.,ยิ่งกว่านั้น,แผนนี้มีประสิทธิภาพ ยิ่งกว่านั้นยังราคาไม่แพง,selain itu,Rencana itu efektif; selain itu terjangkau.
notion,The notion that money brings happiness is debatable.,개념,돈이 행복을 가져다준다는 개념은 논쟁의 여지가 있다.,概念,お金が幸せをもたらすという概念は議論の余地がある。,观念,金钱带来幸福的观念是有争议的。,noción,La noción de que el dinero trae felicidad es discutible.,quan niệm,Quan niệm rằng tiền bạc mang lại hạnh phúc là điều đáng tranh luận.,ความคิด,ความคิดที่ว่าเงินนำมาซึ่งความสุขเป็นเรื่องที่ถกเถียงได้,gagasan,Gagasan bahwa uang membawa kebahagiaan masih bisa diperdebatkan.
obtain,You can obtain a visa at the embassy.,얻다,대사관에서 비자를 얻을 수 있다.,取得する,大使館でビザを取得できる。,获得,你可以在大使馆获得签证。,obtener,Puedes obtener una visa en la embajada.,có được,Bạn có thể xin được visa tại đại sứ quán.,ได้รับ,คุณสามารถขอวีซ่าได้ที่สถานทูต,memperoleh,Anda bisa memperoleh visa di kedutaan.
obvious,The answer was obvious to everyone.,명백한,그 답은 모든 사람에게 명백했다.,明らかな,答えは皆にとって明らかだった。,明显的,答案对每个人来说都是显而易见的。,obvio,La respuesta era obvia para todos.,rõ ràng,Câu trả lời rõ ràng với tất cả mọi người.,ชัดเจน,คำตอบนั้นชัดเจนสำหรับทุกคน,jelas,Jawabannya jelas bagi semua orang.
occupy,The factory occupies a large area of land.,차지하다,공장은 넓은 면적의 토지를 차지한다.,占める,工場は広い面積の土地を占めている。,占据,工厂占据了大面积的土地。,ocupar,La fábrica ocupa una gran extensión de terreno.,chiếm,Nhà máy chiếm một diện tích đất lớn.,ครอบครอง,โรงงานครอบครองพื้นที่ขนาดใหญ่,menempati,Pabrik itu menempati area tanah yang luas.
ongoing,The construction work is still ongoing.,진행 중인,건설 작업은 아직 진행 중이다.,進行中の,建設工事はまだ進行中だ。,正在进行的,建设工作仍在进行中。,en curso,La obra de construcción todavía está en curso.,đang diễn ra,Công trình xây dựng vẫn đang diễn ra.,กำลังดำเนินอยู่,งานก่อสร้างยังคงดำเนินอยู่,sedang berlangsung,Pekerjaan konstruksi masih sedang berlangsung.
option,We have several options to choose from.,선택지,우리에게는 선택할 수 있는 여러 가지 옵션이 있다.,選択肢,選択できるいくつかの選択肢がある。,选择,我们有几个选择。,opción,Tenemos varias opciones para elegir.,lựa chọn,Chúng ta có nhiều lựa chọn.,ตัวเลือก,เรามีหลายตัวเลือกให้เลือก,pilihan,Kami memiliki beberapa pilihan untuk dipilih.
outcome,The outcome of the election surprised many.,결과,선거 결과는 많은 사람을 놀라게 했다.,結果,選挙の結果は多くの人を驚かせた。,结果,选举结果让许多人感到惊讶。,resultado,El resultado de la elección sorprendió a muchos.,kết quả,Kết quả cuộc bầu cử đã khiến nhiều người ngạc nhiên.,ผลลัพธ์,ผลลัพธ์ของการเลือกตั้งทำให้หลายคนประหลาดใจ,hasil,Hasil pemilu mengejutkan banyak orang.
overall,The overall quality of the product is excellent.,전반적인,제품의 전반적인 품질이 우수하다.,全体的な,製品の全体的な品質は優れている。,总体的,产品的总体质量非常好。,general,La calidad general del producto es excelente.,tổng thể,Chất lượng tổng thể của sản phẩm là tuyệt vời.,โดยรวม,คุณภาพโดยรวมของผลิตภัณฑ์ยอดเยี่ยม,keseluruhan,Kualitas keseluruhan produk ini sangat baik.
participate,All students are encouraged to participate.,참여하다,모든 학생이 참여하도록 권장된다.,参加する,すべての学生が参加することが奨励されている。,参与,鼓励所有学生参与。,participar,Se anima a todos los estudiantes a participar.,tham gia,Tất cả sinh viên được khuyến khích tham gia.,เข้าร่วม,นักเรียนทุกคนได้รับการสนับสนุนให้เข้าร่วม,berpartisipasi,Semua siswa didorong untuk berpartisipasi.
perceive,People perceive risk differently.,인식하다,사람들은 위험을 다르게 인식한다.,認識する,人々はリスクを異なる方法で認識する。,感知,人们对风险的感知不同。,percibir,Las personas perciben el riesgo de manera diferente.,nhận thức,Mọi người nhận thức rủi ro khác nhau.,รับรู้,ผู้คนรับรู้ความเสี่ยงต่างกัน,memandang,Orang memandang risiko secara berbeda.
