english,example,ko_meaning,ko_example,ja_meaning,ja_example,zh_meaning,zh_example,es_meaning,es_example,vi_meaning,vi_example,th_meaning,th_example,id_meaning,id_example
corroborate,New findings corroborate the original theory proposed in 1998.,확증하다,새로운 발견은 1998년에 제안된 원래 이론을 확증한다.,裏付ける,新たな発見は1998年に提唱された元の理論を裏付ける。,证实,新发现证实了1998年提出的原始理论。,corroborar,Los nuevos hallazgos corroboran la teoría original propuesta en 1998.,chứng thực,Những phát hiện mới chứng thực lý thuyết ban đầu được đề xuất năm 1998.,ยืนยัน,การค้นพบใหม่ยืนยันทฤษฎีดั้งเดิมที่เสนอในปี 1998,menguatkan,Temuan baru menguatkan teori asli yang diajukan pada tahun 1998.
demographic,Demographic shifts have altered the political landscape of the region.,인구통계학적,인구통계학적 변화가 해당 지역의 정치적 지형을 변화시켰다.,人口統計学的,人口統計学的変化がその地域の政治的状況を変えた。,人口统计的,人口统计变化改变了该地区的政治格局。,demográfico,Los cambios demográficos han alterado el panorama político de la región.,nhân khẩu học,Những thay đổi nhân khẩu học đã làm thay đổi bối cảnh chính trị của khu vực.,ประชากรศาสตร์,การเปลี่ยนแปลงทางประชากรศาสตร์ได้เปลี่ยนแปลงภูมิทัศน์ทางการเมืองของภูมิภาค,demografis,Pergeseran demografis telah mengubah lanskap politik kawasan tersebut.
dichotomy,The dichotomy between nature and nurture remains a central debate.,이분법,본성과 양육 사이의 이분법은 여전히 핵심적인 논쟁으로 남아 있다.,二分法,自然と育ちの二分法は依然として中心的な議論である。,二分法,先天与后天的二分法仍然是一个核心争论。,dicotomía,La dicotomía entre naturaleza y crianza sigue siendo un debate central.,sự phân đôi,Sự phân đôi giữa bản chất và nuôi dưỡng vẫn là một cuộc tranh luận trung tâm.,ทวิภาวะ,ทวิภาวะระหว่างธรรมชาติและการเลี้ยงดูยังคงเป็นการถกเถียงหลัก,dikotomi,Dikotomi antara bawaan dan lingkungan tetap menjadi perdebatan utama.
disseminate,Researchers disseminate their findings through peer-reviewed journals.,보급하다,연구자들은 동료 심사 학술지를 통해 연구 결과를 보급한다.,普及する,研究者は査読付き雑誌を通じて研究結果を普及させる。,传播,研究人员通过同行评审期刊传播他们的研究结果。,difundir,Los investigadores difunden sus hallazgos a través de revistas revisadas por pares.,phổ biến,Các nhà nghiên cứu phổ biến kết quả của họ thông qua các tạp chí bình duyệt.,เผยแพร่,นักวิจัยเผยแพร่ผลการค้นพบผ่านวารสารที่ผ่านการตรวจสอบโดยผู้เชี่ยวชาญ,menyebarkan,Peneliti menyebarkan temuan mereka melalui jurnal yang ditinjau sejawat.
ecosystem,The coral reef ecosystem supports thousands of marine species.,생태계,산호초 생태계는 수천 종의 해양 생물을 지원한다.,生態系,サンゴ礁の生態系は何千もの海洋種を支えている。,生态系统,珊瑚礁生态系统支撑着数千种海洋物种。,ecosistema,El ecosistema del arrecife de coral sustenta miles de especies marinas.,hệ sinh thái,Hệ sinh thái rạn san hô hỗ trợ hàng nghìn loài sinh vật biển.,ระบบนิเวศ,ระบบนิเวศแนวปะการังสนับสนุนสิ่งมีชีวิตทางทะเลนับพันชนิด,ekosistem,Ekosistem terumbu karang mendukung ribuan spesies laut.
efficacy,Clinical trials measure the efficacy of new pharmaceutical drugs.,효능,임상 시험은 신약의 효능을 측정한다.,有効性,臨床試験は新薬の有効性を測定する。,功效,临床试验衡量新药的功效。,eficacia,Los ensayos clínicos miden la eficacia de nuevos fármacos.,hiệu quả,Các thử nghiệm lâm sàng đo lường hiệu quả của thuốc mới.,ประสิทธิภาพ,การทดลองทางคลินิกวัดประสิทธิภาพของยาใหม่,kemanjuran,Uji klinis mengukur kemanjuran obat farmasi baru.
endemic,Malaria is endemic to many tropical regions of the world.,풍토병의,말라리아는 세계의 많은 열대 지역에 풍토병이다.,風土病の,マラリアは世界の多くの熱帯地域に風土病である。,地方性的,疟疾是世界许多热带地区的地方性疾病。,endémico,La malaria es endémica en muchas regiones tropicales del mundo.,đặc hữu,Sốt rét là bệnh đặc hữu ở nhiều vùng nhiệt đới trên thế giới.,เฉพาะถิ่น,มาลาเรียเป็นโรคเฉพาะถิ่นในหลายภูมิภาคเขตร้อนของโลก,endemik,Malaria bersifat endemik di banyak wilayah tropis dunia.
episodic,Episodic memory allows humans to recall specific past events.,일화적인,일화적 기억은 인간이 특정 과거 사건을 회상할 수 있게 한다.,エピソード的な,エピソード記憶により人間は特定の過去の出来事を思い出せる。,情景的,情景记忆使人类能够回忆特定的过去事件。,episódico,La memoria episódica permite a los humanos recordar eventos pasados específicos.,theo giai đoạn,Trí nhớ theo giai đoạn cho phép con người nhớ lại các sự kiện cụ thể trong quá khứ.,เป็นตอนๆ,ความจำแบบเป็นตอนๆ ช่วยให้มนุษย์สามารถระลึกถึงเหตุการณ์ในอดีตได้,episodik,Memori episodik memungkinkan manusia mengingat peristiwa masa lalu tertentu.
erosion,Soil erosion is accelerated by deforestation and poor land management.,침식,토양 침식은 삼림 벌채와 부실한 토지 관리로 가속화된다.,浸食,土壌浸食は森林伐採と不適切な土地管理によって加速される。,侵蚀,森林砍伐和不良的土地管理加速了土壤侵蚀。,erosión,La erosión del suelo se acelera por la deforestación y la mala gestión del terreno.,xói mòn,Xói mòn đất được đẩy nhanh bởi nạn phá rừng và quản lý đất đai kém.,การกัดเซาะ,การกัดเซาะดินถูกเร่งโดยการตัดไม้ทำลายป่าและการจัดการที่ดินที่ไม่ดี,erosi,Erosi tanah dipercepat oleh deforestasi dan pengelolaan lahan yang buruk.
fermentation,Fermentation is a metabolic process that produces alcohol from sugars.,발효,발효는 당에서 알코올을 생성하는 대사 과정이다.,発酵,発酵は糖からアルコールを生成する代謝プロセスである。,发酵,发酵是一种从糖类产生酒精的代谢过程。,fermentación,La fermentación es un proceso metabólico que produce alcohol a partir de azúcares.,lên men,Lên men là một quá trình trao đổi chất tạo ra rượu từ đường.,การหมัก,การหมักเป็นกระบวนการเผาผลาญที่ผลิตแอลกอฮอล์จากน้ำตาล,fermentasi,Fermentasi adalah proses metabolisme yang menghasilkan alkohol dari gula.
geothermal,Geothermal energy harnesses heat from beneath the Earth's surface.,지열의,지열 에너지는 지구 표면 아래의 열을 활용한다.,地熱の,地熱エネルギーは地球の表面下の熱を利用する。,地热的,地热能利用地球表面下的热量。,geotérmico,La energía geotérmica aprovecha el calor del subsuelo terrestre.,địa nhiệt,Năng lượng địa nhiệt khai thác nhiệt từ bên dưới bề mặt Trái Đất.,ความร้อนใต้พิภพ,พลังงานความร้อนใต้พิภพใช้ความร้อนจากใต้พื้นผิวโลก,geotermal,Energi geotermal memanfaatkan panas dari bawah permukaan bumi.
herbivore,Herbivores play a crucial role in controlling plant population growth.,초식동물,초식동물은 식물 개체군 성장을 조절하는 데 중요한 역할을 한다.,草食動物,草食動物は植物の個体数増加を制御する重要な役割を果たす。,食草动物,食草动物在控制植物种群增长方面起着关键作用。,herbívoro,Los herbívoros desempeñan un papel crucial en el control del crecimiento vegetal.,động vật ăn cỏ,Động vật ăn cỏ đóng vai trò quan trọng trong việc kiểm soát sự tăng trưởng của quần thể thực vật.,สัตว์กินพืช,สัตว์กินพืชมีบทบาทสำคัญในการควบคุมการเติบโตของประชากรพืช,herbivora,Herbivora memainkan peran penting dalam mengendalikan pertumbuhan populasi tanaman.
homogeneous,The solution must be homogeneous for the experiment to yield accurate results.,균질의,실험에서 정확한 결과를 얻으려면 용액이 균질해야 한다.,均質な,実験で正確な結果を得るには溶液は均質でなければならない。,均匀的,溶液必须是均匀的才能使实验产生准确的结果。,homogéneo,La solución debe ser homogénea para que el experimento dé resultados precisos.,đồng nhất,Dung dịch phải đồng nhất để thí nghiệm cho kết quả chính xác.,เป็นเนื้อเดียวกัน,สารละลายต้องเป็นเนื้อเดียวกันเพื่อให้การทดลองได้ผลลัพธ์ที่แม่นยำ,homogen,Larutan harus homogen agar eksperimen menghasilkan hasil yang akurat.
indigenous,Indigenous populations possess invaluable knowledge of local ecosystems.,토착의,토착 주민들은 지역 생태계에 대한 귀중한 지식을 보유하고 있다.,先住民の,先住民は地域の生態系に関する貴重な知識を持っている。,土著的,土著居民拥有关于当地生态系统的宝贵知识。,indígena,Las poblaciones indígenas poseen un conocimiento invaluable de los ecosistemas locales.,bản địa,Các dân tộc bản địa sở hữu kiến thức vô giá về hệ sinh thái địa phương.,พื้นเมือง,ประชากรพื้นเมืองมีความรู้อันล้ำค่าเกี่ยวกับระบบนิเวศท้องถิ่น,pribumi,Populasi pribumi memiliki pengetahuan yang sangat berharga tentang ekosistem lokal.
isotope,Carbon-14 is a radioactive isotope used in archaeological dating.,동위원소,탄소-14는 고고학적 연대 측정에 사용되는 방사성 동위원소이다.,同位体,炭素14は考古学的年代測定に使用される放射性同位体である。,同位素,碳-14是一种用于考古测年的放射性同位素。,isótopo,El carbono-14 es un isótopo radiactivo utilizado en la datación arqueológica.,đồng vị,Carbon-14 là một đồng vị phóng xạ được sử dụng trong xác định niên đại khảo cổ.,ไอโซโทป,คาร์บอน-14 เป็นไอโซโทปกัมมันตรังสีที่ใช้ในการหาอายุทางโบราณคดี,isotop,Karbon-14 adalah isotop radioaktif yang digunakan dalam penanggalan arkeologi.
kinetic,Kinetic energy increases proportionally with the square of velocity.,운동의,운동 에너지는 속도의 제곱에 비례하여 증가한다.,運動の,運動エネルギーは速度の二乗に比例して増加する。,动能的,动能与速度的平方成正比增加。,cinético,La energía cinética aumenta proporcionalmente con el cuadrado de la velocidad.,động học,Năng lượng động học tăng tỷ lệ thuận với bình phương vận tốc.,จลน์,พลังงานจลน์เพิ่มขึ้นตามสัดส่วนกับกำลังสองของความเร็ว,kinetik,Energi kinetik meningkat secara proporsional dengan kuadrat kecepatan.
metamorphosis,Metamorphosis transforms a caterpillar into a butterfly through distinct stages.,변태,변태는 뚜렷한 단계를 거쳐 애벌레를 나비로 변화시킨다.,変態,変態は明確な段階を経て毛虫を蝶に変える。,变态发育,变态发育通过不同阶段将毛虫转变为蝴蝶。,metamorfosis,La metamorfosis transforma una oruga en mariposa a través de etapas distintas.,biến thái,Biến thái biến đổi sâu bướm thành bướm qua các giai đoạn riêng biệt.,การเปลี่ยนแปลงรูปร่าง,การเปลี่ยนแปลงรูปร่างเปลี่ยนหนอนผีเสื้อเป็นผีเสื้อผ่านขั้นตอนที่แตกต่าง,metamorfosis,Metamorfosis mengubah ulat menjadi kupu-kupu melalui tahapan yang berbeda.
mitigate,Governments must mitigate the effects of climate change through policy reform.,완화하다,정부는 정책 개혁을 통해 기후 변화의 영향을 완화해야 한다.,軽減する,政府は政策改革を通じて気候変動の影響を軽減しなければならない。,减轻,政府必须通过政策改革来减轻气候变化的影响。,mitigar,Los gobiernos deben mitigar los efectos del cambio climático mediante reformas.,giảm thiểu,Chính phủ phải giảm thiểu tác động của biến đổi khí hậu thông qua cải cách chính sách.,บรรเทา,รัฐบาลต้องบรรเทาผลกระทบของการเปลี่ยนแปลงสภาพภูมิอากาศผ่านการปฏิรูปนโยบาย,mengurangi,Pemerintah harus mengurangi dampak perubahan iklim melalui reformasi kebijakan.
nomenclature,Binomial nomenclature assigns every species a two-part Latin name.,명명법,이명법은 모든 종에 두 부분으로 된 라틴어 이름을 부여한다.,命名法,二名法はすべての種に二部構成のラテン語名を付ける。,命名法,二名法为每个物种分配一个由两部分组成的拉丁名。,nomenclatura,La nomenclatura binomial asigna a cada especie un nombre latino de dos partes.,danh pháp,Danh pháp nhị thức gán cho mỗi loài một tên Latin gồm hai phần.,การตั้งชื่อ,การตั้งชื่อแบบทวินามกำหนดชื่อภาษาละตินสองส่วนให้กับทุกสปีชีส์,nomenklatur,Nomenklatur binomial memberikan setiap spesies nama Latin dua bagian.
paradigm,The discovery of DNA shifted the paradigm in biological sciences.,패러다임,DNA의 발견은 생물과학의 패러다임을 전환시켰다.,パラダイム,DNAの発見は生物科学のパラダイムを転換させた。,范式,DNA的发现改变了生物科学的范式。,paradigma,El descubrimiento del ADN cambió el paradigma en las ciencias biológicas.,mô hình,Việc phát hiện DNA đã thay đổi mô hình trong khoa học sinh học.,กระบวนทัศน์,การค้นพบดีเอ็นเอเปลี่ยนกระบวนทัศน์ในวิทยาศาสตร์ชีวภาพ,paradigma,Penemuan DNA mengubah paradigma dalam ilmu biologi.
quantitative,Quantitative analysis uses numerical data to identify statistical patterns.,정량적인,정량적 분석은 통계적 패턴을 식별하기 위해 수치 데이터를 사용한다.,定量的な,定量分析は統計的パターンを特定するために数値データを使用する。,定量的,定量分析使用数值数据来识别统计模式。,cuantitativo,El análisis cuantitativo usa datos numéricos para identificar patrones estadísticos.,định lượng,Phân tích định lượng sử dụng dữ liệu số để xác định các mô hình thống kê.,เชิงปริมาณ,การวิเคราะห์เชิงปริมาณใช้ข้อมูลตัวเลขเพื่อระบุรูปแบบทางสถิติ,kuantitatif,Analisis kuantitatif menggunakan data numerik untuk mengidentifikasi pola statistik.
replicate,Scientists must replicate experiments to validate their conclusions.,재현하다,과학자들은 결론을 검증하기 위해 실험을 재현해야 한다.,再現する,科学者は結論を検証するために実験を再現しなければならない。,复制,科学家必须复制实验以验证其结论。,replicar,Los científicos deben replicar experimentos para validar sus conclusiones.,tái tạo,Các nhà khoa học phải tái tạo thí nghiệm để xác nhận kết luận của họ.,ทำซ้ำ,นักวิทยาศาสตร์ต้องทำซ้ำการทดลองเพื่อยืนยันข้อสรุป,mereplikasi,Ilmuwan harus mereplikasi eksperimen untuk memvalidasi kesimpulan mereka.
symbiosis,Symbiosis between clownfish and sea anemones benefits both species.,공생,흰동가리와 말미잘 사이의 공생은 두 종 모두에게 이롭다.,共生,クマノミとイソギンチャクの共生は両種に利益をもたらす。,共生,小丑鱼和海葵之间的共生关系对两个物种都有益。,simbiosis,La simbiosis entre peces payaso y anémonas beneficia a ambas especies.,cộng sinh,Cộng sinh giữa cá hề và hải quỳ mang lại lợi ích cho cả hai loài.,การอยู่ร่วมกัน,การอยู่ร่วมกันระหว่างปลาการ์ตูนและดอกไม้ทะเลเป็นประโยชน์ต่อทั้งสองสปีชีส์,simbiosis,Simbiosis antara ikan badut dan anemon laut menguntungkan kedua spesies.
taxonomy,Taxonomy classifies organisms into hierarchical groups based on shared traits.,분류학,분류학은 공유 특성에 기반하여 생물을 계층적 그룹으로 분류한다.,分類学,分類学は共有特性に基づいて生物を階層的なグループに分類する。,分类学,分类学根据共同特征将生物体分为层级群组。,taxonomía,La taxonomía clasifica organismos en grupos jerárquicos según rasgos compartidos.,phân loại học,Phân loại học xếp các sinh vật vào các nhóm phân cấp dựa trên đặc điểm chung.,อนุกรมวิธาน,อนุกรมวิธานจัดจำแนกสิ่งมีชีวิตเป็นกลุ่มตามลำดับชั้นตามลักษณะร่วม,taksonomi,Taksonomi mengklasifikasikan organisme ke dalam kelompok hierarkis berdasarkan ciri bersama.
ubiquitous,Microplastics have become ubiquitous in marine environments worldwide.,편재하는,미세플라스틱은 전 세계 해양 환경에 편재하게 되었다.,遍在する,マイクロプラスチックは世界中の海洋環境に遍在するようになった。,无处不在的,微塑料在全球海洋环境中已变得无处不在。,ubicuo,Los microplásticos se han vuelto ubicuos en los ambientes marinos mundiales.,phổ biến khắp nơi,Vi nhựa đã trở nên phổ biến khắp nơi trong môi trường biển trên toàn thế giới.,แพร่หลาย,ไมโครพลาสติกแพร่หลายในสิ่งแวดล้อมทางทะเลทั่วโลก,ada di mana-mana,Mikroplastik telah menjadi ada di mana-mana di lingkungan laut seluruh dunia.
volatile,Volatile compounds evaporate quickly at room temperature.,휘발성의,휘발성 화합물은 실온에서 빠르게 증발한다.,揮発性の,揮発性化合物は室温で素早く蒸発する。,挥发性的,挥发性化合物在室温下迅速蒸发。,volátil,Los compuestos volátiles se evaporan rápidamente a temperatura ambiente.,dễ bay hơi,Các hợp chất dễ bay hơi bốc hơi nhanh ở nhiệt độ phòng.,ระเหยง่าย,สารประกอบระเหยง่ายระเหยอย่างรวดเร็วที่อุณหภูมิห้อง,volatil,Senyawa volatil menguap dengan cepat pada suhu kamar.
watershed,The professor explained how the treaty was a watershed moment in diplomacy.,분수령,교수는 그 조약이 외교에서 분수령이 되는 순간이었다고 설명했다.,分水嶺,教授はその条約が外交における分水嶺であったと説明した。,分水岭,教授解释了该条约如何成为外交的分水岭时刻。,momento decisivo,El profesor explicó cómo el tratado fue un momento decisivo en la diplomacia.,bước ngoặt,Giáo sư giải thích rằng hiệp ước là một bước ngoặt trong ngoại giao.,จุดเปลี่ยน,ศาสตราจารย์อธิบายว่าสนธิสัญญานั้นเป็นจุดเปลี่ยนในการทูต,titik balik,Profesor menjelaskan bagaimana perjanjian itu menjadi titik balik dalam diplomasi.
xenophobia,Xenophobia can hinder international collaboration in academic research.,외국인 혐오,외국인 혐오는 학술 연구에서 국제 협력을 저해할 수 있다.,外国人嫌悪,外国人嫌悪は学術研究における国際協力を妨げる可能性がある。,仇外心理,仇外心理可能阻碍学术研究中的国际合作。,xenofobia,La xenofobia puede obstaculizar la colaboración internacional en la investigación.,bài ngoại,Bài ngoại có thể cản trở sự hợp tác quốc tế trong nghiên cứu học thuật.,ความเกลียดชาวต่างชาติ,ความเกลียดชาวต่างชาติอาจขัดขวางความร่วมมือระหว่างประเทศในงานวิจัย,xenofobia,Xenofobia dapat menghambat kolaborasi internasional dalam penelitian akademis.
yield,The experiment yielded unexpected results that contradicted the hypothesis.,산출하다,실험은 가설과 모순되는 예상치 못한 결과를 산출했다.,もたらす,実験は仮説に矛盾する予期しない結果をもたらした。,产出,实验产出了与假设矛盾的意外结果。,producir,El experimento produjo resultados inesperados que contradecían la hipótesis.,mang lại,Thí nghiệm mang lại kết quả bất ngờ mâu thuẫn với giả thuyết.,ให้ผล,การทดลองให้ผลลัพธ์ที่ไม่คาดคิดซึ่งขัดแย้งกับสมมติฐาน,menghasilkan,Eksperimen menghasilkan hasil tak terduga yang bertentangan dengan hipotesis.
aberration,The data point was dismissed as a statistical aberration.,이상,그 데이터 포인트는 통계적 이상으로 무시되었다.,逸脱,そのデータポイントは統計的逸脱として退けられた。,异常,该数据点被视为统计异常而被忽略。,aberración,El dato fue descartado como una aberración estadística.,sự bất thường,Điểm dữ liệu đó bị bác bỏ vì là một bất thường thống kê.,ความผิดปกติ,จุดข้อมูลนั้นถูกมองข้ามว่าเป็นความผิดปกติทางสถิติ,penyimpangan,Titik data tersebut diabaikan sebagai penyimpangan statistik.
amalgamate,The two departments decided to amalgamate their research efforts.,합병하다,두 부서는 연구 노력을 합병하기로 결정했다.,統合する,二つの部門は研究活動を統合することを決定した。,合并,两个部门决定合并他们的研究工作。,fusionar,Los dos departamentos decidieron fusionar sus esfuerzos de investigación.,hợp nhất,Hai khoa quyết định hợp nhất nỗ lực nghiên cứu của họ.,รวมเข้าด้วยกัน,ทั้งสองแผนกตัดสินใจรวมความพยายามในการวิจัยเข้าด้วยกัน,menggabungkan,Dua departemen memutuskan untuk menggabungkan upaya penelitian mereka.
benthic,Benthic organisms inhabit the deepest zones of the ocean floor.,저서의,저서 생물은 해저의 가장 깊은 지역에 서식한다.,底生の,底生生物は海底の最も深い領域に生息する。,底栖的,底栖生物栖息在海底最深的区域。,bentónico,Los organismos bentónicos habitan las zonas más profundas del fondo oceánico.,đáy biển,Các sinh vật đáy biển sống ở những vùng sâu nhất của đáy đại dương.,ที่อาศัยอยู่ใต้น้ำ,สิ่งมีชีวิตหน้าดินอาศัยอยู่ในเขตที่ลึกที่สุดของพื้นมหาสมุทร,bentik,Organisme bentik menghuni zona terdalam dasar laut.
coalesce,Multiple theories coalesced into a unified framework over decades.,합체하다,여러 이론이 수십 년에 걸쳐 통합된 프레임워크로 합체했다.,合体する,複数の理論が数十年かけて統一的な枠組みに合体した。,合并,多个理论在数十年间合并为一个统一框架。,fusionarse,Múltiples teorías se fusionaron en un marco unificado a lo largo de décadas.,hợp nhất,Nhiều lý thuyết đã hợp nhất thành một khuôn khổ thống nhất qua nhiều thập kỷ.,รวมตัว,ทฤษฎีหลายทฤษฎีรวมตัวกันเป็นกรอบแนวคิดเดียวตลอดหลายทศวรรษ,menyatu,Beberapa teori menyatu menjadi kerangka kerja terpadu selama beberapa dekade.
delineate,The study delineates the boundaries between different geological periods.,묘사하다,그 연구는 서로 다른 지질 시대 사이의 경계를 묘사한다.,描写する,その研究は異なる地質時代間の境界を描写する。,描绘,该研究描绘了不同地质时期之间的界限。,delinear,El estudio delinea los límites entre diferentes períodos geológicos.,phác họa,Nghiên cứu phác họa ranh giới giữa các thời kỳ địa chất khác nhau.,อธิบาย,การศึกษาอธิบายขอบเขตระหว่างยุคทางธรณีวิทยาที่แตกต่างกัน,menggambarkan,Studi ini menggambarkan batas antara periode geologi yang berbeda.
entropy,Entropy measures the degree of disorder within a thermodynamic system.,엔트로피,엔트로피는 열역학 시스템 내의 무질서 정도를 측정한다.,エントロピー,エントロピーは熱力学系内の無秩序の度合いを測定する。,熵,熵衡量热力学系统内的无序程度。,entropía,La entropía mide el grado de desorden dentro de un sistema termodinámico.,entropy,Entropy đo mức độ hỗn loạn trong một hệ thống nhiệt động lực học.,เอนโทรปี,เอนโทรปีวัดระดับความไม่เป็นระเบียบภายในระบบอุณหพลศาสตร์,entropi,Entropi mengukur derajat ketidakteraturan dalam sistem termodinamika.
